kuu1313_(sigma,mu)
0.4669356303361129420059378176	(1,1)
0.4669356303358564188282784301	(1,2)
0.4669356303341265914192461851	(1,3)
0.4669356303285565309817341435	(1,4)
0.4669356303157593679901237465	(1,5)
0.4669356302915160890338313378	(1,6)
0.4669356302510122800819660775	(1,7)
0.4669356301891128957652564284	(1,8)
0.4669356301006623408358660303	(1,9)
0.4669356299807959199129850986	(1,10)
0.4669356298252481000665727663	(1,11)
0.4669356296306430657167092928	(1,12)
0.4669356293947537263474927172	(1,13)
0.4669356291167166359050391718	(1,14)
0.4669356287971921426041078549	(1,15)
0.466935628438461428656848648	(1,16)
0.4669356280444548194367582673	(1,17)
0.4669356276207087223440072512	(1,18)
0.4669356271742516671263842852	(1,19)
0.4669356267134230257327370857	(1,20)
0.4669356262476309550887928547	(1,21)
0.466935625787058800638394808	(1,22)
0.4669356253423315039078541389	(1,23)
0.4669356249241553723896764392	(1,24)
0.4669356245429458146431046069	(1,25)
0.4669356242084582623950546338	(1,26)
0.4669356239294374665278543463	(1,27)
0.4669356237132996655391031488	(1,28)
0.466935623565860812177258447	(1,29)
0.4669356234911221625158232881	(1,30)
0.4669732846593968674872180345	(2,1)
0.4669732846386236926264904969	(2,2)
0.4669732844985427549765254695	(2,3)
0.4669732840474808250525641824	(2,4)
0.4669732830111701576316184268	(2,5)
0.4669732810479562229125983985	(2,6)
0.4669732777679691007328125471	(2,7)
0.4669732727553742056372502077	(2,8)
0.4669732655926727799027378761	(2,9)
0.4669732558859229839094064566	(2,10)
0.4669732432897028913473860358	(2,11)
0.4669732275306395263397166078	(2,12)
0.4669732084283832291618486916	(2,13)
0.4669731859130117786151359494	(2,14)
0.466973160037999308224708025	(2,15)
0.4669731309880746074139374542	(2,16)
0.4669730990815136604063662898	(2,17)
0.4669730647666526526503762485	(2,18)
0.4669730286126596387518622496	(2,19)
0.4669729912948546126310906625	(2,20)
0.4669729535751078497628744708	(2,21)
0.4669729162780645880016923861	(2,22)
0.4669728802641308076454337619	(2,23)
0.46697284640030185657592094	(2,24)
0.4669728155300164587501373432	(2,25)
0.466972788443268766990619558	(2,26)
0.4669727658482083002251810099	(2,27)
0.4669727483454018710258330513	(2,28)
0.4669727364058252949640543114	(2,29)
0.4669727303535003151329399575	(2,30)
0.4672230057942339023830280959	(3,1)
0.467223005634040504356261657	(3,2)
0.4672230045537992070064727736	(3,3)
0.4672230010754121444650221175	(3,4)
0.4672229930838497428941382901	(3,5)
0.4672229779444261628505588382	(3,6)
0.4672229526506409736438783617	(3,7)
0.4672229139957675403416081716	(3,8)
0.4672228587602485831015028415	(3,9)
0.4672227839061911491722101481	(3,10)
0.4672226867698712537299225888	(3,11)
0.4672225652431801904746858043	(3,12)
0.4672224179353697647206270757	(3,13)
0.4672222443072645221097903537	(3,14)
0.4672220447712705545983011893	(3,15)
0.4672218207519723564039547559	(3,16)
0.4672215747038079386111520346	(3,17)
0.4672213100841739964391009782	(3,18)
0.4672210312822561372202915163	(3,19)
0.4672207435058191253806395572	(3,20)
0.4672204526300439277194343115	(3,21)
0.4672201650141809439936223328	(3,22)
0.46721988729322838026933711	(3,23)
0.4672196261529779915104229916	(3,24)
0.4672193880975474100676916678	(3,25)
0.4672191792189044990966034552	(3,26)
0.4672190049778671322882056432	(3,27)
0.4672188700056317761790007115	(3,28)
0.4672187779340642681374571987	(3,29)
0.4672187312618112456158086793	(3,30)
0.4680056648798373385643766605	(4,1)
0.468005664265106008193388742	(4,2)
0.4680056601197531237715241499	(4,3)
0.4680056467716785241373702641	(4,4)
0.4680056161046016968440351261	(4,5)
0.4680055580081026562482244359	(4,6)
0.4680054609449628758202401128	(4,7)
0.4680053126096377611828870504	(4,8)
0.4680051006473929802593737892	(4,9)
0.468004813400687423489661734	(4,10)
0.4680044406479181041917833164	(4,11)
0.4680039742997244361464048573	(4,12)
0.4680034090196805554510832765	(4,13)
0.4680027427393161232724295531	(4,14)
0.4680019770418646240295688674	(4,15)
0.4680011173947504425966747047	(4,16)
0.4680001732173478724828422915	(4,17)
0.4679991577776922840390041056	(4,18)
