hh2_(sigma,mu)
0.1435218318931028525530397613	(4,10)
0.1435160743549810929958717937	(4,11)
0.1435089207031735226393878134	(4,12)
0.1435003231914441786973129988	(4,13)
0.1434902930541960801540212974	(4,14)
0.1434789042727265930215299434	(4,15)
0.1434662934172559460723343785	(4,16)
0.1434526555121028105897335318	(4,17)
0.1434382362410875033045666784	(4,18)
0.1434233211572750975350670823	(4,19)
0.1434082228375327044976775763	(4,20)
0.1433932670889003986033808497	(4,21)
0.1433787793469754366408833877	(4,22)
0.1433650723026827176590611197	(4,23)
0.1433524355696496589096988527	(4,24)
0.1433411278941252710270018342	(4,25)
0.1433313720589636263536984208	(4,26)
0.1433233522929986251084398339	(4,27)
0.1433172137142300218246570917	(4,28)
0.1433130631466469518604033954	(4,29)
0.143310970578409928609721929	(4,30)
0.1402538360976929155459383068	(5,1)
0.140253826764262880981185986	(5,2)
0.1402537638281996051982010486	(5,3)
0.1402535612041243492024501135	(5,4)
0.1402530958542552459869580694	(5,5)
0.1402522149598204327744429152	(5,6)
0.1402507452041811833620474506	(5,7)
0.1402485038426165948661353794	(5,8)
0.1402453110755369095973137977	(5,9)
0.1402410030733572369080458929	(5,10)
0.1402354448500433347664844204	(5,11)
0.1402285420802723122211767761	(5,12)
0.1402202509319822261256538867	(5,13)
0.140210585062894370163777263	(5,14)
0.1401996191132357773430421721	(5,15)
0.140187488306752015876815134	(5,16)
0.1401743841200580403989176531	(5,17)
0.1401605463542373159931426129	(5,18)
0.1401462522925551225142843985	(5,19)
0.1401318039050518149794159311	(5,20)
0.1401175142246492082142023133	(5,21)
0.140103694046476443304616205	(5,22)
0.1400906399890446033124338238	(5,23)
0.1400786247202945007739670507	(5,24)
0.1400678898289639831469942086	(5,25)
0.1400586414597046655513875643	(5,26)
0.1400510484807990003298122142	(5,27)
0.1400452426644903417082131167	(5,28)
0.1400413201696862642685760156	(5,29)
0.140039343547614750410184598	(5,30)
0.136276049105292352161353111	(6,1)
0.1362760402317524456277233218	(6,2)
0.1362759803969863979889113128	(6,3)
0.1362757877602276000670795239	(6,4)
0.1362753453625448505708000046	(6,5)
0.1362745079738430186000981287	(6,6)
0.1362731109757985067743460524	(6,7)
0.136270980977845159668795431	(6,8)
0.1362679477049514961273935879	(6,9)
0.1362638565250678947520529315	(6,10)
0.1362585808292917205871504641	(6,11)
0.1362520333719361880707937393	(6,12)
0.1362441756516572895156038968	(6,13)
0.1362350244905405018628464662	(6,14)
0.1362246551528317778002019737	(6,15)
0.136213200628000033714550357	(6,16)
0.1362008470551116054184864941	(6,17)
0.1361878256436188401110344838	(6,18)
0.1361744017983240515261776047	(6,19)
0.1361608624329624796481850113	(6,20)
0.136147502616639238747174829	(6,21)
0.1361346127162131938163913463	(6,22)
0.1361224670727611239450602522	(6,23)
0.1361113150002679188894398042	(6,24)
0.1361013745568981253853388213	(6,25)
0.1360928291630430123135962273	(6,26)
0.136085826779504140428346682	(6,27)
0.1360804810634554376429565665	(6,28)
0.1360768737280208523284348227	(6,29)
0.136075057266234001822912238	(6,30)
0.131673629574789560747491415	(7,1)
0.1316736213348575798500845318	(7,2)
0.1316735657728439243993913156	(7,3)
0.1316733868956639273185452365	(7,4)
0.1316729761178638440241413605	(7,5)
0.1316721986588634052246446072	(7,6)
0.1316709018689968339468375382	(7,7)
0.1316689252114085029997794812	(7,8)
0.1316661114689949897405032339	(7,9)
0.1316623185725458005321862922	(7,10)
0.1316574312875006197675002738	(7,11)
0.1316513718865070466550859835	(7,12)
0.1316441089053768025859688728	(7,13)
0.1316356631540615608328793724	(7,14)
0.1316261103396393572682122603	(7,15)
0.131615579943996172699248232	(7,16)
0.1316042503550758930695206074	(7,17)
0.1315923406323640310758200035	(7,18)
0.1315800996417169876111673282	(7,19)
0.1315677935697219560973129364	(7,20)
0.1315556929815499753231951725	(7,21)
0.131544060594460775818565754	(7,22)
0.1315331407994723447461384217	(7,23)
0.1315231516964228524588890012	(7,24)
0.1315142800519236854246603562	(7,25)
