mdd22_(sigma,mu)
-32.12613255335437	(1,1)
-32.12613412215888	(1,2)
-32.12614470117894	(1,3)
-32.1261787658516	(1,4)
-32.12625702987253	(1,5)
-32.12640529812477	(1,6)
-32.12665302166522	(1,7)
-32.12703162186297	(1,8)
-32.12757266136536	(1,9)
-32.12830594657406	(1,10)
-32.12925764951458	(1,11)
-32.13044853633186	(1,12)
-32.13189238526491	(1,13)
-32.13359466911312	(1,14)
-32.13555156628557	(1,15)
-32.13774935099241	(1,16)
-32.14016419752591	(1,17)
-32.14276241646799	(1,18)
-32.14550112266687	(1,19)
-32.14832931659555	(1,20)
-32.15118934291081	(1,21)
-32.15401867336632	(1,22)
-32.15675194639175	(1,23)
-32.15932318331264	(1,24)
-32.16166809198324	(1,25)
-32.16372636308064	(1,26)
-32.16544386287481	(1,27)
-32.16677462918342	(1,28)
-32.16768258446736	(1,29)
-32.16814289141142	(1,30)
-31.710412377048136373	(2,1)
-31.710413805421331635	(2,2)
-31.710423437459100479	(2,3)
-31.710454452795337912	(2,4)
-31.710525710735742769	(2,5)
-31.71066070550114777	(2,6)
-31.710886249841242681	(2,7)
-31.711230948028036533	(2,8)
-31.711723528971465523	(2,9)
-31.712391116711240748	(2,10)
-31.713257518591400253	(2,11)
-31.714341610943382936	(2,12)
-31.715655898171047535	(2,13)
-31.717205313966542654	(2,14)
-31.71898632332646688	(2,15)
-31.720986371516128777	(2,16)
-31.723183711653690862	(2,17)
-31.725547626720395888	(2,18)
-31.728039045154894227	(2,19)
-31.730611532395165953	(2,20)
-31.733212624443731775	(2,21)
-31.735785454406526728	(2,22)
-31.738270609633682362	(2,23)
-31.7406081461746886	(2,24)
-31.742739679289178768	(2,25)
-31.744610464169984222	(2,26)
-31.746171380150684931	(2,27)
-31.747380734640371547	(2,28)
-31.748205809825479997	(2,29)
-31.7486240855769444	(2,30)
-30.9079082043701874993	(3,1)
-30.9079093646014341474	(3,2)
-30.9079171884550703232	(3,3)
-30.907942381336270732	(3,4)
-30.9080002617467854481	(3,5)
-30.9081099118890910245	(3,6)
-30.9082931068828510507	(3,7)
-30.9085730719841180705	(3,8)
-30.9089731253114180918	(3,9)
-30.9095152691491552645	(3,10)
-30.9102187956677707989	(3,11)
-30.9110989727444725765	(3,12)
-30.9121658724891230211	(3,13)
-30.913423399206502902	(3,14)
-30.9148685651111171509	(3,15)
-30.9164910515185269212	(3,16)
-30.9182730809286581558	(3,17)
-30.9201896119284970835	(3,18)
-30.9222088547633759177	(3,19)
-30.9242930913735593375	(3,20)
-30.9263997702813371157	(3,21)
-30.9284828345308648203	(3,22)
-30.9304942304625944218	(3,23)
-30.9323855369034568935	(3,24)
-30.9341096487334824553	(3,25)
-30.9356224459976207071	(3,26)
-30.9368843798938398881	(3,27)
