kuu2311_(sigma,mu)
1.14288691821207466689e-9	(1,1)
1.026681116161616623017e-8	(1,2)
2.840760984505391892054e-8	(1,3)
5.532893087376928947798e-8	(1,4)
9.062420584051205654935e-8	(1,5)
1.3366384332546171580126e-7	(1,6)
1.8353969327965388861909e-7	(1,7)
2.3901727013948575381035e-7	(1,8)
2.9850629958734971949034e-7	(1,9)
3.6005894056384402086225e-7	(1,10)
4.214026238176868603808e-7	(1,11)
4.8001106398510303067422e-7	(1,12)
5.3321297515320734808872e-7	(1,13)
5.7833375708858673792104e-7	(1,14)
6.1286136318238178445663e-7	(1,15)
6.3462414502711362507045e-7	(1,16)
6.4196607271246445901475e-7	(1,17)
6.3390364244966229182833e-7	(1,18)
6.1024916924245980520126e-7	(1,19)
5.7168704570136303797272e-7	(1,20)
5.1979280587474790909369e-7	(1,21)
4.5698920505779607712128e-7	(1,22)
3.864386385232557270381e-7	(1,23)
3.118766195660525127353e-7	(1,24)
2.3739622819431241773308e-7	(1,25)
1.6719794328762520878801e-7	(1,26)
1.0532265533687994724686e-7	(1,27)
5.538759274674183839494e-8	(1,28)
2.034517982308212242968e-8	(1,29)
2.28342598155304478683e-9	(1,30)
1.033777217620929711269e-8	(2,1)
9.286654092281151702049e-8	(2,2)
2.569557791494517325223e-7	(2,3)
5.004676073121979774565e-7	(2,4)
8.1972448492880396421672e-7	(2,5)
1.20903155677249153851314e-6	(2,6)
1.66017431517164842197347e-6	(2,7)
2.16198644266335205726224e-6	(2,8)
2.70008339817518256941019e-6	(2,9)
3.25684633512325965835565e-6	(2,10)
3.81171913764915819572463e-6	(2,11)
4.34185074909188437079435e-6	(2,12)
4.82307854081585299204285e-6	(2,13)
5.23120991122505920909516e-6	(2,14)
5.54352261568859168310574e-6	(2,15)
5.74037342801586109226716e-6	(2,16)
5.80678306314552030192507e-6	(2,17)
5.73385545429799476011472e-6	(2,18)
5.51989297058078252856632e-6	(2,19)
5.17108619712014100873103e-6	(2,20)
4.7016863677432983915915e-6	(2,21)
4.13360808740115831235856e-6	(2,22)
3.4954562211388469307316e-6	(2,23)
2.82101964797672878259345e-6	(2,24)
2.14732153150382514990993e-6	(2,25)
1.51235647595355473419125e-6	(2,26)
9.5267554803205080022167e-7	(2,27)
5.0099765479783214487781e-7	(2,28)
1.8402834669163644368839e-7	(2,29)
2.065428305146652138516e-8	(2,30)
2.900514762538557254219e-8	(3,1)
2.6055978814471157767476e-7	(3,2)
7.2095226739072923292591e-7	(3,3)
1.40418423397258289260137e-6	(3,4)
