muu11_(sigma,mu)
120.485291826586	(1,1)
120.4852797751072	(1,2)
120.4851985077218	(1,3)
120.4849368264631	(1,4)
120.4843356189503	(1,5)
120.4831966864329	(1,6)
120.4812938765598	(1,7)
120.4783860089866	(1,8)
120.4742309962342	(1,9)
120.4686005024953	(1,10)
120.4612944523411	(1,11)
120.4521547012879	(1,12)
120.4410772113747	(1,13)
120.4280221362736	(1,14)
120.4130213095256	(1,15)
120.3961827423881	(1,16)
120.3776918693913	(1,17)
120.357809423916	(1,18)
120.3368659761458	(1,19)
120.3152533145545	(1,20)
120.2934129926673	(1,21)
120.2718224887265	(1,22)
120.2509795314248	(1,23)
120.2313852255168	(1,24)
120.2135266636471	(1,25)
120.1978597333104	(1,26)
120.1847928200652	(1,27)
120.1746720708709	(1,28)
120.167768816818	(1,29)
120.1642696656908	(1,30)
118.94197856843685022	(2,1)
118.94196598301298955	(2,2)
118.94188111503161957	(2,3)
118.94160783965542447	(2,4)
118.94097999381031709	(2,5)
118.93979059330030571	(2,6)
118.93780345474440704	(2,7)
118.93476668732402264	(2,8)
118.93042743038910991	(2,9)
118.92454715135485681	(2,10)
118.91691678699050927	(2,11)
118.90737101184000833	(2,12)
118.89580095039870253	(2,13)
118.88216471361503064	(2,14)
118.8664952326480192	(2,15)
118.84890497957965496	(2,16)
118.82958730074455202	(2,17)
118.80881423733004055	(2,18)
118.78693086309924255	(2,19)
118.7643463233776359	(2,20)
118.74152190576697114	(2,21)
118.71895660478570933	(2,22)
118.69717075391925052	(2,23)
118.67668838457051216	(2,24)
118.65801902855120659	(2,25)
118.64163970683910743	(2,26)
118.62797784156059492	(2,27)
118.61739579114886177	(2,28)
118.61017764228741426	(2,29)
118.60651879964956088	(2,30)
116.00607650406616759	(3,1)
116.0060628546295109664	(3,2)
116.005970811603964152	(3,3)
116.0056744322123700706	(3,4)
116.0049935033337591693	(3,5)
116.0037035341835132334	(3,6)
116.0015483535275108277	(3,7)
115.9982547303905542139	(3,8)
115.9935483417573553227	(3,9)
115.9871703452680898455	(3,10)
115.9788937823219225183	(3,11)
115.968539038820940899	(3,12)
115.9559876270037147615	(3,13)
115.9411936209105483281	(3,14)
115.9241921770224755435	(3,15)
115.9051046962353469987	(3,16)
115.8841403281490634098	(3,17)
115.8615936773551880203	(3,18)
115.837838737060721131	(3,19)
115.81331924074486051	(3,20)
115.7885357803667730394	(3,21)
115.7640301830061665415	(3,22)
115.7403677604318447594	(3,23)
115.7181181425664885198	(3,24)
115.6978354718981074386	(3,25)
115.680038768655026304	(3,26)
115.665193274540122466	(3,27)
115.6536935460558590147	(3,28)
115.6458489985014513786	(3,29)
115.6418725015862076995	(3,30)
111.94833555998691605136	(4,1)
111.94832032096558449357	(4,2)
111.94821755876881330471	(4,3)
111.94788666314313654913	(4,4)
111.9471264312053247984	(4,5)
111.94568621938532509363	(4,6)
111.94327999885533167082	(4,7)
111.93960266477288670257	(4,8)
111.93434784429699883052	(4,9)
111.92722637682606776941	(4,10)
111.91798460520953292887	(4,11)
111.90642162008313561491	(4,12)
111.8924046405805016705	(4,13)
111.87588179149746138957	(4,14)
111.85689164609096051537	(4,15)
111.83556904037093042039	(4,16)
111.81214682322259205706	(4,17)
111.78695338038370626644	(4,18)
111.76040595201744075366	(4,19)
111.7329999458528788824	(4,20)
111.70529462301871348798	(4,21)
111.67789569436357120195	(4,22)
111.65143550428950227565	(4,23)
111.62655159071265284963	(4,24)
111.60386448851369878027	(4,25)
111.58395568584005808752	(4,26)
111.56734664547964651572	(4,27)
111.55447976654978073158	(4,28)
111.54570208605283000654	(4,29)
111.54125240838997516634	(4,30)
