kdd1322_(sigma,mu)
-0.04169519354487604269422703291	(1,1)
-0.04169207274195835150737884982	(1,2)
-0.04167103110259067940941139448	(1,3)
-0.04160331291195562088268901899	(1,4)
-0.04144793958393260841197256191	(1,5)
-0.04115439322871422811626505855	(1,6)
-0.04066628589197816258107141738	(1,7)
-0.03992596797708404203246515782	(1,8)
-0.03887989946374168233616002313	(1,9)
-0.03748444848334471233662917591	(1,10)
-0.0357116237084454754803438413	(1,11)
-0.033554125262845332949748131	(1,12)
-0.03102904724234177122246927742	(1,13)
-0.02817960853463673198564317619	(1,14)
-0.02507443790996649058129638147	(1,15)
-0.02180418662377697381509051041	(1,16)
-0.0184755607433533629496732161	(1,17)
-0.01520321416720745458430062286	(1,18)
-0.01210027028767933576781342886	(1,19)
-0.00926849233719009373795141725	(1,20)
-0.00678925386830183384729233181	(1,21)
-0.00471644125191335657643840239	(1,22)
-0.00307224074512832113193144763	(1,23)
-0.00184643903246540399421207676	(1,24)
-0.00099943675035072472832249825	(1,25)
-0.00046869610270920307963263688	(1,26)
-0.00017788308506077897675846693	(1,27)
-0.00004758896509752219120380776	(1,28)
-6.28119131146063597720839e-6	(1,29)
-7.825729119431453996929e-8	(1,30)
-0.0419243052365791634011686865	(2,1)
-0.04192116728509939124239565959	(2,2)
-0.04190001002360867600728505716	(2,3)
-0.04183191972693996104848252107	(2,4)
-0.04167569263492493593428547309	(2,5)
-0.04138053326600109958560888055	(2,6)
-0.04088974381856224302257948564	(2,7)
-0.0401453579160710779547429044	(2,8)
-0.03909354134015008028795804598	(2,9)
-0.0376904224686284440763402324	(2,10)
-0.03590785616404236730508515381	(2,11)
-0.03373850243807168040874044286	(2,12)
-0.03119954931733512778670385715	(2,13)
-0.02833445317400070295856248594	(2,14)
-0.02521221988802358473482024907	(2,15)
-0.02192399883631760427055526671	(2,16)
-0.01857708242747110781860647383	(2,17)
-0.01528675457390526028108862002	(2,18)
-0.01216676027176382862570933781	(2,19)
-0.00931942193401606524829237567	(2,20)
-0.0068265602540563283089129864	(2,21)
-0.00474235770373916731753388716	(2,22)
-0.00308912245157358564340939628	(2,23)
-0.00185658506051094948693471079	(2,24)
-0.00100492857154712967284349569	(2,25)
-0.00047127154845673996577024713	(2,26)
-0.00017886053766384208595264832	(2,27)
-0.0000478504624572130236867527	(2,28)
-6.31570592892709037747643e-6	(2,29)
-7.868730841889015012839e-8	(2,30)
-0.04238559436983547915427148702	(3,1)
-0.0423824218916865160830728446	(3,2)
