kuu3311_(sigma,mu)
-2.686148975061611397713581803	(1,1)
-2.6861482459410650598541824652	(1,2)
-2.6861433292208024310317833832	(1,3)
-2.6861274973355720018736418965	(1,4)
-2.6860911237238554151747546104	(1,5)
-2.6860222166063472911390841771	(1,6)
-2.6859070918858039403460548225	(1,7)
-2.6857311541290086131053985106	(1,8)
-2.6854797494940706524458430298	(1,9)
-2.6851390509700537831168880087	(1,10)
-2.6846969345576717295534208577	(1,11)
-2.6841438051190400775828390872	(1,12)
-2.6834733325601445886734855727	(1,13)
-2.6826830627000728631793800682	(1,14)
-2.6817748724673743436522189327	(1,15)
-2.6807552457172125276959402771	(1,16)
-2.6796353536941190340442342759	(1,17)
-2.6784309326374531852665901267	(1,18)
-2.6771619598705519636118300819	(1,19)
-2.6758521385437438228405152565	(1,20)
-2.6745282096297771778176152337	(1,21)
-2.6732191174287006628922829788	(1,22)
-2.671955061391925073929543428	(1,23)
-2.670766472234064914544752407	(1,24)
-2.669682953838646683155961612	(1,25)
-2.668732234222772935786467241	(1,26)
-2.667939168726576442705123925	(1,27)
-2.667324836636875304830003953	(1,28)
-2.666905768722780780593444909	(1,29)
-2.66669333781335128602716194	(1,30)
-2.6863636670275208264446106025	(2,1)
-2.6863629298127813778331052213	(2,2)
-2.6863579585104853087170194484	(2,3)
-2.6863419508706167555078615699	(2,4)
-2.6863051734643402047139377814	(2,5)
-2.6862355013883421897607418991	(2,6)
-2.6861190986351880519580792924	(2,7)
-2.6859412077459130318402841373	(2,8)
-2.6856870122068873755659488369	(2,9)
-2.6853425315178803212729446697	(2,10)
-2.6848955071006101694011361253	(2,11)
-2.6843362373173523084476170013	(2,12)
-2.6836583218263035736812606601	(2,13)
-2.6828592792317715740608319042	(2,14)
-2.6819410073323311284134516807	(2,15)
-2.6809100619973706991870204097	(2,16)
-2.6797777385195821339488391584	(2,17)
-2.6785599478574681925313355627	(2,18)
-2.6772768891241628040811425008	(2,19)
-2.6759525286061822248541892853	(2,20)
-2.6746139041177215930806055588	(2,21)
-2.6732902812395877989665936798	(2,22)
-2.672012194617180688653227594	(2,23)
-2.67081041270788077039406525	(2,24)
-2.669714867944714636372779757	(2,25)
-2.668753596061428506450497979	(2,26)
-2.667951728223488107272277971	(2,27)
-2.667330577631176643417812222	(2,28)
-2.666906858487755819645516903	(2,29)
-2.66669206981861237772996361	(2,30)
-2.6867994265281906447009818757	(3,1)
-2.686798672601972654305955863	(3,2)
-2.6867935886082198079439314264	(3,3)
-2.6867772181009465536723413611	(3,4)
-2.6867396070109317931949781607	(3,5)
-2.6866683555858379825099019164	(3,6)
-2.686549314186528764584144784	(3,7)
-2.68636739084471852471897326	(3,8)
-2.6861074332156524301625799691	(3,9)
-2.6857551439437077081768176477	(3,10)
-2.6852979866607433922028434637	(3,11)
-2.6847260399391109347850087223	(3,12)
-2.6840327585224977168875156112	(3,13)
-2.6832156049738375317584777126	(3,14)
-2.6822765203462500322858235812	(3,15)
-2.6812222093635952539416405447	(3,16)
-2.6800642235926678807881628672	(3,17)
-2.6788188348509756948857288019	(3,18)
-2.6775067002400917920563241255	(3,19)
-2.6761523293250907715258626404	(3,20)
-2.6747833726961243436279406541	(3,21)
-2.6734297590669978417416236774	(3,22)
-2.672122714840313115241757768	(3,23)
-2.670893705401588681278017287	(3,24)
-2.669773341060634650950134603	(3,25)
-2.668790292375149024119345463	(3,26)
-2.667970259486828357323976102	(3,27)
-2.667335038075671344122860346	(3,28)
-2.66690172067856898514492421	(3,29)
-2.66668206658853681036526978	(3,30)
-2.6874688185878797206937135775	(4,1)
-2.6874680382967654597917855417	(4,2)
-2.6874627765151407555960320443	(4,3)
-2.6874458335297353560771718419	(4,4)
-2.6874069071792041189284783625	(4,5)
-2.6873331641008848874500250005	(4,6)
