kdd1113_(sigma,mu)
0.12508563936780796153154500061	(1,1)
0.12508095807363533885507475348	(1,2)
0.125049390435019799658814151	(1,3)
0.12494774234343252721228437721	(1,4)
0.12471420678140314716495948984	(1,5)
0.12427179092944576516998830789	(1,6)
0.12353263649708108093871754329	(1,7)
0.12240303399146531761188082498	(1,8)
0.12078889890861814834024791065	(1,9)
0.11860145538487042812321515854	(1,10)
0.11576286168573777241447850964	(1,11)
0.1122115125466673563420980919	(1,12)
0.10790676580802099058466824688	(1,13)
0.10283286448066106580820702409	(1,14)
0.09700185931912956054671617965	(1,15)
0.09045537969668442615066623867	(1,16)
0.08326515021400890637691572829	(1,17)
0.07553220486947703564300093246	(1,18)
0.06738480740069034027498762478	(1,19)
0.05897514309450270712690955641	(1,20)
0.05047490147686204717025675047	(1,21)
0.0420699184648555888079395776	(1,22)
0.0339540886347006997147240971	(1,23)
0.02632279138177849114013519339	(1,24)
0.0193660974611586720996767378	(1,25)
0.01326203369069859490560607221	(1,26)
0.00817018296155809456134855409	(1,27)
0.00422588413983632282451271576	(1,28)
0.00153527248405339341724555762	(1,29)
0.00017136686873924967118393465	(1,30)
0.12577297476565136195973639711	(2,1)
0.12576826774813575419587639097	(2,2)
0.12573652664783093089802954925	(2,3)
0.12563432000798211222910523505	(2,4)
0.12539950118642499494379572739	(2,5)
0.12495465429419787300957663372	(2,6)
0.12421143826644915292435777872	(2,7)
0.12307562868408814423466209075	(2,8)
0.12145262405626692325383026985	(2,9)
0.11925316070306196581127894073	(2,10)
0.11639896915598263381721512225	(2,11)
0.11282810563467551504239734368	(2,12)
0.10849970465439922155686128448	(2,13)
0.10339792264304470200466982272	(2,14)
0.09753487657360182657075726139	(2,15)
0.09095242456997698733020208664	(2,16)
0.08372268535437449765028585987	(2,17)
0.07594724809942695079855949169	(2,18)
0.06775508134210556123711716202	(2,19)
0.05929920661543858231650911944	(2,20)
0.05075225686553112830922309849	(2,21)
0.04230108916262859799359248611	(2,22)
0.03414066351749803329381400682	(2,23)
0.02646743291875898268727449526	(2,24)
0.01947251254394556459309002089	(2,25)
0.01333490745276952058885073187	(2,26)
0.00821507743030731926843656021	(2,27)
0.00424910501767348554186717415	(2,28)
0.00154370867710441416064378982	(2,29)
0.00017230851525109339735205436	(2,30)
0.12715684281520689887953166776	(3,1)
0.1271520840065616077946433582	(3,2)
0.12711999366017170151158801988	(3,3)
0.1270166624446686190437748865	(3,4)
0.126779259920852438356904462	(3,5)
0.12632951839589948977400875514	(3,6)
0.12557812479204609965443389467	(3,7)
0.12442981794342061550089028301	(3,8)
0.12278895546422804383400788473	(3,9)
0.12056529151240334247381668742	(3,10)
0.11767969542760985049830071277	(3,11)
0.11406954187023058231859395128	(3,12)
0.10969351572169081664600775799	(3,13)
0.10453559909279232455259398096	(3,14)
0.09860804228938620467329449866	(3,15)
0.09195316400935162106638308822	(3,16)
0.08464387650436545398628423122	(3,17)
0.07678288673677991396116646723	(3,18)
0.06850058228402144275440421007	(3,19)
0.05995166836911539051283109755	(3,20)
0.0513106774061095912333102607	(3,21)
0.04276652243441007304903235998	(3,22)
0.03451630858399219566262442836	(3,23)
0.02675865038419562323929674043	(3,24)
0.01968676581716251226095680949	(3,25)
0.01348162949753013370378503532	(3,26)
0.0083054667121142342865149413	(3,27)
0.00429585728412703855189159343	(3,28)
0.0015606938707304591547566605	(3,29)
0.00017420439973709023521402487	(3,30)
0.12925497651012852655403474124	(4,1)
0.1292501391776026256336968145	(4,2)
0.12921751931664310620003170004	(4,3)
0.12911248305931573162197264968	(4,4)
0.12887116321772556732492291776	(4,5)
0.12841400062487547289661214888	(4,6)
0.12765020847337087013354063201	(4,7)
0.12648295372291889286950071182	(4,8)
0.12481501582798838224458338485	(4,9)
0.12255465984120850901834555191	(4,10)
0.11962144941546320249973903545	(4,11)
0.11595172588595566860933844852	(4,12)
0.11150349245560324076621005395	(4,13)
0.10626046699093978566406775632	(4,14)
0.10023510200781693013543919409	(4,15)
0.09347041456763037821385943102	(4,16)
0.0860405200972691192466310386	(4,17)
0.07804982035562157532817737339	(4,18)
0.06963085444436454670346832244	(4,19)
0.06094088033807750648961769505	(4,20)
0.05215731032671353440972013634	(4,21)
0.04347217457343067202141145002	(4,22)
0.03508583046419800718452906282	(4,23)
0.02720016965152399814430302459	(4,24)
0.02001159816346073875321934731	(4,25)
0.01370407661845924038012837931	(4,26)
0.00844250692754751605655735968	(4,27)
0.00436673888498008401176350904	(4,28)
0.00158644529062089664085394464	(4,29)
0.00017707876837020604478625355	(4,30)
0.13209240015559902864904008281	(5,1)
0.13208745662580292817049473455	(5,2)
0.13205412063873482836745612706	(5,3)
0.13194677844881360635918437907	(5,4)
0.13170016074915333240390045155	(5,5)
0.13123296175980686932940043704	(5,6)
0.13045240157892401437230492634	(5,7)
0.1292595213472837412837974478	(5,8)
0.12755496621409741389672330586	(5,9)
0.12524498738626938427957754554	(5,10)
0.12224738275677710234652323841	(5,11)
0.11849709628001846860293350184	(5,12)
0.11395120938570494967862788279	(5,13)
0.1085930827443389426045884696	(5,14)
0.10243544253999559371565682568	(5,15)
0.09552225051767737620194267964	(5,16)
0.08792924949240657968318278764	(5,17)
0.07976313345235941176014803363	(5,18)
0.07115935135274911385471310038	(5,19)
0.06227861356149409430802350959	(5,20)
0.05330222706375690727032447921	(5,21)
0.0444264374576277749204294614	(5,22)
