ldd221_(sigma,mu)
0.021903178155026401552839748	(4,21)
0.021903482509697606328374713	(4,22)
0.02190377655056535792254746	(4,23)
0.02190405317705906251896129	(4,24)
0.021904305468528832007308902	(4,25)
0.021904526931699324833013036	(4,26)
0.021904711737125149641976731	(4,27)
0.021904854934548839881272089	(4,28)
0.021904952637830420723550976	(4,29)
0.02190500217134075889226068	(4,30)
0.033926084406558251905916648	(5,1)
0.033926085002420797066762517	(5,2)
0.033926089020541331162827583	(5,3)
0.033926101959004765405233874	(5,4)
0.033926131685455689206986609	(5,5)
0.033926188001735364779017094	(5,6)
0.033926282095664450043003978	(5,7)
0.033926425905523756481150768	(5,8)
0.033926631426718294708895185	(5,9)
0.033926909992656563563864531	(5,10)
0.033927271562972940581038908	(5,11)
0.033927724051876749360427923	(5,12)
0.033928272727700886123481211	(5,13)
0.033928919711767395919422346	(5,14)
0.033929663600640846313712396	(5,15)
0.033930499230875229753786637	(5,16)
0.033931417599658492186673395	(5,17)
0.033932405948508275954358709	(5,18)
0.033933448010567140077914952	(5,19)
0.033934524415290070949706948	(5,20)
0.033935613237632127172575543	(5,21)
0.033936690672469777174494642	(5,22)
0.033937731809185245565865605	(5,23)
0.033938711476381101581722126	(5,24)
0.033939605122844206150803475	(5,25)
0.033940389698396338217698735	(5,26)
0.033941044497362963600509686	(5,27)
0.033941551928204107560650979	(5,28)
0.033941898175435278570105084	(5,29)
0.03394207372426957709762465	(5,30)
0.046672214193583614590425024	(6,1)
0.046672215858516748840520659	(6,2)
0.046672227085777110096054174	(6,3)
0.046672263237915798754514267	(6,4)
0.046672346298600166396376228	(6,5)
0.046672503656562835605430099	(6,6)
0.046672766574630367015621458	(6,7)
0.046673168415319809212547582	(6,8)
0.046673742705366306266812747	(6,9)
0.046674521128508420048087666	(6,10)
0.046675531538760648248028262	(6,11)
0.046676796085311624732974092	(6,12)
0.046678329535343647721576516	(6,13)
0.046680137872841235206088737	(6,14)
0.046682217240284658917811778	(6,15)
0.046684553276483432193214308	(6,16)
0.046687120888176342152385685	(6,17)
0.046689884475889891777495701	(6,18)
0.046692798616395019597656888	(6,19)
0.046695809185450168552902224	(6,20)
0.04669885488593726044084519	(6,21)
0.046701869128627428000518817	(6,22)
0.046704782196373356914107464	(6,23)
0.046707523608293762373667942	(6,24)
0.046710024589294836084753863	(6,25)
0.046712220542829393585893991	(6,26)
0.04671405342178306687953748	(6,27)
0.046715473894265676410198136	(6,28)
0.046716443208081284439834946	(6,29)
0.04671693466964354959017541	(6,30)
0.05895263339758170905976281	(7,1)
0.058952637320176781155598149	(7,2)
0.058952663771691569721279671	(7,3)
0.058952748946469693387923163	(7,4)
0.058952944638519918548570511	(7,5)
0.058953315377060906605550654	(7,6)
0.058953934820668789590848768	(7,7)
0.058954881578577533276482053	(7,8)
0.058956234653148668121780912	(7,9)
0.058958068713726618874042193	(7,10)
0.058960449418719288791624062	(7,11)
0.058963428999998649493632487	(7,12)
0.058967042312221546542295624	(7,13)
0.058971303530327308097048625	(7,14)
0.058976203652331526357158104	(7,15)
0.058981708932712496258656849	(7,16)
0.058987760335276690087780903	(7,17)
0.0589942740544668367078833	(7,18)
0.059001143111720671379763267	(7,19)
0.05900823998984566180293097	(7,20)
0.059015420224725708020459057	(7,21)
0.059022526831491917974732361	(7,22)
0.059029395403254058907868039	(7,23)
0.05903585968646343345643825	(7,24)
0.059041757409909205106712213	(7,25)
0.05904693612612553696203985	(7,26)
0.059051258816246994121597543	(7,27)
0.059054609013288912551190056	(7,28)
0.059056895215011318539401918	(7,29)
0.05905805438574233900698288	(7,30)
0.069648343324436738891077927	(8,1)
0.069648351427930033583771008	(8,2)
0.06964840607279788645651265	(8,3)
0.06964858203118285299868553	(8,4)
0.069648986302054700547899377	(8,5)
0.069649752194229883669947889	(8,6)
0.069651031878317963589761896	(8,7)
0.06965298775591355528974198	(8,8)
0.069655783046811832650589665	(8,9)
0.069659572028290711015193333	(8,10)
0.069664490373975897549703251	(8,11)
0.069670646033964730913675014	(8,12)
0.069678111074056690871599944	(8,13)
0.069686914852018641386672068	(8,14)
0.069697038854997009485064469	(8,15)
0.069708413456755819475862403	(8,16)
0.069720916778601846440811245	(8,17)
0.069734375755818134491819989	(8,18)
0.069748569424325263322226622	(8,19)
0.069763234352420571254208724	(8,20)
0.069778072052394495924933807	(8,21)
0.069792758119593494019850979	(8,22)
0.069806952765560293147811422	(8,23)
0.069820312341105833356673637	(8,24)
0.069832501388633415470208632	(8,25)
0.06984320472472254240898449	(8,26)
0.069852139037368704897427563	(8,27)
0.069859063489922786386906681	(8,28)
0.069863788856917496116937982	(8,29)
0.06986618477522690756506447	(8,30)
0.077825893782510368692643814	(9,1)
0.077825908850067995534333121	(9,2)
0.077826010456211934767120625	(9,3)
0.077826337631563412210502646	(9,4)
0.077827089329077268712838984	(9,5)
0.077828513422238314604160784	(9,6)
0.07783089285656444513736958	(9,7)
0.077834529602114049673980027	(9,8)
0.077839727152190712640011227	(9,9)
0.077846772375228189168941706	(9,10)
0.077855917551824763714604196	(9,11)
0.07786736341798382953271349	(9,12)
0.077881243991286466518722963	(9,13)
0.077897613882508455489226788	(9,14)
0.077916438695185966128370364	(9,15)
0.077937588994064618277166993	(9,16)
0.077960838184376375257711106	(9,17)
0.077985864491479622793513387	(9,18)
0.078012257068564997389581577	(9,19)
0.078039526093117228859271517	(9,20)
0.078067116545420277847893835	(9,21)
0.07809442520017215701110309	(9,22)
0.078120820211686494121205424	(9,23)
0.078145662541406671426538295	(9,24)
0.078168328371149606635987557	(9,25)
0.07818823157405163177456354	(9,26)
0.078204845284109100945944686	(9,27)
0.07821772161927310042791116	(9,28)
0.078226508674595184014582566	(9,29)
0.07823096401023510214843676	(9,30)
0.082832370171216344249975245	(10,1)
0.082832395859420681160458227	(10,2)
0.082832569084528218476800726	(10,3)
0.082833126875381140225950598	(10,4)
0.082834408420128277037430462	(10,5)
0.082836836308753305467077982	(10,6)
0.082840892921540760638814507	(10,7)
0.082847093067537650893494543	(10,8)
0.082855954143515429680690894	(10,9)
0.082867965189587410405912906	(10,10)
0.082883556260554751174322845	(10,11)
0.082903069513708146817731265	(10,12)
0.082926733338356937852100869	(10,13)
0.082954640725767246411589316	(10,14)
0.08298673290741148538291991	(10,15)
0.083022789081697266155472596	(10,16)
0.083062422811770394597889918	(10,17)
0.083105085416486983488477778	(10,18)
0.083150076400144364077198071	(10,19)
0.083196560681395315919161314	(10,20)
0.083243592096200435089852584	(10,21)
0.083290142373254500590143041	(10,22)
0.08333513452405628082295771	(10,23)
0.083377479365918304189822616	(10,24)
0.083416113717606759919795694	(10,25)
0.083450038686490882574500631	(10,26)
0.083478356414010811176910307	(10,27)
0.083500303670964825381754948	(10,28)
0.083515280799430014246831623	(10,29)
0.08352287468281956040987064	(10,30)
0.08435153496625426285876264	(11,1)
0.084351575678829011849846789	(11,2)
0.084351850218827874875968934	(11,3)
0.084352734246890840010341408	(11,4)
0.084354765332015705034080942	(11,5)
0.084358613220525366781283436	(11,6)
0.084365042409221636909782981	(11,7)
0.084374868771917962191282191	(11,8)
0.084388912253105363080079535	(11,9)
0.084407947810966947740675491	(11,10)
0.084432656861038767409069329	(11,11)
0.084463581443594099814692237	(11,12)
0.084501083218646247099053635	(11,13)
0.084545309191609454096532936	(11,14)
0.084596165801060795155492788	(11,15)
0.084653302669230092740325064	(11,16)
0.084716106937280216265099861	(11,17)
0.084783708692384908675758523	(11,18)
0.084854997553399497956725153	(11,19)
0.08492865002855909613702851	(11,20)
0.085003166805511270155598029	(11,21)
0.085076918696413864632953969	(11,22)
0.085148199556253226599695418	(11,23)
0.085215284140206637569303294	(11,24)
0.08527648858588028554413686	(11,25)
0.085330231018046453833418892	(11,26)
0.085375089693975339929039611	(11,27)
0.085409856148897986642320705	(11,28)
0.085433580969330450036044658	(11,29)
0.08544561011476736873190476	(11,30)
0.082412292091631253370235891	(12,1)
0.082412352717907658280201709	(12,2)
0.082412761543340704985584808	(12,3)
0.082414077974495708859784659	(12,4)
0.082417102517603059569684325	(12,5)
0.082422832499262584645685377	(12,6)
0.082432406321271006243692386	(12,7)
0.082447038853070912880648102	(12,8)
0.0824679509609158987888104	(12,9)
0.082496296425877524897479846	(12,10)
0.082533089607956064436015565	(12,11)
0.082579137173351636104411233	(12,12)
0.082634977025329755723419218	(12,13)
0.082700827279518993039369161	(12,14)
0.082776547718028545700646267	(12,15)
0.082861615660754931455037867	(12,16)
0.082955117624157004703513754	(12,17)
0.083055757515035611613737241	(12,18)
0.083161881447120668308533782	(12,19)
0.083271518590203759197984631	(12,20)
0.083382436785714817580143028	(12,21)
0.083492211012194507459319155	(12,22)
0.083598302185053217366268368	(12,23)
0.083698143255635360065990595	(12,24)
0.083789229164181788205598169	(12,25)
0.083869206927884657958333797	(12,26)
0.083935962033066172550931625	(12,27)
0.083987697367007658335418122	(12,28)
0.084023001178041107385301038	(12,29)
0.08404090098857673474018123	(12,30)
0.077350240197481251877991294	(13,1)
0.077350325753890603951567949	(13,2)
0.077350902692362558512071291	(13,3)
0.077352760452012220739617103	(13,4)
0.077357028709370448399582681	(13,5)
0.077365114880571549979128364	(13,6)
0.077378625432591478201964143	(13,7)
0.077399274675391822091177145	(13,8)
0.077428785267954366726839881	(13,9)
0.077468785032080758195605934	(13,10)
0.077520704820171937474014117	(13,11)
0.077585682129648143022114027	(13,12)
0.077664474908901743065586678	(13,13)
0.077757389575982215130895325	(13,14)
0.077864226694068180848753849	(13,15)
0.07798424704180968608906795	(13,16)
0.078116160007263299582637026	(13,17)
0.078258135347136070061967308	(13,18)
0.078407838414714935784516875	(13,19)
0.078562487997884985575231346	(13,20)
0.078718934953131658617123492	(13,21)
0.078873758905671018008568898	(13,22)
0.079023379446520918555962824	(13,23)
0.07916417753369982326468397	(13,24)
0.07929262223691614052226383	(13,25)
0.079405397591177909102667836	(13,26)
0.079499524177229360571433599	(13,27)
0.079572470148696863056722696	(13,28)
0.079622246787362485670068151	(13,29)
0.07964748428335544392158762	(13,30)
0.069732471352584394120880601	(14,1)
0.069732586590025698326399482	(14,2)
0.069733363678536732756465433	(14,3)
0.069735865926018448987198486	(14,4)
0.06974161490466919131563793	(14,5)
0.06975250625545964953509353	(14,6)
0.069770703668985078145211423	(14,7)
0.069798515984946705721836552	(14,8)
0.069838263112740507658357453	(14,9)
0.069892136967621917805408463	(14,10)
0.069962063828251603873094116	(14,11)
0.07004957445421403881788984	(14,12)
0.070155687970644880475989428	(14,13)
0.07028081495498293862080224	(14,14)
0.070424684377924852172656394	(14,15)
0.070586298090446870741200616	(14,16)
0.070763915446711410750903726	(14,17)
0.070955069445295795249428143	(14,18)
0.071156614496076368229488587	(14,19)
0.071364804616699214479667654	(14,20)
0.071575399573073492854571074	(14,21)
0.07178379524845734216491689	(14,22)
0.071985173404758264351345679	(14,23)
0.072174665039480649219737118	(14,24)
0.072347520794444334173312971	(14,25)
0.072499281386883731724910189	(14,26)
0.07262594085111027498315986	(14,27)
0.072724095528439611622859809	(14,28)
0.0727910722364412243862909	(14,29)
0.07282502987718472738795082	(14,30)
0.060262073978823885381911789	(15,1)
0.060262223026829601905692937	(15,2)
0.060263228112256082834199308	(15,3)
0.060266464514346816417171057	(15,4)
0.060273900220432751089849876	(15,5)
0.060287987004827885539143939	(15,6)
0.060311523258909372362788819	(15,7)
0.060347494959864771193322091	(15,8)
0.060398902155118444431473287	(15,9)
0.060468578984116317379417252	(15,10)
0.060559015541158249151745999	(15,11)
0.060672189802953666432794704	(15,12)
0.060809417419026125663081206	(15,13)
0.060971226421005414774611843	(15,14)
0.061157262886239063020502514	(15,15)
0.061366232335964458195927839	(15,16)
0.061595880206052647182912583	(15,17)
0.061843013148890938692004114	(15,18)
0.06210356126004600357442744	(15,19)
0.06237267962692534556486661	(15,20)
0.062644885925631449357193368	(15,21)
0.062914229206885586760138453	(15,22)
0.063174483575811180184603927	(15,23)
0.063419359248952167045653459	(15,24)
0.063642722529851601230268858	(15,25)
0.063838815641719393661243713	(15,26)
0.0640024671421082818592549	(15,27)
0.064129283854376845459730725	(15,28)
0.064215815897243885165760131	(15,29)
0.06425968746476148811213639	(15,30)
0.049680564557285833505565032	(16,1)
0.049680750665621105357805015	(16,2)
0.049682005662229851644950929	(16,3)
0.049686046782360756238843892	(16,4)
0.049695331330599847229688626	(16,5)
0.049712920647208198590294867	(16,6)
0.049742308772697162278815939	(16,7)
0.049787223780068426073764333	(16,8)
0.049851410987918607922323834	(16,9)
0.049938408083486616685815289	(16,10)
0.050051322548206809031316913	(16,11)
0.050192621687462658475397433	(16,12)
0.050363945038940552716946982	(16,13)
0.050565948004504220033835811	(16,14)
0.050798184265561404369678146	(16,15)
0.051059032957098843871871005	(16,16)
0.051345674752574519283378916	(16,17)
0.051654119016384915076362909	(16,18)
0.051979282081356899124715799	(16,19)
0.052315114576974742168176031	(16,20)
0.052654773643863945463294288	(16,21)
0.052990833898137421948186482	(16,22)
0.053315529234444718698767136	(16,23)
0.053621016058416923591168767	(16,24)
0.053899647394784164477086599	(16,25)
0.054144246597106887807557874	(16,26)
0.054348369146690838889632373	(16,27)
0.054506541310851047986110652	(16,28)
0.054614465248097910954349144	(16,29)
0.05466918148366173042021838	(16,30)
0.038683919138434428363568812	(17,1)
0.038684144551861244216813716	(17,2)
0.038685664596805669356426622	(17,3)
0.038690559175824222857679905	(17,4)
0.038701804542504406542417001	(17,5)
0.038723108501638419628261767	(17,6)
0.038758702816378378651123092	(17,7)
0.038813102467182025634998525	(17,8)
0.038890842923955715119037313	(17,9)
0.038996207594495796926676491	(17,10)
0.039132958066614638186007605	(17,11)
0.039304079662417179215737644	(17,12)
0.039511554189467632599818818	(17,13)
0.039756170644086397770469055	(17,14)
0.040037383052408675799487577	(17,15)
0.040353222693487435245183657	(17,16)
0.04070026971322586303747646	(17,17)
0.041073686692273656120551852	(17,18)
0.041467314163535929344400332	(17,19)
0.04187382547686399420829064	(17,20)
0.042284935873076891546870055	(17,21)
0.042691658251224900584892113	(17,22)
0.043084595986734286487730999	(17,23)
0.043454261377029668968962869	(17,24)
0.043791406944156163913029653	(17,25)
0.044087355990528243103486119	(17,26)
0.044334318548939083091796074	(17,27)
0.044525679234169180443222094	(17,28)
0.044656244504786317829494131	(17,29)
0.04472243845905580625764176	(17,30)
0.027862394835074058093739268	(18,1)
0.027862660805510420212706126	(18,2)
0.027864454340831036262722298	(18,3)
0.027870229561124985294414523	(18,4)
0.027883498191397981788080951	(18,5)
0.027908635067348527433135828	(18,6)
0.027950633106568189416090687	(18,7)
0.028014819116231103363648904	(18,8)
0.028106543609828102767131765	(18,9)
0.028230859003420192040956707	(18,10)
0.028392201114511045710209423	(18,11)
0.0285940887830468705266196	(18,12)
0.028838855692000701476116848	(18,13)
0.029127427127639005291638762	(18,14)
0.029459152551524347175326766	(18,15)
0.029831702539509431637284295	(18,16)
0.030241035972548275806311804	(18,17)
0.030681440444548714071170332	(18,18)
0.031145645794082636663042825	(18,19)
0.031625007582958330241175938	(18,20)
0.032109754349619038677813581	(18,21)
0.032589289672256491673827528	(18,22)
0.033052537596065614799662069	(18,23)
0.033488317917442449405399736	(18,24)
0.033885736274144022933555653	(18,25)
0.034234573052023602710503737	(18,26)
0.034525654856112347445232455	(18,27)
0.034751192752146013024490131	(18,28)
0.034905072677486590299705124	(18,29)
0.03498308532211578442921485	(18,30)
0.0176677989688171659907386976	(19,1)
0.0176681058806104807513920731	(19,2)
0.0176701754980036534187934618	(19,3)
0.0176768397037298558488603794	(19,4)
0.017692150761691049642306787	(19,5)
0.017721156834489607663285942	(19,6)
0.017769619139340173773100464	(19,7)
0.017843683853487775894505722	(19,8)
0.017949523972875788496095538	(19,9)
0.018092967728508527849953864	(19,10)
0.018279130821699121773784317	(19,11)
0.018512069634849271242066822	(19,12)
0.018794471724478527733543906	(19,13)
0.019127398354349589832332964	(19,14)
0.019510091652119678423595415	(19,15)
0.019939856269086678270274034	(19,16)
0.020412022303326315185759518	(19,17)
0.020919992838694870736140885	(19,18)
0.021455375890347229439723292	(19,19)
0.022008196969045737485250603	(19,20)
0.022567185017957257489877244	(19,21)
0.0231201212690621246952206	(19,22)
0.023654237737639021048887024	(19,23)
0.024156649740352151142092895	(19,24)
0.024614805092702520004101511	(19,25)
0.025016931608540636430141684	(19,26)
0.025352464262133710143763915	(19,27)
0.025612433929457037205714558	(19,28)
0.025789801012545079129169893	(19,29)
0.02587971943886378478011775	(19,30)
0.0084060454635633085643336631	(20,1)
0.0084063930297618548237516092	(20,2)
0.0084087367941115336132713881	(20,3)
0.0084162837530173975963211367	(20,4)
0.0084336229134149749407742628	(20,5)
0.0084664710193178863120671955	(20,6)
0.0085213521319815638115103508	(20,7)
0.0086052259000545058065658737	(20,8)
0.0087250817415037060548466898	(20,9)
0.0088875177660897900606973507	(20,10)
0.0090983240323754329553332057	(20,11)
0.0093620896316542783793497178	(20,12)
0.0096818521355692453056193528	(20,13)
0.0100588061833423168453253696	(20,14)
0.0104920855003134238894129341	(20,15)
0.01097862954262152395399967	(20,16)
0.011513142387533987093030855	(20,17)
0.012088147586174063830317847	(20,18)
0.012694138625845733380817072	(20,19)
0.013319820575895744220543392	(20,20)
0.013952434573440506086999467	(20,21)
0.01457815319440440609942606	(20,22)
0.015182531591218747425959567	(20,23)
0.015750996688753440104905816	(20,24)
0.01626935482832255964852206	(20,25)
0.016724297133413937860657689	(20,26)
0.017103881616801653322347988	(20,27)
0.017397971705638407635903956	(20,28)
0.0175986124409326648672202	(20,29)
0.01770032807676390602765433	(20,30)
0.0002489512922290840772905508	(21,1)
0.0002493387756203599195968468	(21,2)
0.0002519517155393884109968057	(21,3)
0.0002603654185291900180529266	(21,4)
0.0002796958937781011262355629	(21,5)
0.0003163163153367789751984801	(21,6)
0.0003774996811624055148038003	(21,7)
0.0004710041966116145271863241	(21,8)
0.0006046205868488707605361041	(21,9)
0.0007857023574019039209622761	(21,10)
0.0010207008991624887062593729	(21,11)
0.00131472723949730468826829	(21,12)
0.001671161183126914535651465	(21,13)
0.0020913266151720057514304904	(21,14)
0.0025742489441635135662674936	(21,15)
0.0031165071706555416877261587	(21,16)
0.0037121890328832506688348055	(21,17)
0.0043529532815925327207764226	(21,18)
0.0050281985602536406279920275	(21,19)
0.005725333804440467981458672	(21,20)
0.006430140708086713396905194	(21,21)
0.007127214804011098371314359	(21,22)
0.007800468224147904472084391	(21,23)
0.008433674376318269405774329	(21,24)
0.00901103271666878044531773	(21,25)
0.00951773060942151552191114	(21,26)
0.009940479026105223151086601	(21,27)
0.010267999594473369857770492	(21,28)
0.010491442274581820327748574	(21,29)
0.01060471567963853387280085	(21,30)
-0.0067423038181255488562776481	(22,1)
-0.0067418773979120644371520891	(22,2)
-0.0067390018935147534536329975	(22,3)
-0.0067297427354286857415667274	(22,4)
-0.0067084698635900055177106047	(22,5)
-0.0066681698251502173509748065	(22,6)
-0.0066008391581425889062788324	(22,7)
-0.0064979408865369051681145711	(22,8)
-0.0063509029868250132783290224	(22,9)
-0.0061516356632282464078087685	(22,10)
-0.0058930432767039815613841092	(22,11)
-0.0055695068564770876296300456	(22,12)
-0.0051773142793734071153948056	(22,13)
-0.0047150173814303918287248226	(22,14)
-0.0041836983705582657858501209	(22,15)
-0.0035871317971335396333448014	(22,16)
-0.0029318328331919407155315239	(22,17)
-0.0022269875057424374987708655	(22,18)
-0.0014842656074305577185736271	(22,19)
-0.0007175220499938697525510974	(22,20)
0.0000576027739756528448891505	(22,21)
0.000824168684272107943501785	(22,22)
0.001564488745506234089389656	(22,23)
0.002260727875634471462196935	(22,24)
0.002895523070701454784095922	(22,25)
0.003452600038609326037593344	(22,26)
0.003917360814607245063549138	(22,27)
0.004277417788418536254781976	(22,28)
0.004523051519839020433448152	(22,29)
0.00464757271871172418194283	(22,30)
-0.0125891330457123108166781209	(23,1)
-0.0125886687438628415546615174	(23,2)
-0.0125855377905910413763959522	(23,3)
-0.0125754560909760625747387951	(23,4)
-0.0125522934735197675799829222	(23,5)
