b^1^2_1_(sigma,mu)
-0.0054618635072505839725455425	(1,1)
-0.0490669957925358351299923547	(1,2)
-0.1357996373978435900837927726	(1,3)
-0.2647101852101378874465792279	(1,4)
-0.4343882212135777341441991989	(1,5)
-0.6429789672399189265300662924	(1,6)
-0.8882046987248213076233022217	(1,7)
-1.1673907099973556751491441897	(1,8)
-1.477495370923100977559631999	(1,9)
-1.815143787612420459857784964	(1,10)
-2.176664577287235789752576025	(1,11)
-2.558129285860130742298298323	(1,12)
-2.955394010969767961820590382	(1,13)
-3.364142836412277465315028084	(1,14)
-3.779932728712955822735238566	(1,15)
-4.198239585700523584136944176	(1,16)
-4.614505153949156371273043744	(1,17)
-5.024184541965006155811794822	(1,18)
-5.422794046221576434987153599	(1,19)
-5.805958977210745992310415801	(1,20)
-6.169461124690332793931381397	(1,21)
-6.509285439726907771856879922	(1,22)
-6.82166544234191421641480104	(1,23)
-7.10312679529503335745254731	(1,24)
-7.350528425102662351225992748	(1,25)
-7.561100528897634884778835261	(1,26)
-7.73247878727584691497926865	(1,27)
-7.862734114195385705680946	(1,28)
-7.95039731834302154400041298	(1,29)
-7.9944781265592876865461584	(1,30)
-0.0054618607775496690927062353	(2,1)
-0.0490669712699588372045940958	(2,2)
-0.1357995695257038342615821288	(2,3)
-0.2647100528930148641771191001	(2,4)
-0.4343880040214847007854716468	(2,5)
-0.6429786455842059777207145542	(2,6)
-0.8882042540016848693275681138	(2,7)
-1.167390124698421163389482588	(2,8)
-1.47749462871610053993105666	(2,9)
-1.815142873398165273476672694	(2,10)
-2.176663477241653211118382517	(2,11)
-2.558127987471974376041881643	(2,12)
-2.955392503085650788665128056	(2,13)
-3.364141109300870159705903372	(2,14)
-3.779930774159440715784780556	(2,15)
-4.198237397140550150758638009	(2,16)
-4.614502726648430393463558127	(2,17)
-5.024181873246131906343405828	(2,18)
-5.422791135733877248887143371	(2,19)
-5.805955827231779568433621043	(2,20)
-6.169457740440272190622601212	(2,21)
-6.50928182966976635478052176	(2,22)
-6.821661618441866432516567773	(2,23)
-7.10312277319299575316901434	(2,24)
-7.350524224178862196282775927	(2,25)
-7.561096172190726394590999809	(2,26)
-7.73247430123827472766361461	(2,27)
-7.86272952827749766425402168	(2,28)
-7.95039266441359545450840961	(2,29)
-7.9944734381858535301930347	(2,30)
-0.0054618418611101994459855328	(3,1)
-0.0490668013321361387901177286	(3,2)
-0.1357990991846645096533238906	(3,3)
-0.2647091359782172809754535106	(3,4)
-0.4343864990175103058785299299	(3,5)
-0.6429764169008331730835827391	(3,6)
-0.8882011730431292800645711608	(3,7)
-1.1673860707254972894041488754	(3,8)
-1.477489489515592958466446462	(3,9)
-1.815136545792081396921340824	(3,10)
-2.176655867484109986837104103	(3,11)
-2.558119011592714588360962199	(3,12)
-2.955382087246378274763421841	(3,13)
-3.364129190233447380848550692	(3,14)
-3.779917299752807738707642685	(3,15)
-4.198222327234785041511284164	(3,16)
-4.614486034078154585380357032	(3,17)
-5.024163545150165820050168224	(3,18)
-5.422771175113310146603438783	(3,19)
-5.805934254695738761421465704	(3,20)
-6.169434596031114429165075825	(3,21)
-6.5092571746128010574840451	(3,22)
-6.82163553662632650007791347	(3,23)
-7.103095372168613420215589909	(3,24)
-7.350495635452974895363510996	(3,25)
-7.561066550638733506268950886	(3,26)
-7.73244382349610725472584893	(3,27)
-7.86269839006467651707604817	(3,28)
-7.95036107683119373013514511	(3,29)
-7.9944416231336183874468261	(3,30)
-0.0054617784120210940795902226	(4,1)
-0.0490662313312928108748585553	(4,2)
-0.13579752159290846026560154	(4,3)
-0.2647060605978435947007730259	(4,4)
-0.4343814514727702386025252212	(4,5)
-0.6429689431406400774503199496	(4,6)
-0.8881908432824404662070177941	(4,7)
-1.1673724827922907746149820058	(4,8)
-1.477472271619722614858264933	(4,9)
-1.815115358776671233093302712	(4,10)
-2.176630406657734238596080919	(4,11)
-2.558089008271246441483665129	(4,12)
-2.955347310157422615917572475	(4,13)
-3.364089446953143861787419603	(4,14)
-3.779872438351908983180331773	(4,15)
-4.198172238303323393181975693	(4,16)
-4.614430653269150374600651284	(4,17)
-5.024102856326384030697197472	(4,18)
-5.422705214093505525955854503	(4,19)
-5.805863113479952190268221559	(4,20)
-6.169358427247343959369622011	(4,21)
-6.509176195786171542698648594	(4,22)
-6.821550033749014720560651122	(4,23)
-7.103005701969037104712453052	(4,24)
-7.350402225748708271180330022	(4,25)
-7.560969898224593767275523427	(4,26)
-7.73234448917065046264012802	(4,27)
-7.86259699062476486796431322	(4,28)
-7.95025827414136613952713941	(4,29)
-7.9943381106699034937791441	(4,30)
-0.0054616252235046666631565081	(5,1)
-0.049064855149826334605341842	(5,2)
-0.1357937127706424208895505943	(5,3)
-0.2646986358513777961191377897	(5,4)
-0.4343692662790253647208044377	(5,5)
-0.6429509032623504966802304941	(5,6)
-0.888165915241217699878633626	(5,7)
-1.1673397031765634727831786104	(5,8)
-1.477430755181366750260642983	(5,9)
-1.815064305330608872872420434	(5,10)
-2.176569106854451804079082453	(5,11)
-2.558016848367115892677613137	(5,12)
-2.955263775965619471425403648	(5,13)
-3.363994127218618589816102344	(5,14)
-3.779765027850338316506785647	(5,15)
-4.198052541001848315464585839	(5,16)
-4.614298585886164276139008331	(5,17)
-5.023958452568090737845916341	(5,18)
-5.42254862971154519565474012	(5,19)
-5.805694632084499856935063194	(5,20)
-6.169178466538228772841291154	(5,21)
-6.508985313563706400827582238	(5,22)
-6.821348932784674165931629898	(5,23)
-7.102795232610018382501471341	(5,24)
-7.350183385053020879481285206	(5,25)
-7.56074382451327348267563269	(5,26)
-7.73211245115480746634290978	(5,27)
-7.86236037070041204256080391	(5,28)
-7.95001854599623983808936574	(5,29)
-7.9940968119408537940562583	(5,30)
-0.0054613192752369609221448527	(6,1)
-0.0490621066423852986029081079	(6,2)
-0.1357861058648919241714931602	(6,3)
-0.2646838077191802543150786213	(6,4)
-0.43434493255792658759264823	(6,5)
-0.6429148823041601830362246062	(6,6)
-0.8881161508276362443555045747	(6,7)
-1.1672742854148281262417720919	(6,8)
-1.477347939326541009266870353	(6,9)
-1.814962528314008933943484747	(6,10)
-2.176447001342910987724949314	(6,11)
-2.557873254251849812485668978	(6,12)
-2.95509774929528028804757474	(6,13)
-3.363804946750383549934364057	(6,14)
-3.779552199580329955771108693	(6,15)
-4.197815801218361762186208489	(6,16)
-4.614037903418740695872912905	(6,17)
-5.023674030931084980130862544	(6,18)
-5.422240909720664676661260084	(6,19)
-5.805364295240479170142431838	(6,20)
-6.168826439039038617090109792	(6,21)
-6.508612770279035328239991614	(6,22)
-6.820957299990319701307366053	(6,23)
-7.102386187840860136584426875	(6,24)
-7.349758852195827659032543948	(6,25)
-7.560305962305223891663151492	(6,26)
-7.73166363361682490132675818	(6,27)
-7.86190315869630667589009268	(6,28)
-7.94955564999132148409347627	(6,29)
-7.9936310470119186828945532	(6,30)
-0.0054607816220524226093164045	(7,1)
-0.049057276602819486181698334	(7,2)
-0.1357727381013738453265214131	(7,3)
-0.2646577505436512187053507622	(7,4)
-0.4343021736276597937522221823	(7,5)
-0.642851592932970550768343328	(7,6)
-0.8880287283886229254656782277	(7,7)
-1.1671593932442327115566365807	(7,8)
-1.477202543460168254337548895	(7,9)
-1.814783930323767012472068915	(7,10)
-2.176232866529247536261204417	(7,11)
-2.55762163452900833375365263	(7,12)
-2.954807100310751883727698441	(7,13)
-3.363474139113551556626745865	(7,14)
-3.779180524509310343452332556	(7,15)
-4.197402971382825536053150058	(7,16)
-4.613584050165817602871105446	(7,17)
-5.023179699326515749701788828	(7,18)
-5.421707052827638801335580073	(7,19)
-5.804792268743456666053169633	(7,20)
-6.168217996708642873759311944	(7,21)
-6.507970059944376613901756708	(7,22)
-6.820282858775538856466578699	(7,23)
-7.101682934610466798266740944	(7,24)
-7.349030074619953725730142747	(7,25)
-7.559555295847806804723156221	(7,26)
-7.73089503014372190371852319	(7,27)
-7.86112084328072439553335224	(7,28)
-7.94876406574843138994130336	(7,29)
-7.9928347892305816202487832	(7,30)
-0.0054599236699662062224125802	(8,1)
-0.0490495691434529198836867949	(8,2)
-0.1357514067888345545616845712	(8,3)
-0.2646161709165270449392649757	(8,4)
-0.4342339448990547770886301531	(8,5)
-0.6427506102358479491825163178	(8,6)
-0.8878892526859897357624451279	(8,7)
-1.1669761178837008487000390917	(8,8)
-1.476970656103224855494331581	(8,9)
-1.814499168767785835034853148	(8,10)
-2.175891566838855549662665385	(8,11)
-2.55722076997886810704966127	(8,12)
-2.954344309969674206953749584	(8,13)
-3.362947745482138347959384405	(8,14)
-3.778589540412112938534432908	(8,15)
-4.196747097200125555224709738	(8,16)
-4.612863663308758997134035236	(8,17)
-5.022395838431639625411835234	(8,18)
-5.420861399312664081233215076	(8,19)
-5.803887128027989738213725544	(8,20)
-6.167256280560025315630396949	(8,21)
-6.506955270169380464977014947	(8,22)
-6.819219071053084368691181524	(8,23)
-7.100574779924897560806172922	(8,24)
-7.347882714796838204932188344	(8,25)
-7.558374389353581931582912223	(8,26)
-7.72968668472051469450909756	(8,27)
-7.85989155314046438888303248	(8,28)
-7.94752063278837917779605394	(8,29)
-7.9915842297726119880816133	(8,30)
-0.0054586584828103534100002232	(9,1)
-0.0490382032655237544048812114	(9,2)
-0.1357199503649590264387462081	(9,3)
-0.2645548551102925746609398729	(9,4)
-0.4341333306887631565691970733	(9,5)
-0.6426016949179137295872365376	(9,6)
-0.8876835729191141362198547149	(9,7)
-1.1667058477707186844018612654	(9,8)
-1.47662869844280392644538038	(9,9)
-1.814079237297583299131861572	(9,10)
-2.175388257144122076001403232	(9,11)
-2.556629616867652173696972352	(9,12)
-2.953661829599433745152947715	(9,13)
-3.362171461380297323927910172	(9,14)
-3.777717993694120186718398734	(9,15)
-4.195779842588936061793536014	(9,16)
-4.611801253762309979881232731	(9,17)
-5.021239802023565539645931226	(9,18)
-5.419614212250502103319127986	(9,19)
-5.802552187189642552712961737	(9,20)
-6.165837877682191665184893918	(9,21)
-6.505458567993007260015823621	(9,22)
-6.817650079630735025608437747	(9,23)
-7.098940329330031030197351576	(9,24)
-7.346190419069546593050821968	(9,25)
-7.556632596022278200882525879	(9,26)
-7.72790440485019705085111821	(9,27)
-7.85807836856260965784553791	(9,28)
-7.94568657973231204683629831	(9,29)
-7.989739661126135489086938	(9,30)
-0.0054569162489308113183055015	(10,1)
-0.049022551800377534620211637	(10,2)
-0.1356766328445375041473189522	(10,3)
-0.2644704179026788122697485052	(10,4)
-0.4339947708923914012409264815	(10,5)
-0.642396603004539899884606494	(10,6)
-0.8874002687574954441710685021	(10,7)
-1.1663335081692073269971574608	(10,8)
-1.476157474174746018905706713	(10,9)
-1.81350035743653278700646007	(10,10)
-2.174694118549873394151520591	(10,11)
-2.555813856953494440098220081	(10,12)
-2.952719381168931096708847548	(10,13)
-3.361098589365135705822539532	(10,14)
-3.776512314961224881185696702	(10,15)
-4.194440331407658510912490231	(10,16)
-4.610328236734173205187191418	(10,17)
-5.019634946949765614787030484	(10,18)
-5.417880515265904607705567121	(10,19)
-5.80069396137595896228260821	(10,20)
-6.163860744329702357571710623	(10,21)
-6.503369448969627690158358385	(10,22)
-6.815457186392475490053302033	(10,23)
-7.096653141540025547297629529	(10,24)
-7.343819644163825955234059961	(10,25)
-7.554190100832158074181898131	(10,26)
-7.7254031117979794546404422	(10,27)
-7.85553211192474506875131982	(10,28)
-7.94310992163768574594022437	(10,29)
-7.9871476716965271782005723	(10,30)
-0.0054546611553304053818631589	(11,1)
-0.0490022929940237364589366912	(11,2)
-0.1356205632502373089064388781	(11,3)
-0.2643611195312421301555534633	(11,4)
-0.4338153992309500269113735585	(11,5)
-0.6421310600555951442882994029	(11,6)
-0.8870333621588922273515516111	(11,7)
-1.1658510945909153037060583894	(11,8)
-1.475546585912492083152325308	(11,9)
-1.812749311787423511195841847	(11,10)
-2.173792610201220947666970853	(11,11)
-2.554753034317464897611612166	(11,12)
-2.951491908415486467205131145	(11,13)
-3.359698696844495408112852321	(11,14)
-3.774935841663568822408802029	(11,15)
-4.192684763869642639846572077	(11,16)
-4.608392749074895297521533829	(11,17)
-5.017520446194532746933401503	(11,18)
-5.415589694563333374714895247	(11,19)
-5.798231361072320270398066294	(11,20)
-6.161232817313058472448956114	(11,21)
-6.50058462267321290257923776	(11,22)
-6.812525910006260552130993399	(11,23)
-7.093587904088445479700463948	(11,24)
-7.34063494789839570785615819	(11,25)
-7.550902375396285969347367073	(11,26)
-7.72203055804919139947944673	(11,27)
-7.85209446993153189864317959	(11,28)
-7.93962816457023962431592137	(11,29)
-7.9836436351341366532804174	(11,30)
-0.0054519052321134506933968855	(12,1)
-0.0489775348751910536427911962	(12,2)
-0.1355520397363663378692300736	(12,3)
-0.2642275359696774387858446447	(12,4)
-0.433596141234279293373337564	(12,5)
