a^2^1^1_1_(sigma,mu)
2.28420890676438626146e-9	(1,1)
2.052033217440419578743e-8	(1,2)
5.679277992680153998326e-8	(1,3)
1.1070414363478049582134e-7	(1,4)
1.8166375911260398842491e-7	(1,5)
2.6889417795671731917569e-7	(1,6)
3.7143968543131747454514e-7	(1,7)
4.8817677147730125565682e-7	(1,8)
6.1782644012232157339243e-7	(1,9)
7.5896822242774429802944e-7	(1,10)
9.1005573944392946716348e-7	(1,11)
1.06943364466295693733421e-6	(1,12)
1.23535576034374801602914e-6	(1,13)
1.40600420900410587078466e-6	(1,14)
1.5795093304708321031267e-6	(1,15)
1.75397016627224575939082e-6	(1,16)
1.92747528694144252984751e-6	(1,17)
2.09812373404159731310029e-6	(1,18)
2.26404584746770004931686e-6	(1,19)
2.42342374983609457729638e-6	(1,20)
2.57451126353028851315232e-6	(1,21)
2.71565304218754864504783e-6	(1,22)
2.845302707017677204091e-6	(1,23)
2.96203978924876913006212e-6	(1,24)
3.06458529307520642002246e-6	(1,25)
3.1518157085973281157547e-6	(1,26)
3.22277532122451820481834e-6	(1,27)
3.27668668267780837699245e-6	(1,28)
3.31295912887000230494803e-6	(1,29)
3.33119525134011246390756e-6	(1,30)
2.054848383782503526666e-8	(2,1)
1.8459857711146218853829e-7	(2,2)
5.1090139635581834392699e-7	(2,3)
9.9588189879711032029573e-7	(2,4)
1.63422653417844076272002e-6	(2,5)
2.41894145990555071568544e-6	(2,6)
3.34142916571658893327499e-6	(2,7)
4.39158266857094799450296e-6	(2,8)
5.55789624595268565364846e-6	(2,9)
6.82759149456409605586361e-6	(2,10)
8.18675733343181748168234e-6	(2,11)
9.62050241760579022645057e-6	(2,12)
0.00001111311829258126133564899	(2,13)
0.00001264825150181421501367329	(2,14)
0.00001420908276152973926202848	(2,15)
0.00001577851123952480623989347	(2,16)
0.00001733934191869815280539229	(2,17)
0.0000188744739922191949627319	(2,18)
0.00002036708822594901689901918	(2,19)
0.00002180083123507383117921848	(2,20)
0.00002315999465577840436154255	(2,21)
0.00002442968724879793505784383	(2,22)
0.00002559599804922111869603255	(2,23)
0.00002664614877511664540426678	(2,24)
0.00002756863382533501704516951	(2,25)
0.00002835334633289781940036607	(2,26)
0.00002899168889322866000162927	(2,27)
0.00002947666775442302961287579	(2,28)
0.00002980296943795447938740564	(2,29)
0.00002996701895068539435200168	(2,30)
5.702628325558602369452e-8	(3,1)
5.1229914707502738654963e-7	(3,2)
1.41785680671362626082607e-6	(3,3)
2.76377776580235469790953e-6	(3,4)
4.53531578175006132173339e-6	(3,5)
6.71306140254392350030423e-6	(3,6)
9.27315459228882212552205e-6	(3,7)
0.00001218754612042206261325423	(3,8)
0.00001542430485534885781360056	(3,9)
0.00001894796759984367989538604	(3,10)
0.000022719927638504951822506	(3,11)
0.00002669885774204245488939532	(3,12)
0.00003084116299401441020173909	(3,13)
0.00003510145847713416409282283	(3,14)
0.00003943306658221434373878197	(3,15)
0.00004378852848638922739191784	(3,16)
0.00004812012419098152516971504	(3,17)
0.00005238039541508938485694242	(3,18)
0.00005652266560976622089656694	(3,19)
0.00006050155138990450748014232	(3,20)
0.0000642734597762151192674796	(3,21)
0.00006779706579686986361805449	(3,22)
0.00007103376521557552424608268	(3,23)
0.00007394809742751158729057497	(3,24)
0.00007650813389348413704110286	(3,25)
0.00007868582786202712843592215	(3,26)
0.0000804573215546902136786411	(3,27)
0.00008180320745659340909302629	(3,28)
0.00008270874085730574288438623	(3,29)
0.00008316400132068416862476318	(3,30)
1.1160795702718280710178e-7	(4,1)
1.00263699249564065979853e-6	(4,2)
2.77493273867430455491257e-6	(4,3)
5.40907742416655232741705e-6	(4,4)
8.87621042762231491640769e-6	(4,5)
0.00001313834428530724134408794	(4,6)
0.00001814878067661356597766979	(4,7)
0.00002385262186360764982668343	(4,8)
0.00003018737201544880688253763	(4,9)
0.00003708362186026058209898923	(4,10)
0.00004446580918689048427819068	(4,11)
0.00005225304687770966228214223	(4,12)
0.00006036000940140150145742698	(4,13)
0.00006869786804104769664047203	(4,14)
0.00007717526458625426942778101	(4,15)
0.0000856993127858842874396108	(4,16)
0.0000941766165460843086480077	(4,17)
0.00010251429367101846433880003	(4,18)
0.00011062099388363256913647172	(4,19)
0.00011840789993161395778420424	(4,20)
0.00012578970077839804906856594	(4,21)
0.00013268552619770035954784685	(4,22)
0.00013901983252801686583795946	(4,23)
0.00014472322989467759643163744	(4,24)
0.00014973324186384235934743179	(4,25)
0.00015399498924664363454767793	(4,26)
0.00015746179061296001447734657	(4,27)
0.00016009567299282387360000992	(4,28)
0.00016186778722854854622016414	(4,29)
0.00016275872348134095617134439	(4,30)
1.8408814008139751798569e-7	(5,1)
1.65376720109150322367563e-6	(5,2)
4.57702310364312153106172e-6	(5,3)
8.92182747064436938700863e-6	(5,4)
0.00001464057601317408207462085	(5,5)
0.0000216706092193045667988204	(5,6)
0.00002993489791218157230455629	(5,7)
0.0000393428863169959694375623	(5,8)
0.00004979148355325988079514855	(5,9)
0.00006116619282717045905678063	(5,10)
0.00007334236605801631230744128	(5,11)
0.00008618657025243603399013234	(5,12)
0.00009955805066092448566956306	(5,13)
0.00011331027463185832374208467	(5,14)
0.00012729253913778128773586011	(5,15)
0.00014135162420299592116044382	(5,16)
0.00015533347392405757667088421	(5,17)
0.00016908488645544325681085172	(5,18)
0.00018245519423730814873005352	(5,19)
0.00019529791587231186210348165	(5,20)
0.00020747236141100109845462461	(5,21)
0.0002188451733728803985785327	(5,22)
0.0002292917866018781120198752	(5,23)
0.00023869779101588279765506593	(5,24)
0.0002469601824432524711518745	(5,25)
0.00025398848802577324507151365	(5,26)
0.00025970575408760435367654125	(5,27)
0.00026404938590325897083824265	(5,28)
0.00026697183042508287385985916	(5,29)
0.0002684410947334251291788491	(5,30)
2.7407016239836280034155e-7	(6,1)
2.46212625776866927193526e-6	(6,2)
6.81426529332159340362959e-6	(6,3)
0.00001328280244093921801625831	(6,4)
0.00002179686146679305501428635	(6,5)
0.00003226314839978721247047963	(6,6)
0.00004456697055455500306768727	(6,7)
0.00005857349023898508708294633	(6,8)
0.00007412919991314263235493726	(6,9)
0.00009106360308949142523971216	(6,10)
0.00010919108290465744614371536	(6,11)
0.0001283129380862946600224393	(6,12)
0.0001482195640238309202870337	(6,13)
0.00016869275486925012384357285	(6,14)
0.00018950810108297890340575639	(6,15)
0.00021043745563645395110491356	(6,16)
0.00023125144121742909327604483	(6,17)
0.00025172197027913812769430957	(6,18)
0.00027162474964325285474482855	(6,19)
0.00029074174161195920736040616	(6,20)
0.00030886355415855018082988717	(6,21)
0.00032579173373067206028776785	(6,22)
0.00034134093548878396868032017	(6,23)
0.00035534094738040133045199615	(6,24)
0.00036763854627933262026747977	(6,25)
0.00037809916645705921054788184	(6,26)
0.00038660836285945069487969964	(6,27)
