c^3_2_(sigma,mu)
-0.01452234331042790196976307	(15,13)
-0.01582211109663582210276529	(15,14)
-0.01686390736722756241157917	(15,15)
-0.01759283893893666521852306	(15,16)
-0.01796695269873130683321055	(15,17)
-0.01796104547311103157902573	(15,18)
-0.01756959255020305942836027	(15,19)
-0.01680847578836186413359322	(15,20)
-0.01571528319960425488142674	(15,21)
-0.01434806753105831402107594	(15,22)
-0.01278258032009884783687744	(15,23)
-0.01110812767441384858251313	(15,24)
-0.00942231243092005915902694	(15,25)
-0.00782502375124023251790862	(15,26)
-0.00641210151832762425908797	(15,27)
-0.00526913410184642697409668	(15,28)
-0.0044658424074473279690789	(15,29)
-0.004051461945825342163999	(15,30)
-0.0000367392239578474900923552	(16,1)
-0.0003300378209439137821014514	(16,2)
-0.0009132136864192776581252466	(16,3)
-0.001778774442600528392681692	(16,4)
-0.002913962735420996255655969	(16,5)
-0.004299217362100046863029742	(16,6)
-0.005906559956632952838007619	(16,7)
-0.007698217772800213496830788	(16,8)
-0.009625796177542609438129025	(16,9)
-0.011630278514773532152298481	(16,10)
-0.013643058126722824826704867	(16,11)
-0.015588103889194703785944463	(16,12)
-0.0173852368537995250625169	(16,13)
-0.01895436466684485538951705	(16,14)
-0.02022039707914702758876699	(16,15)
-0.0211184646294811205077433	(16,16)
-0.02159899602505986058117771	(16,17)
-0.02163218673086349640033469	(16,18)
-0.02121141579893096237681028	(16,19)
-0.0203552385478520008497334	(16,20)
-0.01910769261325764428449724	(16,21)
-0.01753679306493224048720161	(16,22)
-0.01573124479384053018198133	(16,23)
-0.01379555218928485897320087	(16,24)
-0.01184384291363941831921798	(16,25)
-0.00999283220122506560130582	(16,26)
-0.00835442768782687169145691	(16,27)
-0.00702850724952933658457746	(16,28)
-0.0060963924547105451519332	(16,29)
-0.00561549022692761133925	(16,30)
-0.0000435683932899338705983392	(17,1)
-0.0003913861473075172554084027	(17,2)
-0.0010829672406943810845406541	(17,3)
-0.002109441846229347207185189	(17,4)
-0.003455726439977349879554446	(17,5)
-0.005098721950078881080631892	(17,6)
-0.007005425808442853340940016	(17,7)
-0.009131322604971986445443487	(17,8)
-0.011419421850809737988260693	(17,9)
-0.013800269125780037992703585	(17,10)
-0.016193170921344354081963636	(17,11)
-0.018508751207441391457900457	(17,12)
-0.02065281126830439734893655	(17,13)
-0.0225313094286185462984888	(17,14)
-0.02405613164075455761073061	(17,15)
-0.0251512050556439158155304	(17,16)
-0.0257584297046600314612053	(17,17)
-0.02584287876553071150457847	(17,18)
-0.02539674998989544707651111	(17,19)
-0.02444163743135625453440563	(17,20)
-0.02302882493986182037592871	(17,21)
-0.02123746715327165627113925	(17,22)
-0.01917070289015240773620685	(17,23)
-0.01694992195921459837160515	(17,24)
-0.01470756273677379690281653	(17,25)
-0.0125789407565842264269271	(17,26)
-0.01069368854126587271223235	(17,27)
-0.00916741916689929712726878	(17,28)
-0.0080942102359496952081959	(17,29)
-0.00754044448166210351556	(17,30)
-0.0000513362778666550761679183	(18,1)
-0.0004611672191251029043338668	(18,2)
-0.001276054680073101356053711	(18,3)
-0.002485562582821321516284971	(18,4)
-0.004071963102388491553754214	(18,5)
-0.006008136611967354665028172	(18,6)
-0.008255372601817856190916801	(18,7)
-0.010761498024302774841942799	(18,8)
-0.013459764238796664775386584	(18,9)
-0.016268874336075922488730762	(18,10)
-0.019094431579744258519733312	(18,11)
