b^2^1_1_(sigma,mu)
-0.00003999494752454820168561002	(1,1)
-0.00035929708796353124819296165	(1,2)
-0.00099440302776257201203224665	(1,3)
-0.00193835441328767365467083893	(1,4)
-0.00318080911546687429186512278	(1,5)
-0.00470815454023972352605502758	(1,6)
-0.00650365677089825706599443075	(1,7)
-0.00854764390829872329055533239	(1,8)
-0.0108177216002445164568555911	(1,9)
-0.0132890183986680455465695076	(1,10)
-0.0159344582564366850382703928	(1,11)
-0.0187250571782563093528876586	(1,12)
-0.0216302407755034685957678658	(1,13)
-0.0246181792457840099849954649	(1,14)
-0.027656136107101782043319683	(1,15)
-0.0307108268658182220358675505	(1,16)
-0.0337487836887437373029672968	(1,17)
-0.0367367220839176903861902579	(1,18)
-0.0396419055726264470738871084	(1,19)
-0.0424325043572195022637774609	(1,20)
-0.045077944055070864219919506	(1,21)
-0.0475492406778755585422543114	(1,22)
-0.0498193181861763446749972844	(1,23)
-0.0518633051399317993413989246	(1,24)
-0.0536588071949714853224978737	(1,25)
-0.0551861524598270381745676295	(1,26)
-0.0564286070247796480441149615	(1,27)
-0.0573725583017663264345488202	(1,28)
-0.0580076641664587627199640661	(1,29)
-0.05832696626850548012378825	(1,30)
-0.00003999867219219417022213576	(2,1)
-0.00035933054870271247259325249	(2,2)
-0.00099449563405196748295396566	(2,3)
-0.00193853492235968448132558129	(2,4)
-0.00318110530889982389719086143	(2,5)
-0.00470859290478925615651063743	(2,6)
-0.00650426218648215879575101287	(2,7)
-0.00854843934708387151105363134	(2,8)
-0.0108187278417941622746840933	(2,9)
-0.0132902537669487483497806539	(2,10)
-0.0159359383850244370417317552	(2,11)
-0.0187267948102136435390549715	(2,12)
-0.0216322456040541744816066188	(2,13)
-0.0246204578010661348793136118	(2,14)
-0.0276586916929595756502629133	(2,15)
-0.0307136595488752974188709059	(2,16)
-0.0337518903400016687171422704	(2,17)
-0.0367400964709977998280517074	(2,18)
-0.0396455384986875761925033833	(2,19)
-0.0424363838407137440350481046	(2,20)
-0.0450820555430012966009085566	(2,21)
-0.0475535672842243748961483179	(2,22)
-0.0498238409467655244481411469	(2,23)
-0.0518680032751973803570182435	(2,24)
