luu122_(sigma,mu)
0.00022136800510179199425082619	(6,22)
0.00022796120887244717375592431	(6,23)
0.0002126611637950231462993352	(6,24)
0.00018055823033575626724002398	(6,25)
0.00013812813963065435328854748	(6,26)
0.000092536357134097457020166	(6,27)
0.00005084424587373337696966483	(6,28)
0.00001921068925230756188041773	(6,29)
2.1860999995674337955061e-6	(6,30)
-0.00166711928614236235708471478	(7,1)
-0.00166691127001868251035319877	(7,2)
-0.00166550882774964860851589079	(7,3)
-0.00166099632014255910052492277	(7,4)
-0.0016506483538666231301250148	(7,5)
-0.00163111931355826014051161919	(7,6)
-0.00159870902046793341670684936	(7,7)
-0.00154970372408976396776374264	(7,8)
-0.00148078008299162065166475824	(7,9)
-0.00138944533431856814780220534	(7,10)
-0.00127447228348865070249597889	(7,11)
-0.00113627636618031691118931859	(7,12)
-0.00097717700177031576183081348	(7,13)
-0.00080148912389507208748962996	(7,14)
-0.00061540413400946449332038846	(7,15)
-0.00042664187937059110799783317	(7,16)
-0.0002438841770729401603735406	(7,17)
-0.00007603200472581216585509623	(7,18)
0.0000686420245162970937562908	(7,19)
0.00018335180737133031731786679	(7,20)
0.00026356118811568476134970551	(7,21)
0.00030755014317916988069150785	(7,22)
0.00031669872709037670717317331	(7,23)
0.00029543463340732649359717335	(7,24)
0.00025083069973299222681089592	(7,25)
0.00019188347808500443687911694	(7,26)
0.00012854686352045965031130667	(7,27)
0.00007062950246261221690730519	(7,28)
0.00002668603858076902659013967	(7,29)
3.0367538844063982986072e-6	(7,30)
-0.00220151604495087878046348026	(8,1)
-0.00220124130095909671510057817	(8,2)
-0.00219938898036995389071764938	(8,3)
-0.00219342894346385405892237886	(8,4)
-0.00217976155288461119925197729	(8,5)
-0.00215396802812945884374011679	(8,6)
-0.00211116136894477740473646804	(8,7)
-0.00204643680178284101317442646	(8,8)
-0.00195540543827930016676610683	(8,9)
-0.00183477572765626299000203445	(8,10)
-0.00168292803170766523672536796	(8,11)
-0.0015004126149157420082809131	(8,12)
-0.00129029469934451850416546363	(8,13)
-0.00105827509513016977338777788	(8,14)
-0.00081253259493334426332727008	(8,15)
-0.00056326388637806263669795012	(8,16)
-0.00032193496943978367230719287	(8,17)
-0.00010029982107019586929473906	(8,18)
0.00009071899786844729861795348	(8,19)
0.00024216344833472902836959446	(8,20)
0.0003480477156770148451241314	(8,21)
0.00040610514863182534660254717	(8,22)
0.0004181623412146446924995468	(8,23)
0.00039006904237347145268279756	(8,24)
0.00033116603919477922958225908	(8,25)
0.00025333227018227324495702131	(8,26)
0.00016970895475488514193393032	(8,27)
0.00009324427535814381100390009	(8,28)
0.00003523021551465458595804141	(8,29)
4.0090212620501752408182e-6	(8,30)
-0.00279288561401807549038144781	(9,1)
-0.00279253698192140306987142795	(9,2)
-0.00279018650897761703516112389	(9,3)
-0.00278262361825820763141890889	(9,4)
-0.00276528063070982655354635364	(9,5)
-0.00273255049156245556275379166	(9,6)
-0.00267823215230033708916060606	(9,7)
-0.00259610228517794885400450532	(9,8)
-0.00248059261895056602864756131	(9,9)
-0.00232752791574428397347755399	(9,10)
-0.00213485515598448008891871611	(9,11)
-0.00190327540699893813817229203	(9,12)
-0.00163668142967032624573116558	(9,13)
-0.00134231027941241416131947949	(9,14)
-0.00103054264641743215088671087	(9,15)
-0.00071431826699606744346009809	(9,16)
-0.00040818531711230925145385569	(9,17)
-0.00012705471985853904333636564	(9,18)
0.00011522028469876403595639242	(9,19)
0.00030728140348647346591238828	(9,20)
0.00044154285931185555821124507	(9,21)
0.00051513764506277846024199942	(9,22)
0.00053039050118321581592571854	(9,23)
0.00049472748302801553508776797	(9,24)
0.00041999982573465855804622665	(9,25)
0.0003212747316881695925941869	(9,26)
0.00021521726794314660596135511	(9,27)
0.00011824540171837511516101736	(9,28)
0.00004467561265579450557862033	(9,29)
5.0838196457947657147736e-6	(9,30)
-0.00342561519439244482722656673	(10,1)
-0.00342518743732551708442792774	(10,2)
-0.00342230350543577998166000196	(10,3)
-0.00341302416165137967913426931	(10,4)
-0.00339174509429096809231645375	(10,5)
-0.0033515868247952208369281953	(10,6)
-0.00328494130962251252916562438	(10,7)
-0.00318417361973250725735857713	(10,8)
-0.0030424532631905363478810682	(10,9)
-0.00285465990163120446376841486	(10,10)
-0.00261827817250926922124570464	(10,11)
-0.00233417288601146770059847553	(10,12)
-0.00200712554647978447472777304	(10,13)
-0.00164602081264420636314925468	(10,14)
-0.00126359919744954205333100891	(10,15)
-0.00087573854085360840584261754	(10,16)
-0.0005002864991338710262932719	(10,17)
-0.00015553140708213728312835216	(10,18)
0.00014154051812609328857728933	(10,19)
0.00037700769654083179705715388	(10,20)
0.00054157883572992605101942954	(10,21)
0.00063175137878534796216350556	(10,22)
0.00065038902445754633713322519	(10,23)
0.00060660832193580413921198359	(10,24)
0.00051494758453524195924779212	(10,25)
0.0003938831385108020033860642	(10,26)
0.00026384544779498063079590576	(10,27)
0.00014495827384235118618937016	(10,28)
0.00005476714207665136503146522	(10,29)
6.2321097448582818205292e-6	(10,30)
-0.00407778481621006774761881337	(11,1)
-0.00407727540654480972547483126	(11,2)
-0.00407384097486410463496569162	(11,3)
-0.0040627903519353045041453241	(11,4)
-0.00403744950588394604339134195	(11,5)
-0.0039896259850824647730893394	(11,6)
-0.00391026006635154033666514751	(11,7)
-0.00379026069350027698328264252	(11,8)
-0.00362149588236653677932920542	(11,9)
-0.00339787170462287997205413121	(11,10)
-0.00311639813510473517219089219	(11,11)
-0.00277811210086115447032641078	(11,12)
-0.00238871580199439495625309617	(11,13)
-0.00195879758561231188711149707	(11,14)
-0.001503535768485672471274055	(11,15)
-0.00104184103673308381295867896	(11,16)
-0.00059496431890278116663475565	(11,17)
-0.00018467465957984429145337755	(11,18)
0.00016881622769125624179513355	(11,19)
0.00044895148124547179612641092	(11,20)
0.00064469075156582237325964971	(11,21)
0.000751885880388490896618663	(11,22)
0.0007739644049007534657302673	(11,23)
0.00072179079230503947650488082	(11,24)
0.00061267444554759191772826295	(11,25)
0.00046860258422681316528925414	(11,26)
0.0003138799120337098226572093	(11,27)
0.00017244055009751901838738134	(11,28)
0.0000651485502752638902124942	(11,29)
7.4133396565016817270223e-6	(11,30)
-0.00472104546574617866568885757	(12,1)
-0.00472045539103417595070737762	(12,2)
-0.00471647711810359609107930131	(12,3)
-0.00470367664627107255265386383	(12,4)
-0.0046743231975490477145531251	(12,5)
-0.0046189273567931740855142602	(12,6)
-0.0045269956247945042305823939	(12,7)
-0.0043879991805409688296260874	(12,8)
-0.00419252167819966112121007267	(12,9)
-0.00393350962661831201407721954	(12,10)
-0.00360750732057443340974474174	(12,11)
-0.00321572588060729858221527913	(12,12)
-0.00276478177702730433341140764	(12,13)
-0.00226695100293379021922774299	(12,14)
-0.00173982362226170479657564575	(12,15)
-0.00120530764649350573569904406	(12,16)
-0.00068801397418268338176547176	(12,17)
-0.00021314417644577460632384645	(12,18)
0.00019591355639484566025375856	(12,19)
0.00052001202855303196771678381	(12,20)
