b^3^2_2_(sigma,mu)
0.0003691829812184020667424457	(5,12)
0.0003508803883713841405951138	(5,13)
0.0003297318018921632071710215	(5,14)
0.0003059943755776150728777607	(5,15)
0.0002800666284764773418769238	(5,16)
0.0002524696588245357405387082	(5,17)
0.0002238182247463176057906237	(5,18)
0.000194784282684988903238749	(5,19)
0.0001660565463523993420161421	(5,20)
0.0001383001905460055810696238	(5,21)
0.0001121208690858548021669992	(5,22)
0.0000880367106118964794996731	(5,23)
0.0000664609481135244778825835	(5,24)
0.0000476964539744574456964496	(5,25)
0.0000319418796408520975913242	(5,26)
0.0000193075598573505850786253	(5,27)
9.8380589731751530508261e-6	(5,28)
3.53740101350058411887645e-6	(5,29)
3.92762741943976806953e-7	(5,30)
0.0006515895011841695150431347	(6,1)
0.000651557295644678063976669	(6,2)
0.0006513401374858123804342314	(6,3)
0.0006506410671985381012085624	(6,4)
0.0006490360059923267803058171	(6,5)
0.0006459993338671270749371082	(6,6)
0.0006409375699969827503982532	(6,7)
0.0006332302173824652070283881	(6,8)
0.0006222760660963453884415536	(6,9)
0.0006075423718355237009972669	(6,10)
0.0005886134936537265454944617	(6,11)
0.0005652349663488899905159219	(6,12)
0.0005373487687419303890331564	(6,13)
0.0005051158531121894678690301	(6,14)
0.0004689228721229614438443811	(6,15)
0.000429371433358289435854263	(6,16)
0.00038724998885659573246869	(6,17)
0.0003434904089379088400942073	(6,18)
0.0002991131284199949776475092	(6,19)
0.0002551662136098075861532679	(6,20)
0.0002126645423798772520839351	(6,21)
0.0001725353582228433344301319	(6,22)
0.0001355757025984339289277772	(6,23)
0.0001024257210596448929101486	(6,24)
0.0000735597672638956407285536	(6,25)
0.0000492948763991392567607025	(6,26)
0.0000298138781389346259775206	(6,27)
0.00001519850239227349502346177	(6,28)
5.46658198201110663863668e-6	(6,29)
6.070634108041216435796e-7	(6,30)
0.0009354645925783614788982093	(7,1)
0.0009354187375666389586660668	(7,2)
0.0009351095420777307226728212	(7,3)
0.000934114180975311017110267	(7,4)
0.0009318288004082250200060778	(7,5)
0.0009275048649221606807055624	(7,6)
0.0009202969707225169098850304	(7,7)
0.0009093207736630976701192076	(7,8)
0.0008937186065687979330504935	(7,9)
0.0008727291363110868087109841	(7,10)
0.0008457562519150198088476534	(7,11)
0.000812431530743057616390397	(7,12)
0.0007726643364180716309831854	(7,13)
0.0007266740319313113190215492	(7,14)
0.0006750000116041279871488934	(7,15)
0.0006184872037194553423933545	(7,16)
0.0005582471769487035575859414	(7,17)
0.0004955976927281891562566958	(7,18)
0.0004319861093353287962242511	(7,19)
0.0003689040784830159056538381	(7,20)
0.0003078021517597628071969118	(7,21)
0.0002500130126679550128643541	(7,22)
0.0001966910030394808699578076	(7,23)
0.0001487735234100353509870992	(7,24)
0.000106967020183876941946646	(7,25)
0.0000717570187987862912527077	(7,26)
0.0000434384815267770646146702	(7,27)
0.00002216012099989221849606687	(7,28)
7.97457545649077828266108e-6	(7,29)
8.8580716904488225112838e-7	(7,30)
0.0012836979448335881658682965	(8,1)
0.00128363578934855767556038	(8,2)
0.0012832166803799872671325573	(8,3)
0.0012818674729803118455353998	(8,4)
0.0012787695738833078031246443	(8,5)
0.0012729080634394404705132274	(8,6)
0.0012631362168285744455396775	(8,7)
0.001248253560527738198705728	(8,8)
0.0012270941830424240470691332	(8,9)
0.0011986204113006461967784178	(8,10)
0.0011620154473098897883609471	(8,11)
0.0011167674601968042140314494	(8,12)
0.00106273725472254173731208	(8,13)
0.0010002022134102658026178561	(8,14)
0.0009298708223150567073068678	(8,15)
0.0008528646567354807342745745	(8,16)
0.0007706679660448637431102835	(8,17)
0.0006850485549024274662770879	(8,18)
0.0005979570221756607123489353	(8,19)
0.0005114140880915141086299983	(8,20)
0.0004273972846180452227046236	(8,21)
0.0003477384200215166456272515	(8,22)
0.0002740418718398910313194721	(8,23)
0.0002076310514362695680137042	(8,24)
0.0001495266653666193117261824	(8,25)
0.0001004561832929638553177369	(8,26)
0.0000608898055478805457151993	(8,27)
0.00003109479947982553466586964	(8,28)
0.00001119784267169244923644124	(8,29)
1.24430251826807352644014e-6	(8,30)
0.0017022224597511403460202696	(9,1)
0.0017021414381651921131714237	(9,2)
0.0017015951146818700373807681	(9,3)
0.0016998363504038693681315277	(9,4)
0.0016957979319392637215535397	(9,5)
0.0016881563343419036253977715	(9,6)
0.0016754152939517507712738462	(9,7)
0.0016560067020280465989632376	(9,8)
0.0016284045546651883255154615	(9,9)
0.0015912456945607528754102278	(9,10)
0.0015434492034857378833992964	(9,11)
0.0014843249538422477545507509	(9,12)
0.0014136613834769585440516337	(9,13)
0.0013317832961658659651971046	(9,14)
0.0012395725159366208909391865	(9,15)
0.0011384474303673580600093812	(9,16)
0.001030301525158182535498143	(9,17)
0.0009174054400179515033494242	(9,18)
0.0008022812574334251414492908	(9,19)
0.0006875610523256970407200519	(9,20)
0.000575843653797216104125445	(9,21)
0.0004695637549205001716124786	(9,22)
0.0003708858555849284386752736	(9,23)
0.0002816322133493115447264437	(9,24)
0.0002032494397359050654747643	(9,25)
0.0001368132407348747151547815	(9,26)
0.0000830657886065713805353189	(9,27)
0.0000424760474331917010386716	(9,28)
0.00001531065978378638358420303	(9,29)
1.70212946941758084144838e-6	(9,30)
0.0021958282352352138540500949	(10,1)
0.0021957260624553707952011217	(10,2)
0.0021950371142773757286425703	(10,3)
0.0021928191605785894359519986	(10,4)
0.0021877261252585858937268206	(10,5)
0.0021780880345477497192320378	(10,6)
0.0021620154958400173427751202	(10,7)
0.0021375254669408313138434985	(10,8)
0.0021026829596799042217567623	(10,9)
0.0020557509638934655000077468	(10,10)
