e^3_(sigma,mu)
-2.24086920977	(1,1)
-2.24086997242	(1,2)
-2.2408751153	(1,3)
-2.24089167565	(1,4)
-2.24092972429	(1,5)
-2.24100180995	(1,6)
-2.24112226068	(1,7)
-2.24130637542	(1,8)
-2.24156954329	(1,9)
-2.24192633112	(1,10)
-2.24238958016	(1,11)
-2.2429695524	(1,12)
-2.2436731642	(1,13)
-2.24450334141	(1,14)
-2.24545852546	(1,15)
-2.24653235434	(1,16)
-2.24771353627	(1,17)
-2.2489859271	(1,18)
-2.25032881504	(1,19)
-2.25171740873	(1,20)
-2.25312351622	(1,21)
-2.2545163944	(1,22)
-2.25586373969	(1,23)
-2.25713278369	(1,24)
-2.25829145032	(1,25)
-2.25930952616	(1,26)
-2.26015979264	(1,27)
-2.26081906835	(1,28)
-2.26126911221	(1,29)
-2.26149734359	(1,30)
-2.2020308444679506	(2,1)
-2.2020316110503928	(2,2)
-2.2020367804091282	(2,3)
-2.2020534260236965	(2,4)
-2.2020916705070145	(2,5)
-2.2021641269560211	(2,6)
-2.2022851965318107	(2,7)
-2.202470255456293	(2,8)
-2.2027347692795835	(2,9)
-2.2030933750252704	(2,10)
-2.2035589726832687	(2,11)
-2.2041418666331666	(2,12)
-2.2048489951624233	(2,13)
-2.2056832825423393	(2,14)
-2.2066431433787602	(2,15)
-2.2077221633615782	(2,16)
-2.2089089742405878	(2,17)
-2.2101873339495566	(2,18)
-2.2115364153535011	(2,19)
-2.2129312991822888	(2,20)
-2.2143436584600105	(2,21)
-2.215742613348532	(2,22)
-2.2170957271021284	(2,23)
-2.2183701061890277	(2,24)
-2.2195335610688287	(2,25)
-2.2205557791559106	(2,26)
-2.2214094586621932	(2,27)
-2.2220713517242924	(2,28)
-2.2225231677528125	(2,29)
-2.2227522933607413	(2,30)
-2.128238593595951738	(3,1)
-2.128239368439739359	(3,2)
-2.128244593505970512	(3,3)
-2.128261418478998007	(3,4)
-2.128300074919975073	(3,5)
-2.128373311346205244	(3,6)
-2.128495682745166945	(3,7)
-2.128682728013426378	(3,8)
-2.128950073595879689	(3,9)
-2.129312504473731583	(3,10)
-2.129783044616038248	(3,11)
-2.130372088190163309	(3,12)
-2.131086620420030072	(3,13)
-2.131929563223232682	(3,14)
-2.132899275882718156	(3,15)
-2.133989235219486158	(3,16)
-2.135187913189672611	(3,17)
-2.136478862652785753	(3,18)
-2.137841014347492991	(3,19)
-2.139249179976486408	(3,20)
-2.140674747895258953	(3,21)
-2.142086549446706799	(3,22)
-2.14345186580034009	(3,23)
-2.1447375376475459	(3,24)
-2.145911133747850672	(3,25)
-2.14694212961902497	(3,26)
-2.147803045092864832	(3,27)
-2.148470489406029106	(3,28)
-2.148926065199700691	(3,29)
-2.149157088304436602	(3,30)
-2.02648652146833167673	(4,1)
-2.02648730950040905015	(4,2)
-2.02649262349733928884	(4,3)
-2.02650973479670032743	(4,4)
-2.02654904888858983591	(4,5)
-2.02662353049346725133	(4,6)
-2.02674798021914308435	(4,7)
-2.02693819677327152202	(4,8)
-2.02721006367873622522	(4,9)
-2.02757860250034197666	(4,10)
-2.02805703571971405803	(4,11)
-2.0286559016802738737	(4,12)
-2.02938226163545265943	(4,13)
-2.03023903508607489641	(4,14)
-2.03122449451395439285	(4,15)
-2.03233194452129403437	(4,16)
-2.03354960345576177983	(4,17)
-2.0348606979997993951	(4,18)
-2.03624377307899429019	(4,19)
-2.03767321095905534042	(4,20)
-2.03911994475270416024	(4,21)
-2.04055234300520048036	(4,22)
-2.04193723390053829516	(4,23)
-2.04324103032808802179	(4,24)
-2.04443091101763387004	(4,25)
-2.04547600864605229565	(4,26)
-2.04634855366003485421	(4,27)
-2.0470249228734482673	(4,28)
-2.04748654487028196817	(4,29)
-2.0477206198785599533	(4,30)
-1.905588245064772761499	(5,1)
-1.905589051610450491161	(5,2)
-1.905594490447480009617	(5,3)
-1.905612003689102411568	(5,4)
-1.905652240985161699917	(5,5)
-1.905728470559724826623	(5,6)
-1.905855837819104201199	(5,7)
-1.906050506189069792212	(5,8)
-1.906328720071995684542	(5,9)
-1.906705833139818107848	(5,10)
-1.907195346534790858921	(5,11)
-1.907808000981662193588	(5,12)
-1.908550964451063634609	(5,13)
-1.909427153040963205428	(5,14)
-1.910434717378097545378	(5,15)
-1.911566720310822765332	(5,16)
-1.912811024191994376151	(5,17)
-1.914150397852772183955	(5,18)
-1.915562844664356883898	(5,19)
-1.917022144107900395875	(5,20)
-1.918498590286276320032	(5,21)
-1.919959902119768536021	(5,22)
-1.921372271921118345551	(5,23)
-1.922701512031494668972	(5,24)
-1.923914253622877814368	(5,25)
-1.924979148024894884982	(5,26)
-1.92586801935275839244	(5,27)
-1.926556918040417018244	(5,28)
-1.92702702823019092322	(5,29)
-1.9272653877887039871	(5,30)
-1.7747632504925905730331	(6,1)
-1.7747640806239066287376	(6,2)
-1.7747696785023349881551	(6,3)
-1.7747877037997650378506	(6,4)
-1.7748291171983918148897	(6,5)
-1.7749075735096026802288	(6,6)
-1.7750386572249805122611	(6,7)
-1.7752389960207347888299	(6,8)
-1.7755252933099865716427	(6,9)
-1.7759133246105894546299	(6,10)
-1.776416944154419469626	(6,11)
-1.7770471477923470902935	(6,12)
-1.7778112359215906960569	(6,13)
-1.778712116026465174497	(6,14)
-1.7797477786834864469167	(6,15)
-1.7809109737815237351225	(6,16)
-1.7821891055195824991613	(6,17)
-1.7835643557621583422051	(6,18)
-1.7850140358663984129373	(6,19)
-1.7865111574763307783224	(6,20)
-1.7880252033557952516005	(6,21)
-1.7895230704689159728046	(6,22)
-1.7909701495904446034869	(6,23)
-1.7923314991102447946037	(6,24)
-1.7935730657359266420401	(6,25)
-1.794662901797361341466	(6,26)
-1.7955723280452248969269	(6,27)
-1.796276992343278061894	(6,28)
-1.796757778493265373632	(6,29)
-1.797001525485064784094	(6,30)
-1.6424501290409614816069	(7,1)
-1.6424509864698875501926	(7,2)
-1.6424567684193541762885	(7,3)
-1.6424753863503789753262	(7,4)
-1.6425181608749105285104	(7,5)
-1.6425991940408029809249	(7,6)
-1.6427345780089774761304	(7,7)
-1.6429414766218963470253	(7,8)
-1.6432371223563572908606	(7,9)
-1.6436377752643227615194	(7,10)
-1.6441576925495038851331	(7,11)
-1.6448081573123748655586	(7,12)
-1.6455966127247351486298	(7,13)
-1.6465259435635041695346	(7,14)
-1.6475939408279446505915	(7,15)
-1.6487929773514306489651	(7,16)
-1.6501099132338887244109	(7,17)
-1.6515262399553312961656	(7,18)
-1.6530184616155897434117	(7,19)
-1.6545587013342876697577	(7,20)
-1.6561155108961505027918	(7,21)
-1.6576548526819260623891	(7,22)
-1.6591412151901038109597	(7,23)
-1.6605388173784569765694	(7,24)
-1.6618128529118738393366	(7,25)
-1.6629307233796905490011	(7,26)
-1.6638632097291134371035	(7,27)
-1.6645855335369253370548	(7,28)
-1.6650782641962369692329	(7,29)
-1.665328034424812756292	(7,30)
-1.5155373886492608045171	(8,1)
-1.51553827423136144628297	(8,2)
-1.51554424601946686512364	(8,3)
-1.51556347513478726720289	(8,4)
-1.51560765328374247232437	(8,5)
-1.51569134335028111352411	(8,6)
-1.51583115994995629295672	(8,7)
-1.51604481740905875880661	(8,8)
-1.51635008911601342869702	(8,9)
-1.51676372682883829659958	(8,10)
-1.51730039104232922789001	(8,11)
-1.51797164373126139613435	(8,12)
-1.51878505260221380028227	(8,13)
-1.51974345143742020409039	(8,14)
-1.52084439436097329397698	(8,15)
-1.52207983319419904649795	(8,16)
-1.52343603690778505549152	(8,17)
-1.52489376103724148968116	(8,18)
-1.52642866338654495146881	(8,19)
-1.52801195101092791784246	(8,20)
-1.52961123293651196769427	(8,21)
-1.53119154387621764789767	(8,22)
-1.53271649677671102075615	(8,23)
-1.53414951669493137854735	(8,24)
-1.53545510543077013414808	(8,25)
-1.53660008557025423652522	(8,26)
-1.53755477402894897644633	(8,27)
-1.5382940386322211885466	(8,28)
-1.53879819645859821343737	(8,29)
-1.5390537192957377669513	(8,30)
-1.39902246487932435112206	(9,1)
-1.39902337486858330792899	(9,2)
-1.39902951123261185736676	(9,3)
-1.39904927016249775274532	(9,4)
-1.39909466485353855810139	(9,5)
-1.39918065688705830058961	(9,6)
-1.39932431160391617174929	(9,7)
-1.39954381568190618031001	(9,8)
-1.39985740214814416321654	(9,9)
-1.40028223329686476684835	(9,10)
-1.40083329506874416537725	(9,11)
-1.40152235706822110769157	(9,12)
-1.40235705034699547784924	(9,13)
