b^1^1_1_(sigma,mu)
-0.00182740954103325290368323	(1,1)
-0.001827409166898998871750869	(1,2)
-0.001827406643978094202606277	(1,3)
-0.00182739852014917462361657	(1,4)
-0.001827379855726370992458798	(1,5)
-0.001827344497357406140685673	(1,6)
-0.001827285423309047740144252	(1,7)
-0.00182719514421269414068078	(1,8)
-0.001827066140727201000561224	(1,9)
-0.001826891317782078353557305	(1,10)
-0.001826664454172277607145248	(1,11)
-0.001826380626326751592341265	(1,12)
-0.001826036586066240633014306	(1,13)
-0.001825631074059380933791056	(1,14)
-0.001825165053398768241564926	(1,15)
-0.001824641851132560011257339	(1,16)
-0.001824067199554206860192046	(1,17)
-0.001823449173400210059015115	(1,18)
-0.001822798023643787313907104	(1,19)
-0.001822125913102796838698107	(1,20)
-0.001821446563405102914190689	(1,21)
-0.001820774826784386789025564	(1,22)
-0.001820126199541855124418594	(1,23)
-0.001819516296656571656624282	(1,24)
-0.001818960308842460048512066	(1,25)
-0.0018184724642527633377284	(1,26)
-0.00181806551698194662644619	(1,27)
-0.00181775028351123374487448	(1,28)
-0.00181753524632920180081866	(1,29)
-0.0018174262412148184197373	(1,30)
-0.016188393969707751995055408	(2,1)
-0.016188390613276020945466183	(2,2)
-0.016188367979658010242682749	(2,3)
-0.016188295099195885183357256	(2,4)
-0.016188127656997236435195707	(2,5)
-0.016187810450124709408968569	(2,6)
-0.016187280485211795262933702	(2,7)
-0.01618647057361770173036125	(2,8)
-0.016185313257769594677480296	(2,9)
-0.016183744886247775480377518	(2,10)
-0.016181709647169326659139798	(2,11)
-0.016179163369884153472277346	(2,12)
-0.01617607691390875152980775	(2,13)
-0.016172438981011005389769348	(2,14)
-0.016168258210692787484865579	(2,15)
-0.016163564449942212571680305	(2,16)
-0.016158409123713420336466121	(2,17)
-0.016152864671589248270662896	(2,18)
-0.016147023056790497041241689	(2,19)
-0.016140993394337115486978606	(2,20)
-0.016134898783964627397816469	(2,21)
-0.016128872468654820198056573	(2,22)
-0.01612305346980691563613106	(2,23)
-0.016117581873828017403916014	(2,24)
-0.016112593961211573332069725	(2,25)
-0.01610821737727596156927302	(2,26)
-0.01610456654328407436973334	(2,27)
-0.01610173849766311286609701	(2,28)
-0.01609980933986819627077525	(2,29)
-0.0160988314248164027300325	(2,30)
-0.043575248261243641163220912	(3,1)
-0.043575238996832794198507801	(3,2)
-0.043575176523601686217693462	(3,3)
-0.043574975359215424715726662	(3,4)
-0.043574513185888047785766739	(3,5)
-0.043573637632746436810725285	(3,6)
-0.043572174825933297432867446	(3,7)
-0.043569939312060998658256658	(3,8)
-0.043566744895850807009884799	(3,9)
-0.043562415888359273323611637	(3,10)
-0.043556798240097549542010667	(3,11)
-0.043549770034603066163285541	(3,12)
-0.043541250842614539561324428	(3,13)
-0.043531209483894087946712925	(3,14)
-0.043519669810917441400307425	(3,15)
-0.043506714213205309117382206	(3,16)
-0.043492484639320560192174289	(3,17)
-0.043477181041226310645782785	(3,18)
-0.043461057258090476562916048	(3,19)
-0.043444414468821520719587226	(3,20)
-0.04342759244971916135891351	(3,21)
-0.043410958970931358373636818	(3,22)
-0.043394897748656457210267868	(3,23)
-0.04337979543555820816073973	(3,24)
