e^1_(sigma,mu)
7.8394823264333208891	(4,5)
7.83977045427728104	(4,6)
7.8402518809490352853	(4,7)
7.8409877228488868678	(4,8)
7.8420394244800884475	(4,9)
7.8434650959102859155	(4,10)
7.8453158875565057299	(4,11)
7.8476325664002607489	(4,12)
7.8504424484987724547	(4,13)
7.8537568277755159756	(4,14)
7.8575690214259033802	(4,15)
7.861853128686276986	(4,16)
7.8665635729071667686	(4,17)
7.8716354674665125125	(4,18)
7.8769858146323856452	(4,19)
7.8825155136598933251	(4,20)
7.888112120951770661	(4,21)
7.893653272026953109	(4,22)
7.8990106436038157728	(4,23)
7.9040543058563806024	(4,24)
7.908657291568008914	(4,25)
7.9127001922545847882	(4,26)
7.9160755829778207565	(4,27)
7.9186920787847267663	(4,28)
7.9204778372076673609	(4,29)
7.9213833430558843136	(4,30)
7.21343840804273115801	(5,1)
7.21344146132011368672	(5,2)
7.21346205070339242753	(5,3)
7.21352834922315824128	(5,4)
7.21368067243249092059	(5,5)
7.21396924881796049806	(5,6)
7.21445141316990478975	(5,7)
7.21518835411710331215	(5,8)
7.21624156683713657641	(5,9)
7.21766917454135107839	(5,10)
7.21952228746699992205	(5,11)
7.22184156595747081638	(5,12)
7.22465414526290294822	(5,13)
7.22797106465345983641	(5,14)
7.2317853231279465465	(5,15)
7.23607065927864046808	(5,16)
7.24078112458401744624	(5,17)
7.24585148836774307895	(5,18)
7.25119847971279613984	(5,19)
7.25672283763705748545	(5,20)
7.26231210681705096902	(5,21)
7.2678440832432948173	(5,22)
7.27319078372918808216	(5,23)
7.27822278664332279073	(5,24)
7.28281377012599719783	(5,25)
7.2868450598640295265	(5,26)
7.29020999251120455023	(5,27)
7.2928179039739285696	(5,28)
7.29459756445263714521	(5,29)
7.29549990415626106482	(5,30)
6.54001834809874163001	(6,1)
6.540021407635505974587	(6,2)
6.540042039208522978025	(6,3)
6.540108473348778047144	(6,4)
6.540261106810383661663	(6,5)
6.54055026584715364788	(6,6)
6.541033388757158606093	(6,7)
6.541771758613053232928	(6,8)
6.542826937635972452586	(6,9)
6.544257068208570413049	(6,10)
6.54611321163402025123	(6,11)
6.548435894377440891115	(6,12)
6.551252022947748450311	(6,13)
6.554572313335490178848	(6,14)
6.558389359766983750436	(6,15)
6.562676441366883569023	(6,16)
6.567387135143935397991	(6,17)
6.572455770609065689038	(6,18)
6.577798726448913788726	(6,19)
6.583316534226783936724	(6,20)
6.588896719351524599748	(6,21)
6.594417276889979786913	(6,22)
6.599750650584121606785	(6,23)
6.604768059041477117703	(6,24)
6.609343994784647248553	(6,25)
6.613360710786481247453	(6,26)
6.616712506124957681182	(6,27)
6.619309627946991356265	(6,28)
6.621081621079396718901	(6,29)
6.62197997893683271042	(6,30)
5.8624848672455766714368	(7,1)
5.8624879288820421571963	(7,2)
5.8625085745901803350507	(7,3)
5.8625750539626732479476	(7,4)
5.862727789709071567706	(7,5)
5.8630171362670787676346	(7,6)
5.8635005542207680438958	(7,7)
5.8642393308547339192004	(7,8)
5.8652949985744730172218	(7,9)
5.8667256175999130461888	(7,10)
5.8685820966359458971477	(7,11)
5.8709047248117137472441	(7,12)
5.8737200800686499013262	(7,13)
5.8770384637112421154176	(7,14)
5.8808519886777881308366	(7,15)
5.885133421192455804514	(7,16)
5.8898358430231084089478	(7,17)
5.8948931659879966346559	(7,18)
5.9002214931674235631369	(7,19)
5.90572128410386074075	(7,20)
5.9112802457502055298565	(7,21)
5.9167768386288573640863	(7,22)
5.9220842600422845001389	(7,23)
5.9270747444757731969487	(7,24)
5.9316240065363275926174	(7,25)
5.9356156445419157558703	(7,26)
5.9389453235249842446412	(7,27)
5.9415245648927168612529	(7,28)
5.943283985890065226818	(7,29)
5.944175854612984877893	(7,30)
5.2148753523911321625421	(8,1)
5.2148784019920616394092	(8,2)
5.2148989665118624124492	(8,3)
5.2149651841208455703446	(8,4)
5.2151173165238968271147	(8,5)
5.2154055126653951641318	(8,6)
5.2158869869009979661627	(8,7)
5.2166227406481344209968	(8,8)
5.2176739788516175897352	(8,9)
5.2190983885627705251969	(8,10)
5.2209464556030439480589	(8,11)
5.223257996011376090098	(8,12)
5.2260590714528621163821	(8,13)
5.2293594421015195344665	(8,14)
5.2331506872590590148424	(8,15)
5.2374050941448709278723	(8,16)
5.2420753803172030266569	(8,17)
5.2470952768302725729491	(8,18)
5.252380959496116110958	(8,19)
5.2578332765973307807648	(8,20)
5.2633406851273972803258	(8,21)
5.2687827759582664944625	(8,22)
5.2740342427604653873247	(8,23)
5.2789691311139614922932	(8,24)
5.2834651936550396237057	(8,25)
5.2874081744296501200575	(8,26)
5.2906958505518095847217	(8,27)
5.2932416711238113593681	(8,28)
5.2949778512390414818532	(8,29)
5.295857801695230274865	(8,30)
4.62021991871867797685835	(9,1)
4.62022292818583329386853	(9,2)
4.62024322203659815750457	(9,3)
4.62030856770224317337499	(9,4)
4.62045869458915204867378	(9,5)
4.62074308289290052711489	(9,6)
4.62121817035839218476303	(9,7)
4.62194410336624554253705	(9,8)
4.62298118192947266796255	(9,9)
4.62438616550014677545618	(9,10)
4.6262086166785185237935	(9,11)
4.62848746195888874437568	(9,12)
4.63124794186781887360424	(9,13)
4.63449910707980452820978	(9,14)
4.63823199276303858482951	(9,15)
4.6424185715864136116639	(9,16)
4.64701154819389483720624	(9,17)
4.65194501671413624227061	(9,18)
4.65713596054162048536113	(9,19)
4.66248653282665322411979	(9,20)
4.66788701933314148598349	(9,21)
4.67321935468231551044052	(9,22)
4.67836104005384661631622	(9,23)
4.68318929603827395419885	(9,24)
4.68758527868497233430544	(9,25)
4.69143818936448868206895	(9,26)
4.69464911883016647415288	(9,27)
4.6971344814487602692878	(9,28)
4.69882891547390559792573	(9,29)
4.6996875480367077559305	(9,30)
4.09098746389713140017426	(10,1)
4.09099038865578771789684	(10,2)
4.09101011125086889447824	(10,3)
4.09107361704162909234264	(10,4)
4.09121951436887310043369	(10,5)
4.09149588067183609529536	(10,6)
4.09195753810713958897692	(10,7)
4.09266288042854043353773	(10,8)
4.09367039677985527028896	(10,9)
4.09503505667162098201888	(10,10)
4.09680473218750840901571	(10,11)
4.09901683696152232905024	(10,12)
4.10169535560771781571134	(10,13)
4.10484842158687985043294	(10,14)
4.10846657624122212123318	(10,15)
4.11252180805320536253988	(10,16)
4.1169674310500728867511	(10,17)
4.12173881732733397163223	(10,18)
4.1267549539825951656715	(10,19)
4.13192075252860976050022	(10,20)
4.13713000204583890354103	(10,21)
4.14226882832977831121714	(10,22)
4.14721950165734276318867	(10,23)
4.15186442614904430063197	(10,24)
4.15609014367863142751724	(10,25)
4.15979119367208181470876	(10,26)
4.16287368512504933617891	(10,27)
4.16525845662916749064922	(10,28)
4.16688372203258893794485	(10,29)
4.1677071217853834896719	(10,30)
3.630696248080883188965815	(11,1)
3.630699027192373051925618	(11,2)
3.630717767598918959002617	(11,3)
3.630778110287627409650371	(11,4)
3.630916737839952906720921	(11,5)
3.63117932224807462469833	(11,6)
3.631617925207278319595285	(11,7)
3.632287965384394422415186	(11,8)
3.633244891382561003330352	(11,9)
3.63454071883435855176611	(11,10)
3.636220603353672760283557	(11,11)
3.638319626097916589669096	(11,12)
3.640859963936086821556196	(11,13)
3.643848600865801045337942	(11,14)
3.647275711490743575127717	(11,15)
3.651113812246482208586408	(11,16)
3.65531773388682087942535	(11,17)
3.659825422622391806192934	(11,18)
3.664559530884925670646322	(11,19)
3.669429715731834805507026	(11,20)
3.674335526810838847930285	(11,21)
3.67916973920085444758923	(11,22)
3.683821970867554330534348	(11,23)
3.688182420203918331484899	(11,24)
3.692145565228381071682442	(11,25)
3.695613680527308894036141	(11,26)
3.698500048322358288846608	(11,27)
3.70073176323881951106095	(11,28)
3.70225205376389670741465	(11,29)
3.7030220649038003798195	(11,30)
3.236018765286180244519073	(12,1)
3.236021325099916372077543	(12,2)
3.236038586666613476620467	(12,3)
3.236094167042074280295455	(12,4)
3.23622185070814257113819	(12,5)
3.236463693125594093342372	(12,6)
3.236867613907452976331188	(12,7)
3.23748458374871791748487	(12,8)
3.238365533253282144918547	(12,9)
3.239558132214501533998393	(12,10)
3.241103602511293020116276	(12,11)
3.243033734301399324217944	(12,12)
3.245368271705968438927851	(12,13)
3.248112819528062746759784	(12,14)
3.251257396673528142322577	(12,15)
3.254775726069794467239889	(12,16)
3.258625307500167032734422	(12,17)
3.262748272426517448706604	(12,18)
3.267072972734369294718945	(12,19)
3.271516212670871785052592	(12,20)
3.275985998849905091835075	(12,21)
3.280384659866607539133664	(12,22)
3.284612176227522647178049	(12,23)
3.288569562866773734492386	(12,24)
3.292162158933481161160311	(12,25)
3.295302700089043444802511	(12,26)
3.297914073828270669761757	(12,27)
3.299931684758575826145304	(12,28)
3.30130538113945542829277	(12,29)
3.30200091393549604258621	(12,30)
2.898993577325254525949969	(13,1)
2.898995838839560477498564	(13,2)
2.899011088833959235401492	(13,3)
2.899060191540886918039494	(13,4)
2.899172990586184413193088	(13,5)
2.899386626647551366108618	(13,6)
2.899743397474917757747692	(13,7)
2.900288250801192434769846	(13,8)
2.901066023769480663653941	(13,9)
2.902118563057242836964682	(13,10)
2.903481875405254436884638	(13,11)
2.905183466123344291025645	(13,12)
2.907240021043491179205695	(13,13)
2.90965557385199665352166	(13,14)
2.912420275522338731832593	(13,15)
2.915509846923913213531381	(13,16)
2.918885752295351921760727	(13,17)
2.922496084037999697950839	(13,18)
2.926277102807394323148934	(13,19)
