a^2^2^2_2_(sigma,mu)
4.93569917007827202263091549	(8,11)
4.784233914223206968738389675	(8,12)
4.600640330016590029870738839	(8,13)
4.384248801389538780106482636	(8,14)
4.1355761084261686067651878185	(8,15)
3.8564007523801931330374387384	(8,16)
3.5497847022416232160336180293	(8,17)
3.2200395292819053603710131759	(8,18)
2.8726373312605550584715510421	(8,19)
2.514069275956421822971883875	(8,20)
2.1516569065977199398317144964	(8,21)
1.7933234471305658655814808123	(8,22)
1.4473341306359272555458853878	(8,23)
1.1220159713345087829759130333	(8,24)
0.8254683489060210113135916744	(8,25)
0.5652762328706338878584098189	(8,26)
0.3482378258274056631031448166	(8,27)
0.1801178509213757359964291246	(8,28)
0.0654366762276243279021041419	(8,29)
0.0073040022817534940337075494	(8,30)
5.333330827625366304968494656	(9,1)
5.333131111717425169499127386	(9,2)
5.331784356246169703550478302	(9,3)
5.327447793732895611259401069	(9,4)
5.317484596574869194338281998	(9,5)
5.298610115986502490238737547	(9,6)
5.267076257360545792995928932	(9,7)
5.21888549647221109655295463	(9,8)
5.150024636612333197619392041	(9,9)
5.056707438332032445079793473	(9,10)
4.935614766105540501137133809	(9,11)
4.784120914252364864192924035	(9,12)
4.600495300105501059834332664	(9,13)
4.384069725176436147802028783	(9,14)
4.1353628623063019102968108359	(9,15)
3.8561554653436173301603576098	(9,16)
3.5495119367666646828908221533	(9,17)
3.2197462327151825851254361209	(9,18)
2.8723325292194519616820662924	(9,19)
2.5137635083752043273255053251	(9,20)
2.1513614396818611026857717431	(9,21)
1.7930493263504411958838839669	(9,22)
1.4470911663385182128858920162	(9,23)
1.1218117653329431810633023077	(9,24)
0.8253074743611485302624829066	(9,25)
0.5651596693984946733217202678	(9,26)
0.3481627275357945616113448754	(9,27)
0.1800776895182144240746486541	(9,28)
0.0654217587342977971969196859	(9,29)
0.0073023187006553533151840743	(9,30)
5.333330826817724546508380937	(10,1)
5.333131046539620038868209987	(10,2)
5.331783857122481594333743991	(10,3)
5.327445898780031872252290014	(10,4)
5.317479503276428209575588592	(10,5)
5.298598996359687247383178375	(10,6)
5.267055164913685794683485935	(10,7)
5.218849394067905633279403418	(10,8)
5.149967570296881273761649007	(10,9)
5.056622871934546264037601063	(10,10)
4.935496074830502768836538325	(10,11)
4.783962013900950265946910367	(10,12)
4.600291364650363889829249878	(10,13)
4.38381792289799507863789522	(10,14)
4.1350630237421250464245059516	(10,15)
3.8558105888005650975867045643	(10,16)
3.5491284419772946829976846941	(10,17)
3.2193338916177554510031111462	(10,18)
2.871904033986871120232419334	(10,19)
2.5133336777566253182729410841	(10,20)
2.1509461106224509735816146967	(10,21)
1.7926640226153614431456156708	(10,22)
1.4467496729620442338586911132	(10,23)
1.1215247611873098581139232338	(10,24)
0.8250813805755838948116039237	(10,25)
0.5649958566686057997370904905	(10,26)
0.3480571912559344339892310079	(10,27)
0.1800212517041914926899043855	(10,28)
0.0654007958975487262235016121	(10,29)
0.0072999528646394202599655901	(10,30)
5.333330825724677200016589249	(11,1)
5.333130958329193359446601818	(11,2)
5.33178318161796574512506331	(11,3)
5.327443334189043596076331432	(11,4)
5.31747261012270160242885614	(11,5)
5.298583947367344328712969609	(11,6)
5.267026619164310730335013935	(11,7)
5.218800534857166918856126868	(11,8)
5.149890340622152603072923384	(11,9)
5.056508427641242026444773476	(11,10)
4.935335452972125829296374496	(11,11)
4.783746984610219786898743404	(11,12)
4.60001540242410885907567556	(11,13)
4.383477202711254737009089986	(11,14)
4.1346573244797684785640556218	(11,15)
3.8553439764055599507067755217	(11,16)
3.5486096113561285483392588354	(11,17)
3.2187760713649378625563736598	(11,18)
2.8713244002549690982994507226	(11,19)
2.5127522790701609391148496029	(11,20)
2.150384367546775874908793507	(11,21)
1.7921429266680570392555012425	(11,22)
1.4462878591718980909324874657	(11,23)
1.1211366602375626637129682013	(11,24)
0.8247756635894486674438595567	(11,25)
0.5647743656402277197059917644	(11,26)
0.3479145019104216015793248516	(11,27)
0.1799449480312905781930614221	(11,28)
0.0653724548814223423005611684	(11,29)
0.0072967543747034838821486248	(11,30)
