b^3^2_3_(sigma,mu)
-0.0109437245219561265881274556	(1,1)
-0.0983136337084274222201673463	(1,2)
-0.2720963330615600129167436654	(1,3)
-0.53038848081685203750343217	(1,4)
-0.8703621270675661162766221764	(1,5)
-1.2882966992875316068383716957	(1,6)
-1.779620858116914565914584686	(1,7)
-2.33896359197172005505842114	(1,8)
-2.960213814975961084879771246	(1,9)
-3.636587657268106071411074537	(1,10)
-4.360702589322645739875223388	(1,11)
-5.124657499632419538876843569	(1,12)
-5.920117843015114282407995372	(1,13)
-6.738404988611407139901056119	(1,14)
-7.570588915280009362178063146	(1,15)
-8.407583420557311986914887002	(1,16)
-9.240243021434596680707919208	(1,17)
-10.059460726200785346616752615	(1,18)
-10.856265843809871071001954848	(1,19)
-11.621920970311191378041072638	(1,20)
-12.348017252911401389264102137	(1,21)
-13.026566985572636855573094368	(1,22)
-13.65009254191627180438809658	(1,23)
-14.21171060909455413579531288	(1,24)
-14.70521065824802855162716426	(1,25)
-15.12512658094736415551776755	(1,26)
-15.4668004433134872184775782	(1,27)
-15.72643736522236027520809615	(1,28)
-15.90115062368849580234049638	(1,29)
-15.988996207052511068659735	(1,30)
-0.0109437245003324688335326033	(2,1)
-0.0983136335120584929268718311	(2,2)
-0.2720963324786758440900720661	(2,3)
-0.5303884794333089654523464859	(2,4)
-0.8703621238646051290838713003	(2,5)
-1.2882966919312423434692976444	(2,6)
-1.779620841918176615269296992	(2,7)
-2.338963558552639533859136442	(2,8)
-2.960213750736369391473783111	(2,9)
-3.63658754179669139156077188	(2,10)
-4.360702393935548796988849873	(2,11)
-5.124657186242711196747646148	(2,12)
-5.920117363536267208007583624	(2,13)
-6.738404285075438828094541659	(2,14)
-7.570587920807233295512573816	(2,15)
-8.40758206125239940337465962	(2,16)
-9.240241219207520129032342876	(2,17)
-10.059458402427258694227669405	(2,18)
-10.856262923661260403243394353	(2,19)
-11.621917387506260720694423122	(2,20)
-12.348012954579373405550612601	(2,21)
-13.026561936875906094406540824	(2,22)
-13.6500867300673290917303318	(2,23)
-14.2117040464188041077841684	(2,24)
-14.70520338399307641928773446	(2,25)
-15.12511866161782788719875542	(2,26)
-15.46679197141313618986234443	(2,27)
-15.72642845640421504213766446	(2,28)
-15.90114141243808041381163753	(2,29)
-15.9889868411481795665498308	(2,30)
-0.0109437250009475623639237858	(3,1)
-0.0983136379948209006352841478	(3,2)
-0.2720963446138800766523873126	(3,3)
-0.5303885013842358612732683071	(3,4)
-0.8703621534618252883258625384	(3,5)
-1.2882967177251679828744759636	(3,6)
-1.779620835964260525897075797	(3,7)
-2.338963467177967954275052726	(3,8)
-2.960213483932835265695371104	(3,9)
-3.636586962237278252502194687	(3,10)
-4.360701306873785466441456246	(3,11)
-5.124655331697069753094235622	(3,12)
-5.920114412158990652875565266	(3,13)
-6.738399838950468888751699003	(3,14)
-7.570581520120260926482960788	(3,15)
-8.407573197347001435328880207	(3,16)
-9.240229354016613275337443627	(3,17)
-10.059442993690603037363745252	(3,18)
-10.8562434547567416955666352	(3,19)
-11.62189340018834471667196193	(3,20)
-12.347984082485464893402654963	(3,21)
-13.026527937378612888862901121	(3,22)
-13.65004751195644136959238665	(3,23)
-14.21165969101538357926585413	(3,24)
-14.7051541576352415038991206	(3,25)
-15.12506501799845331709647146	(3,26)
-15.46673454295704359490291993	(3,27)
-15.72636803469021206570603974	(3,28)
-15.90107891852810408364761409	(3,29)
-15.9889232875024189675402551	(3,30)
-0.0109437299441385246669998709	(4,1)
-0.0983136823538554497655236977	(4,2)
-0.272096466479659328283376362	(4,3)
-0.5303887332597991489599887592	(4,4)
-0.870362512576561292154402373	(4,5)
-1.2882971892936897606857812538	(4,6)
-1.77962134890830158210323279	(4,7)
-2.338963863142815676698197409	(4,8)
-2.960213481749980288208356031	(4,9)
-3.636586121154912306000978357	(4,10)
-4.360698992754144490470929226	(4,11)
-5.12465069085101143423231842	(4,12)
-5.920106357479641650415907202	(4,13)
-6.738387052490847115851439197	(4,14)
-7.57056247525356438537426294	(4,15)
-8.40754620221769163444694621	(4,16)
-9.240192616241573222670162717	(4,17)
-10.059394704342481405373954816	(4,18)
-10.856181887720505763017747797	(4,19)
-11.621817021204296685840922226	(4,20)
-12.347891660753981003211390221	(4,21)
-13.026418651663969911879137736	(4,22)
-13.64992104281727823420297449	(4,23)
-14.21151629118753172457166321	(4,24)
-14.70499469371749533883530185	(4,25)
-15.12489097839221656188825796	(4,26)
-15.46654800936410788749189711	(4,27)
-15.72617161719180810265115135	(4,28)
-15.90087565711588526649898775	(4,29)
-15.9887165256446768116732018	(4,30)
-0.0109437516114480382477199697	(5,1)
-0.0983138768871910287327878528	(5,2)
-0.2720970027066492324441024518	(5,3)
-0.5303897648861881414749182223	(5,4)
-0.8703641541004158319241085535	(5,5)
-1.2882994750068569584500979247	(5,6)
-1.779624173838129570787374579	(5,7)
-2.338966907940605308263705064	(5,8)
-2.960216126703046756404926744	(5,9)
-3.636587357308707408373201699	(5,10)
-4.360697340237284134309366507	(5,11)
-5.124644135626509403748519676	(5,12)
-5.920092317722160078697477685	(5,13)
-6.738362384543999917870794071	(5,14)
-7.570523526699471773009959484	(5,15)
-8.407488916149857119807094499	(5,16)
-9.24011268662765207175018562	(5,17)
-10.059287777733080367074959811	(5,18)
-10.856043801899732269116469697	(5,19)
-11.621644067113598791811030093	(5,20)
-12.347680850576424824928240175	(5,21)
-13.026167973715389825958590085	(5,22)
-13.64962968315909943891163671	(5,23)
-14.2111848028429854947868487	(5,24)
-14.70462509708070906599910716	(5,25)
-15.12448678074348265466410457	(5,26)
-15.4661141370491500491736793	(5,27)
-15.72571426053834162930773427	(5,28)
-15.90040203497989757959007528	(5,29)
-15.9882345829716155078645665	(5,30)
-0.0109438166989138257963477919	(6,1)
-0.0983144613722264833247853572	(6,2)
-0.272098616013182976322837111	(6,3)
-0.5303928824408964160525712546	(6,4)
-0.8703691673818275755539377348	(6,5)
-1.2883066078778610702432680676	(6,6)
