hh1_(sigma,mu)
0.791061369346984875234341991	(1,1)
0.791061238788344898026394895	(1,2)
0.791060358389725302266517148	(1,3)
0.791057523556170233680698999	(1,4)
0.791051010888588649532543891	(1,5)
0.791038674407377152403023174	(1,6)
0.791018067316617326598738594	(1,7)
0.790986583888785582265929247	(1,8)
0.79094161496108528231777288	(1,9)
0.790880709673917108492455989	(1,10)
0.790801735526125973480570033	(1,11)
0.790703028642784738464620723	(1,12)
0.79058352640522994926085777	(1,13)
0.790442875307021646975372414	(1,14)
0.79028150806224510852356766	(1,15)
0.790100685549549029894456735	(1,16)
0.789902501029953150420218906	(1,17)
0.789689846098231985499135562	(1,18)
0.789466339865987941579508319	(1,19)
0.789236224776299252217982041	(1,20)
0.789004234077954225394982298	(1,21)
0.788775437236701038832185601	(1,22)
0.788555070369708918321779195	(1,23)
0.788348359143074017583997227	(1,24)
0.788160341500930798753708077	(1,25)
0.787995697164510978728609843	(1,26)
0.787858590138860781959224191	(1,27)
0.78775252959010428262589991	(1,28)
0.787680253496970985387906548	(1,29)
0.78764363850908889134892118	(1,30)
0.787850417174210614047545384	(2,1)
0.78785028515983616403860399	(2,2)
0.787849394944742029092924639	(2,3)
0.787846528502792078363172824	(2,4)
0.787839943219518006222109628	(2,5)
0.787827469189696033143516426	(2,6)
0.787806632341307445341975646	(2,7)
0.787774797905608608449991207	(2,8)
0.787729327651772779307862699	(2,9)
0.787667743433984690427655653	(2,10)
0.787587889036386834036169036	(2,11)
0.787488082120083387541566076	(2,12)
0.787367248333056762861419279	(2,13)
0.78722503036588541783270907	(2,14)
0.787061865912256659771508291	(2,15)
0.786879030068245725687511226	(2,16)
0.786678639580447642067620829	(2,17)
0.786463618398187776837940379	(2,18)
0.786237626046769989483492842	(2,19)
0.78600495226213687506224019	(2,20)
0.785770382973677662028882577	(2,21)
0.785539043984955311059823729	(2,22)
0.785316229519231326863517989	(2,23)
0.78510722315329464516790726	(2,24)
0.784917118589937242503757839	(2,25)
0.784750647283313317547639223	(2,26)
0.784612019222036667162922996	(2,27)
0.784504782289625502511462127	(2,28)
0.784431704651722487284388944	(2,29)
0.78439468363754035646713232	(2,30)
0.781504923486683769788649582	(3,1)
0.781504788542869702536795285	(3,2)
0.781503878573645448275942271	(3,3)
0.781500948524720776156487861	(3,4)
0.781494217113725915598360378	(3,5)
0.781481466289063383547316754	(3,6)
0.781460167090397621988123096	(3,7)
