ldd231_(sigma,mu)
4.3082902423533e-16	(1,1)
3.87023437252048e-15	(1,2)
1.070869097842885e-14	(1,3)
2.085710223874603e-14	(1,4)
3.416220586030254e-14	(1,5)
5.03866675520295e-14	(1,6)
6.918814600943485e-14	(1,7)
9.010128267356509e-14	(1,8)
1.1252659887369135e-13	(1,9)
1.3572982558701108e-13	(1,10)
1.5885428244126088e-13	(1,11)
1.8094764682369072e-13	(1,12)
2.0100293590546954e-13	(1,13)
2.1801191747182812e-13	(1,14)
2.3102763642693034e-13	(1,15)
2.3923145607678393e-13	(1,16)
2.4199911014879918e-13	(1,17)
2.3895985156496939e-13	(1,18)
2.3004292953514688e-13	(1,19)
2.15506336505745e-13	(1,20)
1.9594399456890513e-13	(1,21)
1.7226919906351734e-13	(1,22)
1.4567406414109865e-13	(1,23)
1.1756674972164084e-13	(1,24)
8.949020607047336e-14	(1,25)
6.30278691333798e-14	(1,26)
3.97030155294505e-14	(1,27)
2.0879215856368e-14	(1,28)
7.6694324513327e-15	(1,29)
8.60772992742e-16	(1,30)
3.1362921466986112e-13	(2,1)
2.8174020284798515e-12	(2,2)
7.79557121750232298e-12	(2,3)
1.518327740743982762e-11	(2,4)
2.486895071903653794e-11	(2,5)
3.667981962651135971e-11	(2,6)
5.036667095134197294e-11	(2,7)
6.559073899824114631e-11	(2,8)
8.191562304412084789e-11	(2,9)
9.880679943598695005e-11	(2,10)
1.1564063311642930822e-10	(2,11)
1.3172386468046642993e-10	(2,12)
1.4632344397142160791e-10	(2,13)
1.5870541143694619934e-10	(2,14)
1.6818041538708454481e-10	(2,15)
1.7415251584450949481e-10	(2,16)
1.7616726821857240856e-10	(2,17)
1.7395478161400971775e-10	(2,18)
1.6746355254541808115e-10	(2,19)
1.5688139166862074549e-10	(2,20)
1.426406551402704233e-10	(2,21)
1.2540619200316216942e-10	(2,22)
1.0604582181927394906e-10	(2,23)
8.558463793050438089e-11	(2,24)
6.514585621198759042e-11	(2,25)
4.58821644664006376e-11	(2,26)
2.89024563107250664e-11	(2,27)
1.5199364635080611e-11	(2,28)
5.5830879538814743e-12	(2,29)
6.26613679551257e-13	(2,30)
6.7015773505855301e-12	(3,1)
6.020178202442094638e-11	(3,2)
1.6657448026932423894e-10	(3,3)
3.2443376657822151635e-10	(3,4)
5.3139563095034932975e-10	(3,5)
7.8376831300354284446e-10	(3,6)
1.07622665451191657319e-9	(3,7)
1.40153194761641497399e-9	(3,8)
1.75035922908745503155e-9	(3,9)
2.11128685644236088771e-9	(3,10)
2.4709890680517210588e-9	(3,11)
2.81465238441828922534e-9	(3,12)
3.12661309387645723624e-9	(3,13)
3.39118806970614463521e-9	(3,14)
3.59364738119849180531e-9	(3,15)
3.72125712973118279011e-9	(3,16)
3.76430689256976567215e-9	(3,17)
3.71702978095183224023e-9	(3,18)
3.57832538388656413245e-9	(3,19)
3.35220691376243121387e-9	(3,20)
3.04791297361432433773e-9	(3,21)
2.67965000344401973955e-9	(3,22)
2.26596143864113462495e-9	(3,23)
1.82875126252000953883e-9	(3,24)
1.39202007245300196323e-9	(3,25)
9.803981732876776805e-10	(3,26)
6.175800547367233061e-10	(3,27)
3.2477595926524723e-10	(3,28)
1.192979177572907718e-10	(3,29)
1.3389311395151647e-11	(3,30)
5.019889837772140781e-11	(4,1)
4.5094803478133976363e-10	(4,2)
1.24774436389033859984e-9	(4,3)
2.43020658239888760671e-9	(4,4)
3.98047692450792172154e-9	(4,5)
5.87090168756458272711e-9	(4,6)
8.06159189716974195502e-9	(4,7)
1.04983247750661658076e-8	(4,8)
1.311125006854575702819e-8	(4,9)
1.581481200633518522893e-8	(4,10)
1.850919177161677422765e-8	(4,11)
2.108342672421531164112e-8	(4,12)
2.342018571090424819251e-8	(4,13)
2.540199255473820828317e-8	(4,14)
2.691851164543028318741e-8	(4,15)
2.787435950080380547514e-8	(4,16)
2.819680094169737160795e-8	(4,17)
2.784264077223206915534e-8	(4,18)
2.6803638840467298364e-8	(4,19)
2.510985910775106133154e-8	(4,20)
2.283050647593006520861e-8	(4,21)
2.007199717964547863829e-8	(4,22)
1.697323309485068701836e-8	(4,23)
1.369828738060299927936e-8	(4,24)
1.042693684950513194569e-8	(4,25)
7.3436741434902496413e-9	(4,26)
4.6259813945110650837e-9	(4,27)
2.4327320338775307735e-9	(4,28)
8.935999028686198463e-10	(4,29)
1.00292490329297e-10	(4,30)
2.249487100480902251e-10	(5,1)
2.02076503389075435752e-9	(5,2)
5.59132752254104333179e-9	(5,3)
1.089011574167869766856e-8	(5,4)
1.783710558509438167533e-8	(5,5)
2.630837497271026536032e-8	(5,6)
3.612517244628050234778e-8	(5,7)
4.704451308206544230993e-8	(5,8)
5.875338136754095659039e-8	(5,9)
7.086838185876308466986e-8	(5,10)
8.294220394980344927757e-8	(5,11)
9.447760084294076861364e-8	(5,12)
1.0494879001735487901944e-7	(5,13)
1.1382934329517127370878e-7	(5,14)
1.2062483611115603268745e-7	(5,15)
1.2490785314571660883983e-7	(5,16)
1.2635247597113148175984e-7	(5,17)
1.2476516449644437530038e-7	(5,18)
1.2010902028496814485061e-7	(5,19)
1.1251879087646000400233e-7	(5,20)
1.0230461582044120844976e-7	(5,21)
8.994337594639881060212e-8	(5,22)
7.605751369400832827292e-8	(5,23)
6.138225461105698179156e-8	(5,24)
4.672318155693856533574e-8	(5,25)
3.2906998705246954357e-8	(5,26)
2.07289880054498408704e-8	(5,27)
1.0901041248494362142e-8	(5,28)
4.0042065753086476832e-9	(5,29)
4.49408829438216112e-10	(5,30)
7.4110021318153192068e-10	(6,1)
6.65747046566550347428e-9	(6,2)
1.8420794379954393541e-8	(6,3)
3.58778072812195175689e-8	(6,4)
5.876486229832364963536e-8	(6,5)
8.667368355914353573078e-8	(6,6)
1.1901534995226859275955e-7	(6,7)
1.5498931149036342875787e-7	(6,8)
1.9356429055637322076172e-7	(6,9)
2.334771333974710055994e-7	(6,10)
2.7325411373263933803624e-7	(6,11)
3.1125699487262572204314e-7	(6,12)
3.4575354420736031625609e-7	(6,13)
3.7500942844348514667263e-7	(6,14)
3.9739578674420095818767e-7	(6,15)
4.1150456326842788664623e-7	(6,16)
4.1626212739811291101551e-7	(6,17)
4.1103100606550235384338e-7	(6,18)
3.9568980508573739333337e-7	(6,19)
3.7068262029524096403281e-7	(6,20)
3.3703135441650401288806e-7	(6,21)
2.9630719268466758406119e-7	(6,22)
2.5056080606701351474186e-7	(6,23)
2.0221435036405150856509e-7	(6,24)
1.5392169351776127832849e-7	(6,25)
1.084062191622779013499e-7	(6,26)
6.82877450164560915786e-8	(6,27)
3.59113460924284959814e-8	(6,28)
1.31910544845818156534e-8	(6,29)
1.480486000072947145e-9	(6,30)
1.98594022569391334336e-9	(7,1)
1.784014915276649260101e-8	(7,2)
4.936254859637903961017e-8	(7,3)
9.61424245780527150384e-8	(7,4)
1.5747325478862750174785e-7	(7,5)
2.3226092568418009784226e-7	(7,6)
3.1892720829399531355027e-7	(7,7)
4.1532672363075408756022e-7	(7,8)
5.1869576358669328523842e-7	(7,9)
6.2564922411492839117992e-7	(7,10)
7.3223771643778746859174e-7	(7,11)
8.3407103649257254459779e-7	(7,12)
9.2650716892809249885855e-7	(7,13)
1.00489858809879505355048e-6	(7,14)
1.06488056496949734947277e-6	(7,15)
1.10268025034402511169318e-6	(7,16)
1.1154211435471578375946e-6	(7,17)
1.10139567267291947975936e-6	(7,18)
1.06027929433576956425361e-6	(7,19)
9.9326280699984137288395e-7	(7,20)
9.0308524633509628456108e-7	(7,21)
7.9395733875160855850477e-7	(7,22)
6.7137437699189326744714e-7	(7,23)
5.4182675800291209610512e-7	(7,24)
4.124254330551897156067e-7	(7,25)
2.904673253576455143788e-7	(7,26)
1.829716307861411549904e-7	(7,27)
9.62212610435496920428e-8	(7,28)
3.53441681007115246779e-8	(7,29)
3.966815414663435818e-9	(7,30)
4.58163802024780662285e-9	(8,1)
4.115788785047856545503e-8	(8,2)
1.1388123093371688654391e-7	(8,3)
2.2180410743055579169282e-7	(8,4)
3.6329646327531787969285e-7	(8,5)
5.3583396430332694828492e-7	(8,6)
7.3577527310269509961174e-7	(8,7)
9.5817045979152773078284e-7	(8,8)
1.19664293059188773125678e-6	(8,9)
1.44338239102335641868175e-6	(8,10)
1.68927668693797908218159e-6	(8,11)
1.92419678034068033637075e-6	(8,12)
2.1374329480077157451426e-6	(8,13)
2.31826317559277298642935e-6	(8,14)
2.45661843802360264505037e-6	(8,15)
2.5437958525269390478826e-6	(8,16)
2.57316109350069190057728e-6	(8,17)
2.54077712552523002434286e-6	(8,18)
2.44589790226634131803744e-6	(8,19)
2.29127328309043736599558e-6	(8,20)
2.08322453302584095475179e-6	(8,21)
1.83146734075893127134351e-6	(8,22)
1.54867980189386033673697e-6	(8,23)
1.24983444192426419742592e-6	(8,24)
9.513341217179622321458e-7	(8,25)
6.700096470545007791559e-7	(8,26)
4.220503894193647460751e-7	(8,27)
2.219469052212412633864e-7	(8,28)
8.1525619967920086438e-8	(8,29)
9.149923747072962241e-9	(8,30)
9.42371379370635738639e-9	(9,1)
8.465534595436074875607e-8	(9,2)
2.3423588688618064795778e-7	(9,3)
4.5621627284699559592862e-7	(9,4)
7.4724349794137011524823e-7	(9,5)
1.10212488728848399806603e-6	(9,6)
1.51336987704459206616848e-6	(9,7)
1.97079587029339816307033e-6	(9,8)
2.46128538459018289454309e-6	(9,9)
2.96877169229811243271325e-6	(9,10)
3.47451024391264461637681e-6	(9,11)
3.95766519560606730296557e-6	(9,12)
4.39620707361457912249323e-6	(9,13)
4.76808237120052104476747e-6	(9,14)
5.05258235761919776024037e-6	(9,15)
5.23181017838650922764109e-6	(9,16)
5.29212559564883559575953e-6	(9,17)
5.22543783870478710721295e-6	(9,18)
5.03022036284727546715772e-6	(9,19)
4.71213702267203307066543e-6	(9,20)
4.28419620660837070175947e-6	(9,21)
3.76638566886242726660106e-6	(9,22)
3.18478301027817225211836e-6	(9,23)
2.57018123044408933585021e-6	(9,24)
1.9563114388425858760346e-6	(9,25)
1.3777817083976067791079e-6	(9,26)
8.678786908282679442428e-7	(9,27)
4.563943089469014849397e-7	(9,28)
1.676419815744225309876e-7	(9,29)
1.8815029687417243813e-8	(9,30)
1.768359721406024379396e-8	(10,1)
1.5885573908615830500008e-7	(10,2)
4.3954355298111141592241e-7	(10,3)
8.5608941181639563498251e-7	(10,4)
1.40220078343947977888738e-6	(10,5)
2.06813228915010459634852e-6	(10,6)
2.83982556191222715497346e-6	(10,7)
3.69816944161274001922421e-6	(10,8)
4.61854426782974801801142e-6	(10,9)
5.57079522804509562951609e-6	(10,10)
6.51974232058278571597428e-6	(10,11)
7.42628194555393024901829e-6	(10,12)
8.24907258934885027734873e-6	(10,13)
8.94673086016709580347409e-6	(10,14)
9.4804011691096710494677e-6	(10,15)
9.81650940247131080548352e-6	(10,16)
9.92947393069867463330752e-6	(10,17)
9.80413072484802968538577e-6	(10,18)
9.43763573790871660780164e-6	(10,19)
8.84063735875954788517937e-6	(10,20)
8.03756266230128744953556e-6	(10,21)
7.06592922422294085925771e-6	(10,22)
5.97467354796203054583151e-6	(10,23)
4.8215705670128928714019e-6	(10,24)
3.6698986136735193366303e-6	(10,25)
2.5845732634676128321871e-6	(10,26)
1.6280250611602466917168e-6	(10,27)
8.56125328025942474187e-7	(10,28)
3.144680621883827968748e-7	(10,29)
3.5293681342935581097e-8	(10,30)
3.076405502635496005575e-8	(11,1)
2.7636043455729764090647e-7	(11,2)
7.6467135072905237520466e-7	(11,3)
1.48933316577851621129235e-6	(11,4)
2.43939736846598275118227e-6	(11,5)
3.59790691128469371251827e-6	(11,6)
4.94039915077253219176917e-6	(11,7)
6.43361836602773718607334e-6	(11,8)
8.03472298020343626660596e-6	(11,9)
9.69123987581788047272296e-6	(11,10)
0.00001134195304960221107772288	(11,11)
0.00001291882229442297946430047	(11,12)
0.00001434991859270619061736351	(11,13)
0.00001556324752484046171228785	(11,14)
0.00001649122229866740802888005	(11,15)
0.000017075455819065298694429	(11,16)
0.00001727147690391554671404056	(11,17)
0.00001705294711834379878488139	(11,18)
0.00001641496613722210304105938	(11,19)
0.00001537610553218258273373895	(11,20)
0.00001397889985967160279140701	(11,21)
0.00001228864261639816312099388	(11,22)
0.00001039047269229025176763166	(11,23)
8.3848819890457547696801e-6	(11,24)
6.3819136121783528807341e-6	(11,25)
4.4944396143842146819833e-6	(11,26)
2.8309964244554592073723e-6	(11,27)
1.4887062859408628300863e-6	(11,28)
5.468191904635389455129e-7	(11,29)
6.1370815729210000804e-8	(11,30)
5.020783239261815806966e-8	(12,1)
4.5102825494900507620079e-7	(12,2)
1.24796565430566947991074e-6	(12,3)
2.43063336042844311348792e-6	(12,4)
3.98116005309116912020367e-6	(12,5)
5.87186482864889103795198e-6	(12,6)
8.06281252090650003548508e-6	(12,7)
0.0000104997115450951506962179	(12,8)
0.00001311262008866866182201366	(12,9)
0.00001581587300035399824284769	(12,10)
0.00001850953523394876095065658	(12,11)
0.00002108253797123723760948245	(12,12)
0.00002341747525021724248206514	(12,13)
0.00002539685019678700083041631	(12,14)
0.00002691038058716159649670044	(12,15)
0.00002786282286384303580324131	(12,16)
0.00002818166888862815525598964	(12,17)
0.00002782402341095797429595504	(12,18)
0.00002678198959354574161620347	(12,19)
0.00002508597563722121470828592	(12,20)
0.00002280548161810716538074365	(12,21)
0.00002004712001592428081936	(12,22)
0.0000169498490347610895380743	(12,23)
0.0000136776343512664289845495	(12,24)
0.0000104099806918516596125034	(12,25)
7.330968720059853828322e-6	(12,26)
4.6175769378606373997572e-6	(12,27)
2.4281489516449543105444e-6	(12,28)
8.918755137620741022308e-7	(12,29)
1.00096627284211512323e-7	(12,30)
7.757389223060912044283e-8	(13,1)
6.9686370685688323251415e-7	(13,2)
1.92817586634117194847942e-6	(13,3)
3.75546035353501858761656e-6	(13,4)
6.15109898643826467155458e-6	(13,5)
9.07231035025317623004483e-6	(13,6)
0.00001245736979491160851789867	(13,7)
0.00001622235961126355653269345	(13,8)
0.00002025917008311091985795256	(13,9)
0.00002443538939629452000528425	(13,10)
0.00002859655549597924840028733	(13,11)
0.00003257101103118728301504612	(13,12)
0.00003617732624851288762230152	(13,13)
0.00003923396226403612441499802	(13,14)
0.00004157056932916643870647882	(13,15)
0.0000430400817145659145487687	(13,16)
0.00004353060909662525706179689	(13,17)
0.00004297605363608878454862903	(13,18)
0.00004136441323748793642029453	(13,19)
0.0000387428655855192933106244	(13,20)
0.00003521895492675811185164974	(13,21)
0.0000309575051705877861182529	(13,22)
0.0000261732320637318704733702	(13,23)
0.0000211193922999058190873614	(13,24)
0.0000160731549352932341108823	(13,25)
0.0000113186782437518825952648	(13,26)
7.1290954463467197373477e-6	(13,27)
3.7487348652286614249937e-6	(13,28)
1.3769120977425195291171e-6	(13,29)
1.54531726083198984716e-7	(13,30)
1.1430628680859185529564e-7	(14,1)
1.02683902314186291373248e-6	(14,2)
2.84119505270514792277951e-6	(14,3)
5.53372063749074107616475e-6	(14,4)
9.06370877504549362880829e-6	(14,5)
0.00001336809636698861628675377	(14,6)
0.00001835588903338082796244552	(14,7)
0.00002390336895044682739103472	(14,8)
0.00002985114948868194827033519	(14,9)
0.00003600401836083642380311974	(14,10)
0.00004213426736706558944710903	(14,11)
0.00004798886390248993083958405	(14,12)
0.00005330041080408153766288943	(14,13)
0.00005780140864430570789236145	(14,14)
0.00006124092395762591772850339	(14,15)
0.00006340242301593881363448616	(14,16)
0.00006412129290562327947500171	(14,17)
0.00006330046908456867801659481	(14,18)
0.00006092263730360048447199441	(14,19)
0.0000570576785542097571753894	(14,20)
0.00005186436387728444782446106	(14,21)
0.0000455857526971708766804024	(14,22)
0.0000385382639304743508120568	(14,23)
