luu121_(sigma,mu)
-0.00001999742750797906567927795	(1,1)
-0.00017964140517384017695547496	(1,2)
-0.00049705627870664690983162672	(1,3)
-0.00096810652619524642663737446	(1,4)
-0.00158567830098177937182405861	(1,5)
-0.00233875545733347251595710989	(1,6)
-0.00321144782746271144840782394	(1,7)
-0.00418215525534423018266033708	(1,8)
-0.00522305224475031319234574995	(1,9)
-0.00630005684929061687374595008	(1,10)
-0.00737340525817768247659180497	(1,11)
-0.00839889431544569117442062793	(1,12)
-0.00932978374809485010656545787	(1,13)
-0.01011927529163515904305892397	(1,14)
-0.01072341493020594872555496809	(1,15)
-0.01110420469531194744376219048	(1,16)
-0.01123266854671207515652238402	(1,17)
-0.01109159783108742686850514649	(1,18)
-0.01067770856997220244454832144	(1,19)
-0.01000297578246808116238458133	(1,20)
-0.00909496705054961419671212624	(1,21)
-0.00799607403446776558567906951	(1,22)
-0.00676163009162834617619783933	(1,23)
-0.0054569965930511379371741054	(1,24)
-0.00415379135891796486908087825	(1,25)
-0.00292551139856808286258146243	(1,26)
-0.00184286135626286715656326115	(1,27)
-0.00096913293645769915684834313	(1,28)
-0.00035598557150938905890438533	(1,29)
-0.00003995377332522923734309508	(1,30)
-0.00001999633747320827927595521	(2,1)
-0.00017963161312967160434770233	(2,2)
-0.00049702918445232878653532132	(2,3)
-0.00096805375341433675892552813	(2,4)
-0.00158559185659039825339639002	(2,5)
-0.00233862793898793564568602524	(2,6)
-0.00321127268188813224696356037	(2,7)
-0.00418192708080831854198726481	(2,8)
-0.00522276712166485070670699938	(2,9)
-0.00629971267466504034889228894	(2,10)
-0.00737300205342792202564996959	(2,11)
-0.00839843447361170015474339789	(2,12)
-0.00932927218631247636149920116	(2,13)
-0.01011871947793439037541606849	(2,14)
-0.01072282476029037558210807515	(2,15)
-0.01110359220458286124297238626	(2,16)
-0.01123204745486774012007635735	(2,17)
-0.01109098293036266508435327274	(2,18)
-0.01067711498248490712122447116	(2,19)
-0.01000241812602507722672896702	(2,20)
-0.00909445856432498918637271084	(2,21)
-0.00799562572485944680357456973	(2,22)
-0.00676124996308071803163620576	(2,23)
-0.00545668902772508072447337057	(2,24)
-0.0041535567022542557880305105	(2,25)
-0.00292534579507080289649301312	(2,26)
-0.00184275686194728753239348946	(2,27)
-0.00096907791276100841333270602	(2,28)
-0.00035596534202748628984767552	(2,29)
-0.00003995150186216396309538795	(2,30)
-0.00001998835114610331538185335	(3,1)
-0.00017955987004362290508466559	(3,2)
-0.00049683067392582721178227105	(3,3)
-0.00096766710593328721075351758	(3,4)
-0.00158495851293830293168813843	(3,5)
-0.00233769367342943885740248404	(3,6)
-0.00320998949887434704137846068	(3,7)
-0.0041802554358969718610874379	(3,8)
-0.00522067834850286498166492875	(3,9)
-0.00629719143901582761606682188	(3,10)
-0.007370048609426239572866013	(3,11)
-0.00839506647218523102703673302	(3,12)
-0.00932552578454539746666847389	(3,13)
-0.01011464952249046063995414285	(3,14)
-0.01071850386722672614386243299	(3,15)
-0.01109910862939522104513387763	(3,16)
-0.01122750173603563983229207521	(3,17)
-0.01108648339096373540234791618	(3,18)
-0.01067277228006827784980800107	(3,19)
-0.00999833914207669074270208132	(3,20)
-0.00909074001172767979311377042	(3,21)
-0.00799234791506152931564639691	(3,22)
-0.00675847120542793406237274944	(3,23)
-0.00545444112480372943521724673	(3,24)
-0.00415184195358069031226243283	(3,25)
-0.0029241358277101326381025701	(3,26)
-0.00184199347612310741841415136	(3,27)
-0.00096867597346844140922058982	(3,28)
-0.00035581757833451716999672945	(3,29)
-0.00003993491078356185913084639	(3,30)
-0.00001995948378041180996946307	(4,1)
-0.00017930054763514103026593596	(4,2)
-0.00049611313894274805219316298	(4,3)
-0.00096626953692300285870582149	(4,4)
-0.00158266925809795238980004701	(4,5)
-0.00233431676955588826670488332	(4,6)
-0.00320535154591442107250815995	(4,7)
-0.00417421364702863707883117581	(4,8)
-0.00521312934495824189215603546	(4,9)
-0.00628808013716893800613531022	(4,10)
-0.00735937638110495573750571845	(4,11)
-0.00838289766806584530010294959	(4,12)
-0.00931199170795105664207808371	(4,13)
-0.01009994903218057321826664284	(4,14)
-0.01070289997023551339872864686	(4,15)
-0.01108292068863280534216302493	(4,16)
-0.01121109324534776103858997784	(4,17)
-0.01107024563964087984713417478	(4,18)
-0.01065710461107062961520095297	(4,19)
-0.00998362687106813612958834413	(4,20)
-0.00907733138270326005376113779	(4,21)
-0.00798053168860737356130583519	(4,22)
-0.00674845657699038552802988601	(4,23)
-0.00544634163006192339982080698	(4,24)
-0.004145664825136663499614323	(4,25)
-0.00291977792580370426675167661	(4,26)
-0.0018392444466028456959000823	(4,27)
-0.00096722872577782964964172728	(4,28)
-0.00035528557529531491675809899	(4,29)
-0.0000398751793748447049504254	(4,30)
-0.00001988399622733873903089632	(5,1)
-0.00017862242510894630679460462	(5,2)
-0.0004942368023999529493967733	(5,3)
-0.00096261494059715810581806272	(5,4)
-0.00157668298076441106013436243	(5,5)
-0.00232548648217377104074014462	(5,6)
-0.00319322403886928409714870448	(5,7)
-0.00415841594113126622045312573	(5,8)
-0.00519339174968764594183016221	(5,9)
-0.00626425953540138851946711367	(5,10)
-0.00733147758127049927917991205	(5,11)
-0.00835109042683323448226988282	(5,12)
-0.00927662102440075511919981826	(5,13)
-0.01006153656190925915808065005	(5,14)
-0.01066213489733611687259567829	(5,15)
-0.01104063909689236791040718922	(5,16)
-0.01116824590044051949968889396	(5,17)
-0.01102785506824767546277371723	(5,18)
-0.01061621336386089229703373431	(5,19)
-0.0099452397978400360159805456	(5,20)
-0.0090423555389627710106170281	(5,21)
-0.00794971804569160312654905206	(5,22)
-0.00672234794647597425456983303	(5,23)
-0.00542523108312133227458494844	(5,24)
-0.00412956836508265340184759425	(5,25)
-0.00290842427190434336711246128	(5,26)
-0.00183208356576415866909594082	(5,27)
-0.00096345930246071239904938113	(5,28)
-0.00035390006834863887584356498	(5,29)
-0.00003971962637697565622008521	(5,30)
-0.00001972147540158578308310078	(6,1)
-0.00017716246234544646429200851	(6,2)
-0.00049019715079973743801192994	(6,3)
-0.00095474681668761738027526015	(6,4)
-0.00156379498449567506757038556	(6,5)
-0.00230647581631185939900560244	(6,6)
-0.00316711542145558068389476571	(6,7)
-0.00412440717662481299370233084	(6,8)
-0.00515090349196093302593439186	(6,9)
-0.00621298550884904284457931779	(6,10)
-0.00727143057717613005166070346	(6,11)
-0.00828263888084496866807852121	(6,12)
-0.00920051098531416279833188051	(6,13)
-0.00997889441238253861520412953	(6,14)
-0.01057444726566548265780585469	(6,15)
