ldd121_(sigma,mu)
-0.00001070673440935457194716495	(1,1)
-0.00009618461163190040617365775	(1,2)
-0.00026620385256723438381748435	(1,3)
-0.00051890169083544626506026651	(1,4)
-0.00085150951604773820951051373	(1,5)
-0.00126038320728515914662556785	(1,6)
-0.00174104305885427627977989653	(1,7)
-0.00228822286088416883376034049	(1,8)
-0.00289592759702676067329316966	(1,9)
-0.00355749912711179076730881332	(1,10)
-0.00426568913512303169789532178	(1,11)
-0.00501273854326219352278863212	(1,12)
-0.0057904625220233891779595472	(1,13)
-0.0065903401648902401273259261	(1,14)
-0.007403607845161373791943626	(1,15)
-0.0082213552320681122373820644	(1,16)
-0.0090346229142125459065804972	(1,17)
-0.0098345005607441246096862104	(1,18)
-0.0106122245448013094770364457	(1,19)
-0.0113592739596362616997220858	(1,20)
-0.0120674639754504559060560971	(1,21)
-0.0127290355141045755332976748	(1,22)
-0.0133367402592078827506615331	(1,23)
-0.0138839200701984902380028813	(1,24)
-0.0143645799303366956478254256	(1,25)
-0.0147734536293770680093122928	(1,26)
-0.0151060614612851482254803173	(1,27)
-0.0153587593048493472857464733	(1,28)
-0.0155287785494494074284438128	(1,29)
-0.015614256428545252397734204	(1,30)
-0.00001070470680522824684197346	(2,1)
-0.00009616639652681727147181707	(2,2)
-0.00026615343985362259473300038	(2,3)
-0.00051880342338030671252045575	(2,4)
-0.00085134826165052295478968824	(2,5)
-0.00126014452520548224697923815	(2,6)
-0.00174071335911394969766422562	(2,7)
-0.00228778955457182275989928824	(2,8)
-0.00289537923587557579966809846	(2,9)
-0.00355682553068776478330341899	(2,10)
-0.00426488150405812855939779659	(2,11)
-0.00501178955709765522008286915	(2,12)
-0.0057893664203953770767564919	(2,13)
-0.0065890928109923388451017445	(2,14)
-0.0074022067706532498093391343	(2,15)
-0.0082197996628611510212810635	(2,16)
-0.0090329137768437580848160821	(2,17)
-0.0098326404693395010119580603	(2,18)
-0.0106102177689186409632644926	(2,19)
-0.0113571263735546019819945736	(2,20)
-0.0120651829897289746355628947	(2,21)
-0.0127266299904591003385326101	(2,22)
-0.0133342204099426981593271312	(2,23)
-0.0138812973435803157571729816	(2,24)
-0.0143618668834064365225985459	(2,25)
-0.0147706637897649871277619228	(2,26)
-0.0151032091796311582007626486	(2,27)
-0.0153558595994388018368199479	(2,28)
-0.0155258469446640299879297759	(2,29)
-0.015611308788707118989137489	(2,30)
-0.00001069090578822272775033786	(3,1)
-0.00009604241425107692504143331	(3,2)
-0.00026581030251006651447061691	(3,3)
-0.00051813455975811003837160817	(3,4)
-0.00085025067368578767931436503	(3,5)
-0.00125851992165022334928842841	(3,6)
-0.00173846924010959537201325661	(3,7)
-0.00228484023505795741301899239	(3,8)
-0.00289164679603699029402606884	(3,9)
-0.00355224068208457688390237167	(3,10)
-0.0042593843607333179868261418	(3,11)
-0.00500533030184227499357208469	(3,12)
-0.0057819058574881668853561127	(3,13)
-0.0065806027981145682782625929	(3,14)
-0.0073926705242900644908735982	(3,15)
-0.008209211933298303340842939	(3,16)
-0.0090212808907985638688342558	(3,17)
-0.0098199802402605408646360012	(3,18)
-0.0105965592769766918086010778	(3,19)
-0.0113425096192530882038870118	(3,20)
-0.0120496584268163635356241604	(3,21)
-0.0127102579453691752102068678	(3,22)
-0.0133170703962778055050024487	(3,23)
-0.0138634472811623513983401022	(3,24)
-0.0143434022321455688719462415	(3,25)
-0.014751676609051973213346341	(3,26)
-0.0150837971241785948965290956	(3,27)
-0.0153361248625270248483091217	(3,28)
-0.0155058951596451309777860561	(3,29)
-0.015591247899445633777979186	(3,30)
-0.00001064592830351108571934581	(4,1)
-0.00009563835628453127264574343	(4,2)
-0.00026469201871458845614780077	(4,3)
-0.00051595473516119443686097974	(4,4)
-0.00084667363911673560897339091	(4,5)
-0.00125322534944278309014864527	(4,6)
-0.00173115568030003104194382911	(4,7)
-0.0022752284526885089606890686	(4,8)
-0.00287948287097393743622322067	(4,9)
-0.00353729883412132407306847524	(4,10)
-0.0042414694648075453183927343	(4,11)
-0.00498428006105305129923024752	(4,12)
-0.0057575926053056367950597858	(4,13)
-0.0065529349057238905032204786	(4,14)
-0.0073615933943316124575077878	(4,15)
-0.0081747085672248035339676431	(4,16)
-0.0089833720234798189095315531	(4,17)
-0.0097787240420997279389534532	(4,18)
-0.0105520506304074705433045135	(4,19)
-0.0112948789828088479201814427	(4,20)
-0.0119990703057639252519915622	(4,21)
-0.0126569089929776498009155702	(4,22)
-0.0132611871740003337945549324	(4,23)
-0.0138052837092596194941593308	(4,24)
-0.0142832367645607684839669257	(4,25)
-0.0146898091677119589934178003	(4,26)
-0.0150205458284621925644601817	(4,27)
-0.0152718225895748521172438607	(4,28)
-0.0154408859706839088227752782	(4,29)
-0.015525883366573480307891686	(4,30)
-0.00001054148750626241271302392	(5,1)
-0.00009470010604829342676732028	(5,2)
-0.00026209528745928793616435806	(5,3)
-0.00051089303506767693586965514	(5,4)
-0.00083836752795661494979482343	(5,5)
-0.0012409310160361903413391905	(5,6)
-0.00171417316133923494808302046	(5,7)
-0.00225290938926361604014572273	(5,8)
-0.00285123771468301972671897474	(5,9)
-0.00350260341553346011072514839	(5,10)
-0.00419987084162275062800583531	(5,11)
-0.00493540156983024602699667748	(5,12)
-0.0057011380492472092761481338	(5,13)
-0.0064886918217025079206960261	(5,14)
-0.0072894353549508004319169588	(5,15)
-0.0080945964878924626290844575	(5,16)
-0.0088953544597797121392735375	(5,17)
-0.009682936478603132196227667	(5,18)
-0.010448713777849139217272419	(5,19)
-0.0111842961156224661773183677	(5,20)
-0.0118816236857395780224235064	(5,21)
-0.0125330554367666315268330403	(5,22)
-0.0131314528319831502656721774	(5,23)
-0.0136702581307058492143545033	(5,24)
-0.0141435663290159900292077576	(5,25)
-0.0145461899652937145542345076	(5,26)
