kdd1311_(sigma,mu)
0.02084760656130132692192416677	(1,1)
0.02084682634560588980917912558	(1,2)
0.02084156507250329994313569183	(1,3)
0.0208246237239054212020473962	(1,4)
0.02078570113023385786082658164	(1,5)
0.02071196515490762752833138465	(1,6)
0.02058877274951351348978625722	(1,7)
0.0204005056652442196019801375	(1,8)
0.02013148315143635805670798511	(1,9)
0.01976690923081173802053585976	(1,10)
0.01929381028095629540241308494	(1,11)
0.01870191875777789272368301532	(1,12)
0.01798446096800349843077804115	(1,13)
0.01713881074677684430136783735	(1,14)
0.01616697655318826009111936327	(1,15)
0.01507589661611407102511103978	(1,16)
0.01387752503566815106281928805	(1,17)
0.01258870081157950594050015541	(1,18)
0.0112308012334483900458312708	(1,19)
0.0098291905157504511878182594	(1,20)
0.00841248357947700786170945841	(1,21)
0.0070116530774759314679899296	(1,22)
0.00565901477245011661912068285	(1,23)
0.0043871318969630818566891989	(1,24)
0.00322768291019311201661278963	(1,25)
0.00221033894844976581760101203	(1,26)
0.00136169716025968242689142568	(1,27)
0.00070431402330605380408545263	(1,28)
0.00025587874734223223620759294	(1,29)
0.00002856114478987494519732244	(1,30)
0.02096216246094189365995606619	(2,1)
0.02096137795802262569931273183	(2,2)
0.02095608777463848848300492488	(2,3)
0.02093905333466368537151753917	(2,4)
0.02089991686440416582396595457	(2,5)
0.02082577571569964550159610562	(2,6)
0.02070190637774152548739296312	(2,7)
0.02051260478068135737244368179	(2,8)
0.02024210400937782054230504497	(2,9)
0.01987552678384366096854649012	(2,10)
0.01939982819266377230286918704	(2,11)
0.01880468427244591917373289061	(2,12)
0.01808328410906653692614354741	(2,13)
0.01723298710717411700077830379	(2,14)
0.01625581276226697109512621023	(2,15)
0.01515873742832949788836701444	(2,16)
0.01395378089239574960838097664	(2,17)
0.01265787468323782513309324862	(2,18)
0.011292513557017593539519527	(2,19)
0.00988320110257309705275151991	(2,20)
0.00845870947758852138487051642	(2,21)
0.00705018152710476633226541435	(2,22)
0.0056901105862496722156356678	(2,23)
0.00441123881979316378121241588	(2,24)
0.00324541875732426076551500348	(2,25)
0.00222248457546158676480845531	(2,26)
0.0013691795717178865447394267	(2,27)
0.00070818416961224759031119569	(2,28)
0.0002572847795174023601072983	(2,29)
0.00002871808587518223289200906	(2,30)
0.02119280713586781647992194463	(3,1)
0.02119201400109360129910722637	(3,2)
0.02118666561002861691859800331	(3,3)
0.02116944374077810317396248108	(3,4)
0.02112987665347540639281741033	(3,5)
0.02105491973264991496233479252	(3,6)
0.02092968746534101660907231578	(3,7)
0.02073830299057010258348171383	(3,8)
0.02046482591070467397233464746	(3,9)
0.02009421525206722374563611457	(3,10)
0.01961328257126830841638345213	(3,11)
0.01901159031170509705309899188	(3,12)
0.01828225262028180277433462633	(3,13)
0.01742259984879872075876566349	(3,14)
0.01643467371489770077888241644	(3,15)
0.01532552733489193684439718137	(3,16)
0.0141073127507275756643807052	(3,17)
0.01279714778946331899352774454	(3,18)
0.01141676371400357379240070168	(3,19)
0.00999194472818589841880518293	(3,20)
0.00855177956768493187221837678	(3,21)
0.00712775373906834550817206	(3,22)
0.00575271809733203261043740473	(3,23)
0.00445977506403260387321612341	(3,24)
0.00328112763619375204349280158	(3,25)
0.00224693824958835561729750589	(3,26)
0.00138424445201903904775249022	(3,27)
0.00071597621402117309198193224	(3,28)
0.00026011564512174319245944342	(3,29)
0.00002903406662284837253567081	(3,30)
0.02154249608502142109233912354	(4,1)
0.02154168986293377093894946908	(4,2)
0.02153625321944051770000528334	(4,3)
0.02151874717655262193699544161	(4,4)
0.02147852720295426122082048629	(4,5)
0.02140233343747924548276869148	(4,6)
0.02127503474556181168892343867	(4,7)
0.02108049228715314881158345197	(4,8)
0.02080250263799806370743056414	(4,9)
0.02042577664020141816972425865	(4,10)
0.01993690823591053374995650591	(4,11)
0.01932528764765927810155640809	(4,12)
0.01858391540926720679436834232	(4,13)
0.01771007783182329761067795939	(4,14)
0.01670585033463615502257319902	(4,15)
0.01557840242793839636897657184	(4,16)
0.0143400866828781865411051731	(4,17)
0.01300830339260359588802956223	(4,18)
0.01160514240739409111724472041	(4,19)
0.01015681338967958441493628251	(4,20)
0.00869288505445225573495335606	(4,21)
0.007245362428905112003568575	(4,22)
0.00584763841069966786408817714	(4,23)
0.0045333616085873330240505041	(4,24)
0.00333526636057678979220322455	(4,25)
