b^3^1_3_(sigma,mu)
0.001428080254300567848544849	(1,1)
0.001428078008048403706182382	(1,2)
0.001428062860767770418130513	(1,3)
0.001428014086382455263505677	(1,4)
0.001427902027677630465714229	(1,5)
0.001427689740748101022875775	(1,6)
0.00142733506804730756035452	(1,7)
0.001426793044412291791129798	(1,8)
0.001426018524735540109512113	(1,9)
0.001424968911183597196079798	(1,10)
0.001423606852507204055542079	(1,11)
0.00142190278829350893868938	(1,12)
0.00141983721697426869595915	(1,13)
0.001417402577773182172543031	(1,14)
0.001414604653061397135643235	(1,15)
0.001411463418087465281977246	(1,16)
0.00140801328886583653371188	(1,17)
0.001404302745109101675912868	(1,18)
0.001400393332335089442143236	(1,19)
0.001396358074480572391372319	(1,20)
0.001392279354319201850355875	(1,21)
0.001388246342575332157478544	(1,22)
0.001384352076812772256488643	(1,23)
0.001380690307070856677655594	(1,24)
0.001377352236118508591828703	(1,25)
0.001374423287616147845259532	(1,26)
0.001371980035169611887383625	(1,27)
0.001370087419233044856027284	(1,28)
0.00136879636732137493813652	(1,29)
0.00136814191651810570210284	(1,30)
0.012660274741151912142372292	(2,1)
0.012660254486205493845605117	(2,2)
0.012660117899867399756365276	(2,3)
0.012659678090581603625240558	(2,4)
0.012658667632766342009986385	(2,5)
0.012656753395167476430087384	(2,6)
0.012653555234002700799540821	(2,7)
0.012648667688627886714917247	(2,8)
0.012641683675846659239362939	(2,9)
0.012632219081858065564570338	(2,10)
0.012619937102547126420721725	(2,11)
0.012604571185579151237979387	(2,12)
0.012585945481531052494563977	(2,13)
0.012563991813811972177510306	(2,14)
0.012538762323980419143699451	(2,15)
0.012510437133895509119052191	(2,16)
0.012479326580913444822408123	(2,17)
0.012445867817703232475813899	(2,18)
0.01241061581394096093799728	(2,19)
0.012374229042418471694112821	(2,20)
0.012337450366243161435832432	(2,21)
0.012301083856557702624708733	(2,22)
0.012265968452240218393726267	(2,23)
0.012232949516355553586569134	(2,24)
0.0122028494423956554832661	(2,25)
0.012176438512207759228680465	(2,26)
0.012154407204747675485519905	(2,27)
0.012137341100442819388929181	(2,28)
0.01212569942228230006618017	(2,29)
0.01211979810619331977622597	(2,30)
0.03413045827100347471722022	(3,1)
0.034130401799622579436010064	(3,2)
0.034130020992932761615354087	(3,3)
0.034128794791845828348366395	(3,4)
0.034125977606139789712149068	(3,5)
0.034120640656505583022605217	(3,6)
0.034111724091905120096488368	(3,7)
0.034098097478246186049144404	(3,8)
0.034078625859521529314432047	(3,9)
0.034052238321708963385715656	(3,10)
0.034017995855032687105375642	(3,11)
0.033975155317819425798492259	(3,12)
0.033923226455077052252612533	(3,13)
0.033862019210761068426879288	(3,14)
0.033791678982182580534728017	(3,15)
0.033712707980414686408619028	(3,16)
0.033625971459467681107655147	(3,17)
0.033532688233331600983201574	(3,18)
0.033434405585082375336218892	(3,19)
0.033332959356174713837400401	(3,20)
0.033230420656876003187282414	(3,21)
0.033129031231932574226958979	(3,22)
0.033031130022983425864850891	(3,23)
0.03293907386864580019672705	(3,24)
0.03285515555698494505147488	(3,25)
0.032781522581103964676902492	(3,26)
0.032720099940700127927871843	(3,27)
0.032672520180745015233925826	(3,28)
0.03264006356932797378190114	(3,29)
