ldd232_(sigma,mu)
5.386276858927e-17	(1,1)
5.385336179615e-17	(1,2)
5.378994287417e-17	(1,3)
5.358590427525e-17	(1,4)
5.311811551391e-17	(1,5)
5.223569908151e-17	(1,6)
5.077244949971e-17	(1,7)
4.856290414949e-17	(1,8)
4.546149680815e-17	(1,9)
4.136349721681e-17	(1,10)
3.622570393365e-17	(1,11)
3.008428029974e-17	(1,12)
2.306686458281e-17	(1,13)
1.539626466901e-17	(1,14)
7.38371580619e-18	(1,15)
-5.8919791018e-19	(1,16)
-8.09940375147e-18	(1,17)
-1.471983822438e-17	(1,18)
-2.006195493893e-17	(1,19)
-2.381848584405e-17	(1,20)
-2.580113889077e-17	(1,21)
-2.596806432268e-17	(1,22)
-2.44368195469e-17	(1,23)
-2.148013359097e-17	(1,24)
-1.750383213552e-17	(1,25)
-1.300856312108e-17	(1,26)
-8.53914386873e-18	(1,27)
-4.62711660568e-18	(1,28)
-1.7331824162e-18	(1,29)
-1.9640778073e-19	(1,30)
3.5273399624323166e-13	(2,1)
3.5267239344642368e-13	(2,2)
3.5225707837434732e-13	(2,3)
3.509208792919517e-13	(2,4)
3.4785744464864063e-13	(2,5)
3.4207871441412532e-13	(2,6)
3.3249624945499858e-13	(2,7)
3.1802647551214966e-13	(2,8)
2.9771611508865562e-13	(2,9)
2.7087931561523034e-13	(2,10)
2.3723316192680577e-13	(2,11)
1.9701447964503022e-13	(2,12)
1.5105914149634511e-13	(2,13)
1.0082626282697712e-13	(2,14)
4.835404803429406e-14	(2,15)
-3.8586014141286e-15	(2,16)
-5.304108567453005e-14	(2,17)
-9.63966710441065e-14	(2,18)
-1.3138086362868369e-13	(2,19)
-1.5598144210645228e-13	(2,20)
-1.6896533024302779e-13	(2,21)
-1.7005846653051698e-13	(2,22)
-1.6003070752570141e-13	(2,23)
-1.4066808992467268e-13	(2,24)
-1.1462826674440654e-13	(2,25)
-8.518985763467025e-14	(2,26)
-5.59207357482098e-14	(2,27)
-3.030183832969166e-14	(2,28)
-1.135018128073866e-14	(2,29)
-1.28622577295726e-15	(2,30)
2.091848537023542268e-11	(3,1)
2.091483207608629506e-11	(3,2)
2.089020221836247405e-11	(3,3)
2.081096022755569048e-11	(3,4)
2.062928620910632609e-11	(3,5)
2.028658422964366165e-11	(3,6)
1.971830548529672942e-11	(3,7)
1.886018970672533843e-11	(3,8)
1.765570379169531717e-11	(3,9)
1.606417407335008557e-11	(3,10)
1.406882276488188499e-11	(3,11)
1.168369486557617155e-11	(3,12)
8.95836131951633724e-12	(3,13)
5.97935385836297783e-12	(3,14)
2.8675464478170742e-12	(3,15)
-2.2886591292625604e-13	(3,16)
-3.14557564747441234e-12	(3,17)
-5.71672561236698244e-12	(3,18)
-7.79141777530880382e-12	(3,19)
-9.25032022556653206e-12	(3,20)
-1.002030758918340203e-11	(3,21)
-1.008512785993489905e-11	(3,22)
-9.49043733125497379e-12	(3,23)
-8.34215547034752124e-12	(3,24)
-6.79789160708789343e-12	(3,25)
-5.05208039293577463e-12	(3,26)
-3.31630997139894237e-12	(3,27)
-1.79701261444977413e-12	(3,28)
-6.7310820704376398e-13	(3,29)
-7.627799426975828e-14	(3,30)
3.0675041233334763941e-10	(4,1)
3.0669683960559111006e-10	(4,2)
3.0633566182938192749e-10	(4,3)
3.0517363946317430422e-10	(4,4)
3.0250953092786342213e-10	(4,5)
2.9748407269172207284e-10	(4,6)
2.8915070769923572179e-10	(4,7)
2.7656711135651273941e-10	(4,8)
2.5890427407756985195e-10	(4,9)
2.3556575542699112745e-10	(4,10)
2.0630553276313008855e-10	(4,11)
1.7132957869395461427e-10	(4,12)
1.3136482803631325635e-10	(4,13)
8.76802163523351029e-11	(4,14)
4.204827761038269539e-11	(4,15)
-3.35782003329418914e-12	(4,16)
-4.612864098417034293e-11	(4,17)
-8.383203958428520508e-11	(4,18)
-1.1425524697703742074e-10	(4,19)
-1.356483971335950555e-10	(4,20)
-1.4693921148834298635e-10	(4,21)
-1.4788941196371205935e-10	(4,22)
-1.3916854586485531473e-10	(4,23)
-1.2232985400352122646e-10	(4,24)
-9.968454526315004175e-11	(4,25)
-7.408381941795943164e-11	(4,26)
-4.863039956805186619e-11	(4,27)
-2.635139140152099019e-11	(4,28)
-9.87045365227496394e-12	(4,29)
-1.11853967400251727e-12	(4,30)
2.2691658911362117807e-9	(5,1)
2.26876958154611497893e-9	(5,2)
2.26609773299645056977e-9	(5,3)
2.25750155720697271124e-9	(5,4)
2.23779355178328531011e-9	(5,5)
2.20061723644576088791e-9	(5,6)
2.13897038053830044445e-9	(5,7)
2.0458820862041939981e-9	(5,8)
1.915219750484771053e-9	(5,9)
1.74257127223865138982e-9	(5,10)
1.52611685624046061833e-9	(5,11)
1.26738043817770155108e-9	(5,12)
9.7173985370242278272e-10	(5,13)
6.4858243329639238076e-10	(5,14)
3.1102086088797812085e-10	(5,15)
-2.486857856442863328e-11	(5,16)
-3.4126197717509856015e-10	(5,17)
-6.2016765236333574263e-10	(5,18)
-8.452170066723487967e-10	(5,19)
-1.00346598585848786341e-9	(5,20)
-1.08698313196716398845e-9	(5,21)
-1.09400653076233715121e-9	(5,22)
-1.02948979332586228535e-9	(5,23)
-9.0492341156807312584e-10	(5,24)
-7.3740461514797053066e-10	(5,25)
-5.4802486007545850594e-10	(5,26)
-3.597359395667096409e-10	(5,27)
-1.9493007860343203021e-10	(5,28)
-7.301497828481130421e-11	(5,29)
-8.27419989796411734e-12	(5,30)
1.115272035885601031632e-8	(6,1)
1.115077245399401398173e-8	(6,2)
1.113764002720619531707e-8	(6,3)
1.109538888950560062629e-8	(6,4)
1.099852191997526733333e-8	(6,5)
1.081579639323157674274e-8	(6,6)
1.051279576465055487023e-8	(6,7)
1.005525770747546805062e-8	(6,8)
9.41304054262778376988e-9	(6,9)
8.56445949959073081361e-9	(6,10)
7.50057179461039590664e-9	(6,11)
6.22886992558697171037e-9	(6,12)
4.77578901214662952329e-9	(6,13)
3.18747118724941406199e-9	(6,14)
1.52836848258274697508e-9	(6,15)
-1.2250187245263973264e-10	(6,16)
-1.67753466733489078851e-9	(6,17)
-3.04830217761050402115e-9	(6,18)
-4.15435641838913300112e-9	(6,19)
-4.93208303770787366012e-9	(6,20)
-5.3425058503832733273e-9	(6,21)
-5.37697210610305594025e-9	(6,22)
-5.05983468202755856093e-9	(6,23)
-4.44757283670550517157e-9	(6,24)
-3.62421973531174798375e-9	(6,25)
-2.69343674775751644917e-9	(6,26)
-1.76802588782673614757e-9	(6,27)
-9.5803713085533660269e-10	(6,28)
-3.5885133458523149983e-10	(6,29)
-4.06656925638919853e-11	(6,30)
4.170014682460840387984e-8	(7,1)
4.169286306116137859818e-8	(7,2)
4.164375723013405207265e-8	(7,3)
4.148576838258434098935e-8	(7,4)
4.112355574212113308135e-8	(7,5)
4.044029441448076852482e-8	(7,6)
3.930729242449923975812e-8	(7,7)
3.759643580882625884285e-8	(7,8)
3.5195020987269055764e-8	(7,9)
3.20219700020935070975e-8	(7,10)
2.804385404483602663452e-8	(7,11)
2.328870346483613768011e-8	(7,12)
1.785538217860539858289e-8	(7,13)
