luu331_(sigma,mu)
-0.10896613224540543321746933	(1,1)
-0.10896175963622927595211992	(1,2)
-0.10893227357088913103731582	(1,3)
-0.10883732816580291989012865	(1,4)
-0.10861919197106807334168368	(1,5)
-0.10820594910562309702440619	(1,6)
-0.10751553472896186869788813	(1,7)
-0.10646041870648079733566046	(1,8)
-0.10495272075189004179911049	(1,9)
-0.10290951935859487330312041	(1,10)
-0.10025810640292392487243008	(1,11)
-0.09694093989362639152122702	(1,12)
-0.09292005894867551610299827	(1,13)
-0.08818074721287089285897469	(1,14)
-0.08273426263611874530249713	(1,15)
-0.07661949143934563242567003	(1,16)
-0.06990343046804936185998976	(1,17)
-0.06268045295207943382148546	(1,18)
-0.05507036573657139727121382	(1,19)
-0.04721531900493025587166242	(1,20)
-0.03927568006344852118807362	(1,21)
-0.03142502868428326505654785	(1,22)
-0.02384447079444229864559544	(1,23)
-0.01671649822629066786794264	(1,24)
-0.01021864344640919118578235	(1,25)
-0.00451718871394624287496642	(1,26)
0.00023881148946396526458072	(1,27)
0.00392294766005419525061725	(1,28)
0.00643608739008615412568566	(1,29)
0.0077100297627880272228848	(1,30)
-0.04793703312141723086789241	(2,1)
-0.04793262940859077880087347	(2,2)
-0.04790293360098511247769781	(2,3)
-0.04780731283280801165331169	(2,4)
-0.04758762504936867268058815	(2,5)
-0.04717144301187151084159151	(2,6)
-0.04647611867050981250631073	(2,7)
-0.0454135004602906556060223	(2,8)
-0.04389508525606369755797011	(2,9)
-0.04183736556675491532773019	(2,10)
-0.03916712200819051713242385	(2,11)
-0.03582641165931939460027688	(2,12)
-0.03177701458094846674369579	(2,13)
-0.02700412307289698802555617	(2,14)
-0.02151909020884146750062225	(2,15)
-0.01536109443338457008785499	(2,16)
-0.00859762377976388896706653	(2,17)
-0.00132373452426866639043759	(2,18)
0.00633990741112550299623812	(2,19)
0.01425014061053202836890012	(2,20)
0.02224546524104153800275331	(2,21)
0.03015108418458806409685848	(2,22)
0.0377846298357260079633747	(2,23)
0.04496234711421730973171264	(2,24)
0.05150548199955194731087232	(2,25)
0.05724661440591413663123033	(2,26)
0.06203567494374345473129966	(2,27)
0.06574539703272015633572049	(2,28)
0.06827597843018476671763606	(2,29)
0.0695587585466957602871584	(2,30)
0.06830404066445788051630771	(3,1)
0.06830850693039947872474403	(3,2)
0.06833862455436076799842366	(3,3)
0.06843560355571978877212979	(3,4)
0.06865841175517971905699039	(3,5)
0.06908050476099948378919177	(3,6)
0.06978570344126111258025599	(3,7)
0.07086340894417973691506782	(3,8)
0.07240337664194249038013573	(3,9)
0.07449029190756307503665758	(3,10)
0.07719840140510246400875698	(3,11)
0.08058645306544794685276399	(3,12)
0.0846931861117197835404736	(3,13)
0.08953358987000183417786655	(3,14)
0.09509611761600158510903863	(3,15)
0.10134100077437434431371965	(3,16)
0.10819976119636535577917971	(3,17)
0.11557596708866319299823275	(3,18)
0.12334722375651486556733408	(3,19)
0.13136833606544578208077761	(3,20)
0.13947552781960014051001332	(3,21)
0.14749155638504139478836718	(3,22)
0.15523152091691793181746393	(3,23)
0.16250913123092199248949869	(3,24)
0.16914318305353678253250631	(3,25)
0.17496397500765427003544588	(3,26)
0.17981940367402279673473712	(3,27)
0.18358048535333603948122447	(3,28)
0.18614607619071584865269877	(3,29)
0.1874465951084393785069713	(3,30)
0.22865526777245902970175208	(4,1)
0.22865982927177072071425186	(4,2)
0.22869058908557840237468409	(4,3)
0.22878963591132230787635848	(4,4)
0.22901719472808030563413668	(4,5)
0.22944828669987939051684923	(4,6)
0.23016851803779566973579061	(4,7)
0.2312691918582101506617252	(4,8)
0.23284196915250539631219527	(4,9)
0.23497332710563229744070222	(4,10)
0.23773907413636458372308976	(4,11)
0.24119918062241714490800921	(4,12)
0.24539317226729405789728398	(4,13)
0.25033630992993173033710188	(4,14)
0.25601674644701345044649173	(4,15)
0.26239380897524008022759529	(4,16)
0.26939750651906010877026731	(4,17)
0.27692930876485542245429719	(4,18)
0.28486418651383831503571967	(4,19)
0.2930538483985756018247719	(4,20)
0.30133105567405057421497133	(4,21)
0.30951484905214690270894861	(4,22)
0.31741648091251269937899838	(4,23)
0.32484581454599842181060273	(4,24)
0.33161793072444852979254237	(4,25)
0.33755967172616800042555913	(4,26)
0.34251585436281303245623636	(4,27)
0.34635489642832681481123492	(4,28)
0.34897362471395534447718652	(4,29)
0.3503010662456432511719119	(4,30)
0.41776952743544139101771358	(5,1)
0.41777421987079816585298508	(5,2)
0.41780586262880350524049854	(5,3)
0.41790775249199429877795618	(5,4)
0.41814184286576677272005252	(5,5)
0.41858530726017907525440211	(5,6)
0.41932620619417026993402891	(5,7)
0.42045845701128037029803771	(5,8)
0.42207633924246416167506151	(5,9)
0.42426879110579116123243471	(5,10)
0.42711376439387310259225485	(5,11)
0.4306729047454902132449063	(5,12)
0.43498681202874762887938053	(5,13)
0.44007111172498585165030092	(5,14)
0.4459135337824310320262127	(5,15)
0.4524721519008845521204906	(5,16)
0.45967488555334360025179103	(5,17)
0.46742031154170394195919357	(5,18)
0.47557977405738292806634602	(5,19)
0.48400072472175533359163412	(5,20)
0.49251116953944986120496686	(5,21)
0.50092505057524932432049103	(5,22)
0.50904834864720163283202872	(5,23)
0.51668566121548995490182596	(5,24)
0.52364698827848733195522352	(5,25)
0.52975444929467395008990824	(5,26)
0.53484865623395078804848557	(5,27)
0.53879448160718525129366054	(5,28)
0.54148598502452510422841978	(5,29)
0.5428502963511110970615472	(5,30)
0.61754208204357474601044119	(6,1)
0.61754694689280632232352002	(6,2)
0.61757975229273050385586835	(6,3)
0.61768538579780569709032988	(6,4)
0.61792807671546645192838296	(6,5)
0.61838783252653086754508727	(6,6)
0.61915594500881017100690846	(6,7)
0.62032977271108758054314118	(6,8)
0.62200704100420242894918944	(6,9)
0.62427992502041508055379701	(6,10)
0.62722919318161419616617196	(6,11)
0.63091868899626200315223754	(6,12)
0.6353904162039184878774103	(6,13)
0.64066046757627099520586738	(6,14)
0.64671600174579042976390266	(6,15)
0.6535134268906058642193021	(6,16)
0.66097789701809195449403299	(6,17)
0.66900416841957938138157276	(6,18)
0.67745880334318006419401497	(6,19)
0.68618364789865859083132563	(6,20)
0.69500045447529497108116865	(6,21)
0.70371646813339249019540917	(6,22)
0.71213075380127685092661832	(6,23)
0.72004100850543933267224213	(6,24)
0.7272505815917773204423387	(6,25)
0.73357541670729536062644956	(6,26)
0.73885063238425820029512652	(6,27)
0.74293647304526126492662472	(6,28)
0.7457233882871884792997983	(6,29)
0.7471360341506842594776448	(6,30)
0.80893815660184120555824403	(7,1)
0.80894324449550005612070053	(7,2)
0.80897755395438070140651172	(7,3)
0.80908803043353491465912293	(7,4)
0.80934184740502911125350497	(7,5)
0.80982267827681191908577357	(7,6)
0.81062599426884081782865543	(7,7)
0.81185360412623432247989999	(7,8)
0.81360768801743069399269635	(7,9)
0.8159846035582381036051247	(7,10)
0.81906875528263893721359487	(7,11)
0.82292681920193775902217852	(7,12)
0.82760260108218697252414699	(7,13)
0.83311278108476275322399487	(7,14)
0.83944375947225300580746541	(7,15)
0.84654976983563627509749015	(7,16)
0.85435236997576502454139249	(7,17)
0.86274135885913970346404323	(7,18)
0.87157710395943045053342783	(7,19)
0.88069419991483419771501488	(7,20)
0.88990631983668601585523326	(7,21)
0.89901206760827153838849616	(7,22)
0.90780159551647844885353518	(7,23)
0.91606371843125313213683669	(7,24)
0.92359323474652694306669452	(7,25)
0.93019815604099361209478713	(7,26)
0.93570655190902941139019351	(7,27)
0.9399727330921401161084377	(7,28)
0.94288252387536397753249939	(7,29)
0.9443574122896312025270759	(7,30)
0.9739840589263764952275879	(8,1)
0.97398943294379046032208686	(8,2)
0.97402567182419285091077676	(8,3)
0.97414236090304182595262502	(8,4)
0.97441045036582790017850449	(8,5)
0.9749183159794734061938502	(8,6)
0.97576678950372530477730042	(8,7)
0.97706338647092997362575025	(8,8)
0.97891599795809464894805374	(8,9)
0.98142634056245101742280473	(8,10)
0.98468347350437520761383025	(8,11)
0.98875769259007110951531284	(8,12)
0.99369509725178342324259609	(8,13)
0.99951309932648467724097759	(8,14)
1.00619710166528901061682813	(8,15)
1.01369852285947920159259478	(8,16)
1.02193428377511293084151748	(8,17)
1.0307878052022986786516975	(8,18)
1.04011149710423858393527003	(8,19)
1.04973065219164330661235889	(8,20)
1.05944859325015129301827771	(8,21)
1.06905286788888690969967283	(8,22)
1.0783222387183255670962706	(8,23)
1.08703418331023173287184878	(8,24)
1.09497259781488134894787559	(8,25)
1.10193539124407683022178714	(8,26)
1.10774166391783298253900228	(8,27)
1.11223818257530244482329764	(8,28)
1.11530489486415470953713178	(8,29)
1.1168592657216408576931577	(8,30)
1.09767576843937882596496942	(9,1)
1.09768150638805331271908334	(9,2)
1.09772019936859857252299015	(9,3)
1.09784479045593311605458797	(9,4)
1.09813103345706394478142039	(9,5)
1.09867328481601910191945883	(9,6)
1.09957919341297958769420497	(9,7)
1.10096353092096405407252958	(9,8)
1.10294144751450316528287708	(9,9)
1.10562146792517024469015777	(9,10)
1.10909855932616071802726132	(9,11)
1.11344760402112941126603647	(9,12)
1.11871759578816318423655408	(9,13)
1.12492684915631597735866338	(9,14)
1.13205946691280121167116484	(9,15)
1.14006325468503460146868482	(9,16)
1.14884920526221870886266339	(9,17)
1.15829260282747933874117566	(9,18)
1.16823572230888158081881411	(9,19)
1.17849202562555402823988067	(9,20)
1.18885168855877800878210222	(9,21)
