c^2_1_(sigma,mu)
3.31168774260431554817e-7	(1,1)
2.975076776658513633832e-6	(1,2)
8.233954781773095683676e-6	(1,3)
0.000016050340401733461729206	(1,4)
0.00002633905575468649149396	(1,5)
0.00003898837672544158620049	(1,6)
0.00005386151439317080489703	(1,7)
0.00007079835167272509093149	(1,8)
0.0000896173747510533693714	(1,9)
0.00011011774093979556846893	(1,10)
0.00013208143175612110379357	(1,11)
0.00015527545149700715738463	(1,12)
0.00017945404594939729269453	(1,13)
0.0002043609315266957864451	(1,14)
0.0002297315402383980377421	(1,15)
0.000255295298715605342625	(1,16)
0.0002807779684769139798105	(1,17)
0.0003059040785493906025527	(1,18)
0.0003303994797829889766306	(1,19)
0.0003539940426182189388031	(1,20)
0.0003764245071906012907102	(1,21)
0.0003974374775474704538076	(1,22)
0.0004167925319463586534657	(1,23)
0.0004342654005588326760895	(1,24)
0.000449651142429631183196	(1,25)
0.000462767237207926088821	(1,26)
0.000473456495714344819662	(1,27)
0.00048158968817205132146	(1,28)
0.0004870677907165221141	(1,29)
0.00048982375979270605	(1,30)
3.005556759121394494856e-6	(2,1)
0.000027000619520853459778159	(2,2)
0.000074728112760685293263418	(2,3)
0.000145666517612949269388657	(2,4)
0.00023904275493412828125694	(2,5)
0.00035384277767189368671054	(2,6)
0.0004888249950410218240965	(2,7)
0.00064253601526138568881599	(2,8)
0.00081332816219592519058534	(2,9)
0.00099937823932095984477428	(2,10)
0.00119870707889390185450234	(2,11)
0.00140919951696057141959702	(2,12)
0.00162862456393721388555592	(2,13)
0.00185465568104637265490942	(2,14)
0.0020848912086755518431635	(2,15)
0.002316875107860501756908	(2,16)
0.002548118256600584381251	(2,17)
0.0027761205780067375238498	(2,18)
0.0029983942612936740066428	(2,19)
0.0032124882684977854378216	(2,20)
0.0034160142040667704426225	(2,21)
0.0036066734707115826053659	(2,22)
0.003782285456922673578462	(2,23)
0.0039408163160482011540987	(2,24)
0.004080407721887161703858	(2,25)
0.004199404839074017084309	(2,26)
0.004296382643756163225034	(2,27)
0.004370169683219894339	(2,28)
0.0044198683794292814272	(2,29)
0.004444871062575387288	(2,30)
8.480078923805794193896e-6	(3,1)
0.000076181353618477453680918	(3,2)
0.000210842880966498173398639	(3,3)
0.000410993139943382654870308	(3,4)
0.00067445069782851706439177	(3,5)
0.00099835398744421486751475	(3,6)
0.00137919906695018991871365	(3,7)
0.0018128839345247824922612	(3,8)
0.00229475788178902268002549	(3,9)
0.00281967441854839797234332	(3,10)
0.00338204647856979472050326	(3,11)
0.00397590289955668988972725	(3,12)
0.00459494552693657818212687	(3,13)
0.0052326066793761428921312	(3,14)
0.0058821070892207508843362	(3,15)
0.0065365147492809044288975	(3,16)
0.0071888053198750751949505	(3,17)
0.0078319248474770072931685	(3,18)
0.0084588555019051090667652	(3,19)
0.0090626848503610849939252	(3,20)
0.0096366788663457182641783	(3,21)
0.010174358446104545509876	(3,22)
0.0106695787129688533382244	(3,23)
0.0111166098770509799229856	(3,24)
0.011510217934271751956569	(3,25)
0.011845743083662306570541	(3,26)
0.012119173458556340899081	(3,27)
0.01232721163894904460792	(3,28)
0.0124673314589195720922	(3,29)
0.012537822849188280659	(3,30)
0.000016971343719148872996456	(4,1)
0.000152463194023466746619458	(4,2)
0.000421963831888251802861706	(4,3)
0.000822528056005869721833294	(4,4)
0.00134978947755492219619693	(4,5)
0.00199801978790824677012891	(4,6)
0.00276020398008119730503732	(4,7)
0.00362812872790304499839786	(4,8)
0.00459248095031749060632883	(4,9)
0.00564295367872874606049062	(4,10)
0.00676835668591528195747865	(4,11)
0.00795672988276490872206769	(4,12)
0.00919545817921685678274538	(4,13)
0.01047138725830177747560497	(4,14)
0.0117709404397769302280402	(4,15)
0.0130802374269079360900556	(4,16)
0.0143852161612069626941075	(4,17)
