a^1^2^2_2_(sigma,mu)
2.28420676169287078643e-9	(1,1)
2.051877699911394199222e-8	(1,2)
5.675981510262985959401e-8	(1,3)
1.1046008931976739285776e-7	(1,4)
1.8058631705941433614653e-7	(1,5)
2.6540628316131327596076e-7	(1,6)
3.6227336942658400362737e-7	(1,7)
4.6746183874883050597545e-7	(1,8)
5.7610974498303750814345e-7	(1,9)
6.8232033716082648645328e-7	(1,10)
7.794552522182717741245e-7	(1,11)
8.6062382074305408487291e-7	(1,12)
9.193356114430294364164e-7	(1,13)
9.5024408407947884635722e-7	(1,14)
9.4987618656018835753555e-7	(1,15)
9.1722459286494560845137e-7	(1,16)
8.5408293560033082356454e-7	(1,17)
7.6503289254275216986237e-7	(1,18)
6.5704314195810863996272e-7	(1,19)
5.3870629806996543044159e-7	(1,20)
4.1920885009971632413873e-7	(1,21)
3.071866303311324949712e-7	(1,22)
2.0965118414308979958002e-7	(1,23)
1.3117149200024531998992e-7	(1,24)
7.34582581300381708411e-8	(1,25)
3.542955977003582859117e-8	(1,26)
1.374922693726872158454e-8	(1,27)
3.73985508843970202361e-9	(1,28)
4.9908175942116897983e-10	(1,29)
6.25228113448343269e-12	(1,30)
2.054846454100536339414e-8	(2,1)
1.8458458693122047462878e-7	(2,2)
5.106048485424934391251e-7	(2,3)
9.9368641390680024310007e-7	(2,4)
1.62453398789973687825212e-6	(2,5)
2.38756475479239762863801e-6	(2,6)
3.25897002943763933215413e-6	(2,7)
4.20523349166178992312494e-6	(2,8)
5.18261761064165092020345e-6	(2,9)
6.13807586787452912170925e-6	(2,10)
7.01189028935632990666173e-6	(2,11)
7.74207318932545470630974e-6	(2,12)
8.27023739113502939093266e-6	(2,13)
8.54828604820573717336787e-6	(2,14)
8.54497601734123973844846e-6	(2,15)
8.25124556049133053968765e-6	(2,16)
7.68323005105771903762767e-6	(2,17)
6.88214579493628623196567e-6	(2,18)
5.91068226621080283360328e-6	(2,19)
4.84613765557468194883254e-6	(2,20)
3.77115255446627323626733e-6	(2,21)
2.7634138785109935199216e-6	(2,22)
1.88599662422845503450332e-6	(2,23)
1.18000274796410286424404e-6	(2,24)
6.6082149007567638784936e-7	(2,25)
3.1871996063786007270602e-7	(2,26)
1.2368634799407540354584e-7	(2,27)
3.364327339394415731539e-8	(2,28)
4.48967760979984516723e-9	(2,29)
5.624474493553132925e-11	(2,30)
5.702622970292913547509e-8	(3,1)
5.1226032143770447075155e-7	(3,2)
1.41703382533475775172822e-6	(3,3)
2.75768484220135027374679e-6	(3,4)
4.50841696620412017966908e-6	(3,5)
6.62598457512771355925081e-6	(3,6)
9.04431349456130937979871e-6	(3,7)
0.00001167038878570152579316203	(3,8)
0.00001438282948038987678102038	(3,9)
0.00001703442022892940008348812	(3,10)
0.00001945943106591754175542715	(3,11)
0.0000214858332483765259486612	(3,12)
0.00002295159042349614861754061	(3,13)
0.0000237232243309456605154518	(3,14)
0.00002371402953240069475754151	(3,15)
0.00002289885882064046171113079	(3,16)
0.00002132249228248319768923447	(3,17)
0.00001909931467185074301866237	(3,18)
0.00001640330289495966499086931	(3,19)
0.00001344897555739048480777831	(3,20)
0.00001046567694086164205108544	(3,21)
7.6690033170445852270457e-6	(3,22)
5.23399951606453402571676e-6	(3,23)
3.27473057767609408089301e-6	(3,24)
1.83390368063649084188189e-6	(3,25)
8.8450737576059429249641e-7	(3,26)
