H6_(sigma,mu)
2.8016109262815273698808859445	(1,1)
2.8016109262815273695117826426	(1,2)
2.8016109262815273670227773779	(1,3)
2.8016109262815273590080403728	(1,4)
2.8016109262815273405935802699	(1,5)
2.8016109262815273057061684688	(1,6)
2.8016109262815272474114282698	(1,7)
2.8016109262815271583050963155	(1,8)
2.8016109262815270309392330572	(1,9)
2.8016109262815268582638553753	(1,10)
2.8016109262815266340640721049	(1,11)
2.8016109262815263533732488628	(1,12)
2.8016109262815260128439023343	(1,13)
2.8016109262815256110598023936	(1,14)
2.8016109262815251487750265916	(1,15)
2.8016109262815246290683714647	(1,16)
2.8016109262815240574045134787	(1,17)
2.801610926281523441596589793	(1,18)
2.8016109262815227916684101788	(1,19)
2.8016109262815221196182875071	(1,20)
2.8016109262815214390904327487	(1,21)
2.801610926281520764963907565	(1,22)
2.801610926281520112873116952	(1,23)
2.8016109262815194986775559409	(1,24)
2.8016109262815189379017544521	(1,25)
2.8016109262815184451688273114	(1,26)
2.8016109262815180336524742122	(1,27)
2.8016109262815177145724712233	(1,28)
2.8016109262815174967575110176	(1,29)
2.801610926281517386296645753	(1,30)
2.8016109193055750780146133398	(2,1)
2.8016109193055726614784052163	(2,2)
2.8016109193055563658494109938	(2,3)
2.8016109193055038930352002741	(2,4)
2.8016109193053833329666642701	(2,5)
2.8016109193051549245684035139	(2,6)
2.8016109193047732698580499751	(2,7)
2.8016109193041898965382598596	(2,8)
2.8016109193033560497563266048	(2,9)
2.801610919302225585059813857	(2,10)
2.8016109193007578318906451723	(2,11)
2.8016109192989202997825703394	(2,12)
2.8016109192966911070644129039	(2,13)
2.801610919294061023533949975	(2,14)
2.8016109192910350335007880738	(2,15)
2.8016109192876333431796657966	(2,16)
2.8016109192838917762017519193	(2,17)
2.8016109192798615227117999016	(2,18)
2.8016109192756082309299006405	(2,19)
2.8016109192712104549492337867	(2,20)
2.8016109192667574985372022293	(2,21)
2.8016109192623467211687764614	(2,22)
2.8016109192580803984824233931	(2,23)
2.8016109192540622535120962064	(2,24)
2.8016109192503937958483735617	(2,25)
2.8016109192471706216226722773	(2,26)
2.8016109192444788362548619453	(2,27)
2.8016109192423917628973440281	(2,28)
2.80161091924096709157541263	(2,29)
2.80161091924024460694922635	(2,30)
