kuu3313_(sigma,mu)
-0.23362776574159900550642552167	(1,1)
-0.23361902228935374484092371955	(1,2)
-0.23356006206798085770678672148	(1,3)
-0.2333702096037210427220953331	(1,4)
-0.23293402530109920676067989516	(1,5)
-0.23210770639633517182889302542	(1,6)
-0.23072715622342403953350354686	(1,7)
-0.22861734957704066323909920283	(1,8)
-0.22560256082796757185706570715	(1,9)
-0.22151697952082352472497019219	(1,10)
-0.21621521733907611857772936056	(1,11)
-0.20958221151251456155450910779	(1,12)
-0.20154205295450054454343164233	(1,13)
-0.19206531167061565602764571177	(1,14)
-0.18117449537268057181344447392	(1,15)
-0.16894735701700909684415324339	(1,16)
-0.15551785969594944033702870267	(1,17)
-0.1410747089096401615823649082	(1,18)
-0.12585746829877443497338421526	(1,19)
-0.11015038079684248529948392981	(1,20)
-0.09427411823155798403276279084	(1,21)
-0.07857577424404679915254691165	(1,22)
-0.0634174939728187965389786086	(1,23)
-0.0491641958135469163764475587	(1,24)
-0.03617088298646562240736122584	(1,25)
-0.02477006373676234198621025586	(1,26)
-0.01525979780309491770842209031	(1,27)
-0.00789286332837099081671857064	(1,28)
-0.00286749363769490377118670342	(1,29)
-0.00032006918045289907264539371	(1,30)
-0.23493033662920993252480308445	(2,1)
-0.23492154441829278236767782146	(2,2)
-0.23486225539980048345596802705	(2,3)
-0.2346713442059798859699447986	(2,4)
-0.23423272748324290983436256171	(2,5)
-0.23340180054372771873041497717	(2,6)
-0.23201355163561283586025569013	(2,7)
-0.22989197954121421655441392715	(2,8)
-0.22686037874183622816900647027	(2,9)
-0.2227520142276676964553995569	(2,10)
-0.21742068706898014056511931766	(2,11)
-0.21075069306090645440001377748	(2,12)
-0.20266570009526823097192258653	(2,13)
-0.19313611441419269707511677115	(2,14)
-0.18218456964696879947889760186	(2,15)
-0.16988925276285600601973593808	(2,16)
-0.15638487430164811242150372498	(2,17)
-0.1418611924103080103646417263	(2,18)
-0.12655910686118876739910762254	(2,19)
-0.11076444569688786888271308582	(2,20)
-0.09479966878228163113716976371	(2,21)
-0.07901380489496087505099076856	(2,22)
-0.06377101800055842040027676792	(2,23)
-0.04943826056616418728299819557	(2,24)
-0.03637251441943228959487981538	(2,25)
-0.02490814086895945392493670286	(2,26)
-0.01534486060158979604925748549	(2,27)
-0.00793686027803869831203459434	(2,28)
-0.00288347774800349807264260604	(2,29)
-0.00032185332016167297008409309	(2,30)
-0.23764131286332871971204442908	(3,1)
-0.23763241912371562584953855011	(3,2)
-0.23757244546110287413225971959	(3,3)
-0.23737932970845738425475634136	(3,4)
-0.23693564804147206801175258126	(3,5)
-0.23609512597599654001870457066	(3,6)
-0.23469084637441730024221478336	(3,7)
-0.23254477585179874520124673132	(3,8)
-0.229478168787784785700065013	(3,9)
-0.22532236549616495211085094284	(3,10)
-0.21992947989305222392848506474	(3,11)
-0.21318247320888756439781417619	(3,12)
