a^3^1^2_2_(sigma,mu)
-0.01946898047846658379220212681	(1,1)
-0.01946825185744614540341030996	(1,2)
-0.01946333850566507147556556012	(1,3)
-0.01944751746697675356017461109	(1,4)
-0.01941116877509160056338999126	(1,5)
-0.01934230886636126431907441878	(1,6)
-0.01922726301861866996112529557	(1,7)
-0.01905144579808672193659160024	(1,8)
-0.01880021340233063098808880893	(1,9)
-0.01845974829340196039374751602	(1,10)
-0.01801793477825634321481078005	(1,11)
-0.01746518429270954679620909232	(1,12)
-0.01679517107954171204528597019	(1,13)
-0.01600544263921797133563714265	(1,14)
-0.01509787461439004765112037283	(1,15)
-0.01407894641808409140367943695	(1,16)
-0.01295982164132912002808572522	(1,17)
-0.01175622574247001346519707568	(1,18)
-0.01048812235823120291444868461	(1,19)
-0.00917919839973687377495699415	(1,20)
-0.00785617651929649866939689924	(1,21)
-0.0065479811870038999293789093	(1,22)
-0.00528479116440156637824821738	(1,23)
-0.00409701631779557636470396323	(1,24)
-0.00301424024887213520061343549	(1,25)
-0.00206417197806352849885085465	(1,26)
-0.00127164981692457647570184086	(1,27)
-0.00065773861069758256805988089	(1,28)
-0.00023895780314124198093222529	(1,29)
-0.00002667243170440825605378281	(1,30)
-0.01957752805243416104373359037	(2,1)
-0.01957679536819106519730648512	(2,2)
-0.01957185461665004028799733559	(2,3)
-0.01955594535049832383082873322	(2,4)
-0.01951939395693690915286354681	(2,5)
-0.01945015004531064322753458143	(2,6)
-0.01933446263630106965502130751	(2,7)
-0.01915766496176785137953449393	(2,8)
-0.01890503156181968568075053919	(2,9)
-0.01856266785230564137128329641	(2,10)
-0.01811839058908167838042660981	(2,11)
-0.01756255775507553786666781479	(2,12)
-0.01688880834127235258099354888	(2,13)
-0.01609467620118272475625973093	(2,14)
-0.01518204747058073328990813349	(2,15)
-0.01415743773023800050164466151	(2,16)
-0.01303207285847067603512531042	(2,17)
-0.01182176603419233419705347719	(2,18)
-0.01054659223843239728325896854	(2,19)
