s2_(sigma,mu)
-4.30021434174539498845867e-6	(3,1)
-0.00003863122941171861025895353	(3,2)
-0.00010691689237832477645398479	(3,3)
-0.00020840783416633713855379777	(3,4)
-0.00034198848598161330540979493	(3,5)
-0.00050618744908254899273893533	(3,6)
-0.00069919159785352352481927514	(3,7)
-0.00091886408387854177600908131	(3,8)
-0.00116276637193758363085806372	(3,9)
-0.00142818436170995360538248279	(3,10)
-0.00171215853440021471499169108	(3,11)
-0.00201151791896373861082154687	(3,12)
-0.00232291750958132727868236756	(3,13)
-0.00264287859899103386442745764	(3,14)
-0.00296783133721997813077978643	(3,15)
-0.00329415869788860528732135342	(3,16)
-0.00361824094816573720598106991	(3,17)
-0.00393649968339486471519595604	(3,18)
-0.00424544050808687512402059421	(3,19)
-0.00454169352041158672472586582	(3,20)
-0.0048220508810130369797491877	(3,21)
-0.00508350090770963711918806106	(3,22)
-0.00532325832088993194398633663	(3,23)
-0.00553879045403964617876753164	(3,24)
-0.00572783942386171000915435928	(3,25)
-0.0058884404106605103951088478	(3,26)
-0.00601893632083039674248874646	(3,27)
-0.00611798918197302725425592858	(3,28)
-0.00618458865403580792784829215	(3,29)
-0.0062180580276205324432743641	(3,30)
-4.20553418049011282538634e-6	(4,1)
-0.00003778066439227429374441355	(4,2)
-0.00010456284061613590522168396	(4,3)
-0.00020381917340741988618732076	(4,4)
-0.00033445859794173129085142881	(4,5)
-0.0004950419861718920347725514	(4,6)
-0.0006837959082174543323796683	(4,7)
-0.00089863021260927411061702259	(4,8)
-0.00113715955911996084716274011	(4,9)
-0.00139672896182955284277982071	(4,10)
-0.00167444328669912097536823	(4,11)
-0.0019672005046603203023762204	(4,12)
-0.00227172833949542083225250448	(4,13)
-0.00258462378399242691540928303	(4,14)
-0.00290239480394313622858997333	(4,15)
-0.00322150342317106051467612427	(4,16)
-0.00353840929745882009072461137	(4,17)
-0.00384961285069910776637114016	(4,18)
-0.00415169706746670275484758548	(4,19)
-0.00444136711148827367827387792	(4,20)
-0.00471548706263609050081722073	(4,21)
-0.00497111322487450794953504544	(4,22)
-0.00520552363954200297194795398	(4,23)
-0.00541624362638487954797553119	(4,24)
-0.00560106735300140403067574259	(4,25)
-0.00575807558772344028461021275	(4,26)
-0.0058856499103809188058373246	(4,27)
-0.00598248373256302188698884677	(4,28)
-0.00604759051069424143015561359	(4,29)
-0.0060803095222637350011328641	(4,30)
-4.07597029580245008173915e-6	(5,1)
-0.00003661671933316754599615465	(5,2)
-0.00010134146837028479265880808	(5,3)
-0.00019753988158600817179891488	(5,4)
-0.00032415443305215898460840922	(5,5)
-0.00047979016976346601533533115	(5,6)
-0.00066272800907895322222470729	(5,7)
-0.0008709417421847829983985209	(5,8)
-0.00110211888049961791234416449	(5,9)
-0.00135368540738193888481164981	(5,10)
-0.00162283438590339662338435666	(5,11)
-0.0019065582321439029155078561	(5,12)
-0.00220168430375663547689994819	(5,13)
-0.00250491328974359862505989934	(5,14)
-0.00281285973529185518236775287	(5,15)
-0.00312209391070270527956733161	(5,16)
-0.00342918414932975573995284822	(5,17)
-0.0037307387456460282051257595	(5,18)
-0.00402344652565627604704424487	(5,19)
-0.00430411527678972490250788588	(5,20)
-0.00456970734658903880557645372	(5,21)
-0.00481737187775237486143110554	(5,22)
-0.00504447332695139176595295639	(5,23)
-0.00524861610038886938575534891	(5,24)
-0.00542766531457718806569435646	(5,25)
-0.00557976384243811328250282123	(5,26)
-0.00570334592169161151828548126	(5,27)
-0.00579714767752501334016206779	(5,28)
-0.00586021494166413745260591014	(5,29)
-0.0058919087360828853092665036	(5,30)
-3.90890198571737645092194e-6	(6,1)
-0.00003511585101865335900812622	(6,2)
-0.0000971876170467436741846797	(6,3)
-0.00018944295002900103470752871	(6,4)
-0.00031086758208317389456587212	(6,5)
-0.0004601235457542975913523979	(6,6)
-0.00063556187899132719782464535	(6,7)
-0.0008352388899741621672776335	(6,8)
-0.00105693612178406135493384917	(6,9)
-0.00129818408442629084341875446	(6,10)
-0.00155628971265506490408015483	(6,11)
-0.00182836736960571908440514958	(6,12)
-0.00211137305955177920874006029	(6,13)
-0.00240214135228485101430587049	(6,14)
-0.0026974243722862428761878119	(6,15)
-0.00299393208339063846469868166	(6,16)
-0.00328837301729377419039541374	(6,17)
-0.0035774945615027898389674585	(6,18)
-0.00385812194363014423786320857	(6,19)
-0.00412719512315393648157855827	(6,20)
-0.00438180292233671075276517608	(6,21)
-0.00461921388376697100372634775	(6,22)
-0.00483690351865891841488999186	(6,23)
-0.00503257779187236633987542006	(6,24)
-0.00520419286116740441692231067	(6,25)
-0.0053499712359207158493802498	(6,26)
-0.00546841463386477936429993173	(6,27)
-0.00555831388656080058744373991	(6,28)
-0.00561875627244873988305829921	(6,29)
-0.0056491306414301950683122662	(6,30)
-3.70132500983529415020799e-6	(7,1)
-0.00003325107069784238651617338	(7,2)
-0.00009202659218393763016553481	(7,3)
-0.00017938278285488842352337686	(7,4)
-0.00029435913719753176709459645	(7,5)
-0.00043568852435703805921318969	(7,6)
-0.00060180916540137154458140526	(7,7)
-0.00079087998783825837611614352	(7,8)
-0.00100079949967793147560379444	(7,9)
-0.00122922825560323551971768153	(7,10)
-0.00147361488225086600755047745	(7,11)
-0.0017312254952168180048704515	(7,12)
-0.00199917618805961582038105376	(7,13)
-0.00227446811709713807601428387	(7,14)
-0.00255402456048786450527805476	(7,15)
-0.00283472921102321558778259989	(7,16)
-0.00311346488222349222565462162	(7,17)
-0.00338715177597881072364399337	(7,18)
-0.0036527844814124344938953039	(7,19)
-0.00390746694765599461977411682	(7,20)
-0.00414844479126168257381834064	(7,21)
-0.0043731344510158807570341804	(7,22)
-0.00457914887488941791952720429	(7,23)
-0.00476431960034613674373312079	(7,24)
-0.00492671525520732892308088602	(7,25)
-0.00506465664860921088096335755	(7,26)
-0.00517672873018994425259436363	(7,27)
-0.0052617897640723381134095385	(7,28)
-0.00531897808991087912033266106	(7,29)
-0.0053477168273809543126101943	(7,30)
-3.45001196582383768094247e-6	(8,1)
-0.00003099338483709604943085185	(8,2)
-0.00008577815093179404633335169	(8,3)
-0.00016720296964330607823330602	(8,4)
-0.00027437244684916974824656531	(8,5)
-0.0004061052597801921989416647	(8,6)
-0.00056094526473791992910467172	(8,7)
-0.00073717575964296303320280076	(8,8)
-0.00093283704441611413969214531	(8,9)
-0.00114574735602938483662079031	(8,10)
-0.00137352715422403749863325634	(8,11)
-0.00161362660509290460191082746	(8,12)
-0.0018633559634661686828937489	(8,13)
-0.00211991840468375293125600811	(8,14)
-0.00238044471671787967524355349	(8,15)
-0.00264202914933142888017019537	(8,16)
-0.00290176564059910607161426457	(8,17)
-0.00315678361160516234245076791	(8,18)
-0.00340428254155341773926506188	(8,19)
-0.00364156460659289971380400081	(8,20)
-0.00386606477989478972961555982	(8,21)
-0.00407537793712112383660884342	(8,22)
-0.0042672826767046198664595678	(8,23)
-0.00443976173339384058744752785	(8,24)
-0.00459101902186276922320264626	(8,25)
-0.00471949348232370312053023611	(8,26)
-0.00482387000249230983469320081	(8,27)
-0.00490308775398992358180414831	(8,28)
-0.00495634630411037171948011147	(8,29)
-0.0049831098471091857234023726	(8,30)
-3.15168490942657371963946e-6	(9,1)
-0.00002831334586261750849314465	(9,2)
-0.00007836079394146658288026809	(9,3)
-0.00015274465146898803992001941	(9,4)
-0.00025064684433644584926307751	(9,5)
-0.00037098797095536620251458665	(9,6)
-0.00051243739279968077230899118	(9,7)
-0.00067342621397344995180543739	(9,8)
-0.0008521632909252208026531029	(9,9)
-0.00104665435180671133676199914	(9,10)
-0.00125472421036340077074229651	(9,11)
-0.00147404193797924604491488984	(9,12)
-0.00170214871953498089730203505	(9,13)
-0.00193648797678885219843437403	(9,14)
-0.00217443721118748323825090364	(9,15)
-0.00241334091028882637587306951	(9,16)
-0.0026505437903068187053406066	(9,17)
-0.00288342362012936863266163268	(9,18)
-0.00310942289332201619714766799	(9,19)
-0.00332607868274466007886035469	(9,20)
-0.00353105012114873386034266917	(9,21)
-0.00372214309006797635569544572	(9,22)
-0.00389733185533972381565246035	(9,23)
-0.00405477754649937609956258869	(9,24)
-0.00419284352544298773103457293	(9,25)
-0.00431010781545960363219030856	(9,26)
-0.00440537285622558305564798768	(9,27)
-0.00447767290829342024186920908	(9,28)
-0.00452627945017844497254606627	(9,29)
-0.0045507048937811759255949743	(9,30)
-2.80319082921964258949464e-6	(10,1)
-0.00002518262854868430846171605	(10,2)
-0.0000696961282297756614701847	(10,3)
-0.00013585502526507986756525363	(10,4)
-0.00022293160327955176942720889	(10,5)
-0.00032996559794964693694717778	(10,6)
-0.00045577311837755065001029321	(10,7)
-0.00059895814472883598132949299	(10,8)
-0.00075792673760077710301093968	(10,9)
-0.000930904038660470409963374	(10,10)
-0.00111595405556109695003569407	(10,11)
-0.00131100211282552725549442029	(10,12)
-0.00151385972348777534514250999	(10,13)
-0.00172225150560390972700370054	(10,14)
-0.00193384364643855765852764046	(10,15)
-0.00214627331816592973284193717	(10,16)
-0.00235717838342956771354608233	(10,17)
-0.00256422670490257928509863152	(10,18)
-0.00276514439351277614426964672	(10,19)
-0.00295774239382113513027974216	(10,20)
-0.00313994090610391296723721155	(10,21)
-0.00330979127314231444153718032	(10,22)
-0.00346549510327185902963420717	(10,23)
-0.00360542054670327010584971921	(10,24)
-0.0037281157769621441960645979	(10,25)
-0.003832319842895237564722444	(10,26)
-0.00391697114124637481785202288	(10,27)
-0.00398121381072703696509810576	(10,28)
-0.00402440236443989302759540759	(10,29)
-0.0040461048600288232175010501	(10,30)
-2.40167049315428098895441e-6	(11,1)
-0.00002157554686069288026654113	(11,2)
-0.00005971306524029642054195757	(11,3)
-0.00011639552691582489234458859	(11,4)
-0.0001909993658023939757168779	(11,5)
-0.00028270167762037204422368309	(11,6)
-0.00039048781775076759954579649	(11,7)
-0.00051316121219545280231982264	(11,8)
-0.00064935550631239739815796473	(11,9)
-0.00079754912711314278812447073	(11,10)
-0.00095608225868434990611659341	(11,11)
-0.00112317613186181967331327738	(11,12)
-0.00129695441684708178019011357	(11,13)
-0.00147546639157545725119035739	(11,14)
-0.00165671145112668373354817688	(11,15)
-0.00183866443596004058080859549	(11,16)
-0.00201930119923714661486579963	(11,17)
-0.00219662381292660586320347147	(11,18)
-0.00236868483172617851298461364	(11,19)
-0.00253361009163858127905848922	(11,20)
-0.00268961961065791255874030119	(11,21)
-0.00283504627345666017076261038	(11,22)
-0.00296835210907839223666308103	(11,23)
-0.00308814209863445077434801339	(11,24)
-0.00319317556779296733181527197	(11,25)
-0.00328237531721352720531542341	(11,26)
-0.00335483471640379776989610496	(11,27)
-0.00340982302905976952687696833	(11,28)
-0.00344678924996000448450650331	(11,29)
-0.0034653647165920735716240439	(11,30)
-1.94471184182822121181864e-6	(12,1)
-0.00001747043197252368235011384	(12,2)
-0.00004835163468082755995025483	(12,3)
-0.00009424926536522967395013377	(12,4)
-0.00015465834152807583287698997	(12,5)
-0.00022891239953504064594773196	(12,6)
-0.00031618961472627876744790353	(12,7)
-0.00041552071790939963264394436	(12,8)
-0.00052579881541313678531451385	(12,9)
-0.00064579117960242642945857787	(12,10)
-0.0007741530134746161955292726	(12,11)
-0.00090944311093170356805441093	(12,12)
-0.00105014124043881265820807779	(12,13)
-0.00119466698295474884570913912	(12,14)
-0.00134139966526300798730757757	(12,15)
-0.00148869895702054185203783438	(12,16)
-0.00163492565242346013856293197	(12,17)
-0.00177846214119557697805143155	(12,18)
-0.00191773209101178232833817857	(12,19)
-0.00205121891304874823428501628	(12,20)
-0.00217748265911158896734696413	(12,21)
-0.00229517509488982446970007842	(12,22)
-0.00240305279981164751677148786	(12,23)
-0.00249998824971876755006015353	(12,24)
-0.0025849789349732870824078589	(12,25)
-0.00265715464615568793814378893	(12,26)
-0.00271578311705263743558081887	(12,27)
-0.00276027424750729189338170933	(12,28)
-0.0027901831366270201300155661	(12,29)
-0.00280521214153226544002047362	(12,30)
-1.43048048651123822423747e-6	(13,1)
-0.00001285080460275264545746665	(13,2)
