kdd1213_(sigma,mu)
3.690858973e-20	(1,1)
3.3155819265e-19	(1,2)
9.1740031346e-19	(1,3)
1.78680215633e-18	(1,4)
2.92663393016e-18	(1,5)
4.31656349978e-18	(1,6)
5.92726290904e-18	(1,7)
7.7188654658e-18	(1,8)
9.64001457381e-18	(1,9)
1.162780631407e-17	(1,10)
1.360884993869e-17	(1,11)
1.550156114727e-17	(1,12)
1.721967296621e-17	(1,13)
1.867681138849e-17	(1,14)
1.979185194194e-17	(1,15)
2.049466303305e-17	(1,16)
2.073176454176e-17	(1,17)
2.04713950238e-17	(1,18)
1.970749334582e-17	(1,19)
1.846216140101e-17	(1,20)
1.678627976003e-17	(1,21)
1.475808930479e-17	(1,22)
1.247971698041e-17	(1,23)
1.007179810611e-17	(1,24)
7.66651532364e-18	(1,25)
5.39951963321e-18	(1,26)
3.40130826005e-18	(1,27)
1.78869661211e-18	(1,28)
6.5703079744e-19	(1,29)
7.374135824e-20	(1,30)
2.4170525750038e-16	(2,1)
2.17129288642322e-15	(2,2)
6.0078285459327e-15	(2,3)
1.170132693514867e-14	(2,4)
1.916580428128166e-14	(2,5)
2.826811042747959e-14	(2,6)
3.881618379151468e-14	(2,7)
5.054894719310452e-14	(2,8)
6.313007888879644e-14	(2,9)
7.614763655452704e-14	(2,10)
8.912100220537253e-14	(2,11)
1.0151590030846788e-13	(2,12)
1.12767389679826e-13	(2,13)
1.2230982823547475e-13	(2,14)
1.296119518495021e-13	(2,15)
1.3421448610429576e-13	(2,16)
1.3576720303301265e-13	(2,17)
1.3406210496830958e-13	(2,18)
1.2905949926960708e-13	(2,19)
1.2090412601235276e-13	(2,20)
1.0992918970076036e-13	(2,21)
9.664707070479133e-14	(2,22)
8.172657323869235e-14	(2,23)
6.595770818593059e-14	(2,24)
5.020610688826128e-14	(2,25)
3.536011401875513e-14	(2,26)
2.227432338849379e-14	(2,27)
1.171372994370939e-14	(2,28)
4.302731511488e-15	(2,29)
4.829138390605e-16	(2,30)
1.433405327189547e-14	(3,1)
1.2876603604914244e-13	(3,2)
3.5628738599550693e-13	(3,3)
6.9393378119749327e-13	(3,4)
1.13660604980350981e-12	(3,5)
1.67640786845382363e-12	(3,6)
2.30194923476291232e-12	(3,7)
2.99774725007541985e-12	(3,8)
3.74385671785131156e-12	(3,9)
4.51584784569240733e-12	(3,10)
5.28521810868839642e-12	(3,11)
6.02028288572617411e-12	(3,12)
6.68753897301119913e-12	(3,13)
7.25344161503704644e-12	(3,14)
7.68648482102515443e-12	(3,15)
7.95943188962016004e-12	(3,16)
8.05151301634356511e-12	(3,17)
7.95039321963495769e-12	(3,18)
7.65371866458719859e-12	(3,19)
7.17007308564874104e-12	(3,20)
6.5192168693962271e-12	(3,21)
5.73153619376245395e-12	(3,22)
4.84669373476488993e-12	(3,23)
3.91154014624334965e-12	(3,24)
2.97741062205663665e-12	(3,25)
2.09698730661480116e-12	(3,26)
1.32095076398847063e-12	(3,27)
6.946679940888441e-13	(3,28)
2.5516805959251718e-13	(3,29)
2.863859486988216e-14	(3,30)
2.101957514523649e-13	(4,1)
1.88823588059492042e-12	(4,2)
5.22462790333304881e-12	(4,3)
1.017590271167810826e-11	(4,4)
1.666728549362758131e-11	(4,5)
2.458298362398868396e-11	(4,6)
3.375597266475725329e-11	(4,7)
4.395920935239785864e-11	(4,8)
5.490021466284265275e-11	(4,9)
6.62207468945091566e-11	(4,10)
7.750284140192011755e-11	(4,11)
8.828187116713252365e-11	(4,12)
9.806654173421339716e-11	(4,13)
1.0636495001300488436e-10	(4,14)
1.1271509044922465284e-10	(4,15)
1.1671756376510904229e-10	(4,16)
1.1806780284930529143e-10	(4,17)
1.1658493039430291717e-10	(4,18)
1.1223443393184939933e-10	(4,19)
1.0514219035124929487e-10	(4,20)
9.559797119446853379e-11	(4,21)
8.404736416007680948e-11	(4,22)
7.107198644421926784e-11	(4,23)
5.735885821709941665e-11	(4,24)
4.366075919478544766e-11	(4,25)
3.075021910190509154e-11	(4,26)
1.937041517254161677e-11	(4,27)
1.018660579950921566e-11	(4,28)
3.74178182506853417e-12	(4,29)
4.1995603371144325e-13	(4,30)
1.55490917208348932e-12	(5,1)
1.396810005845293127e-11	(5,2)
3.86488392663539439e-11	(5,3)
7.527556618064889266e-11	(5,4)
1.2329513682372353605e-10	(5,5)
1.8185097807560441764e-10	(5,6)
2.4970752922192461054e-10	(5,7)
3.2518523990254529956e-10	(5,8)
4.0612049871125296709e-10	(5,9)
4.8986321591927181794e-10	(5,10)
5.7332150432571782718e-10	(5,11)
6.5305829751317256678e-10	(5,12)
7.2543926549136543158e-10	(5,13)
7.8682558766987378351e-10	(5,14)
8.337996242928978171e-10	(5,15)
8.6340687959915313296e-10	(5,16)
8.733943905581057353e-10	(5,17)
8.6242419600476729751e-10	(5,18)
8.3024106711267790227e-10	(5,19)
7.7777624350623358977e-10	(5,20)
7.0717335255882191653e-10	(5,21)
6.2172863847879076543e-10	(5,22)
5.2574458305473816651e-10	(5,23)
4.2430334302486268143e-10	(5,24)
3.2297349059363252059e-10	(5,25)
2.2746966668993089121e-10	(5,26)
1.4328935940653920401e-10	(5,27)
7.535365232117070087e-11	(5,28)
2.767917414557963989e-11	(5,29)
3.10655052481072438e-12	(5,30)
7.64222098031702533e-12	(6,1)
6.86517959529631138e-11	(6,2)
1.8995512609582228941e-10	(6,3)
3.6997176639338960416e-10	(6,4)
6.0598304907696631111e-10	(6,5)
8.9377895859587083296e-10	(6,6)
1.22728675945654897148e-9	(6,7)
1.59825151108450300897e-9	(6,8)
1.99603912112505745907e-9	(6,9)
2.40762447485048492015e-9	(6,10)
2.81781105885548462878e-9	(6,11)
3.20970586333476900881e-9	(6,12)
3.56544641425762031471e-9	(6,13)
3.86714827718495027293e-9	(6,14)
4.09801424770086143073e-9	(6,15)
4.24352359853595897695e-9	(6,16)
4.29260373459314247436e-9	(6,17)
4.23867934075538830664e-9	(6,18)
4.08049669800606767567e-9	(6,19)
3.8226334480374361469e-9	(6,20)
3.47562588146219371327e-9	(6,21)
3.05567506842553156026e-9	(6,22)
2.58392733702768287748e-9	(6,23)
2.08536069439836300067e-9	(6,24)
1.58734348753707179684e-9	(6,25)
1.11796168787592041033e-9	(6,26)
7.0423379700482051133e-10	(6,27)
3.7034529933864643041e-10	(6,28)
1.3603648124372280913e-10	(6,29)
1.526794361076027874e-11	(6,30)
2.857435017953903617e-11	(7,1)
2.5668983656744850423e-10	(7,2)
7.1024434245924602214e-10	(7,3)
1.38332852071006794108e-9	(7,4)
2.26577710792074138757e-9	(7,5)
3.34184852079317533611e-9	(7,6)
4.58883622799622398072e-9	(7,7)
5.97587414960537658417e-9	(7,8)
7.46320027227359610185e-9	(7,9)
9.00211232871942808636e-9	(7,10)
1.053578911142913690232e-8	(7,11)
1.200106634861488240099e-8	(7,12)
1.333115535005008169749e-8	(7,13)
1.445918601413251854338e-8	(7,14)
1.532235434507840666627e-8	(7,15)
1.5866369204973896189e-8	(7,16)
1.604983313583654650064e-8	(7,17)
1.584816493659904515241e-8	(7,18)
1.525668139701679961467e-8	(7,19)
1.429250275726982107822e-8	(7,20)
1.299502799143355729392e-8	(7,21)
1.142483538503107715841e-8	(7,22)
9.66099171470526105645e-9	(7,23)
7.79688826968328886743e-9	(7,24)
5.93485167795303720486e-9	(7,25)
4.17988994810187044803e-9	(7,26)
2.63301863267286993564e-9	(7,27)
1.38466030148078516603e-9	(7,28)
5.0861754926427188378e-10	(7,29)
5.708424594698192602e-11	(7,30)
8.773777688697102255e-11	(8,1)
7.8816824896484152592e-10	(8,2)
2.18081103856752875943e-9	(8,3)
4.24752122983564930936e-9	(8,4)
6.95708565842033269271e-9	(8,5)
1.026116829018128739407e-8	(8,6)
1.409004612435227757621e-8	(8,7)
1.834894096215236591615e-8	(8,8)
2.291575833639084114381e-8	(8,9)
2.764095172933084322158e-8	(8,10)
3.235004508286472010529e-8	(8,11)
3.68490866471451312764e-8	(8,12)
4.093299786641106057032e-8	(8,13)
4.439645354551521590694e-8	(8,14)
4.704661798857797688951e-8	(8,15)
4.871679947286916719206e-8	(8,16)
4.927990155421752493346e-8	(8,17)
4.866046642429320406204e-8	(8,18)
4.68441355226540982232e-8	(8,19)
4.388349761305625262476e-8	(8,20)
3.989954505093379660971e-8	(8,21)
3.507829493771981506762e-8	(8,22)
2.966252444997746279754e-8	(8,23)
2.393898390570718843352e-8	(8,24)
1.822184930831664021276e-8	(8,25)
1.283352115703579233353e-8	(8,26)
8.08413548222834403002e-9	(8,27)
4.25130104617763402457e-9	(8,28)
1.56159804042758541545e-9	(8,29)
1.7526444668473348476e-10	(8,30)
2.3195795581946604174e-10	(9,1)
2.08373065289589913577e-9	(9,2)
5.76554902915136856135e-9	(9,3)
1.122944137425687668995e-8	(9,4)
1.839288498084688598717e-8	(9,5)
2.71280854802688287883e-8	(9,6)
3.725070240674862070607e-8	(9,7)
4.851015048443157743473e-8	(9,8)
6.058362191205877545089e-8	(9,9)
7.30757285649230919965e-8	(9,10)
8.552517346849839285633e-8	(9,11)
9.741917338160050029671e-8	(9,12)
1.0821553615838174507792e-7	(9,13)
1.1737143049944757498887e-7	(9,14)
1.2437706175297835575556e-7	(9,15)
1.2879177376637856058423e-7	(9,16)
1.3027961078420368288799e-7	(9,17)
1.2864115357116815925153e-7	(9,18)
1.2383852377145740245089e-7	(9,19)
1.1601083457771166111699e-7	(9,20)
1.0547802879061521946101e-7	(9,21)
9.273193411697172518733e-8	(9,22)
7.841440372680722732861e-8	(9,23)
6.328350520020628979255e-8	(9,24)
4.816977314847698491475e-8	(9,25)
3.392545215280283197583e-8	(9,26)
2.137034079299356064579e-8	(9,27)
1.1238237725645447923e-8	(9,28)
4.12804649833014618275e-9	(9,29)
4.6330675185078021401e-10	(9,30)
5.4482476261639851798e-10	(10,1)
4.89428374091107198084e-9	(10,2)
1.354216857585210386779e-8	(10,3)
2.637580015369542555037e-8	(10,4)
4.320134030720807937636e-8	(10,5)
6.371860706708346328812e-8	(10,6)
8.749458931648477830455e-8	(10,7)
1.1394066381936364023965e-7	(10,8)
1.4229855478271212892909e-7	(10,9)
1.716394973394732521512e-7	(10,10)
2.0087991597186298602925e-7	(10,11)
2.288153132288634840634e-7	(10,12)
2.5417214129260790121909e-7	(10,13)
2.7567539360598222850461e-7	(10,14)
2.9212771755483410072702e-7	(10,15)
3.0249421950810929746683e-7	(10,16)
3.059859923037723184399e-7	(10,17)
3.0213488009879408823004e-7	(10,18)
2.9085218487721815364935e-7	(10,19)
2.7246492330118055089682e-7	(10,20)
2.4772480216762849008901e-7	(10,21)
2.177871700684967682689e-7	(10,22)
1.8415964214462194633023e-7	(10,23)
1.486226665840024077999e-7	(10,24)
1.1312677105825136991456e-7	(10,25)
7.967336504007697842488e-8	(10,26)
5.018757736525702413006e-8	(10,27)
2.639252144600829707663e-8	(10,28)
9.69450872710017849319e-9	(10,29)
1.08805067617102418759e-9	(10,30)
1.16208862181901231e-9	(11,1)
1.043930414448210423761e-8	(11,2)
2.888488214054410182867e-8	(11,3)
5.625847470667581073339e-8	(11,4)
9.214660940357327523208e-8	(11,5)
1.3590895972159867961825e-7	(11,6)
1.8662184173699777782027e-7	(11,7)
2.4302961156279437019501e-7	(11,8)
3.0351471788404794790155e-7	(11,9)
3.6609592898214287212072e-7	(11,10)
4.2846179859562623468602e-7	(11,11)
4.8804298642915150114943e-7	(11,12)
5.4212294473918563618282e-7	(11,13)
5.8798213782488307052513e-7	(11,14)
6.2306682870801731816688e-7	(11,15)
6.4516999002361010706426e-7	(11,16)
6.5260946290323304634555e-7	(11,17)
6.4438739211033376343749e-7	(11,18)
6.2031537503786228668307e-7	(11,19)
5.8109169789385772242303e-7	(11,20)
5.2832036558947095050819e-7	(11,21)
