d^3_(sigma,mu)
143.415629425	(1,1)
143.415678235	(1,2)
143.416007379	(1,3)
143.417067241	(1,4)
143.419502355	(1,5)
143.424115837	(1,6)
143.431824684	(1,7)
143.443608027	(1,8)
143.46045077	(1,9)
143.483285191	(1,10)
143.51293313	(1,11)
143.550051354	(1,12)
143.595082509	(1,13)
143.64821385	(1,14)
143.709345629	(1,15)
143.778070678	(1,16)
143.853666321	(1,17)
143.935099335	(1,18)
144.021044163	(1,19)
144.109914158	(1,20)
144.199905038	(1,21)
144.289049242	(1,22)
144.37527934	(1,23)
144.456498156	(1,24)
144.53065282	(1,25)
144.595809675	(1,26)
144.650226729	(1,27)
144.692420374	(1,28)
144.721223181	(1,29)
144.73582999	(1,30)
140.9299740459488	(2,1)
140.9300231072251	(2,2)
140.9303539461842	(2,3)
140.9314192655166	(2,4)
140.9338669124489	(2,5)
140.9385041251854	(2,6)
140.9462525780359	(2,7)
140.9580963492027	(2,8)
140.9750252338933	(2,9)
140.9979760016173	(2,10)
141.0277742517292	(2,11)
141.0650794645227	(2,12)
141.1103356903951	(2,13)
141.1637300827097	(2,14)
141.2251611762407	(2,15)
141.294218455141	(2,16)
141.3701743513976	(2,17)
141.4519893727716	(2,18)
141.5383305826241	(2,19)
141.6276031476665	(2,20)
141.71799414144067	(2,21)
141.80752725430605	(2,22)
141.89412653453622	(2,23)
141.97568679609777	(2,24)
142.05014790840503	(2,25)
142.11556986597828	(2,26)
142.1702053543804	(2,27)
142.2125665103547	(2,28)
142.24148273618	(2,29)
142.2561467750874	(2,30)
136.2072699901409112	(3,1)
136.207319580143319	(3,2)
136.2076539843821128	(3,3)
136.2087307826558724	(3,4)
136.2112047948784047	(3,5)
136.2158919261571356	(3,6)
136.2237236956906845	(3,7)
136.2356945928592882	(3,8)
136.2528047101363001	(3,9)
136.2760002863188213	(3,10)
136.3061148554264479	(3,11)
136.3438136441704518	(3,12)
136.3895437068819246	(3,13)
136.4434920462868916	(3,14)
136.505553656493962	(3,15)
136.5753110540471141	(3,16)
136.6520264441390471	(3,17)
136.7346472097782882	(3,18)
136.8218249182395514	(3,19)
136.9119475184951301	(3,20)
137.003183865296573	(3,21)
137.0935391645892352	(3,22)
137.1809194112217658	(3,23)
137.2632024094429376	(3,24)
137.338312559862443	(3,25)
137.4042962956175981	(3,26)
137.4593948859433493	(3,27)
137.5021113219858628	(3,28)
137.5312681727808442	(3,29)
137.546053651483943	(3,30)
129.69513737397322731	(4,1)
129.69518780802617921	(4,2)
129.69552790382971449	(4,3)
129.69662302698882096	(4,4)
129.6991391288697495	(4,5)
129.70390595158190408	(4,6)
129.7118707340251574	(4,7)
129.72404459348937741	(4,8)
129.74144407543911841	(4,9)
129.76503056002188651	(4,10)
129.79565028606169971	(4,11)
129.83397770753752792	(4,12)
129.8804647446689702	(4,13)
129.93529824550879337	(4,14)
129.99836764889308114	(4,15)
130.0692444493628182	(4,16)
130.14717462116875391	(4,17)
130.23108467198716129	(4,18)
130.31960147705563457	(4,19)
130.41108550137954179	(4,20)
130.50367646417306626	(4,21)
130.59534995233283074	(4,22)
130.68398296963445089	(4,23)
130.76742594099763339	(4,24)
130.84357830512856768	(4,25)
130.91046455334734692	(4,26)
130.96630743424223067	(4,27)
131.00959506390068911	(4,28)
131.03913887169804596	(4,29)
131.05411967222783701	(4,30)
121.957647684145456736	(5,1)
121.957699303068831434	(5,2)
121.958047388638720616	(5,3)
121.95916823610255434	(5,4)
121.961743423050348795	(5,5)
121.966622115822388904	(5,6)
121.974773620422668877	(5,7)
121.987232396100466702	(5,8)
122.005038084607723811	(5,9)
122.029173320948358902	(5,10)
122.060502178226614971	(5,11)
122.09971206282638039	(5,12)
122.147261724868072615	(5,13)
122.203337794621645147	(5,14)
122.267821912198242904	(5,15)
122.340270099892656981	(5,16)
122.419905548287640074	(5,17)
122.505625462577419773	(5,18)
122.596022058518840569	(5,19)
122.689417222905625336	(5,20)
122.783909778321684482	(5,21)
122.877433735665186305	(5,22)
122.967825402951574115	(5,23)
123.052896770015658814	(5,24)
123.13051223186418012	(5,25)
123.198665473593272639	(5,26)
123.255553238576537116	(5,27)
123.299642754586689168	(5,28)
123.329729806732219086	(5,29)
123.344984818477055175	(5,30)
113.5848480315257966741	(6,1)
113.5849011599300242392	(6,2)
113.5852594241494392419	(6,3)
113.5864130431849624224	(6,4)
113.5890635006970761529	(6,5)
113.5940847046145715346	(6,6)
113.6024740623987527847	(6,7)
113.6152957453270264851	(6,8)
113.6336187718391405851	(6,9)
113.6584527750777250963	(6,10)
113.6906844258828460561	(6,11)
113.7310174587102137788	(6,12)
113.7799190989818045476	(6,13)
113.8375754256937711678	(6,14)
113.9038578357431326027	(6,15)
113.9783023220175190478	(6,16)
114.0601027532532799463	(6,17)
114.1481187687781339011	(6,18)
114.240898295449498428	(6,19)
114.3367140784851698126	(6,20)
114.4336130147708961024	(6,21)
114.5294765100106222595	(6,22)
114.6220895737884546232	(6,23)
114.7092159430556668546	(6,24)
114.7886762070993050906	(6,25)
114.8584257150311258538	(6,26)
114.9166289948943934033	(6,27)
114.9617275099697959612	(6,28)
114.9924978235689839124	(6,29)
115.008097631044146182	(6,30)
105.11680825862153482284	(7,1)
105.11686313407280321232	(7,2)
105.11723317883866728247	(7,3)
105.11842472642425442088	(7,4)
105.12116229599427382467	(7,5)
105.12634841861139077919	(7,6)
105.13501299257455847235	(7,7)
105.14825450380136620962	(7,8)
105.16717583080686661508	(7,9)
105.19281761691665673724	(7,10)
105.22609232316824864852	(7,11)
105.26772206799199139575	(7,12)
105.31818321438304951231	(7,13)
105.37766038806426685021	(7,14)
105.44601221298845763786	(7,15)
105.52275055049156153376	(7,16)
105.6070344469688783623	(7,17)
105.6976793571412029546	(7,18)
105.79318154339774357835	(7,19)
105.89175688539441086449	(7,20)
105.99139269735363217867	(7,21)
106.0899105716432679929	(7,22)
106.18503777216664390142	(7,23)
106.27448431222124650044	(7,24)
106.35602258635992571754	(7,25)
106.42756629630019513607	(7,26)
106.48724542266325997463	(7,27)
106.53347414636322157151	(7,28)
106.56500890855916603091	(7,29)
106.5809942031880164027	(7,30)
96.99439287355269148909	(8,1)
96.99444955080713256211	(8,2)
96.99483174524587936791	(8,3)
96.99606240862638510099	(8,4)
96.99888981015951822876	(8,5)
97.00424597441799126554	(8,6)
97.01319423679720274923	(8,7)
97.02686831417976056362	(8,8)
97.04640570342485943661	(8,9)
97.07287851704565098237	(8,10)
97.10722502670907058496	(8,11)
97.1501851988007293526	(8,12)
97.20224336654168321807	(8,13)
97.26358089199489306179	(8,14)
97.33404123910229081453	(8,15)
97.41310932442873897587	(8,16)
97.49990636209824355146	(8,17)
97.59320070638345533959	(8,18)
97.691434456738876894	(8,19)
97.79276486469938674192	(8,20)
97.89511890793676593243	(8,21)
97.99625880807792946545	(8,22)
98.09385579370950532839	(8,23)
98.18556906847560822703	(8,24)
98.26912674756928858548	(8,25)
98.34240547649627113761	(8,26)
98.40350553785273449257	(8,27)
98.45081847246215606698	(8,28)
98.48308457335028565999	(8,29)
98.4994380349272170849	(8,30)
89.537437752276758471812	(9,1)
89.537495991589331707455	(9,2)
89.537888718887158871473	(9,3)
89.5391532903998561757	(9,4)
89.542058550626467718489	(9,5)
89.547562040771731237735	(9,6)
89.556755942650634991955	(9,7)
89.570804203641995539841	(9,8)
89.590873737481226445859	(9,9)
89.618062930999345078295	(9,10)
89.653330884399626584144	(9,11)
89.69743085236615089226	(9,12)
89.750851222207710582352	(9,13)
89.813767060004334795378	(9,14)
89.886004784640321286379	(9,15)
89.967021913454450237184	(9,16)
90.055903094671808578086	(9,17)
90.151372843253503053547	(9,18)
90.251824577154490787726	(9,19)
90.355364761113799222613	(9,20)
90.459870253228925429448	(9,21)
90.5630563566990358819	(9,22)
90.662552635387799202324	(9,23)
90.755983274161886613526	(9,24)
90.84104865631250869283	(9,25)
90.915604880929877802044	(9,26)
90.977738132785612824096	(9,27)
91.025831119419818964467	(9,28)
91.05861917563160367787	(9,29)
91.07523407684216313794	(9,30)
82.943274910045119770787	(10,1)
82.943334065928145386605	(10,2)
82.943732973199940580698	(10,3)
82.945017434962240060347	(10,4)
82.947968338955167455453	(10,5)
82.95355809192645429653	(10,6)
82.962895513795413204387	(10,7)
82.977161653990147898255	(10,8)
82.997539475989344483761	(10,9)
83.025140733178399856473	(10,10)
83.06093359783021527561	(10,11)
83.105674676139389157905	(10,12)
83.159848923933888615379	(10,13)
83.223620660087667133738	(10,14)
83.29679836342408435617	(10,15)
83.378815257007770002874	(10,16)
83.46872687094924621523	(10,17)
83.565225884852429018481	(10,18)
83.666673646304815588789	(10,19)
83.771146907102453934403	(10,20)
83.876497574128057982865	(10,21)
83.980422685383344701189	(10,22)
84.080541425393438894929	(10,23)
84.174475800303370059703	(10,24)
84.25993159402515276832	(10,25)
84.334776398147890991967	(10,26)
84.397111812987137760402	(10,27)
84.445337311967377300855	(10,28)
84.478203703844331853758	(10,29)
84.49485458090368051398	(10,30)
77.2964313738873082867151	(11,1)
77.2964903101020946646454	(11,2)
77.2968877351669956367944	(11,3)
77.2981674134940424066172	(11,4)
77.3011072656487638910826	(11,5)
77.3066758451119596568922	(11,6)
77.3159772009666373073887	(11,7)
77.3301865540788942359893	(11,8)
77.3504797287626818095238	(11,9)
77.3779597009911505687246	(11,10)
77.4135839073257810909575	(11,11)
77.458096066099459110436	(11,12)
77.5119661619424043031272	(11,13)
77.5753419189308174317242	(11,14)
77.648014538866541954741	(11,15)
77.729400734707537698337	(11,16)
77.8185421926531490165118	(11,17)
77.9141226160610842784647	(11,18)
78.0145015179494684233022	(11,19)
78.1177630163722492452851	(11,20)
78.2217771209525440952562	(11,21)
78.324270435214418159066	(11,22)
78.4229028706182414454027	(11,23)
78.5153468802391206251978	(11,24)
78.5993658525953358927539	(11,25)
78.6728886172791429828498	(11,26)
78.734077447483772538954	(11,27)
78.781387438791963131972	(11,28)
78.813615641423505484314	(11,29)
78.82993877958085309326	(11,30)
72.5827804164710158230985	(12,1)
72.5828374799547955232513	(12,2)
