kdd2322_(sigma,mu)
1.230285747e-20	(1,1)
1.105152095e-19	(1,2)
3.0571134224e-19	(1,3)
5.9494383674e-19	(1,4)
9.7264737877e-19	(1,5)
1.42949216663e-18	(1,6)
1.95122337587e-18	(1,7)
2.51777399103e-18	(1,8)
3.10295731516e-18	(1,9)
3.67501313824e-18	(1,10)
4.1981868886e-18	(1,11)
4.63536505926e-18	(1,12)
4.95158984671e-18	(1,13)
5.11806450458e-18	(1,14)
5.11608299186e-18	(1,15)
4.94021979746e-18	(1,16)
4.60013552037e-18	(1,17)
4.12050731719e-18	(1,18)
3.5388688545e-18	(1,19)
2.9015004033e-18	(1,20)
2.25788087665e-18	(1,21)
1.65452332062e-18	(1,22)
1.1291922869e-18	(1,23)
7.064965444e-19	(1,24)
3.956500362e-19	(1,25)
1.9082546973e-19	(1,26)
7.405405844e-20	(1,27)
2.014305594e-20	(1,28)
2.68808057e-21	(1,29)
3.367511e-23	(1,30)
8.05683813364e-17	(2,1)
7.2373686897698e-16	(2,2)
2.00202823320987e-15	(2,3)
3.8961405531444e-15	(2,4)
6.36962795522101e-15	(2,5)
9.36139186266092e-15	(2,6)
1.277808093522397e-14	(2,7)
1.648828122224426e-14	(2,8)
2.032050248418451e-14	(2,9)
2.406675491707959e-14	(2,10)
2.749289062944712e-14	(2,11)
3.03558624049758e-14	(2,12)
3.242674021011934e-14	(2,13)
3.351694127184913e-14	(2,14)
3.350396437606213e-14	(2,15)
3.235227923917114e-14	(2,16)
3.012515080011942e-14	(2,17)
2.698418372748304e-14	(2,18)
2.31751767882741e-14	(2,19)
1.900120807989379e-14	(2,20)
1.47863027876795e-14	(2,21)
1.083506333698879e-14	(2,22)
7.39480040135784e-15	(2,23)
4.62667067181827e-15	(2,24)
2.59101393126847e-15	(2,25)
1.24966864196456e-15	(2,26)
4.8496164414305e-16	(2,27)
1.3191187145859e-16	(2,28)
1.760357204745e-17	(2,29)
2.2052996126e-19	(2,30)
4.77801551381013e-15	(3,1)
4.292038551938514e-14	(3,2)
1.1872798972974178e-13	(3,3)
2.3105614953796973e-13	(3,4)
3.7774348327100944e-13	(3,5)
5.5516660791690567e-13	(3,6)
7.5778942588909186e-13	(3,7)
9.7781857856765488e-13	(3,8)
1.20508402768731018e-12	(3,9)
1.42725116973626905e-12	(3,10)
1.63043412685258036e-12	(3,11)
1.80021925986790836e-12	(3,12)
