b^2^1_3_(sigma,mu)
1.00584719236419e-15	(1,1)
9.03575237136642e-15	(1,2)
2.500134890771657e-14	(1,3)
4.869462489072844e-14	(1,4)
7.975776216158447e-14	(1,5)
1.1763666148623353e-13	(1,6)
1.6153206602700994e-13	(1,7)
2.1035751322224915e-13	(1,8)
2.6271341318579042e-13	(1,9)
3.1688548391250233e-13	(1,10)
3.7087365226983244e-13	(1,11)
4.224545512602113e-13	(1,12)
4.6927719987016983e-13	(1,13)
5.089877001832875e-13	(1,14)
5.393752166608948e-13	(1,15)
5.585284959756976e-13	(1,16)
5.649900772311963e-13	(1,17)
5.578943853182199e-13	(1,18)
5.370762399716548e-13	(1,19)
5.031379706399803e-13	(1,20)
4.574661944285846e-13	(1,21)
4.021931622232158e-13	(1,22)
3.401020771224675e-13	(1,23)
2.744805395662949e-13	(1,24)
2.089308420595246e-13	(1,25)
1.471497981186938e-13	(1,26)
9.26937685641116e-14	(1,27)
4.87462520218058e-14	(1,28)
1.790565745039e-14	(1,29)
2.009628019365e-15	(1,30)
7.3228735673860848e-13	(2,1)
6.57830261870666724e-12	(2,2)
1.820174260279069744e-11	(2,3)
3.5451168249193756e-11	(2,4)
5.806607687404473935e-11	(2,5)
8.564306699459802538e-11	(2,6)
1.1760025464515211563e-10	(2,7)
1.5314666101022376065e-10	(2,8)
1.9126334071221369259e-10	(2,9)
2.3070224267827253727e-10	(2,10)
2.7000725112536018064e-10	(2,11)
3.0755968574944220195e-10	(2,12)
3.4164795991836672988e-10	(2,13)
3.705583643359786451e-10	(2,14)
3.926813447213887366e-10	(2,15)
4.066254532010500233e-10	(2,16)
4.113296180279027115e-10	(2,17)
4.061636794821621803e-10	(2,18)
3.91007387242355497e-10	(2,19)
3.662992613120861784e-10	(2,20)
3.330488060096901167e-10	(2,21)
2.928083679158623288e-10	(2,22)
2.47604204117916566e-10	(2,23)
1.998297854122836081e-10	(2,24)
1.521076851040628615e-10	(2,25)
1.071292882393693901e-10	(2,26)
6.74837244639971848e-11	(2,27)
3.54886680030387748e-11	(2,28)
1.3035830895909009e-11	(2,29)
1.46306665233602e-12	(2,30)
1.565654086353149984e-11	(3,1)
1.40646240507629059e-10	(3,2)
3.8915915018017016283e-10	(3,3)
7.5795744496195307374e-10	(3,4)
1.24147146723446330758e-9	(3,5)
1.83107630710451710095e-9	(3,6)
2.51433099946997213876e-9	(3,7)
3.27432401358926918701e-9	(3,8)
4.08926976996769407989e-9	(3,9)
4.93248429762234737303e-9	(3,10)
5.77283512382596271096e-9	(3,11)
