a^3^1^2_1_(sigma,mu)
-2.8572172955301866672e-10	(1,1)
-2.56670279040404155754e-9	(1,2)
-7.10190246126347973013e-9	(1,3)
-1.383223271844232236949e-8	(1,4)
-2.265605146012801413734e-8	(1,5)
-3.341596083136542895032e-8	(1,6)
-4.588492331991347215477e-8	(1,7)
-5.975431753487143845259e-8	(1,8)
-7.462657489683742987259e-8	(1,9)
-9.001473514096100521556e-8	(1,10)
-1.053506559544217150952e-7	(1,11)
-1.2000276599627575766855e-7	(1,12)
-1.3330324378830183702218e-7	(1,13)
-1.4458343927214668448026e-7	(1,14)
-1.5321534079559544611416e-7	(1,15)
-1.5865603625677840626761e-7	(1,16)
-1.6049151817811611475369e-7	(1,17)
-1.5847591061241557295708e-7	(1,18)
-1.5256229231061495130031e-7	(1,19)
-1.4292176142534075949318e-7	(1,20)
-1.2994820146868697727342e-7	(1,21)
-1.1424730126444901928032e-7	(1,22)
-9.660965963081393175953e-8	(1,23)
-7.796915489151312818383e-8	(1,24)
-5.934905704857810443327e-8	(1,25)
-4.1799485821906302197e-8	(1,26)
-2.633066383421998681172e-8	(1,27)
-1.384689818668545959874e-8	(1,28)
-5.08629495577053060742e-9	(1,29)
-5.7085649538826119671e-10	(1,30)
-2.58444304405232427817e-9	(2,1)
-2.321663523070287925512e-8	(2,2)
-6.423894478736293313058e-8	(2,3)
-1.2511690182804949436413e-7	(2,4)
-2.0493112123220099105418e-7	(2,5)
-3.0225788919312288462829e-7	(2,6)
-4.1504357879291210549337e-7	(2,7)
-5.4049661066583801431556e-7	(2,8)
-6.7502084954379564235255e-7	(2,9)
-8.1421158378081491458891e-7	(2,10)
-9.5292978441228954893116e-7	(2,11)
-1.08546268727297109269859e-6	(2,12)
-1.20576963520396324801071e-6	(2,13)
-1.30780247780626480227379e-6	(2,14)
-1.38588065392214792077644e-6	(2,15)
-1.43509335700396527306679e-6	(2,16)
-1.45169576578638007548127e-6	(2,17)
-1.43346386357449869002868e-6	(2,18)
-1.37997324264519563214158e-6	(2,19)
-1.29277154928003525218276e-6	(2,20)
-1.17542159193582459789787e-6	(2,21)
-1.03340202185028957808964e-6	(2,22)
-8.738640552847117326829e-7	(2,23)
-7.0525491199418219564836e-7	(2,24)
-5.3683038287595628747748e-7	(2,25)
-3.7808911898838868354781e-7	(2,26)
-2.3816888700801270005542e-7	(2,27)
-1.2524941369945803621945e-7	(2,28)
-4.60070866729091109221e-8	(2,29)
-5.16357076286663034629e-9	(2,30)
-7.25128690634639313555e-9	(3,1)
-6.513994703617789441869e-8	(3,2)
-1.8023806684768230823148e-7	(3,3)
-3.5104605849314572315034e-7	(3,4)
-5.749843566237617312317e-7	(3,5)
-8.4805837203577794032287e-7	(3,6)
-1.16450613121402548237353e-6	(3,7)
-1.51649514380329411610675e-6	(3,8)
-1.89393553037572597657229e-6	(3,9)
-2.28446874466006938634505e-6	(3,10)
-2.67367593124933386329122e-6	(3,11)
-3.04552848678987390933846e-6	(3,12)
-3.3830778414220808372778e-6	(3,13)
-3.66935443028673987266674e-6	(3,14)
-3.88842008921638978686525e-6	(3,15)
-4.02649643400747740641503e-6	(3,16)
-4.07307658207844173506448e-6	(3,17)
-4.02192067647910456686534e-6	(3,18)
-3.87183812342538204330316e-6	(3,19)
-3.62717140583601627481479e-6	(3,20)
-3.29791700681245191104517e-6	(3,21)
-2.89944671804804126623549e-6	(3,22)
-2.45182504286373533466309e-6	(3,23)
-1.9787526484738034404207e-6	(3,24)
-1.50619875571892453872084e-6	(3,25)
-1.06081391289712211277731e-6	(3,26)
-6.6823606995161780128453e-7	(3,27)
-3.5141514907915946625074e-7	(3,28)
-1.2908311481713811398498e-7	(3,29)
-1.448754502644191388587e-8	(3,30)
-1.442618733521117801717e-8	(4,1)
-1.2959369697745682675934e-7	(4,2)
-3.5857746787894428802096e-7	(4,3)
-6.9839410903779731382569e-7	(4,4)
-1.14391162725793579392513e-6	(4,5)
-1.68718284630574316108342e-6	(4,6)
-2.31674438072098727462298e-6	(4,7)
-3.01701355267959385938287e-6	(4,8)
-3.7679166163684527114994e-6	(4,9)
-4.54486633843618889573585e-6	(4,10)
-5.31917655579687227668101e-6	(4,11)
-6.05895860860066448514144e-6	(4,12)
