mdd13_(sigma,mu)
0.67942513795838	(1,1)
0.67940171726115	(1,2)
0.6792437792105	(1,3)
0.67873517077381	(1,4)
0.67756637910081	(1,5)
0.67535116418204	(1,6)
0.67164715822999	(1,7)
0.66597932365418	(1,8)
0.65786513690077	(1,9)
0.64684043861628	(1,10)
0.63248502869431	(1,11)
0.6144472451584	(1,12)
0.59246690495525	(1,13)
0.56639606720397	(1,14)
0.53621708584683	(1,15)
0.50205735036167	(1,16)
0.46419999332635	(1,17)
0.42308971361385	(1,18)
0.379332776425776	(1,19)
0.333690260091613	(1,20)
0.28706376885477	(1,21)
0.240473145571515	(1,22)
0.195026196681059	(1,23)
0.151881052875839	(1,24)
0.112202474153403	(1,25)
0.077114088381109	(1,26)
0.0476491393552758	(1,27)
0.0247027279500432	(1,28)
0.0089886890469194	(1,29)
0.00100411588855113	(1,30)
0.739126202582967174	(2,1)
0.73910059396494508	(2,2)
0.738927901893206243	(2,3)
0.738371784308949232	(2,4)
0.737093834665988862	(2,5)
0.734671804596814844	(2,6)
0.730622199284308223	(2,7)
0.724426041710567307	(2,8)
0.7155565652176556	(2,9)
0.703507660728235183	(2,10)
0.687822042272189429	(2,11)
0.668118258757917739	(2,12)
0.644115826666327918	(2,13)
0.615657851170554621	(2,14)
0.58273052186020422	(2,15)
0.54547881464035594	(2,16)
0.504217626400998907	(2,17)
0.459437455277182157	(2,18)
0.411803669641790435	(2,19)
0.362148437586623773	(2,20)
0.311454560012849487	(2,21)
0.2608307892312282089	(2,22)
0.2114787188091821194	(2,23)
0.1646519669742569894	(2,24)
0.1216090849756292701	(2,25)
0.0835623222918317775	(2,26)
0.0516249813767957203	(2,27)
0.02676050801309090909	(2,28)
0.00973661840971258481	(2,29)
0.001087618525423430812	(2,30)
0.85237520286659686609	(3,1)
0.85234544686226548809	(3,2)
0.85214478730730334194	(3,3)
0.85149861208245755823	(3,4)
0.85001374379101758476	(3,5)
0.84719967563704563599	(3,6)
0.84249494882129113387	(3,7)
0.83529728605164324384	(3,8)
0.82499603623633273398	(3,9)
0.81100554072801734428	(3,10)
0.79279816756246854012	(3,11)
0.76993593205628537283	(3,12)
0.74209978342209960861	(3,13)
0.70911574944990750804	(3,14)
0.67097717299147453951	(3,15)
0.62786224486329346255	(3,16)
0.58014596047777536814	(3,17)
0.52840554390188906432	(3,18)
0.47341834672567532032	(3,19)
0.41615129504852730749	(3,20)
0.35774117093840974424	(3,21)
0.29946539926722168325	(3,22)
0.24270356325005519393	(3,23)
0.188890557616771823006	(3,24)
0.139463043486474706387	(3,25)
0.095801608401328387417	(3,26)
0.05917166307959210123	(3,27)
0.030666531408772004577	(3,28)
0.0111563380079489039898	(3,29)
0.0012461243688710064307	(3,30)
1.007809515363107965961	(4,1)
1.00777407440035987563	(4,2)
1.00753507888420056743	(4,3)
1.006765458475056073413	(4,4)
1.004996958480169890789	(4,5)
1.001645504101981912334	(4,6)
0.996042758144779497622	(4,7)
0.987472237469782421297	(4,8)
0.97520826324762070704	(4,9)
0.958556060143610125953	(4,10)
0.936891454706906371841	(4,11)
0.90969880620425700445	(4,12)
0.87660598466566138605	(4,13)
0.837415349963682586535	(4,14)
0.792129758337318946778	(4,15)
0.740972627492713548617	(4,16)
0.684401050622360969744	(4,17)
0.623110905901011608769	(4,18)
0.558032916050746192931	(4,19)
0.490318728653817989182	(4,20)
0.421316357692741644284	(4,21)
0.3525347744259382039225	(4,22)
0.285598055814181837995	(4,23)
0.222190253231147239705	(4,24)
0.1639929645897960779758	(4,25)
0.1126183879940565951507	(4,26)
0.069541302643217209658	(4,27)
0.0360338651767033324971	(4,28)
0.0131072484139168875241	(4,29)
0.00146393826686160598689	(4,30)
1.1905656826877144626605	(5,1)
1.1905235710486327503336	(5,2)
1.1902395924513513332855	(5,3)
1.1893251222182224045181	(5,4)
1.1872238086342612053148	(5,5)
1.1832417777847009413336	(5,6)
1.1765852626675948614175	(5,7)
1.1664037285651159817034	(5,8)
1.1518364413626341394115	(5,9)
1.1320604490514355567032	(5,10)
1.1063380820520875493961	(5,11)
1.0740622750306445328757	(5,12)
1.0347982186675959306361	(5,13)
0.9883200198877721763414	(5,14)
0.9346411567025654274997	(5,15)
0.8740375562066270685396	(5,16)
0.8070621236977560265849	(5,17)
0.7345495510116620065686	(5,18)
0.657610289687240794683	(5,19)
0.5776127477157618061444	(5,20)
0.4961531043438999694784	(5,21)
0.4150126597189839389357	(5,22)
0.3361033377242323205392	(5,23)
0.26140279892955504321917	(5,24)
0.19288152150698863411516	(5,25)
0.13242507235491610377667	(5,26)
0.08175550849893202154156	(5,27)
0.04235631478234085659979	(5,28)
0.015405413656628363209161	(5,29)
0.001720527363638642664839	(5,30)
1.38443801414820133979093	(6,1)
1.38438884757578099758305	(6,2)
