e^2_(sigma,mu)
2.1338325401e-7	(1,1)
1.91694283273e-6	(1,2)
5.3054187461e-6	(1,3)
0.0000103417992162	(1,4)
0.0000169712402804	(1,5)
0.000025121838915	(1,6)
0.000034705608693	(1,7)
0.000045619617652	(1,8)
0.000057747245816	(1,9)
0.000070959521543	(1,10)
0.000085116501274	(1,11)
0.000100068665738	(1,12)
0.000115658316171	(1,13)
0.000131720965546	(1,14)
0.00014808673085	(1,15)
0.00016458174187	(1,16)
0.00018102958867	(1,17)
0.00019725283319	(1,18)
0.00021307460917	(1,19)
0.00022832033	(1,20)
0.00024281951441	(1,21)
0.00025640772817	(1,22)
0.00026892862506	(1,23)
0.00028023605518	(1,24)
0.00029019619396	(1,25)
0.0002986896323	(1,26)
0.0003056133589	(1,27)
0.0003108825622	(1,28)
0.000314432178	(1,29)
0.00031621812	(1,30)
1.892442391787857e-6	(2,1)
0.00001700088356797259	(2,2)
0.00004705242172926126	(2,3)
0.00009171879839759506	(2,4)
0.0001505135856841104	(2,5)
0.0002227990274751451	(2,6)
0.0003077946757471964	(2,7)
0.0004045874672836146	(2,8)
0.0005121428661990772	(2,9)
0.000629316712676518	(2,10)
0.0007548674657592275	(2,11)
0.0008874686021637732	(2,12)
0.0010257210254151728	(2,13)
0.001168165439826782	(2,14)
0.001313294740788424	(2,15)
0.001459566555558947	(2,16)
0.001605416127629563	(2,17)
0.00174926976527133	(2,18)
0.001889559066571441	(2,19)
0.002024736087989289	(2,20)
0.002153289543753161	(2,21)
0.002273762015341963	(2,22)
0.002384768023043868	(2,23)
0.002485012676729791	(2,24)
0.00257331049347221	(2,25)
0.00264860385859156	(2,26)
0.00270998052610312	(2,27)
0.00275668951396363	(2,28)
0.0027881547551355	(2,29)
0.002803985919273	(2,30)
5.10897227867118335e-6	(3,1)
0.0000458967956098954852	(3,2)
0.0001270260556072325359	(3,3)
0.000247610500276589731	(3,4)
0.000406336750626697885	(3,5)
0.000601482676840697531	(3,6)
0.000830940614241174009	(3,7)
0.001092244478535724355	(3,8)
0.001382599786262074636	(3,9)
0.001698915624883559934	(3,10)
0.00203783774128316125	(3,11)
0.00239578211231828391	(3,12)
0.00276896860425824828	(3,13)
0.00315345459200915328	(3,14)
0.0035451686644614358	(3,15)
0.0039399447601131804	(3,16)
0.00433355723175846806	(3,17)
0.00472175741077401252	(3,18)
0.00510031221849990938	(3,19)
0.0054650452516346153	(3,20)
0.00581188055736718898	(3,21)
0.00613688902843855516	(3,22)
0.006436337012940826	(3,23)
0.0067067363791019762	(3,24)
0.0069448949357108404	(3,25)
0.0071479658186316271	(3,26)
0.0073134942443213947	(3,27)
0.007439459927305873	(3,28)
0.007524313476006359	(3,29)
0.0075670052250122	(3,30)
9.61363091631699628e-6	(4,1)
0.0000863646969399390813	(4,2)
0.00023902681775512224503	(4,3)
0.00046593211477211871014	(4,4)
0.0007646085767152261728	(4,5)
0.0011318143321405900585	(4,6)
0.0015635810078012289926	(4,7)
0.0020552644597122082951	(4,8)
0.0026016010632076834372	(4,9)
0.003196767814311810021	(4,10)
0.0038344447161411777248	(4,11)
0.0045078782735814899549	(4,12)
0.005209945356705809024	(4,13)
0.005933217168785220051	(4,14)
0.00667002351455098356	(4,15)
0.007412517955941139934	(4,16)
0.008152744719460899349	(4,17)
0.00888270834584942187	(4,18)
0.00959444702773300228	(4,19)
0.01028011035990108739	(4,20)
0.010932041843002015392	(4,21)
0.011542865965046844965	(4,22)
0.012105579081035375772	(4,23)
0.0126136426750434622	(4,24)
0.01306107698282077437	(4,25)
0.01344255243791059284	(4,26)
0.01375347603598870222	(4,27)
0.01399006953421865601	(4,28)
0.0141494364421925944	(4,29)
0.01422961502620147	(4,30)
0.000015102832028042531774	(5,1)
0.0001356772973258987981	(5,2)
0.0003755064887566775826	(5,3)
0.00073196968455027921655	(5,4)
0.00120118187401782606178	(5,5)
0.00177804682716857868456	(5,6)
0.00245632438461753822905	(5,7)
0.00322870941945809553407	(5,8)
0.00408691976546079703294	(5,9)
0.00502179049334366876288	(5,10)
0.0060233722330045666884	(5,11)
0.0070810317449116472724	(5,12)
0.008183553579034968701	(5,13)
0.0093192423517559002549	(5,14)
0.0104760258406594872403	(5,15)
0.0116415596660429899698	(5,16)
0.012803334727719129092	(5,17)
0.0139487887438993515036	(5,18)
0.0150654231650329230247	(5,19)
0.0161409264041472853837	(5,20)
0.0171633037575966096585	(5,21)
0.0181210136323354136927	(5,22)
0.019003108815249967257	(5,23)
0.019799380599228954882	(5,24)
0.020500502709528106583	(5,25)
0.021098171241380525856	(5,26)
0.021585236304587760291	(5,27)
0.02195582083400207981	(5,28)
0.02220542210327603868	(5,29)
0.022330991881884593	(5,30)
0.0000212708160958628522888	(6,1)
0.000191087781660000865026	(6,2)
0.000528862784829564110336	(6,3)
0.001030903699283188906678	(6,4)
0.001691735611229133259712	(6,5)
0.002504173911803920201863	(6,6)
0.003459417303568681100182	(6,7)
0.00454715743844261234065	(6,8)
0.00575570168442849114461	(6,9)
0.00707210560653626803523	(6,10)
0.00848231212447346805984	(6,11)
0.00997129492695600729363	(6,12)
0.01152320450555386135813	(6,13)
0.01312151602749206396005	(6,14)
0.01474917909579582614647	(6,15)
0.01638877014733507767082	(6,16)
0.01802264872750546113305	(6,17)
0.01963311908866494767092	(6,18)
0.02120259845081817588305	(6,19)
0.0227137928332055934284	(6,20)
0.0241498806442955639944	(6,21)
0.0254947032667375511542	(6,22)
0.026732960780601890066	(6,23)
0.0278504098377072405467	(6,24)
0.0288340596442549315781	(6,25)
0.0296723611367823148502	(6,26)
0.030355383841620453099	(6,27)
0.030874974661061456517	(6,28)
0.03122489297053135016	(6,29)
0.031400916946500707	(6,30)
0.0000278420483966308383148	(7,1)
0.0002501208596992998522046	(7,2)
0.0006922448766956876804109	(7,3)
0.0013493792621302585585922	(7,4)
0.002214351523757147974037	(7,5)
0.003277744054113628143559	(7,6)
0.004528012521543509986779	(7,7)
0.005951626398378077564518	(7,8)
0.007533227627530780584886	(7,9)
0.009255803477430402777904	(7,10)
0.011100869998893893936572	(7,11)
0.013048663124907735928304	(7,12)
0.015078335265555190433752	(7,13)
0.01716815614499901839146	(7,14)
0.01929571749465489699279	(7,15)
0.02143814194717600570112	(7,16)
0.02357229697403111567704	(7,17)
0.02567501490438653650963	(7,18)
0.02772331991686355535051	(7,19)
0.02969466240854156455679	(7,20)
0.03156716035562651209558	(7,21)
0.0333198462602306556646	(7,22)
0.03493291712708267373229	(7,23)
0.03638798374808851434626	(7,24)
0.0376683145107506305319	(7,25)
0.0387590680995161988995	(7,26)
0.0396475089191285334415	(7,27)
0.040323198900663798003	(7,28)
0.040778159586370953835	(7,29)
0.0410069990266664253	(7,30)
0.00003457566482789231028374	(8,1)
0.0003106127055651735330075	(8,2)
0.0008596639302739536257903	(8,3)
0.00167572158006905839676	(8,4)
0.0027498677952073847025765	(8,5)
0.004070384134029568219436	(8,6)
0.0056228928264755044244916	(8,7)
0.007390526156506403614046	(8,8)
0.009354120020511118278943	(8,9)
0.011492427654207577625042	(8,10)
0.013782349746645428229293	(8,11)
0.016199177624900713148139	(8,12)
0.018716846828368497875935	(8,13)
0.021308199108285196518505	(8,14)
0.023945251586491546441762	(8,15)
0.026599472388543492466581	(8,16)
0.029242062444300374084833	(8,17)
0.031844243262641939802414	(8,18)
0.034377550307294486999027	(8,19)
0.0368141311360471092319	(8,20)
0.03912704676009319397736	(8,21)
0.04129057380833217359302	(8,22)
0.04328050413838477333226	(8,23)
0.04507443762570253883811	(8,24)
0.04665206308472642906012	(8,25)
0.04799542171723100271651	(8,26)
0.0490891472058249321521	(8,27)
0.0499206766110897084275	(8,28)
0.050480426597269290938	(8,29)
0.0507619301864799481	(8,30)
0.00004124544730736537059222	(9,1)
0.00037053106602684529064549	(9,2)
0.00102549524190398567031334	(9,3)
0.0019989655550187929557173	(9,4)
0.0032802868624724282937435	(9,5)
0.0048554433635057682830204	(9,6)
0.0067072179380971872493833	(9,7)
0.008815386060627869346149	(9,8)
0.0111569411868478757409429	(9,9)
0.013706348264222152694181	(9,10)
0.0164358219247287381753245	(9,11)
0.0193156259701509499609578	(9,12)
0.02231439092011606792264	(9,13)
0.025399446614881652791935	(9,14)
0.028537167091330973196874	(9,15)
0.031693325124340663097453	(9,16)
0.03483345389821933753804	(9,17)
0.037923213213946197225912	(9,18)
0.040928757441485973893692	(9,19)
0.043817102112914459064043	(9,20)
0.046556485665256641423556	(9,21)
0.049116722441510336183275	(9,22)
0.051469542709332244826578	(9,23)
0.05358891521830366823945	(9,24)
0.05545134773180479273818	(9,25)
0.05703616105967697939131	(9,26)
0.05832573238118996289368	(9,27)
0.059305704062629726476	(9,28)
0.059965154705379612183	(9,29)
0.06029672976955125259	(9,30)
0.0000476079155002307751821	(10,1)
0.0004276886116255576118974	(10,2)
0.00118368491895388579449925	(10,3)
0.00230730951972810459799878	(10,4)
0.00378623849245182453790149	(10,5)
0.0056042395191025057933418	(10,6)
0.0077413422587825309949439	(10,7)
0.010174050149188133832511	(10,8)
0.0128755924493930245009666	(10,9)
0.0158162147797059060265012	(10,10)
0.0189635057719107549999161	(10,11)
0.0222827567494248006923309	(10,12)
0.0257373506474686507936696	(10,13)
0.0292891756917359908705479	(10,14)
0.0328990587098527418035203	(10,15)
0.0365272123797858489887429	(10,16)
0.0401336902498821638113228	(10,17)
0.04367884302585953545671	(10,18)
0.047123769444359539238095	(10,19)
0.050430755076077976561498	(10,20)
0.053563692655640029291465	(10,21)
0.056488478039455002558807	(10,22)
0.059173376644169391310447	(10,23)
0.061589356185361493917425	(10,24)
0.063710382655389321282997	(10,25)
0.06551367765940176574533	(10,26)
0.06697993636027847258123	(10,27)
0.06809350625510977918487	(10,28)
0.068842527721472087696	(10,29)
0.06921903766667988968	(10,30)
0.00005337527044339626270296	(11,1)
0.00047949987567824944759042	(11,2)
0.00132707720624757343387671	(11,3)
0.00258680421016068364317853	(11,4)
0.00424482912659550750244073	(11,5)
0.006282877615129298108328	(11,6)
0.00867842497810704138336667	(11,7)
0.01140491695520022832443015	(11,8)
0.01443204109408651235365	(11,9)
0.0177260496983542254176459	(11,10)
0.0212501338813218376876297	(11,11)
0.0249648464200038568161792	(11,12)
0.0288285690502901903601725	(11,13)
0.0327980177365195548270378	(11,14)
0.0368287774562859627683725	(11,15)
0.040875856328835919910822	(11,16)
0.044894247631207580693139	(11,17)
0.048839487514382023840001	(11,18)
0.0526681961436911689241229	(11,19)
0.0563385905939140108399152	(11,20)
0.0598109591301225501753702	(11,21)
0.063048088442713131176292	(11,22)
0.0660156378593793834204	(11,23)
0.068682457348377518147627	(11,24)
0.071020849027488909704818	(11,25)
0.07300677464341646371073	(11,26)
0.07462001382669824099826	(11,27)
0.07584427962653277870762	(11,28)
0.076667298716820837527	(11,29)
0.07708086365215632583	(11,30)
0.000058208485543361125925738	(12,1)
0.000522919188781137399481087	(12,2)
0.00144724274788670948852651	(12,3)
0.00282101823105748566197627	(12,4)
0.00462909377729967606033545	(12,5)
0.00685144103186194698323173	(12,6)
0.00946331830903552404821513	(12,7)
0.01243548954068219079097725	(12,8)
0.01573450558975713366785981	(12,9)
0.01932305291745713191479217	(12,10)
0.02316037199041241778587764	(12,11)
0.02720274440908806650055894	(12,12)
0.0314040438243792163056368	(12,13)
0.035716341636221411370429	(12,14)
0.0400905546089226032165351	(12,15)
0.0444771182563434892414759	(12,16)
0.04882666746960709944644	(12,17)
0.0530907046375457988068034	(12,18)
0.0572222356129284332942462	(12,19)
0.0611763553656028120221319	(12,20)
0.064910767977914215170936	(12,21)
0.0683862295964425825076092	(12,22)
0.0715669077600920623133797	(12,23)
0.07442065578471350423129	(12,24)
0.076919206141766242930529	(12,25)
0.079038291545219382107845	(12,26)
0.080757706307785180521886	(12,27)
0.08206132307391214374301	(12,28)
0.0829370810335787059106	(12,29)
0.08337696107065302105	(12,30)
0.00006173911163562219256694	(13,1)
0.000554636567672437299329316	(13,2)
0.001535020768900160915033823	(13,3)
0.002992095117618624977800582	(13,4)
0.00490973142722290717687128	(13,5)
0.0072665623908907820845018	(13,6)
0.01003612382333750313562529	(13,7)
0.01318705962718685863798869	(13,8)
0.01668340198112029221054381	(13,9)
0.0204849369362579087136218	(13,10)
0.0245476615882516504968484	(13,11)
0.02882433359958814752091442	(13,12)
0.03326510756684411319566355	(13,13)
0.03781824615347222142640452	(13,14)
0.04243088768030567725651184	(13,15)
0.0470498466102002609333147	(13,16)
0.0516224196338723627103409	(13,17)
0.0560971682882002567271939	(13,18)
0.0604246494731723272275741	(13,19)
0.0645580679367153217352603	(13,20)
0.0684538296126129563932914	(13,21)
0.072071981264091391995081	(13,22)
0.0753765296632929740538711	(13,23)
0.078335641850644046133966	(13,24)
0.080921736123916828311995	(13,25)
0.083111480563933920190974	(13,26)
0.084885721450764670972363	(13,27)
0.08622936734677576548511	(13,28)
0.0871312556070462540508	(13,29)
0.087584026540456479175	(13,30)
0.000063617754068141024121332	(14,1)
0.000571513213041449275317628	(14,2)
0.001581724391329965607288411	(14,3)
0.003083102923873757255616027	(14,4)
0.005058961076338561227582417	(14,5)
0.007487132327591974181021865	(14,6)
0.01034008096763252729051474	(14,7)
0.01358508064140010835106635	(14,8)
0.01718448137164669034745564	(14,9)
0.02109608146175898920731829	(14,10)
0.02527361501021974736678844	(14,11)
0.02966735804107653705695248	(14,12)
0.03422484718577343656875901	(14,13)
0.03889169532639777598190502	(14,14)
0.0436124795954843922684275	(14,15)
0.04833166957279148371231516	(14,16)
0.05299455825904301876412147	(14,17)
0.05754815606973642306379415	(14,18)
0.0619420090326995033279891	(14,19)
0.066128906626275939662905	(14,20)
0.0700654519658362807547503	(14,21)
0.0737124767330906695294774	(14,22)
0.0770352944939753947657261	(14,23)
0.0800037978504202129684116	(14,24)
0.0825924161416946658654892	(14,25)
0.084779960124048989834218	(14,26)
0.086549387337253822949915	(14,27)
0.087887526074089622229191	(14,28)
0.08878479665643395589165	(14,29)
0.089234966056500787034	(14,30)
0.000063575932003951300748158	(15,1)
0.000571137226008789713651756	(15,2)
0.0015806786469666239757644	(15,3)
0.003081032169770760471010074	(15,4)
0.005055441150991540270400621	(15,5)
0.007481580586526438989649031	(15,6)
0.010331623740043003587426697	(15,7)
0.01357238273498567858878696	(15,8)
0.01716555039628834292887507	(15,9)
0.02106806662202016573638767	(15,10)
0.0252326251047752116053134	(15,11)
0.02960832594054533033883152	(15,12)
0.03414146752891377703279493	(15,13)
0.03877645839879920849800405	(15,14)
0.04345681752811730539838263	(15,15)
0.0481262216833119575290987	(15,16)
0.05272955143845651324262186	(15,17)
0.05721388469557527860679752	(15,18)
0.06152938816624924931236689	(15,19)
0.06563006337537851898811044	(15,20)
0.06947431382937801634164877	(15,21)
0.0730253131530709270508431	(15,22)
0.0762511690225606303432524	(15,23)
0.0791248932013717324336657	(15,24)
0.0816242024890488984667708	(15,25)
0.0837311876002665626418121	(15,26)
0.085431895843178060654202	(15,27)
0.086715878235675813945961	(15,28)
0.08757575205557370208564	(15,29)
0.088006825827537077854	(15,30)
0.000061480950339383755257557	(16,1)
0.000552316551636411626856397	(16,2)
0.001528584731878059559435267	(16,3)
0.002979454927110213639099223	(16,4)
0.004888632242144240320377259	(16,5)
0.007234331450179344873815689	(16,6)
0.009989292909101231579060751	(16,7)
0.013120875801117890392089651	(16,8)
0.016591263917605309557612317	(16,9)
0.020357814341798576158483228	(16,10)
0.024373570110644111607461927	(16,11)
0.02858794504849440427167885	(16,12)
0.03294757369069791751897251	(16,13)
0.03739730312007441911037197	(16,14)
0.04188128836214967701836138	(16,15)
0.04634414044269297967875013	(16,16)
0.05073206779507137918732663	(16,17)
0.05499394849576593184443975	(16,18)
0.05908227333333605387439886	(16,19)
0.06295390788380771564235763	(16,20)
0.06657063485992316852300457	(16,21)
0.06989945477566742007655909	(16,22)
0.072912641792575235267627	(16,23)
0.0755875706767650081352142	(16,24)
0.0779063483061836448305413	(16,25)
0.0798552975547082716825801	(16,26)
0.081424351440640742526224	(16,27)
0.082606420419133728343711	(16,28)
0.08339679536683494308344	(16,29)
0.083792643357766440076	(16,30)
0.0000573645829744087761901298	(17,1)
0.000515336654220378839941034	(17,2)
0.001426233108126378976328984	(17,3)
0.002779914533745967024507984	(17,4)
0.004561076437256546981278062	(17,5)
0.006749174275643229354626337	(17,6)
0.009318384381181454306787565	(17,7)
0.012237643557293474723115879	(17,8)
0.01547081008905901866152179	(17,9)
0.018976983256263332694342599	(17,10)
0.022711007469176421014105724	(17,11)
0.026624171789526219310732885	(17,12)
0.030665097333890471179021225	(17,13)
0.03478078579502147077193395	(17,14)
0.03891778419707513529130034	(17,15)
0.04302340613989646779154641	(17,16)
0.04704694001383247939356855	(17,17)
0.05094077127746649228336011	(17,18)
0.05466134947259584762611559	(17,19)
0.0581699409928282317580171	(17,20)
0.06143312473994241719356	(17,21)
0.06442300806847676461940032	(17,22)
0.06711716277985601031662771	(17,23)
0.06949830316644999425914403	(17,24)
0.0715537481142400616336309	(17,25)
0.0732747252809662231366364	(17,26)
0.0746555861086382658096935	(17,27)
0.075693005220257051147273	(17,28)
0.07638523648103190886264	(17,29)
0.076731491067517313657	(17,30)
0.0000514160104865190430542429	(18,1)
0.0004618970697551804245824982	(18,2)
0.0012783278539424752653969739	(18,3)
0.002491582890325611292103276	(18,4)
0.004087833760825522909692959	(18,5)
0.006048425994219966512053177	(18,6)
0.008349784616282063472979392	(18,7)
0.010963397494854999669106529	(18,8)
0.013855925744414586628988316	(18,9)
0.016989484153357184650534735	(18,10)
0.020322122178489995136586645	(18,11)
0.023808518548873263864495607	(18,12)
0.027400881640329831595437004	(18,13)
0.031050025751366605421281739	(18,14)
0.034706572744418017132450074	(18,15)
0.038322211705262579161578856	(18,16)
0.041850938457911374624718	(18,17)
0.04525019343747015297036518	(18,18)
0.04848182118037854437490356	(18,19)
0.05151278718098130397310878	(18,20)
0.05431560680476687503458775	(18,21)
0.05686846432383355354720815	(18,22)
0.05915502548135332726441246	(18,23)
0.0611639717187170228113201	(18,24)
0.0628883059469457794530094	(18,25)
0.0643244966284301787737873	(18,26)
0.0654715377165587297432429	(18,27)
0.066330006135393380874286	(18,28)
0.06690119606827183727941	(18,29)
0.0671864009785045135254	(18,30)
0.000043942929266202310806721	(19,1)
0.0003947620254713564126360847	(19,2)
0.0010925196694826327719199287	(19,3)
0.0021293753017947445088335501	(19,4)
0.0034933877878446827190902037	(19,5)
0.00516834843483174256417362	(19,6)
0.007133634664349024507131462	(19,7)
0.009364138309009315682206389	(19,8)
0.011830322800760312379903517	(19,9)
0.014498456765098541123697466	(19,10)
0.017331058026203227694976733	(19,11)
0.02028756287337006039268752	(19,12)
0.023325212521151593206971245	(19,13)
0.026400124510231537457600383	(19,14)
0.029468494179685092335134417	(19,15)
0.032487853110446321081901764	(19,16)
0.035418299996742097682500457	(19,17)
