mdd23_(sigma,mu)
-0.0036460073894008587681068	(10,12)
-0.00404982591963462563554202	(10,13)
-0.00439215911299769444709155	(10,14)
-0.00465393435058335616437676	(10,15)
-0.00481867902618362974949583	(10,16)
-0.0048738516169667737794855	(10,17)
-0.00481203119869956619197371	(10,18)
-0.00463184907970452136305806	(10,19)
-0.00433856102246175799446092	(10,20)
-0.00394418375755324362973739	(10,21)
-0.00346715308868215813479025	(10,22)
-0.00293149989827033687975827	(10,23)
-0.00236558127504317954227984	(10,24)
-0.00180044304922418934032549	(10,25)
-0.00126792361668201223234561	(10,26)
-0.00079863391281280976813076	(10,27)
-0.00041996238056853857852411	(10,28)
-0.00015425537221396558989122	(10,29)
-0.00001731234925482080873469	(10,30)
-0.0000104448185262831179720175	(11,1)
-0.0000938281519070459194304876	(11,2)
-0.000259616298557506933228237	(11,3)
-0.000505648213998689271126815	(11,4)
-0.000828205247800980406554183	(11,5)
-0.001221527070467449028827359	(11,6)
-0.00167730270051030023848712	(11,7)
-0.002184232923134172323045964	(11,8)
-0.002727761144429634674479672	(11,9)
-0.003290058587212783649590522	(11,10)
-0.003850327531037642571056227	(11,11)
-0.004385455064124136678573182	(11,12)
-0.00487101261075753487073203	(11,13)
-0.00528255711778786298694482	(11,14)
-0.00559715237313684507755976	(11,15)
-0.00579499755560769356820434	(11,16)
-0.00586102833867988683852238	(11,17)
-0.00578634635708540559152655	(11,18)
-0.00556933706798643947686502	(11,19)
-0.00521635410714795307319004	(11,20)
-0.00474187886765210592514436	(11,21)
-0.00416810464928731294250005	(11,22)
-0.00352394174855166661598964	(11,23)
-0.00284348901863179178174358	(11,24)
-0.00216406421072409792906653	(11,25)
-0.0015239254846635616404263	(11,26)
-0.0009598461185318683826501	(11,27)
-0.0005047208674063043077476	(11,28)
-0.00018538402511021240676019	(11,29)
-0.00002080575700778611781562	(11,30)
-0.0000122906715132934807663571	(12,1)
-0.0001104098590132231995162772	(12,2)
-0.0003054966923547504150198382	(12,3)
-0.000595007724537555057887196	(12,4)
-0.000974565674253607098810895	(12,5)
-0.001437389097776127305990198	(12,6)
-0.001973692779940096881786701	(12,7)
-0.002570172366569286450387494	(12,8)
-0.003209687668442422375706239	(12,9)
-0.003871245936957398272756427	(12,10)
-0.004530360199358457290567775	(12,11)
-0.005159820839265881474992099	(12,12)
-0.005730874635964038908498701	(12,13)
-0.006214758933406504207574025	(12,14)
-0.006584494423980171338143767	(12,15)
-0.006816803041368387014252644	(12,16)
-0.006893991890723069331178445	(12,17)
-0.00680563315515374636718175	(12,18)
-0.00654987522194811442842297	(12,19)
-0.00613424194515961840961106	(12,20)
-0.00557581340945917523322528	(12,21)
-0.00490072967461800562963512	(12,22)
-0.00414301445256562818809692	(12,23)
-0.00334277343090069155456064	(12,24)
-0.00254387668766535064729831	(12,25)
-0.00179128129169560448908243	(12,26)
-0.00112818444900957901976473	(12,27)
-0.00059321627457298351947307	(12,28)
-0.00021788268255572511888103	(12,29)
-0.00002445277517367864205069	(12,30)
-0.0000141863406512429190178792	(13,1)
-0.0001274390727756544762070911	(13,2)
-0.000352615251125101419017826	(13,3)
-0.0006867784246131854844862894	(13,4)
-0.001124874076648451802074507	(13,5)
-0.00165907031107185487112299	(13,6)
-0.002278064769066358251856025	(13,7)
-0.002966489117491122042196576	(13,8)
-0.003704543528969008358447219	(13,9)
-0.004467978384453438702546437	(13,10)
-0.005228510051167877017497302	(13,11)
-0.005954714781854546824623336	(13,12)
-0.006613393747565992478264228	(13,13)
-0.007171348201787184513317197	(13,14)
-0.007597452536658019824071777	(13,15)
-0.007864870192379385521168256	(13,16)
-0.007953227958334178357588302	(13,17)
-0.007850551819564022988088094	(13,18)
-0.007554774109725709646297819	(13,19)
-0.007074647341567093784657387	(13,20)
-0.006429942743666697195019802	(13,21)
-0.005650867519003456802372533	(13,22)
-0.004776699068092886193870293	(13,23)
-0.0038537009632177714796006	(13,24)
-0.00293244817060393358223897	(13,25)
-0.0020647421272645953415016	(13,26)
-0.0013003349485931080733894	(13,27)
-0.00068370278459423177464444	(13,28)
-0.00025110929892655262141636	(13,29)
-0.00002818130073412610437929	(13,30)
-0.00001609566784097412358695	(14,1)
-0.000144590976106954391872521	(14,2)
-0.0004000732133104279152463412	(14,3)
-0.0007792097300379699125103833	(14,4)
-0.0012762628256610830523875612	(14,5)
-0.001882340287416058287109967	(14,6)
-0.002584607654675898062350689	(14,7)
-0.00336561165305151043536183	(14,8)
-0.004202865512606110360639381	(14,9)
-0.005068829602503188225576962	(14,10)
-0.005931386177925698314378693	(14,11)
-0.006754858171242821041831828	(14,12)
-0.007501563670165146598542338	(14,13)
-0.008133836035436709826250315	(14,14)
-0.00861638115195838737162288	(14,15)
-0.008918794605739781609230298	(14,16)
-0.009018028319577270394446633	(14,17)
-0.00890058254564589569982123	(14,18)
-0.008564207282845254881006856	(14,19)
-0.008018927064712100861102369	(14,20)
-0.007287252272334383587109397	(14,21)
-0.006403504266699053156816252	(14,22)
-0.005412254773276000614205265	(14,23)
-0.004365955268517032539006558	(14,24)
-0.003321902625500279490617241	(14,25)
-0.002338746519321112320008094	(14,26)
-0.001472786754385282925757598	(14,27)
-0.000774331025736772035983362	(14,28)
-0.000284383790241151454785316	(14,29)
-0.00003191496145846550523068	(14,30)
-0.0000179820919260423151528831	(15,1)
-0.000161537131207739105812126	(15,2)
-0.0004469617998688670828915009	(15,3)
-0.0008705315507585318855074589	(15,4)
-0.0014258323617506775771458297	(15,5)
-0.0021029215617553710537002807	(15,6)
-0.0028874459487882117925667816	(15,7)
-0.003759884728590184808101513	(15,8)
-0.004695086279873906685111736	(15,9)
-0.005662248380596491066636693	(15,10)
-0.006625452606477583708884349	(15,11)
-0.007544808627626665848771988	(15,12)
-0.008378198492144483451757906	(15,13)
-0.009083541524433478320632761	(15,14)
-0.009621434723516700490967934	(15,15)
-0.009957968952152685773879277	(15,16)
-0.010067484218490365541303139	(15,17)
-0.009935012679600868202887582	(15,18)
-0.009558168022599897073915623	(15,19)
-0.008948274351788498599250605	(15,20)
-0.008130583758700908802985636	(15,21)
-0.007143504221790663836607205	(15,22)
-0.006036841535453564711051197	(15,23)
-0.004869142857166976536403906	(15,24)
-0.003704307370795560113125239	(15,25)
-0.002607694402879807918146526	(15,26)
-0.001642005388264230865082106	(15,27)
-0.000863239494128337046034191	(15,28)
-0.000317021688571949098134462	(15,29)
-0.00003557689723229885293909	(15,30)
-0.0000198103688346951017649483	(16,1)
-0.0001779609320538657130046181	(16,2)
-0.000492404971504645827027651	(16,3)
-0.0009590375756909055470365832	(16,4)
-0.0015707876368126017932664552	(16,5)
-0.0023166909462518327334175223	(16,6)
-0.0031809163085616364939582073	(16,7)
-0.004141929967335383115981713	(16,8)
-0.005171985340187390188078344	(16,9)
-0.006237103635662247142749416	(16,10)
-0.007297667750735872659835834	(16,11)
-0.008309690762382368414102491	(16,12)
-0.009226747350543635656272618	(16,13)
-0.010002479270320121566037248	(16,14)
-0.010593513010243810413090466	(16,15)
-0.010962567394843268165419168	(16,16)
-0.011081488363869393598314318	(16,17)
-0.010933932724832097050184205	(16,18)
-0.010517434883203637181610821	(16,19)
-0.009844629937771936693568118	(16,20)
-0.008943469647156394143122647	(16,21)
-0.007856348641415391448408008	(16,22)
-0.006638149069875674223256578	(16,23)
-0.00535330394941025975268731	(16,24)
-0.004072064190424408951679905	(16,25)
-0.002866223979062025501752111	(16,26)
-0.001804607894073261113792313	(16,27)
-0.000948646955902643039710909	(16,28)
-0.000348368158819943726637763	(16,29)
-0.00003909358218910881919598	(16,30)
-0.0000215481799349861858188412	(17,1)
-0.0001935720526712486512693794	(17,2)
-0.0005355994071986594795317013	(17,3)
-0.0010431631448634912629606326	(17,4)
