c^3_1_(sigma,mu)
1.81321254652572488518074076	(1,1)
1.8132111785892981544928367	(1,2)
1.81320195410538813470550072	(1,3)
1.81317225118090973410100286	(1,4)
1.8131040089831308734303226	(1,5)
1.81297472918575306077374317	(1,6)
1.81275873842680776153492812	(1,7)
1.81242865354417310405355992	(1,8)
1.81195698179084758057538833	(1,9)
1.81131778167275100999728382	(1,10)
1.81048830679065796138009064	(1,11)
1.80945055525412511342393009	(1,12)
1.80819265086689879629913969	(1,13)
1.80670998920698152632825991	(1,14)
1.80500609164239046625346681	(1,15)
1.80309312280611429127073406	(1,16)
1.80099204155842032278786933	(1,17)
1.79873237135980098051469726	(1,18)
1.79635159257014656973488425	(1,19)
1.79389417575449305265936059	(1,20)
1.79141029088852088890962618	(1,21)
1.7889542417254379521677128	(1,22)
1.78658268687976697453318119	(1,23)
1.78435271886248061832464676	(1,24)
1.7823198789389453511493876	(1,25)
1.7805361889814680088176993	(1,26)
1.7790482813022013578587827	(1,27)
1.7778957037817721484350822	(1,28)
1.777109470607943585752041	(1,29)
1.7767109189056504272598	(1,30)
1.78082574227784256711832584	(2,1)
1.78082435286718656052597796	(2,2)
1.78081498357488300875948431	(2,3)
1.78078481436607499813792159	(2,4)
1.78071550088460777718916249	(2,5)
1.7805841916206521402256761	(2,6)
1.78036481018814016795507326	(2,7)
1.78002954356376676375893906	(2,8)
1.77955046742535336013305625	(2,9)
1.77890123306482487835383467	(2,10)
1.77805873703847360285661017	(2,11)
1.77700469490618727162213134	(2,12)
1.77572704409986715480713677	(2,13)
1.77422110799368470600056956	(2,14)
1.77249046332255579849151893	(2,15)
1.77054746577395468208147104	(2,16)
1.76841340331094629300237836	(2,17)
1.76611826292943053950210758	(2,18)
1.76370011340577820741289558	(2,19)
1.7612041234161471082440977	(2,20)
1.75868125046996554409430189	(2,21)
1.75618665069401028542882586	(2,22)
1.75377787199008563371817395	(2,23)
1.75151290291967462647387288	(2,24)
1.7494481564094985695342436	(2,25)
1.7476364707233617612194288	(2,26)
1.7461252099560369115479595	(2,27)
1.7449545425764064446283026	(2,28)
1.744155969435805702104669	(2,29)
1.7437511624669946609319	(2,30)
1.71736196188240184623624812	(3,1)
1.71736053058062356063255099	(3,2)
1.71735087880160055845061139	(3,3)
1.71731979998386358573905964	(3,4)
1.71724839668967985665499802	(3,5)
1.71711312845105148395608572	(3,6)
1.71688713272891852174298557	(3,7)
1.71654175805625358910073777	(3,8)
1.7160482384260578715700496	(3,9)
1.71537943111805711734680642	(3,10)
1.7145115367414827318990843	(3,11)
1.71342572046281367932686734	(3,12)
1.71210955718554065599847496	(3,13)
1.71055823069419970866612638	(3,14)
1.70877542715571191482753828	(3,15)
1.70677387643783231556494542	(3,16)
1.70457550988898315676011073	(3,17)
1.70221121986385710479837179	(3,18)
1.69972022364808810358938461	(3,19)
1.69714905177330402771540113	(3,20)
1.69455019726181731017981509	(3,21)
1.69198047737277045772158987	(3,22)
1.68949917227914133886435995	(3,23)
1.68716601522266908149382314	(3,24)
1.6850391156258717310198941	(3,25)
1.6831729000800530858574787	(3,26)
1.6816161559207845208942181	(3,27)
1.6804102582517603287328124	(3,28)
1.67958765394653490373393	(3,29)
1.67917066565904373058	(3,30)
1.62533692214939943767552668	(4,1)
1.62533543058584376700586093	(4,2)
1.62532537244042756311811705	(4,3)
1.62529298512259826563134717	(4,4)
1.62521857558160378314995417	(4,5)
1.62507761230788218009294755	(4,6)
1.62484210198381535984841861	(4,7)
1.6244821872975014092580047	(4,8)
1.62396789199174251986496398	(4,9)
1.62327093205031365811631356	(4,10)
1.62236650834890326221657245	(4,11)
1.62123499628598029523657945	(4,12)
1.6198634518612185133181515	(4,13)
1.61824686122201525511235901	(4,14)
1.61638907152863717679367753	(4,15)
1.61430335462640373208782942	(4,16)
1.61201257086447702213030991	(4,17)
1.60954891777143852464032079	(4,18)
1.60695326642566788584811191	(4,19)
1.60427410644698583575441306	(4,20)
1.60156613778972161235094946	(4,21)
1.59888856317773818792023715	(4,22)
1.59630314840095354774974357	(4,23)
1.5938721282034102375866233	(4,24)
1.5916560426743982603469022	(4,25)
1.5897115925922731434871064	(4,26)
1.5880896019105795487318391	(4,27)
1.5868331715283943990343908	(4,28)
1.585976100825999569258916	(4,29)
1.5855416425033458320032	(4,30)
1.5082997097966402691979844	(5,1)
1.50829814249751736746154248	(5,2)
1.50828757364083048128817677	(5,3)
1.5082535418363288984708516	(5,4)
1.50817535415075860235814483	(5,5)
1.50802723364695642103631372	(5,6)
1.50777976611397292167106384	(5,7)
1.50740157929783563440008367	(5,8)
1.50686117694645134466719306	(5,9)
