d^2_(sigma,mu)
-0.000013656528256	(1,1)
-0.00012268434129	(1,2)
-0.0003395467998	(1,3)
-0.0006618751498	(1,4)
-0.0010861593779	(1,5)
-0.0016077976906	(1,6)
-0.002221158956	(1,7)
-0.00291965553	(1,8)
-0.003695823732	(1,9)
-0.004541409379	(1,10)
-0.005447456082	(1,11)
-0.006404394607	(1,12)
-0.007402132235	(1,13)
-0.008430141795	(1,14)
-0.009477550774	(1,15)
-0.010533231479	(1,16)
-0.011585893675	(1,17)
-0.01262418132	(1,18)
-0.01363677499	(1,19)
-0.01461250112	(1,20)
-0.01554044892	(1,21)
-0.0164100946	(1,22)
-0.017211432	(1,23)
-0.01793510753	(1,24)
-0.01857255641	(1,25)
-0.01911613646	(1,26)
-0.019559255	(1,27)
-0.019896484	(1,28)
-0.0201236594	(1,29)
-0.02023796	(1,30)
-0.000121116313074423	(2,1)
-0.00108805654835025	(2,2)
-0.00301135499067272	(2,3)
-0.00587000309744608	(2,4)
-0.00963286948378306	(2,5)
-0.0142591377584093	(2,6)
-0.0196988592478206	(2,7)
-0.0258935979061513	(2,8)
-0.0327771434367409	(2,9)
-0.0402762696112971	(2,10)
-0.0483115178085906	(2,11)
-0.0567979905384815	(2,12)
-0.0656461456265711	(2,13)
-0.0747625881489141	(2,14)
-0.0840508634104591	(2,15)
-0.093412259555773	(2,16)
-0.102746632168292	(2,17)
-0.111953264977365	(2,18)
-0.120931780260572	(2,19)
-0.129583109631315	(2,20)
-0.137810530800202	(2,21)
-0.145520768981886	(2,22)
-0.152625153474808	(2,23)
-0.159040811310707	(2,24)
-0.164691871582221	(2,25)
-0.16951064694986	(2,26)
-0.1734387536706	(2,27)
-0.17642812889367	(2,28)
-0.1784419043287	(2,29)
-0.179455098833	(2,30)
-0.00032697422583495573	(3,1)
-0.0029373949190333111	(3,2)
-0.0081296675588628823	(3,3)
-0.0158470720177017428	(3,4)
-0.026005552040108665	(3,5)
-0.038494891317804642	(3,6)
-0.053180199311435137	(3,7)
-0.069903646626286359	(3,8)
-0.088486386320772777	(3,9)
-0.108730599992547836	(3,10)
-0.13042161544212232	(3,11)
-0.15333005518837017	(3,12)
-0.17721399067252789	(3,13)
-0.20182109388858581	(3,14)
-0.22689079452553189	(3,15)
-0.25215646464724355	(3,16)
-0.27734766283254196	(3,17)
-0.3021924742895368	(3,18)
-0.3264199819839942	(3,19)
-0.34976289610461538	(3,20)
-0.37196035567150009	(3,21)
-0.39276089782006753	(3,22)
-0.41192556882821287	(3,23)
-0.4292311282625265	(3,24)
-0.4444732758854938	(3,25)
-0.4574698123924241	(3,26)
