d^1_(sigma,mu)
-418.62613688045815079	(6,7)
-418.6733925512354069074	(6,8)
-418.7409240087022369655	(6,9)
-418.8324523653485064352	(6,10)
-418.9512455445772960787	(6,11)
-419.0998972401562170314	(6,12)
-419.2801294686559008199	(6,13)
-419.4926280534713714463	(6,14)
-419.7369190250869600279	(6,15)
-420.0112922474805484175	(6,16)
-420.3127766492118654714	(6,17)
-420.6371693189802040985	(6,18)
-420.9791184927304824784	(6,19)
-421.3322581905141719503	(6,20)
-421.6893900384975743839	(6,21)
-422.0427057209587063624	(6,22)
-422.3840416373837828343	(6,23)
-422.705155778654535533	(6,24)
-422.9980156662174239074	(6,25)
-423.255085490334799837	(6,26)
-423.4696003919972915956	(6,27)
-423.635816188607446801	(6,28)
-423.7492237490813900096	(6,29)
-423.806718651957293467	(6,30)
-375.19903150371690697196	(7,1)
-375.19922744845069806057	(7,2)
-375.20054877377154144324	(7,3)
-375.20480345361108786865	(7,4)
-375.21457854138058033318	(7,5)
-375.23309672109304112861	(7,6)
-375.26403547012915480933	(7,7)
-375.31131717470297082882	(7,8)
-375.3788799087662731022	(7,9)
-375.47043952639443495608	(7,10)
-375.58925418470053741745	(7,11)
-375.73790238794967982362	(7,12)
-375.91808512439359368488	(7,13)
-376.13046167751949538672	(7,14)
-376.37452727537844037354	(7,15)
-376.64853895631717148889	(7,16)
-376.94949395347893817266	(7,17)
-377.27316262323178461798	(7,18)
-377.61417556271510804076	(7,19)
-377.966162182647087408	(7,20)
-378.32193572801315391082	(7,21)
-378.67371767224687130153	(7,22)
-379.01339264270620800889	(7,23)
-379.33278364644948460472	(7,24)
-379.62393641832496592751	(7,25)
-379.8794012506826083757	(7,26)
-380.09250070559899165704	(7,27)
-380.25757215313387912019	(7,28)
-380.3701750969641745163	(7,29)
-380.4272546952310321851	(7,30)
-333.7520225530324584027	(8,1)
-333.75221772749194492219	(8,2)
-333.75353385675919439675	(8,3)
-333.75777178373411650205	(8,4)
-333.76750825752939693534	(8,5)
-333.78595281058529050443	(8,6)
-333.81676716166386983441	(8,7)
-333.86385540148060294379	(8,8)
-333.93113464650352574305	(8,9)
-334.0222968680173136126	(8,10)
-334.14057315859481267577	(8,11)
-334.28851174472806976627	(8,12)
-334.46778057298317544845	(8,13)
-334.67900429449725020586	(8,14)
-334.92164398457977694992	(8,15)
-335.19392602527173938382	(8,16)
-335.49282434030099370604	(8,17)
-335.81409771713744466874	(8,18)
-336.15238140775143110131	(8,19)
-336.50132970222916996895	(8,20)
-336.85380384815342594085	(8,21)
-337.2020976613290556456	(8,22)
-337.53819153666978478878	(8,23)
-337.85402439129353550677	(8,24)
-338.14177239392253591717	(8,25)
-338.39412316349760768368	(8,26)
-338.60453443531581342219	(8,27)
-338.76746695192392699956	(8,28)
-338.87858247929865483861	(8,29)
-338.93489930849473759137	(8,30)
-295.694074797995390518935	(9,1)
-295.694267403893330807586	(9,2)
-295.695566210342282080292	(9,3)
-295.699748332943563095999	(9,4)
-295.709356453705731115122	(9,5)
-295.727557305145633735353	(9,6)
-295.757962902937099824834	(9,7)
-295.804422615439714722371	(9,8)
-295.870795643486250749603	(9,9)
-295.960714592009393629195	(9,10)
-296.077351467425185522784	(9,11)
