luu112_(sigma,mu)
0.00042661270684870127620901197	(1,1)
0.0038325016719919707887578549	(1,2)
0.01060696396998035916897413985	(1,3)
0.0206757771738691791806303345	(1,4)
0.03392862525809166749429593873	(1,5)
0.05022030724337108813778558624	(1,6)
0.0693723280484362263568204748	(1,7)
0.09117485411893070944143788687	(1,8)
0.11538901240733287712177065753	(1,9)
0.1417495075158676916488357008	(1,10)
0.1699675283285116504857399533	(1,11)
0.1997339122864597647630106303	(1,12)
0.2307225326385933735623130731	(1,13)
0.2625938715554898770544840286	(1,14)
0.2949987399591201788237846189	(1,15)
0.3275821033129016318581936289	(1,16)
0.3599869714558287371549902229	(1,17)
0.3918583098627128215415874048	(1,18)
0.4228469294778147661325222584	(1,19)
0.4526133125039237755031134386	(1,20)
0.480831332230647012356954797	(1,21)
0.507191826146639419638969952	(1,22)
0.531405983187997310578724375	(1,23)
0.553208508011447462807093814	(1,24)
0.572360527623970040791157604	(1,25)
0.588652208523328514040751252	(1,26)
0.60190505567571163859156631	(1,27)
0.61197386814256854685192788	(1,28)
0.618748329930544322699313	(1,29)
0.62215421863498428987311	(1,30)
0.0004266474856030587306037168	(2,1)
0.00383281410879072856903397338	(2,2)
0.01060782867535069324349315344	(2,3)
0.02067746267871759263125931204	(2,4)
0.03393139101482765639894312124	(2,5)
0.05022440068255732621993000584	(2,6)
0.06937798171924416864869369539	(2,7)
0.09118228294834311942414925985	(2,8)
0.11539841111943907777131243847	(2,9)
0.1417610482577716616035619412	(2,10)
0.1699813585524208413979920433	(2,11)
0.1997501529377212954613768009	(2,12)
0.2307412766963285828712687859	(2,13)
0.2626151829658973830490922714	(2,14)
0.2950226529916624731093469183	(2,15)
0.3276086223569860076264558674	(2,16)
0.3600160712610584134301227376	(2,17)
0.3918899362103589262326753574	(2,18)
0.4228810002560122270184311624	(2,19)
0.45264971914541037567823162	(2,20)
0.480869941460736648419745406	(2,21)
0.507232481981439531217237596	(2,22)
0.531448509119249794081961981	(2,23)
0.553252709315045304361451865	(2,24)
0.572406193734052278968142806	(2,25)
0.58869911542238512741979331	(2,26)
0.60195296826250800435091796	(2,27)
0.61202254255283974532527948	(2,28)
0.6187975157990679958487255	(2,29)
0.62220366130052826678491	(2,30)
0.00042687820365394658790346506	(3,1)
0.00383488677668350112255492015	(3,2)
0.01061356502515088800156338545	(3,3)
0.02068864410617266440491723346	(3,4)
0.03394973867567870471782407575	(3,5)
0.05025155594996143536018552704	(3,6)
0.06941548718942128225814415306	(3,7)
0.09123156422712254742908514358	(3,8)
0.11546075966623979063834718773	(3,9)
0.141837605599094483495235124	(3,10)
0.1700731021980565847351269444	(3,11)
0.1998578843346681596885600071	(3,12)
0.2308656115346934610275239334	(3,13)
0.262756544106798668214428333	(3,14)
0.295181266220649509139879732	(3,15)
0.3277845150813093835416002479	(3,16)
0.3602090741708273278244970476	(3,17)
0.3920996878192785864799604246	(3,18)
0.423106954134943913672811459	(3,19)
0.4528911535695024060546115342	(3,20)
0.481125971115756023295695054	(3,21)
0.507502071323249579197565132	(3,22)
0.531730486956225322394549525	(3,23)
0.553545784188308815723945536	(3,24)
0.572708969703888151633354734	(3,25)
