c^1_2_(sigma,mu)
9.1384669361336060209e-8	(1,1)
8.209291124708129163354e-7	(1,2)
2.2714583500397956522133e-6	(1,3)
4.424073788107126998682e-6	(1,4)
7.246266424849662648971e-6	(1,5)
0.000010687694455958563083187	(1,6)
0.000014675742677260920869417	(1,7)
0.000019111702270965537091546	(1,8)
0.000023868415740131398990645	(1,9)
0.00002879013474040408136104	(1,10)
0.000033695145830366459619978	(1,11)
0.000038381448555746659844889	(1,12)
0.0000426354482833331518882	(1,13)
0.00004624328535174209076083	(1,14)
0.00004900409778049680574421	(1,15)
0.0000507442416265792822538	(1,16)
0.00005133130150833609969323	(1,17)
0.00005068663686205726833728	(1,18)
0.00004879524036886859026101	(1,19)
0.00004571183558268882331316	(1,20)
0.00004156240127928509247788	(1,21)
0.00003654065963560262332911	(1,22)
0.00003089947409973083389615	(1,23)
0.00002493753438915849753166	(1,24)
0.00001898212112052896353898	(1,25)
0.00001336910251183456887772	(1,26)
8.42158620563975432388e-6	(1,27)
4.42880405411247323916e-6	(1,28)
1.6268305074135446882e-6	(1,29)
1.82621818124481227e-7	(1,30)
8.232326041554444656325e-7	(2,1)
7.3952843119927896866688e-6	(2,2)
0.0000204622788332195102979017	(2,3)
0.000039853970103229329324833	(2,4)
0.000065277504872675835000696	(2,5)
0.000096279386506885304713103	(2,6)
0.000132205473185936435629615	(2,7)
0.000172166564676157713679217	(2,8)
0.000215017187498822867505683	(2,9)
0.000259354314384114023996949	(2,10)
0.000303541017763770573471473	(2,11)
0.000345757619374396842313147	(2,12)
0.00038407999739914955461279	(2,13)
0.00041658164213240052393355	(2,14)
0.0004414531295526136991208	(2,15)
0.0004571302215721662020458	(2,16)
0.00046242007603662826649588	(2,17)
0.00045661426624488683467077	(2,18)
0.00043957758787319372154717	(2,19)
0.00041180298777031541534555	(2,20)
0.00037442529564349460797835	(2,21)
0.0003291895888362945681651	(2,22)
0.00027837370252149512912935	(2,23)
0.00022466828537191054315355	(2,24)
0.00017102153976537549134418	(2,25)
0.00012045902796594207057974	(2,26)
0.00007589136340219032164402	(2,27)
0.00003992400055194493333651	(2,28)
0.0000146835423267111412372	(2,29)
1.673962052198681253e-6	(2,30)
2.2905771542525449604343e-6	(3,1)
0.0000205767717422976974488518	(3,2)
0.0000569346138141580423061149	(3,3)
0.0001108904186120216038257	(3,4)
0.000181629378413846293737694	(3,5)
0.000267889746352789303912717	(3,6)
0.000367851552385027475525264	(3,7)
0.000479040867381782439233072	(3,8)
0.000598270786204461579583656	(3,9)
0.000721637869293310667460756	(3,10)
0.000844587952215664758740074	(3,11)
0.000962058450698714906835323	(3,12)
0.00106869621868812795878452	(3,13)
0.0011591414745894334370321	(3,14)
0.0012283601826402093654329	(3,15)
0.00127200043081828275273981	(3,16)
0.00128674354600150197211312	(3,17)
0.00127061850848727068269978	(3,18)
0.0012232490025161431518791	(3,19)
0.00114600621445327370476127	(3,20)
0.00104204701935141547063356	(3,21)
0.00091622595834873529527013	(3,22)
0.00077487965327278035254378	(3,23)
0.00062549312019014207280889	(3,24)
0.00047626784460557611344088	(3,25)
0.00033562049993796346461174	(3,26)
0.00021164797087859327681125	(3,27)
0.00011159822083146556143226	(3,28)
0.0000413871127840975891132	(3,29)
5.198449714585592327e-6	(3,30)
4.4985333645204080216366e-6	(4,1)
0.0000404113415863736869243733	(4,2)
0.0001118156153425171754772756	(4,3)
0.000217781138823745936446024	(4,4)
0.000356707887824680784030475	(4,5)
0.000526118316211098024897846	(4,6)
0.000722438911974923438131409	(4,7)
0.000940812279099418033333325	(4,8)
0.001174981305869281713737095	(4,9)
0.001417282207335627643741948	(4,10)
0.001658773747068753793871381	(4,11)
0.001889516628328752560283927	(4,12)
0.00209900120058852630115795	(4,13)
0.00227670485567907938160545	(4,14)
0.00241274452986511318561733	(4,15)
0.00249857628962144740593584	(4,16)
0.00252768455662068742681718	(4,17)
0.00249619925480789797778035	(4,18)
0.00240338068895816866902145	(4,19)
0.00225191938173860291337449	(4,20)
0.00204801091988393098446485	(4,21)
0.001801183064504253450538	(4,22)
