s1_(sigma,mu)
-0.8038226336424860856819398894	(1,1)
-0.8038223804582461559046243127	(1,2)
-0.8038206731525967969658846234	(1,3)
-0.8038151756847383880213888123	(1,4)
-0.8038025457204764192152362103	(1,5)
-0.8037786207837270683897986185	(1,6)
-0.8037386534984941548315259045	(1,7)
-0.8036775853145581586938027479	(1,8)
-0.8035903461217393168598692249	(1,9)
-0.8034721656527081171515511072	(1,10)
-0.803318881667284818324691418	(1,11)
-0.80312722970141998469555416	(1,12)
-0.8028950997204941097937060655	(1,13)
-0.8026217463625874847017220292	(1,14)
-0.802307941559296790983126932	(1,15)
-0.8019560610836159157881538168	(1,16)
-0.8015700998410916307078551226	(1,17)
-0.8011556142886880794235132264	(1,18)
-0.8007195940031573671988963565	(1,19)
-0.8002702678892153880907722361	(1,20)
-0.7998168535985696808213778585	(1,21)
-0.7993692612460648631047317565	(1,22)
-0.7989377643381786141463525885	(1,23)
-0.7985326519158110300355911359	(1,24)
-0.7981638762652142886510467701	(1,25)
-0.7978407102296516544246365772	(1,26)
-0.7975714272606913225801503079	(1,27)
-0.7973630160037383655583201773	(1,28)
-0.7972209395424665526003130394	(1,29)
-0.7971489475442620270838858201	(1,30)
-0.8039503998325433270673150939	(2,1)
-0.8039501449397649958781838671	(2,2)
-0.8039484261129159571311933891	(2,3)
-0.8039428915476926176638921893	(2,4)
-0.8039301763583873991103973518	(2,5)
-0.8039060899913046353687899473	(2,6)
-0.8038658530655105595919606724	(2,7)
-0.8038043729637988501377083406	(2,8)
-0.8037165454933805498245396471	(2,9)
-0.8035975684186645781293179822	(2,10)
-0.8034432517531580559264986053	(2,11)
-0.8032503094846058376509619099	(2,12)
-0.8030166179668924561317820298	(2,13)
-0.8027414275678521908926629376	(2,14)
-0.8024255162802395502311188341	(2,15)
-0.802071276787020334322899654	(2,16)
-0.8016827317651143790737137908	(2,17)
-0.8012654758085063902306064039	(2,18)
-0.8008265460175103218617414736	(2,19)
-0.800374226795570509798130532	(2,20)
-0.7999177974973599967056673613	(2,21)
-0.7994672341028214353123305548	(2,22)
-0.7990328779296978690331447135	(2,23)
-0.798625085486023342028410963	(2,24)
-0.7982538739121552089236822153	(2,25)
-0.7979285761321268051369907386	(2,26)
-0.7976575189286703658021208517	(2,27)
-0.7974477357986151004545618451	(2,28)
-0.7973047247619066528252077625	(2,29)
