kuu2312_(sigma,mu)
-0.11681388287079950275321276084	(1,1)
-0.11680951114467687242046185978	(1,2)
-0.11678003103399042885339336074	(1,3)
-0.11668510480186052136104766655	(1,4)
-0.11646701265054960338033994758	(1,5)
-0.11605385319816758591444651271	(1,6)
-0.11536357811171201976675177343	(1,7)
-0.11430867478852033161954960142	(1,8)
-0.11280128041398378592853285357	(1,9)
-0.11075848976041176236248509609	(1,10)
-0.10810760866953805928886468028	(1,11)
-0.10479110575625728077725455389	(1,12)
-0.10077102647725027227171582116	(1,13)
-0.09603265583530782801382285588	(1,14)
-0.09058724768634028590672223696	(1,15)
-0.08447367850850454842207662169	(1,16)
-0.07775892984797472016851435134	(1,17)
-0.0705373544548200807911824541	(1,18)
-0.06292873414938721748669210763	(1,19)
-0.0550751903984212426497419649	(1,20)
-0.04713705911577899201638139542	(1,21)
-0.03928788712202339957627345582	(1,22)
-0.0317087469864093982694893043	(1,23)
-0.02458209790677345818822377935	(1,24)
-0.01808544149323281120368061292	(1,25)
-0.01238503186838117099310512793	(1,26)
-0.00762989890154745885421104515	(1,27)
-0.00394643166418549540835928532	(1,28)
-0.00143374681884745188559335171	(1,29)
-0.00016003459022644953632269686	(1,30)
-0.11746516831460496626240154222	(2,1)
-0.11746077220914639118383891073	(2,2)
-0.11743112769990024172798401352	(2,3)
-0.1173356721029899429849723993	(2,4)
-0.11711636374162145491718128085	(2,5)
-0.11670090027186385936520748859	(2,6)
-0.11600677581780641793012784506	(2,7)
-0.11494598977060710827720696357	(2,8)
-0.11343018937091811408450323513	(2,9)
-0.11137600711383384822769977845	(2,10)
-0.10871034353449007028255965883	(2,11)
-0.10537534653045322720000688874	(2,12)
-0.10133285004763411548596129327	(2,13)
-0.09656805720709634853755838557	(2,14)
-0.09109228482348439973944880093	(2,15)
-0.08494462638142800300986796904	(2,16)
-0.07819243715082405621075186249	(2,17)
-0.07093059620515400518232086315	(2,18)
-0.06327955343059438369955381127	(2,19)
-0.05538222284844393444135654291	(2,20)
-0.04739983439114081556858488186	(2,21)
-0.03950690244748043752549538428	(2,22)
-0.03188550900027921020013838396	(2,23)
-0.02471913028308209364149909778	(2,24)
-0.01818625720971614479743990769	(2,25)
-0.01245407043447972696246835143	(2,26)
-0.00767243030079489802462874275	(2,27)
-0.00396843013901934915601729717	(2,28)
-0.00144173887400174903632130302	(2,29)
-0.00016092666008083648504204655	(2,30)
-0.11882065643166435985602221454	(3,1)
-0.11881620956185781292476927505	(3,2)
-0.1187862227305514370661298598	(3,3)
-0.11868966485422869212737817068	(3,4)
-0.11846782402073603400587629063	(3,5)
-0.11804756298799827000935228533	(3,6)
-0.11734542318720865012110739168	(3,7)
-0.11627238792589937260062336566	(3,8)
-0.1147390843938923928500325065	(3,9)
-0.11266118274808247605542547142	(3,10)
-0.10996473994652611196424253237	(3,11)
-0.10659123660444378219890708809	(3,12)
-0.10250206694874098843737501493	(3,13)
-0.09768226445586386564440565423	(3,14)
-0.09214327800210373708152523112	(3,15)
-0.08592465393931770690637106767	(3,16)
-0.07909452666837188170056537502	(3,17)
-0.07174887196287458698065491299	(3,18)
-0.06400953124170894290980115498	(3,19)
-0.05602106884325227719078507792	(3,20)
-0.04794657576091243622407562055	(3,21)
-0.03996258000696890965159689219	(3,22)
-0.03225326373083595823899644183	(3,23)
-0.02500421867251254051208320322	(3,24)
-0.01839599309534239602582260491	(3,25)
-0.01259769405757969436238458806	(3,26)
-0.00776090826488652063303638323	(3,27)
-0.00401419280416060459933210919	(3,28)
-0.00145836429418190457255361747	(3,29)
-0.00016278237261039616437525347	(3,30)
-0.12098196674370336588612785269	(4,1)
-0.12097743886875297435865702755	(4,2)
-0.1209469057910612194891385346	(4,3)
-0.12084858899901436999890537802	(4,4)
-0.1206227070885827744907225775	(4,5)
-0.12019479059506672237934383663	(4,6)
-0.1194798608153630807265455815	(4,7)
-0.11838727987427525965864680082	(4,8)
-0.11682604762142469929012609342	(4,9)
-0.11471029921888056219462098983	(4,10)
-0.11196474646956184861971969256	(4,11)
-0.10852980654033043098121321837	(4,12)
-0.10436617374818668380062881279	(4,13)
-0.09945861299830756392731970955	(4,14)
-0.09381878630391318474354758403	(4,15)
-0.08748696515763034259050364132	(4,16)
-0.08053252956404344725620658045	(4,17)
-0.07305320718843200460867426138	(4,18)
-0.06517306102718753157900631535	(4,19)
-0.05703928885700488865090522733	(4,20)
-0.04881795007032622001695413285	(4,21)
-0.04068878305874205552933677867	(4,22)
-0.03283931697740284117458917565	(4,23)
-0.02545851372498274719693364838	(4,24)
-0.01873019789628725559650894725	(4,25)
-0.01282654333842309964952190586	(4,26)
-0.00790188427804623914938485395	(4,27)
-0.0040871068001633178904729734	(4,28)
-0.00148485326284751325084568722	(4,29)
-0.00016573901966238842629533456	(4,30)
-0.12409163243349812741663584308	(5,1)
-0.12408698789392121539476834371	(5,2)
-0.12405566810554347504425686292	(5,3)
-0.12395481810435120022562831478	(5,4)
-0.1237231162073210585946482757	(5,5)
-0.12328417432582186103308920106	(5,6)
-0.12255082460157334445350567449	(5,7)
-0.12143009466802308565297398351	(5,8)
-0.1198286413375626501450876921	(5,9)
-0.1176583902027001085675469848	(5,10)
-0.11484211752346266906199468555	(5,11)
-0.11131871137063035641398230819	(5,12)
-0.10704786130762890013386521581	(5,13)
-0.10201394940983695936466831931	(5,14)
-0.09622894913041099398303866525	(5,15)
-0.0897341809661495311433326444	(5,16)
-0.08260082320644652124289573123	(5,17)
-0.07492913010666226801900714567	(5,18)
-0.06684636624586113622225161985	(5,19)
-0.05850352213249958244836528766	(5,20)
-0.0500709298380914622749077165	(5,21)
-0.0417329462088748642038045297	(5,22)
-0.03368191288724903795093610288	(5,23)
-0.02611163513824356899101186524	(5,24)
-0.01921064388329896462786759208	(5,25)
-0.01315551640979205843620694669	(5,26)
-0.00810453046107826276563305828	(5,27)
-0.00419191384437690702703599195	(5,28)
-0.00152292786058726823410395826	(5,29)
-0.00016998878592093007163434287	(5,30)
-0.12832273328797666630137006899	(6,1)
-0.12831792982449853553849088185	(6,2)
-0.12828553835661865337011658581	(6,3)
-0.12818123755073501722243791507	(6,4)
-0.12794160753849341958954570738	(6,5)
-0.12748764672338203539162519249	(6,6)
-0.12672920537781484423324504191	(6,7)
-0.12557013159993991080253206026	(6,8)
-0.12391389154594825189280822489	(6,9)
-0.12166940272606381603036223753	(6,10)
-0.11875680760201246370940074343	(6,11)
-0.11511291529760279126182949345	(6,12)
-0.1106960519470840457312300884	(6,13)
-0.10549008453656372139607585142	(6,14)
-0.09950741800319615351124857673	(6,15)
-0.09279080933234453278527721926	(6,16)
-0.08541389351321678944133447276	(6,17)
-0.07748037223385953629982393206	(6,18)
-0.0691218746494233850818712998	(6,19)
-0.06049455786474975072867463484	(6,20)
-0.05177457036092114755883788879	(6,21)
-0.04315255201519057802631576291	(6,22)
-0.03482738739697127442622723528	(6,23)
-0.0269994627827594620494858522	(6,24)
-0.01986370034679647803978285223	(6,25)
-0.01360265425453517806552336616	(6,26)
-0.00837995243100006940417099479	(6,27)
-0.00433435464684378492399490396	(6,28)
-0.001574672837880965564868157	(6,29)
-0.00017576432216276940951208949	(6,30)
-0.13386689294853491705986253264	(7,1)
-0.13386188096258420962763365681	(7,2)
-0.13382808335521594370319173112	(7,3)
-0.13371925479095361315371118771	(7,4)
-0.13346922243349523354680667642	(7,5)
-0.13299555567301774737793379654	(7,6)
-0.13220419269023690275812143161	(7,7)
-0.13099481060672603186258905973	(7,8)
-0.12926669078799791339214751861	(7,9)
-0.12692480664279902242838655204	(7,10)
-0.12388584911463721424420558149	(7,11)
-0.12008390558278702349424758002	(7,12)
-0.11547552111698802853896699252	(7,13)
-0.110043896434665569167620117	(7,14)
-0.10380201341495425019684198454	(7,15)
-0.09679452504736541659492563709	(7,16)
-0.08909830021398195220634746896	(7,17)
-0.08082157235465329398590747553	(7,18)
-0.07210170223846526862387749172	(7,19)
-0.06310162603862575029638134425	(7,20)
-0.05400511796955066180115329188	(7,21)
-0.04501104931961572692923021823	(7,22)
-0.03632687048230124787196446499	(7,23)
-0.02816157759459872554068608538	(7,24)
-0.02071844912265137445839972108	(7,25)
-0.01418784918640809572631620944	(7,26)
-0.00874039312764481680472701169	(7,27)
-0.0045207568944347054927043084	(7,28)
-0.00164238587710678122826581089	(7,29)
-0.00018332202859881922123823163	(7,30)
-0.14092123572349464168704242444	(8,1)
-0.14091595801780360284804475836	(8,2)
-0.14088036857067107399853405513	(8,3)
-0.14076577030526873590455140853	(8,4)
-0.14050248234139803052303716209	(8,5)
-0.14000370469070561898977357414	(8,6)
-0.13917039091868577882954897429	(8,7)
-0.13789690430591815845489329004	(8,8)
-0.13607719588138573231949210434	(8,9)
-0.13361121704504147220378931524	(8,10)
-0.13041126655021452696620567555	(8,11)
-0.12640797203958729012178352819	(8,12)
-0.12155562019524360206817949515	(8,13)
-0.11583657634379080116211646861	(8,14)
-0.10926457292933802560165326935	(8,15)
-0.10188669495648570286006912657	(8,16)
-0.09378394715869958091434662584	(8,17)
-0.08507034972913839746726244505	(8,18)
-0.07589057416503924039754363625	(8,19)
-0.06641619520260988443649585928	(8,20)
-0.05684069605568011482033239671	(8,21)
-0.04737341947768345349208463537	(8,22)
-0.03823270409442622484385103031	(8,23)
-0.02963848196073096117810356624	(8,24)
-0.02180463782639204542165560209	(8,25)
-0.0149314421576149555873818313	(8,26)
-0.00919836813375807232659608769	(8,27)
-0.00475758779447499446528342092	(8,28)
-0.00172841497731165314141560357	(8,29)
-0.00019292390076988360229754422	(8,30)
-0.14967453084364351282545179714	(9,1)
-0.14966892287453400863901338153	(9,2)
-0.14963110634844608121328986014	(9,3)
-0.14950933692992579660375491512	(9,4)
-0.14922957366536401147390861273	(9,5)
-0.14869958614396164122487851936	(9,6)
-0.14781413331186761851229122265	(9,7)
-0.14646097556044395560860741268	(9,8)
-0.14452744205528088560084010846	(9,9)
-0.14190724778564552226662820219	(9,10)
-0.13850724082127737785466986005	(9,11)
-0.13425376052186271770473117059	(9,12)
-0.12909830208573429138840872206	(9,13)
-0.12302221132520056630475661224	(9,14)
-0.11604017474107576513333506603	(9,15)
