kuu1322_(sigma,mu)
0.07787592191386633516880850722	(1,1)
0.07787300742978458161364123985	(1,2)
0.07785335402266028590226224049	(1,3)
0.07779006986790701424069844437	(1,4)
0.07764467510036640225355996505	(1,5)
0.07736923546544505727629767514	(1,6)
0.07690905207447467984450118229	(1,7)
0.07620578319234688774636640094	(1,8)
0.07520085360932252395235523572	(1,9)
0.07383899317360784157499006406	(1,10)
0.07207173911302537285924312019	(1,11)
0.06986073717083818718483636926	(1,12)
0.06718068431816684818114388078	(1,13)
0.06402177055687188534254857059	(1,14)
0.06039149845756019060448149131	(1,15)
0.0563157856723363656147177478	(1,16)
0.05183928656531648011234290089	(1,17)
0.04702490296988005386078830273	(1,18)
0.04195248943292481165779473842	(1,19)
0.0367167935989474950998279766	(1,20)
0.03142470607718599467758759695	(1,21)
0.02619192474801559971751563722	(1,22)
0.02113916465760626551299286953	(1,23)
0.0163880652711823054588158529	(1,24)
0.01205696099548854080245374195	(1,25)
0.00825668791225411399540341862	(1,26)
0.00508659926769830590280736344	(1,27)
0.00263095444279033027223952355	(1,28)
0.00095583121256496792372890114	(1,29)
0.00010668972681763302421513124	(1,30)
0.07831011220973664417493436148	(2,1)
0.07830718147276426078922594049	(2,2)
0.07828741846660016115198934235	(2,3)
0.07822378140199329532331493287	(2,4)
0.07807757582774763661145418724	(2,5)
0.07780060018124257291013832572	(2,6)
0.07733785054520427862008523004	(2,7)
0.07663065984707140551813797572	(2,8)
0.07562012624727874272300215676	(2,9)
0.07425067140922256548513318563	(2,10)
0.07247356235632671352170643922	(2,11)
0.07025023102030215146667125916	(2,12)
0.06755523336508941032397419551	(2,13)
0.06437870480473089902503892372	(2,14)
0.06072818988232293315963253395	(2,15)
0.05662975092095200200657864603	(2,16)
0.05212829143388270414050124166	(2,17)
0.04728706413676933678821390877	(2,18)
0.04218636895372958913303587418	(2,19)
0.03692148189896262296090436194	(2,20)
0.03159988959409387704572325457	(2,21)
0.02633793496498695835033025619	(2,22)
0.02125700600018614013342558931	(2,23)
0.01647942018872139576099939852	(2,24)
0.01212417147314409653162660513	(2,25)
0.00830271362298648464164556762	(2,26)
0.00511495353386326534975249516	(2,27)
0.00264562009267956610401153145	(2,28)
0.00096115924933449935754753535	(2,29)
0.00010728444005389099002803103	(2,30)
0.07921377095444290657068147636	(3,1)
0.0792108063745718752831795167	(3,2)
0.0791908151537009580440865732	(3,3)
0.07912644323615246141825211379	(3,4)
0.07897854934715735600391752709	(3,5)
0.07869837532533218000623485689	(3,6)
0.07823028212480576674740492779	(3,7)
0.07751492528393291506708224377	(3,8)
0.07649272292926159523335500433	(3,9)
0.07510745516538831737028364761	(3,10)
0.07330982663101740797616168825	(3,11)
0.07106082440296252146593805873	(3,12)
0.06833471129916065895825000995	(3,13)
0.06512150963724257709627043615	(3,14)
0.06142885200140249138768348741	(3,15)
0.05728310262621180460424737845	(3,16)
0.05272968444558125446704358335	(3,17)
0.04783258130858305798710327532	(3,18)
0.04267302082780596193986743665	(3,19)
0.03734737922883485146052338528	(3,20)
0.0319643838406082908160504137	(3,21)
0.02664172000464593976773126146	(3,22)
0.02150217582055730549266429455	(3,23)
0.01666947911500836034138880214	(3,24)
0.01226399539689493068388173661	(3,25)
0.00839846270505312957492305871	(3,26)
0.00517393884325768042202425549	(3,27)
0.0026761285361070697328880728	(3,28)
0.00097224286278793638170241165	(3,29)
0.00010852158174026410958350231	(3,30)
0.08065464449580224392408523513	(4,1)
0.0806516259125019829057713517	(4,2)
0.0806312705273741463260923564	(4,3)
0.08056572599934291333260358534	(4,4)
0.08041513805905518299381505167	(4,5)
0.08012986039671114825289589108	(4,6)
0.07965324054357538715103038767	(4,7)
0.07892485324951683977243120055	(4,8)
0.07788403174761646619341739561	(4,9)
0.07647353281258704146308065989	(4,10)
0.07464316431304123241314646171	(4,11)
0.07235320436022028732080881225	(4,12)
0.06957744916545778920041920852	(4,13)
0.06630574199887170928487980637	(4,14)
0.06254585753594212316236505602	(4,15)
0.05832464343842022839366909421	(4,16)
