b^1^2_2_(sigma,mu)
-0.000020000864532750929215549	(1,1)
-0.000019999866507404386715953	(1,2)
-0.000019993136953612707181996	(1,3)
-0.000019971473497332729217303	(1,4)
-0.000019921735258326219511518	(1,5)
-0.000019827637268553937459887	(1,6)
-0.000019670797712701407888948	(1,7)
-0.000019432009313839118339639	(1,8)
-0.000019092681928115028945999	(1,9)
-0.000018636375587394284054415	(1,10)
-0.000018050316758937414623149	(1,11)
-0.000017326771191525108442436	(1,12)
-0.000016464139788925910325321	(1,13)
-0.000015467653448610687041507	(1,14)
-0.000014349570291542888785325	(1,15)
-0.000013128822800150679437828	(1,16)
-0.000011830118675294800236136	(1,17)
-0.000010482560786740079716901	(1,18)
-9.117909927851350143056e-6	(1,19)
-7.768660436436974295892e-6	(1,20)
-6.466125524137764523808e-6	(1,21)
-5.238731269783089235073e-6	(1,22)
-4.1106940420979223014336e-6	(1,23)
-3.1012078976265116541534e-6	(1,24)
-2.2242022621019094633965e-6	(1,25)
-1.4886549123567024180368e-6	(1,26)
-8.993715609716854418506e-7	(1,27)
-4.580819065219405721613e-7	(1,28)
-1.646619662585719124895e-7	(1,29)
-1.82799507856530861002e-8	(1,30)
-0.000179925505233730565505925	(2,1)
-0.000179916527633872372405051	(2,2)
-0.000179855992856759126037712	(2,3)
-0.000179661122201572436820707	(2,4)
-0.000179213708631100388864726	(2,5)
-0.00017836726275613766405057	(2,6)
-0.000176956432951486532964225	(2,7)
-0.000174808441622097916791372	(2,8)
-0.000171756061444229845667659	(2,9)
-0.000167651405145109287363538	(2,10)
-0.000162379564315109753356702	(2,11)
-0.000155870958269156800308919	(2,12)
-0.000148111191665433644979811	(2,13)
-0.000139147305014326950025421	(2,14)
-0.000129089549447305556068379	(2,15)
-0.000118108213683187947774154	(2,16)
-0.000106425537444865071386097	(2,17)
-0.000094303299291441406288093	(2,18)
-0.000082027191512090934767009	(2,19)
-0.000069889511613771133647563	(2,20)
-0.00005817194080075576051723	(2,21)
-0.000047130198852165756121244	(2,22)
-0.0000369821472463614925645657	(2,23)
-0.0000279004787091014494059526	(2,24)
-0.0000200105356428546675508355	(2,25)
-0.0000133931227541469856453866	(2,26)
-8.0915162345599590689595e-6	(2,27)
-4.1213192932345461011384e-6	(2,28)
-1.4814536832281565835243e-6	(2,29)
-1.644639274465551787588e-7	(2,30)
-0.000499330408506557291735374	(3,1)
-0.000499305503627738904002269	(3,2)
-0.000499137573285868570745125	(3,3)
-0.00049859697980743645062871	(3,4)
-0.000497355802453626963864277	(3,5)
-0.000495007659367322198957028	(3,6)
-0.000491093836432352144758787	(3,7)
-0.000485135006972079587871781	(3,8)
-0.000476667221404615177270436	(3,9)
-0.000465280152364845481529983	(3,10)
-0.000450654921051276689592957	(3,11)
-0.000432598347096995700677444	(3,12)
-0.000411070291710015721635054	(3,13)
-0.000386201000728190896075661	(3,14)
-0.000358296039587396519651339	(3,15)
-0.000327827511400220790080212	(3,16)
-0.000295411652666563034314504	(3,17)
-0.000261774435772793464760481	(3,18)
-0.000227708261571546629199235	(3,19)
-0.000194023980696557254674134	(3,20)
-0.000161503149813877226820674	(3,21)
-0.000130855481758069510186672	(3,22)
-0.0001026858457413019727214349	(3,23)
-0.0000774739722723512445402948	(3,24)
-0.0000555683669323562646832671	(3,25)
-0.0000371940611394621535852297	(3,26)
-0.0000224719913621458962319246	(3,27)
-0.0000114462674715650757577121	(3,28)
-4.1145931792431990009956e-6	(3,29)
-4.567885937499515567337e-7	(3,30)
-0.000977255462544042161362909	(4,1)
-0.000977206782556392830266395	(4,2)
-0.000976878539675692950464051	(4,3)
-0.000975821874548204856972398	(4,4)
-0.000973395814772586417678248	(4,5)
-0.000968806008049275726967817	(4,6)
-0.00096115577173048455722993	(4,7)
-0.000949508056554360599708421	(4,8)
-0.00093295574323248023129486	(4,9)
-0.000910696338907018629242342	(4,10)
-0.000882105855225206907931786	(4,11)
-0.000846805708348308194025615	(4,12)
-0.000804716145813558754603125	(4,13)
-0.000756090167720568266213321	(4,14)
-0.000701523246098106833868193	(4,15)
-0.000641936288970887539174335	(4,16)
-0.000578532030691589118433009	(4,17)
-0.0005127280207310884085448	(4,18)
-0.000446072216622108829025289	(4,19)
-0.000380149437938829420495399	(4,20)
-0.000316488238953021779843063	(4,21)
-0.000256477860829524560850368	(4,22)
-0.0002013037509266955582078774	(4,23)
-0.0001519077977110477234600925	(4,24)
-0.0001089762170106979070707195	(4,25)
-0.0000729543739130385077235785	(4,26)
-0.0000440842501306568444662141	(4,27)
-0.0000224572877648988836346986	(4,28)
-8.0733988112242955394107e-6	(4,29)
-8.963205498784722940735e-7	(4,30)
-0.001611902462987358076598376	(5,1)
-0.00161182240639514796511513	(5,2)
-0.001611282594777687547836096	(5,3)
-0.001609544852831572234017779	(5,4)
-0.001605555045534857433886633	(5,5)
-0.001598006732526060414172793	(5,6)
-0.001585425034133530706276509	(5,7)
-0.001566268393285471850768042	(5,8)
-0.001539043990154846032288671	(5,9)
-0.001502430359200076304151747	(5,10)
-0.001455398661041847759933468	(5,11)
-0.00139732252697664657380934	(5,12)
-0.001328065849527017275477764	(5,13)
-0.001248038651181308259068679	(5,14)
-0.001158213348831942214761196	(5,15)
-0.001060097232659890271113786	(5,16)
-0.000955661445740336215853605	(5,17)
-0.000847231634375076013045324	(5,18)
-0.000737350065376832662104033	(5,19)
-0.000628622681560829473607243	(5,20)
-0.000523566690478164734198204	(5,21)
-0.000424474451762393149100155	(5,22)
-0.0003333075176708266510113443	(5,23)
-0.000251630871211173382506901	(5,24)
-0.0001805921735501646678066667	(5,25)
-0.0001209448866105644913371011	(5,26)
-0.0000731083175752853260661849	(5,27)
-0.0000372527833175678614641913	(5,28)
-0.0000133949325682218650478581	(5,29)
-1.4872709255384844624885e-6	(5,30)
-0.002399798114026684424488413	(6,1)
-0.002399679600036319758854282	(6,2)
-0.00239888047401552492793929	(6,3)
-0.002396307945159973857914155	(6,4)
-0.002390401424334052792070778	(6,5)
-0.002379226630487986333070789	(6,6)
-0.002360599494400411367080725	(6,7)
-0.002332236403690290524166894	(6,8)
-0.002291924513334613161156634	(6,9)
-0.002237702623216603969825943	(6,10)
-0.002168040066597750056191478	(6,11)
-0.002081998820358937569784834	(6,12)
-0.001979363262378679747217112	(6,13)
-0.001860723118996678955823435	(6,14)
-0.001727498345092623372774814	(6,15)
-0.001581899798086115624715063	(6,16)
-0.001426826093868725631173825	(6,17)
-0.001265704163902037970165258	(6,18)
-0.001102287785453300001293333	(6,19)
-0.000940433720198497196979365	(6,20)
-0.000783878197031917333965303	(6,21)
-0.000636036729333542353932258	(6,22)
-0.00049984748229010553667739	(6,23)
-0.0003776728697916137652798	(6,24)
-0.000271266459204733201482499	(6,25)
-0.0001818036286240378685045438	(6,26)
-0.0001099659747988661116045075	(6,27)
-0.0000560624344129338235808532	(6,28)
-0.000020165495846162346607916	(6,29)
-2.2394344781424168282302e-6	(6,30)
-0.003334241746037683541535555	(7,1)
-0.003334078666228462853513531	(7,2)
-0.003332979035808819797772318	(7,3)
-0.003329439102865721422154627	(7,4)
-0.003321311268413881986172489	(7,5)
-0.003305933282367500568259933	(7,6)
-0.003280298149762614213235532	(7,7)
-0.003241259925829864649365318	(7,8)
-0.003185766777857478656561804	(7,9)
-0.003111108363144770800476964	(7,10)
-0.003015160476222428030542777	(7,11)
-0.002896606937441865344623566	(7,12)
-0.002755117662289374002723988	(7,13)
-0.002591463374778426425063258	(7,14)
-0.002407551746285534892805085	(7,15)
-0.002206376631944843019612443	(7,16)
-0.001991880851734124012630694	(7,17)
-0.001768742543239159632151862	(7,18)
-0.00154210417925810376888823	(7,19)
-0.001317270542406920130067683	(7,20)
-0.001099406114836340058951832	(7,21)
-0.000893262698688709491423926	(7,22)
-0.000702964394347522928259482	(7,23)
-0.0005318696933296744834845762	(7,24)
-0.000382520325543707065191788	(7,25)
-0.0002566750160436902801364531	(7,26)
-0.0001554150780373076979028003	(7,27)
-0.0000792994204167597212898103	(7,28)
-0.0000285404538805123014053536	(7,29)
-3.1704506156990152674398e-6	(7,30)
-0.004403036322826079996121805	(8,1)
-0.00440282420467874759561251	(8,2)
-0.004401393909057958753031662	(8,3)
-0.004396789442038265555124166	(8,4)
-0.004386217069755445570457731	(8,5)
-0.004366212746244525872941333	(8,6)
-0.004332861888250172276404288	(8,7)
-0.004282065089852248640462542	(8,8)
-0.004209838590926721360371114	(8,9)
-0.004112632903009467952331433	(8,10)
-0.003987647899127627123282083	(8,11)
-0.003833118986558671962847639	(8,12)
-0.00364854773719317909620374	(8,13)
-0.003434852302433903825226636	(8,14)
-0.003194418378526485406316681	(8,15)
-0.002931040132207789575964173	(8,16)
-0.002649751481973593272901964	(8,17)
-0.002356560107962011673766668	(8,18)
-0.002058107889781583901874228	(8,19)
-0.001761290464311355035382976	(8,20)
-0.001472873811452859351934402	(8,21)
-0.001199146262486059648055654	(8,22)
-0.000945639801241233553134772	(8,23)
-0.0007169454571606322334421656	(8,24)
-0.0005166351375406490483331299	(8,25)
-0.0003472881217165106691973664	(8,26)
-0.0002106066420019235968423967	(8,27)
-0.0001075934942921964669532155	(8,28)
-0.0000387571309073784757981529	(8,29)
-4.3072924788537940535728e-6	(8,30)
-0.005585776675214236224009563	(9,1)
-0.005585513558529388391187462	(9,2)
-0.005583739374985965490510769	(9,3)
-0.00557802774457153030996221	(9,4)
-0.005564912593189526575390636	(9,5)
-0.005540094672046522518342165	(9,6)
-0.005498711871223846557947315	(9,7)
-0.005435665124530149037266105	(9,8)
-0.005345986085631982918241457	(9,9)
-0.005225226458768278410573121	(9,10)
-0.005069842979994551249104033	(9,11)
-0.004877547827911215146971983	(9,12)
-0.004647592884127663099736947	(9,13)
-0.004380958625490803810612406	(9,14)
-0.004080424837859189960971532	(9,15)
-0.003750510458173422917649923	(9,16)
-0.003397282668327026173568001	(9,17)
-0.003028049312667846873059304	(9,18)
-0.002650961887936444658790402	(9,19)
-0.002274566820991739661472528	(9,20)
-0.001907348852506563500692328	(9,21)
-0.001557311004829771209399809	(9,22)
-0.001231630527041780875781024	(9,23)
-0.0009364199335132543546716979	(9,24)
-0.0006766081337377573510667739	(9,25)
-0.0004559406460532674105250884	(9,26)
-0.0002770822663341050465375369	(9,27)
-0.0001417925670999963597234414	(9,28)
-0.0000511361066074277055479708	(9,29)
-5.6864523717288720522307e-6	(9,30)
-0.006851237201605183167692769	(10,1)
-0.006850924678510158893271523	(10,2)
-0.006848817334279401835368627	(10,3)
-0.006842032975196136984870572	(10,4)
-0.006826453539207774213982079	(10,5)
-0.006796968357517325088267644	(10,6)
-0.006747791195012025843101002	(10,7)
-0.006672840880238416203637572	(10,8)
-0.006566169209675824743083989	(10,9)
-0.006422413060326030011397241	(10,10)
-0.006237241415581591028933423	(10,11)
-0.006007763626036563526250424	(10,12)
-0.005732863933246361098704248	(10,13)
-0.005413429977431049690837382	(10,14)
-0.005052450016686653538407758	(10,15)
-0.004654964529984844592387028	(10,16)
-0.004227871672322799428730605	(10,17)
-0.003779601024113606897782813	(10,18)
-0.003319684209636606999130528	(10,19)
-0.002858262207531554195481268	(10,20)
-0.002405575813130972723341211	(10,21)
-0.001971486629130383245477644	(10,22)
-0.001565070872230008644469918	(10,23)
-0.0011943177979063161527204987	(10,24)
-0.0008659500904296982078559615	(10,25)
-0.0005853671751872087988399398	(10,26)
-0.0003566964190545005274927079	(10,27)
-0.0001829238709076101533057214	(10,28)
-0.0000660674401184274883154085	(10,29)
-7.3524228419318363598473e-6	(10,30)
-0.008155577952604428167686118	(11,1)
-0.008155222263251551325550062	(11,2)
-0.008152823822942190757882764	(11,3)
-0.008145102006506927021363685	(11,4)
-0.008127368046652507077650973	(11,5)
-0.008093798511488559478649084	(11,6)
-0.008037789439041029508812845	(11,7)
-0.007952378793446051001842575	(11,8)
-0.00783071884529636669594518	(11,9)
-0.007666573609109527291011354	(11,10)
-0.007454810653145682309778402	(11,11)
-0.007191852646539298262627643	(11,12)
-0.006876053061344766640409058	(11,13)
-0.006507963311018956201720001	(11,14)
-0.006090465556332439577279997	(11,15)
-0.005628756062947774328398817	(11,16)
-0.005130177309107357225143068	(11,17)
-0.00460391143476830524325944	(11,18)
-0.004060561205777159178601559	(11,19)
-0.003511655545498972423384208	(11,20)
-0.002969123284532023218365386	(11,21)
-0.002444780109425429856075221	(11,22)
-0.001949869533427948413006179	(11,23)
-0.0014946896603735552492191348	(11,24)
-0.0010883248854137171507252527	(11,25)
-0.0007384873079156055766963995	(11,26)
-0.0004514585853872685313890755	(11,27)
-0.0002321112088515214148108838	(11,28)
-0.0000839803278366370886132281	(11,29)
-9.3542939202497142576911e-6	(11,30)
-0.00944210088330933983049016	(12,1)
-0.009441713907169168852571118	(12,2)
-0.00943910445632654249089931	(12,3)
-0.009430702798788807114228112	(12,4)
-0.00941140468333264746869322	(12,5)
-0.00937486346280626465622445	(12,6)
-0.009313864675340746724471071	(12,7)
-0.00922076848671436149609095	(12,8)
-0.009088000261441464023806814	(12,9)
-0.008908564438302590538913366	(12,10)
-0.008676552594369601178573956	(12,11)
-0.008387613942562216124219117	(12,12)
-0.008039356303899140669011707	(12,13)
-0.007631648364219735104663561	(12,14)
-0.00716679991059467219751724	(12,15)
-0.00664960541081592047681838	(12,16)
-0.006087246939627044540747452	(12,17)
-0.005489063877496043588204058	(12,18)
-0.0048662076206166438195372	(12,19)
-0.004231208380272028277012565	(12,20)
-0.003597486910296969398868199	(12,21)
-0.002978846024972110843466719	(12,22)
-0.002388974952433571276894193	(12,23)
-0.0018409943668252698673591148	(12,24)
-0.001347062279306313276477939	(12,25)
-0.0009180520655519623119157463	(12,26)
-0.0005633050788633778841382818	(12,27)
-0.0002904527433397024193872579	(12,28)
-0.0001052976599920884414231624	(12,29)
-0.000011740621460281953133353	(12,30)
-0.01064309144923469731273749	(13,1)
-0.01064269140413950652487834	(13,2)
-0.010639993762465455049017155	(13,3)
-0.010631307393574639557003673	(13,4)
-0.010611350901468238343510263	(13,5)
-0.010573546179365442334664104	(13,6)
-0.010510388955805313507327422	(13,7)
-0.010413879415611973066647687	(13,8)
-0.010275992954513814767693537	(13,9)
-0.010089168908194113047507887	(13,10)
-0.009846793845042883135931534	(13,11)
-0.009543655867473763293011925	(13,12)
-0.009176347424571197075054394	(13,13)
-0.00874359641713936172497109	(13,14)
-0.008246508787950717782713031	(13,15)
-0.0076887101304022771321938	(13,16)
-0.007076378807361166928160417	(13,17)
-0.006418168271783996496797876	(13,18)
-0.005725021338816584975977954	(13,19)
-0.005009883753351329972593547	(13,20)
-0.004287328319809089497593133	(13,21)
-0.003573104042695568256854633	(13,22)
-0.002883627220079016814088076	(13,23)
-0.0022354333608223854749812296	(13,24)
-0.001644610281374861929750104	(13,25)
-0.0011262338285696910645350284	(13,26)
-0.0006938283058317339747525435	(13,27)
-0.0003588736717203312020372486	(13,28)
-0.0001303806842900283750715643	(13,29)
-0.0000145531477004092331059518	(13,30)
-0.011683877512017594199291843	(14,1)
-0.011683489185868566899529931	(14,2)
-0.011680870469616206178781349	(14,3)
-0.011672437062489124718549045	(14,4)
-0.011653054933358531442384291	(14,5)
-0.011616312266722696804829445	(14,6)
-0.011554853422033132346571907	(14,7)
-0.011460755678461343086751193	(14,8)
-0.011325930138032293780276145	(14,9)
-0.011142530721053680142098345	(14,10)
-0.010903358897570396750898793	(14,11)
-0.010602255639746284528369056	(14,12)
-0.010234475032377817920819232	(14,13)
-0.0097970352249471302864383	(14,14)
-0.009289041506157358704596793	(14,15)
-0.008711973270445953622416538	(14,16)
-0.00806992207208257682940036	(14,17)
-0.007369762815105050584103076	(14,18)
-0.006621235691500911401710743	(14,19)
-0.005836914127204718801641738	(14,20)
-0.005032034940275911465482567	(14,21)
-0.004224171974799322584276571	(14,22)
-0.003432743867590304307373118	(14,23)
-0.0026783598368179693397950663	(14,24)
-0.0019820232305733908565739149	(14,25)
-0.0013642292056266421756149584	(14,26)
-0.000844008108347650681128454	(14,27)
-0.0004379776287134799299024975	(14,28)
-0.0001594726270633492970783063	(14,29)
-0.0000178203727212899646493879	(14,30)
-0.012488703045995031587624534	(15,1)
-0.012488357446115956842831519	(15,2)
-0.012486026704166364489642048	(15,3)
-0.012478518870652060712340523	(15,4)
-0.012461253374986691530214592	(15,5)
-0.012428482834463752418509122	(15,6)
-0.012373550288428532211693593	(15,7)
-0.012289160399646364101855561	(15,8)
-0.012167649214287252328078474	(15,9)
-0.012001246699742551550473135	(15,10)
-0.011782337250799446701426705	(15,11)
-0.011503732954354541815544601	(15,12)
-0.011158979976895435198489891	(15,13)
-0.010742717954493254876047716	(15,14)
-0.010251104780770220501574679	(15,15)
-0.009682305141204461731550645	(15,16)
