kuu1111_(sigma,mu)
0.6304573873304566805233162435	(6,16)
0.6304497488678851019403773978	(6,17)
0.6304415340830954022736036668	(6,18)
0.6304328792751572560938394916	(6,19)
0.6304239461394335942101503646	(6,20)
0.6304149170697719041032469383	(6,21)
0.6304059894632689864152641624	(6,22)
0.6303973692520215179078662569	(6,23)
0.6303892639212120446627137162	(6,24)
0.6303818752966847346448986034	(6,25)
0.6303753923968079448016270293	(6,26)
0.6303699846424065553564607421	(6,27)
0.6303657957049324372340622792	(6,28)
0.6303629382474262660414344227	(6,29)
0.6303614897763210143136529938	(6,30)
0.6370912892101946675611755233	(7,1)
0.6370912795527578421755373216	(7,2)
0.6370912144292204193707291868	(7,3)
0.6370910047309204749677653976	(7,4)
0.6370905229515676172192128241	(7,5)
0.6370896102584125053548587062	(7,6)
0.6370880854072011349880410955	(7,7)
0.6370857550900272696930080354	(7,8)
0.6370824252373793136310785475	(7,9)
0.6370779127489711942714488	(7,10)
0.6370720571045068275657912089	(7,11)
0.6370647313065050415234329722	(7,12)
0.6370558516327855338691711505	(7,13)
0.6370453857251746512914007695	(7,14)
0.637033358611360056040669562	(7,15)
0.6370198563455542748427609608	(7,16)
0.6370050270568193023852391167	(7,17)
0.6369890793069857576392610722	(7,18)
0.6369722777780370651048745932	(7,19)
0.6369549364263630731676859079	(7,20)
0.6369374093531826486266327839	(7,21)
0.6369200797417241609634952544	(7,22)
0.6369033472979683080079837012	(7,23)
0.6368876146991318904065553698	(7,24)
0.6368732735997001926712118573	(7,25)
0.6368606907667775079687031961	(7,26)
0.6368501949139482970157062878	(7,27)
0.6368420647759230363549196873	(7,28)
0.6368365189162214754160139816	(7,29)
0.6368337076892300845773633178	(7,30)
0.6465359234891935635353607362	(8,1)
0.6465359064906758557416840207	(8,2)
0.6465357918636250717410458291	(8,3)
0.6465354227637506316018073816	(8,4)
0.6465345747619011865475607817	(8,5)
0.6465329682917594923102153519	(8,6)
0.6465302843442311744587365863	(8,7)
0.6465261826856067335316257261	(8,8)
0.6465203217568308047339188594	(8,9)
0.6465123793284990707119498824	(8,10)
0.6465020729444197424708603015	(8,11)
0.6464891791878710062367646965	(8,12)
0.6464735508493157402351744141	(8,13)
0.6464551311606079531992502693	(8,14)
0.6464339643850326159718010406	(8,15)
0.6464102022094666704329502711	(8,16)
0.6463841055675818323172523084	(8,17)
0.6463560417231391778665941428	(8,18)
0.6463264766510162907073946815	(8,19)
0.646295962961224168607363585	(8,20)
0.646265123808444487435161712	(8,21)
0.646234633407707784587408602	(8,22)
0.6462051949278526781983336728	(8,23)
0.64617751665178536463133623	(8,24)
0.646152287371326582803629425	(8,25)
0.6461301520214076261089686803	(8,26)
0.646111688552255889796603771	(8,27)
0.6460973869895710322935937275	(8,28)
0.6460876315439062797183015783	(8,29)
0.6460826865055456607909545076	(8,30)
0.6590597752283386196569635421	(9,1)
0.6590597474667821326121242831	(9,2)
0.6590595602607566572903814838	(9,3)
0.6590589574563783888560056296	(9,4)
0.6590575725233030200078397322	(9,5)
0.6590549488871173994777629279	(9,6)
0.6590505655672083650107457202	(9,7)
0.6590438669401281977067496398	(9,8)
0.6590342952520624597604225254	(9,9)
0.6590213243677889882352280488	(9,10)
0.6590044931740948848851130745	(9,11)
0.6589834370567754143343660823	(9,12)
0.6589579159427615028233869566	(9,13)
0.6589278375400474288420840103	(9,14)
0.6588932746121095872663569994	(9,15)
0.6588544753815544236798628251	(9,16)
0.6588118664582542140404364794	(9,17)
0.6587660480165254081589288047	(9,18)
0.658717781288824435870964546	(9,19)
0.6586679687841656326291486506	(9,20)
0.658617627962361647088138992	(9,21)
0.6585678593855922939173208735	(9,22)
0.6585198106137945195472974515	(9,23)
0.6584746372993446658613461184	(9,24)
0.658433463061673535476606505	(9,25)
0.6583973397790691983560918853	(9,26)
0.65836720992137701398160941	(9,27)
0.6583438724650564678522989988	(9,28)
0.6583279537853986936664895722	(9,29)
0.6583198847164685699880525679	(9,30)
0.674651539448638264451849778	(10,1)
0.6746514967389244494391032609	(10,2)
0.674651208732218039997756158	(10,3)
