muu13_(sigma,mu)
-12.52066443281311026156	(4,5)
-12.52029531407722682916	(4,6)
-12.51967861231873440529	(4,7)
-12.51873613065635972208	(4,8)
-12.51738934712123057533	(4,9)
-12.51556415099554024325	(4,10)
-12.51319553070547145499	(4,11)
-12.51023199341662057863	(4,12)
-12.50663950701605223451	(4,13)
-12.50240477485393509532	(4,14)
-12.49753768157775006346	(4,15)
-12.49207278341617532514	(4,16)
-12.48606975688012437066	(4,17)
-12.47961276435586176146	(4,18)
-12.47280874163098223744	(4,19)
-12.46578465909379180592	(4,20)
-12.45868385323529350294	(4,21)
-12.45166156626266982124	(4,22)
-12.4448798673229864128	(4,23)
-12.43850215744359455181	(4,24)
-12.43268748048938066377	(4,25)
-12.42758487321302560748	(4,26)
-12.42332798821796020406	(4,27)
-12.42003021418571643779	(4,28)
-12.41778049832509201565	(4,29)
-12.41664004743456876725	(4,30)
-11.846822647837173426556	(5,1)
-11.846818154653616771313	(5,2)
-11.846787855493568280378	(5,3)
-11.846690291695867313258	(5,4)
-11.846466138495983017827	(5,5)
-11.846041491999630532355	(5,6)
-11.845332011120263537439	(5,7)
-11.844247722678699527514	(5,8)
-11.842698267106485499602	(5,9)
-11.840598341524712060024	(5,10)
-11.837873087173122036952	(5,11)
-11.834463169517178906436	(5,12)
-11.830329311650701490911	(5,13)
-11.825456064180437469987	(5,14)
-11.819854626580683083131	(5,15)
-11.813564574671964038122	(5,16)
-11.806654394780393194122	(5,17)
-11.799220775447086553838	(5,18)
-11.791386660308209924133	(5,19)
-11.783298118888691807643	(5,20)
-11.775120143433545188233	(5,21)
-11.767031527436190614857	(5,22)
-11.759219023182072874765	(5,23)
-11.751871009525537453663	(5,24)
-11.745170925610841616789	(5,25)
-11.739290740015569498988	(5,26)
-11.734384726939710416872	(5,27)
-11.730583811193785987037	(5,28)
-11.727990722027938338095	(5,29)
-11.72667616305991315078	(5,30)
-11.1329478092553909521092	(6,1)
-11.1329425831372200638499	(6,2)
-11.1329073415276322214796	(6,3)
-11.1327938628819405014894	(6,4)
-11.1325331448037277004425	(6,5)
-11.132039226326391973487	(6,6)
-11.1312140037727067023205	(6,7)
-11.1299528169165561516056	(6,8)
-11.1281505466334453452614	(6,9)
-11.1257079414995294555972	(6,10)
-11.1225378797327236200513	(6,11)
-11.1185712747085663433648	(6,12)
-11.1137623467062829415974	(6,13)
-11.1080930097254490417061	(6,14)
-11.101576158920477457844	(6,15)
-11.0942576898529192633871	(6,16)
-11.0862171335243411295068	(6,17)
-11.0775668489917947763602	(6,18)
-11.0684497761013033124333	(6,19)
-11.0590358122106487327417	(6,20)
-11.0495169363479127043843	(6,21)
-11.0401012596779258658979	(6,22)
-11.0310062300727205229362	(6,23)
-11.0224512587720249601636	(6,24)
-11.01465006656890967601	(6,25)
-11.0078030640038607583411	(6,26)
-11.0020900835114603346026	(6,27)
-10.9976637707424210324388	(6,28)
-10.9946439174684317054621	(6,29)
-10.993112980392323033058	(6,30)
-10.4319169974560178744618	(7,1)
-10.4319108885448385503226	(7,2)
-10.4318696939392673977783	(7,3)
-10.4317370465030066027722	(7,4)
-10.4314322877958597397118	(7,5)
-10.4308549356644806701912	(7,6)
-10.4298903129053277262456	(7,7)
-10.4284160759341914040427	(7,8)
-10.4263093409520688560064	(7,9)
-10.4234540774901650764634	(7,10)
-10.4197484264143728243974	(7,11)
-10.4151116017256988672906	(7,12)
-10.409490052400891653661	(7,13)
-10.4028625910938025840637	(7,14)
-10.395244239303884930248	(7,15)
-10.386688591779886511512	(7,16)
-10.377288564344019477943	(7,17)
-10.3671754566575587083107	(7,18)
-10.3565163321991753573259	(7,19)
-10.3455097892594293746001	(7,20)
-10.3343802663421520088409	(7,21)
-10.3233710902321122558294	(7,22)
-10.3127365323859023783654	(7,23)
-10.3027331865960012442784	(7,24)
-10.2936110156791735687373	(7,25)
-10.2856044352574529707622	(7,26)
-10.2789238070923851216889	(7,27)
-10.2737477021578904855012	(7,28)
-10.2702162647629674260929	(7,29)
-10.26842596450852854346	(7,30)
-9.78470475976641245799824	(8,1)
-9.78469761151604285834721	(8,2)
-9.78464940827241434082372	(8,3)
-9.78449419292436507378654	(8,4)
-9.78413758446282058283224	(8,5)
-9.78346200610646629772391	(8,6)
-9.78233327247126302381065	(8,7)
-9.78060823039920759645927	(8,8)
-9.77814309944839299044323	(8,9)
-9.77480212558557038452218	(8,10)
-9.77046614647695713520282	(8,11)
-9.76504066927713475553692	(8,12)
-9.75846308152895511813258	(8,13)
-9.7507086515861460725433	(8,14)
