muu23_(sigma,mu)
-9.2267650057967e-7	(1,1)
-8.288611066798e-6	(1,2)
-0.0000229340528452344	(1,3)
-0.0000446681696944601	(1,4)
-0.000073162671014534	(1,5)
-0.000107909146895619	(1,6)
-0.000148174204935786	(1,7)
-0.000192960880353492	(1,8)
-0.00024098485830873	(1,9)
-0.00029067306684752	(1,10)
-0.000340190249533716	(1,11)
-0.000387496388619518	(1,12)
-0.000430434590623055	(1,13)
-0.00046684559646743	(1,14)
-0.00049470179703677	(1,15)
-0.00051225087408418	(1,16)
-0.00051815725457037	(1,17)
-0.00051162869691208	(1,18)
-0.00049251565296353	(1,19)
-0.00046137258684159	(1,20)
-0.00041947307851647	(1,21)
-0.00036877408275951	(1,22)
-0.00031182884695855	(1,23)
-0.00025165234545381	(1,24)
-0.00019154726587568	(1,25)
-0.00013490219628212	(1,26)
-0.00008497636889777	(1,27)
-0.00004468685425492	(1,28)
-0.00001641431015696	(1,29)
-1.84223446589e-6	(1,30)
-8.2384041325266167e-6	(2,1)
-0.0000740074414424152201	(2,2)
-0.0002047738109931281058	(2,3)
-0.00039883354752111973	(2,4)
-0.000653255226041708252	(2,5)
-0.000963498963492192775	(2,6)
-0.001323015758493700453	(2,7)
-0.001722902872910935197	(2,8)
-0.002151691526733714345	(2,9)
-0.002595334420206169262	(2,10)
-0.003037443181368889143	(2,11)
-0.00345980137012386758	(2,12)
-0.0038431495473458198	(2,13)
-0.00416820809064870421	(2,14)
-0.00441687411992417392	(2,15)
-0.00457350423466511842	(2,16)
-0.00462617752259944756	(2,17)
-0.00456782555949063445	(2,18)
-0.00439711906587376641	(2,19)
-0.00411901466353100343	(2,20)
-0.00374488885854292903	(2,21)
-0.00329221804980277574	(2,22)
-0.00278380028293239636	(2,23)
-0.00224655333775833764	(2,24)
-0.00170996100192958663	(2,25)
-0.00120427158256831752	(2,26)
-0.0007585768008071998	(2,27)
-0.00039891286961078068	(2,28)
-0.00014652737476233919	(2,29)
-0.00001644523016477076	(2,30)
-0.000022532544986342488579	(3,1)
-0.00020241492748800182481	(3,2)
-0.00056006896759189457988	(3,3)
-0.00109083387741690006196	(3,4)
-0.00178669103322752765096	(3,5)
-0.0026352214373602087681	(3,6)
-0.0036185094164846732791	(3,7)
-0.0047121997563191555965	(3,8)
-0.0058849170412110868289	(3,9)
-0.0070982319983741210663	(3,10)
-0.0083073119560737477214	(3,11)
-0.0094623255063271739415	(3,12)
-0.0105105916794874413141	(3,13)
-0.0113993794861384463932	(3,14)
-0.0120791833812765214016	(3,15)
