H1_(sigma,mu)
0.00104979642750120968229930642	(4,23)
0.00104979417968083195979991763	(4,24)
0.00104979213057449435280638053	(4,25)
0.00104979033261790727099747103	(4,26)
0.0010497888328137617477834184	(4,27)
0.00104978767102362580796196567	(4,28)
0.00104978687850741976549812995	(4,29)
0.00104978647677119290879242471	(4,30)
0.00286886573694585334538020454	(5,1)
0.00286886572670557738111830855	(5,2)
0.00286886565765174105972289382	(5,3)
0.00286886543529776600755814403	(5,4)
0.00286886492444167645349866601	(5,5)
0.0028688639566631178409056039	(5,6)
0.0028688623397745494363225515	(5,7)
0.0028688598687907308994258008	(5,8)
0.00286885633790895837433334079	(5,9)
0.00286885155294330744151728296	(5,10)
0.0028688453436316278143905788	(5,11)
0.00286883757523534822080954213	(5,12)
0.00286882815887929646490378746	(5,13)
0.00286881706013058844210595498	(5,14)
0.00286880430538996813589427941	(5,15)
0.00286878998576256835878031203	(5,16)
0.00286877425818383186737131609	(5,17)
0.0028687573436955289398774985	(5,18)
0.00286873952289120722371528014	(5,19)
0.00286872112867455356408367701	(5,20)
0.00286870253659258368046729354	(5,21)
0.00286868415311310156234866666	(5,22)
0.00286866640230776398722470688	(5,23)
0.00286864971147431247827615214	(5,24)
0.00286863449628092556863618765	(5,25)
0.00286862114604002973059885462	(5,26)
0.00286861000971721156075446582	(5,27)
0.0028686013832531558935326457	(5,28)
0.00286859549872398193466054858	(5,29)
0.00286859251579022255522069193	(5,30)
0.00641520603056860011138536867	(6,1)
0.0064152059799605128516393991	(6,2)
0.00641520563869212769174958809	(6,3)
0.0064152045398050058698804914	(6,4)
0.00641520201512344201010880793	(6,5)
0.00641519723230689056548607829	(6,6)
0.00641518924156169550889180298	(6,7)
0.00641517702985834229123471748	(6,8)
0.0064151595801458230372635119	(6,9)
0.00641513593281095460220458186	(6,10)
0.00641510524650870861655088246	(6,11)
0.00641506685549558692426324788	(6,12)
0.00641502032073198278167084226	(6,13)
0.00641496547227582731706617899	(6,14)
0.00641490244085769422087953352	(6,15)
0.00641483167699098109011274979	(6,16)
0.00641475395650954593638233353	(6,17)
0.00641467037201557757867172317	(6,18)
0.00641458231033649252967138031	(6,19)
0.00641449141670408122509143563	(6,20)
0.00641439954695484279009728411	(6,21)
0.00641430870958161900829124435	(6,22)
0.00641422099991989744505616212	(6,23)
0.00641413852910763643035164175	(6,24)
0.00641406335069967475536313221	(6,25)
0.00641399738793625234093250893	(6,26)
0.00641394236465484975883746764	(6,27)
0.00641389974269602762704361484	(6,28)
0.00641387066839331565831108009	(6,29)
0.00641385593036578850263172752	(6,30)
0.01257617648387151262876780207	(7,1)
0.01257617629323379405556880981	(7,2)
0.01257617500769573419835579409	(7,3)
0.01257617086825312505832293736	(7,4)
0.01257616135793290809890633311	(7,5)
0.01257614334137799877359680804	(7,6)
0.01257611324082840624570172421	(7,7)
0.01257606724038774999683074133	(7,8)
0.01257600150912556636657883487	(7,9)
0.01257591243264380770595147741	(7,10)
0.01257579684227323149723523657	(7,11)
0.01257565223108466875730006209	(7,12)
0.01257547694640301165157519882	(7,13)
0.01257527034947819491971724106	(7,14)
0.01257503293435655439199152118	(7,15)
0.01257476639974749364278984222	(7,16)
0.01257447366971740250610034508	(7,17)
0.01257415886127499556525080464	(7,18)
0.01257382719924031356237368219	(7,19)
0.01257348488110974962392288711	(7,20)
0.012573138896838271025593087	(7,21)
0.01257279681045945858805171944	(7,22)
0.01257246651216587976354398239	(7,23)
0.01257215595080227671949256759	(7,24)
0.01257187285762476778090006197	(7,25)
0.01257162447261278790056349252	(7,26)
0.0125714172845696229448910875	(7,27)
0.01257125679571602290956104489	(7,28)
0.01257114732049395844611628321	(7,29)
0.01257109182689770509996464684	(7,30)
0.02247743780309840776875440733	(8,1)
0.02247743721212873285913500523	(8,2)
0.02247743322701002414898882121	(8,3)
0.02247742039490098048448648047	(8,4)
0.022477390913308179040998208	(8,5)
0.02247733506284205552875901327	(8,6)
0.02247724175284729302959890871	(8,7)
0.02247709915477459374193609713	(8,8)
0.02247689539399774723904749884	(8,9)
0.02247661926790429111562192635	(8,10)
0.02247626095663541725813806564	(8,11)
0.02247581269289578090114982009	(8,12)
0.02247526935880547087078362863	(8,13)
0.02247462898076576765638548703	(8,14)
0.02247389309763197495643472037	(8,15)
0.02247306698294299159492011353	(8,16)
0.02247215970830669524695339817	(8,17)
0.02247118404199789788622765494	(8,18)
0.02247015618407749043309441	(8,19)
0.0224690953465593769834243571	(8,20)
0.02246802319401019675357908359	(8,21)
0.02246696316615829930328125692	(8,22)
0.02246593970933877738044630378	(8,23)
0.02246497744768215896592393045	(8,24)
0.02246410032769280283985855422	(8,25)
0.02246333077114849198897172718	(8,26)
0.02246268887103991354316448269	(8,27)
0.02246219166357771848906467812	(8,28)
0.02246185250620810537259456032	(8,29)
0.02246168058723477920522702944	(8,30)
0.03752538793449291255049872156	(9,1)
0.03752538635381204565831831077	(9,2)
0.03752537569472011852298524625	(9,3)
0.03752534137238852834712423943	(9,4)
0.03752526251740014960606200569	(9,5)
0.03752511313343018986528226967	(9,6)
0.03752486355700903669048247459	(9,7)
0.03752448215218164498965288348	(9,8)
0.0375239371616946586913925142	(9,9)
0.03752319862858657028376817849	(9,10)
0.03752224029810349233353478134	(9,11)
0.03752104140992899621141615628	(9,12)
0.03751958829484006417834520985	(9,13)
0.03751787569793653675757493844	(9,14)
0.03751590776220783889774744711	(9,15)
0.03751369862089339907759706905	(9,16)
0.03751127256420414436120897841	(9,17)
0.03750866376472183380881883116	(9,18)
0.03750591556531809990581692668	(9,19)
0.03750307935283545717386943998	(9,20)
0.03750021305915749563962980794	(9,21)
0.03749737934783052150590968314	(9,22)
0.03749464355834790178559455221	(9,23)
0.037492071490968383301806948	(9,24)
0.03748972712206651720060370711	(9,25)
0.03748767034323681935133248489	(9,26)
0.0374859548166020485325345376	(9,27)
0.03748462603409286055376848391	(9,28)
0.03748371966011584771450719488	(9,29)
0.03748326022539800569778268819	(9,30)
0.05944472987344311437859409718	(10,1)
0.0594447261102153556746058348	(10,2)
0.05944470073343954895064626372	(10,3)
0.05944461902013883907414536333	(10,4)
0.05944443128547122704468357866	(10,5)
0.05944407563944380315588669656	(10,6)
0.05944348146335036306836579053	(10,7)
0.05944257344609840192572504351	(10,8)
0.05944127599381726733959864195	(10,9)
0.0594395178074753175567184766	(10,10)
0.05943723641361548430761252626	(10,11)
0.05943438243330724963603581712	(10,12)
0.05943092338414868937410628946	(10,13)
0.05942684682932261706123585569	(10,14)
0.05942216271554390879645961162	(10,15)
0.05941690477701904989240522981	(10,16)
0.05941113092367205275249958195	(10,17)
0.05940492257695946194525903572	(10,18)
0.05939838296347762263955653638	(10,19)
0.05939163442304287018149078563	(10,20)
0.05938481483181910736616096959	(10,21)
0.05937807328035272318923475235	(10,22)
0.05937156517929152341398153573	(10,23)
0.05936544699070214460938072639	(10,24)
0.05935987079925797560722142197	(10,25)
0.05935497894458309547215064506	(10,26)
0.05935089893358092131208450755	(10,27)
0.0593477388399359599582134925	(10,28)
0.05934558337781001477856589581	(10,29)
0.0593444908090322173750288459	(10,30)
0.09029498267135240381913965018	(11,1)
0.09029497452354375907728218469	(11,2)
0.0902949195799994873268859294	(11,3)
0.09029474266174117105090343178	(11,4)
0.09029433619636455579804151139	(11,5)
0.09029356618810510602598369143	(11,6)
0.09029227974762391544774123791	(11,7)
0.09029031383577294540916835865	(11,8)
0.09028750481722948356095208377	(11,9)
0.09028369837894717149908466164	(11,10)
0.09027875934698905995528293522	(11,11)
0.09027258093483321823803001258	(11,12)
0.09026509297710230072767990177	(11,13)
0.09025626874428339368215068134	(11,14)
0.09024612999474235049479938111	(11,15)
0.09023474999754723816186969915	(11,16)
0.09022225434973471455971038823	(11,17)
0.09020881951038470223104808632	(11,18)
0.09019466907642758219715399646	(11,19)
0.09018006792650832807575874176	(11,20)
0.0901653144545917417251735155	(11,21)
0.09015073119982836397354984463	(11,22)
0.09013665424968078915693238769	(11,23)
0.0901234218464513301934849278	(11,24)
0.09011136266113773305912819245	(11,25)
0.09010078421196618254666331686	(11,26)
0.09009196189798037374635673046	(11,27)
0.09008512909156050754663954401	(11,28)
0.09008046868932415906838836606	(11,29)
0.09007810646074959363315322543	(11,30)
0.13244885566259852545363872816	(12,1)
0.13244883936944805193482087675	(12,2)
0.1324487294990208733479825457	(12,3)
0.13244837571647046508706207638	(12,4)
0.13244756291153354728129799411	(12,5)
0.13244602314035314314830165837	(12,6)
0.13244345068969231969092952024	(12,7)
0.13243951957291568366857205984	(12,8)
0.13243390264944316052413228858	(12,9)
0.1324262914762389905458673132	(12,10)
0.13241641595581622159096502996	(12,11)
0.13240406284321644643973601142	(12,12)
0.13238909221562360819612439518	(12,13)
0.13237145109175091203505727257	(12,14)
0.13235118351073563169528574749	(12,15)
0.13232843653662263265551820052	(12,16)
0.13230346183725750533980254111	(12,17)
0.13227661268658629341417688251	(12,18)
0.13224833644695504331693862403	(12,19)
0.13221916279259479908819251072	(12,20)
0.13218968812692428463680598517	(12,21)
0.13216055681540194068194317165	(12,22)
0.13213243999470921053906951688	(12,23)
0.1321060128222514431800903712	(12,24)
0.13208193109365260564861084949	(12,25)
0.1320608081785871629884965741	(12,26)
0.13204319320745391909969075017	(12,27)
0.13202955138532866942505703051	(12,28)
0.1320202472190274698504589149	(12,29)
0.1320155313227111324455744319	(12,30)
0.18851992624464764620190182865	(13,1)
0.18851989579959164086328756759	(13,2)
0.18851969049796049368997304529	(13,3)
0.18851902942781157151800260841	(13,4)
0.18851751064266002414051965843	(13,5)
0.18851463348327708656937946179	(13,6)
0.18850982674130412057475166639	(13,7)
0.18850248137582338022129073481	(13,8)
0.18849198627209106444490526388	(13,9)
0.1884777653735429634457655987	(13,10)
0.18845931443295141042974854857	(13,11)
0.18843623562252828037590567754	(13,12)
0.18840826831864372406870088846	(13,13)
