kdd1111_(sigma,mu)
2.8763589885492525311167751525	(1,1)
2.8763582078002332603809812339	(1,2)
2.8763529429307375628868209789	(1,3)
2.8763359900017201090118575796	(1,4)
2.8762970408021395756328613968	(1,5)
2.8762232544238834270743244875	(1,6)
2.8760999778091359111104390312	(1,7)
2.8759115820330700484383070602	(1,8)
2.8756423756262630492613981616	(1,9)
2.8752775524974492043158722887	(1,10)
2.8748041301558842543790818008	(1,11)
2.8742118340388751776579898514	(1,12)
2.8734938858227647043530208777	(1,13)
2.8726476575473597318574413555	(1,14)
2.8716751590444296893722178483	(1,15)
2.8705833332853124179914092786	(1,16)
2.869384142541244328009912375	(1,17)
2.8680944373222388885849276154	(1,18)
2.8667356095304440348426476577	(1,19)
2.8653330407182834950933676815	(1,20)
2.8639153653668703375036915376	(1,21)
2.8625135773009594858210450653	(1,22)
2.8611600143733922702829460635	(1,23)
2.8598872620761534231699418331	(1,24)
2.8587270205231419675807473856	(1,25)
2.857708981133318286970252197	(1,26)
2.8568597592366118614612841969	(1,27)
2.8562019267300218900733389356	(1,28)
2.8557531849154503566537847212	(1,29)
2.8555257119244855422081220074	(1,30)
2.8763586223236747899656901639	(2,1)
2.8763578330971254698269738603	(2,2)
2.8763525110606158574253728135	(2,3)
2.8763353740532684258173018397	(2,4)
2.8762960019353453251310468637	(2,5)
2.8762214143693327184225257079	(2,6)
2.8760967991909275783636615095	(2,7)
2.8759063577718872603929596362	(2,8)
2.8756342282589829817391327983	(2,9)
2.875265443788904099589816429	(2,10)
2.8747868808974530719416790122	(2,11)
2.8741881534488404786546909712	(2,12)
2.8734624095061484577821344674	(2,13)
2.8726069925586310394270007219	(2,14)
2.8716239342435842162844329269	(2,15)
2.8705202529022247398081764962	(2,16)
2.8693080406774031236264997207	(2,17)
2.8680043310316005558960066339	(2,18)
2.8666307481365101476270762179	(2,19)
2.8652129491424725074893794937	(2,20)
2.8637798794591884478702553128	(2,21)
2.8623628694689710117112718417	(2,22)
2.8609946081867342604109479229	(2,23)
2.8597080349651667249133976179	(2,24)
2.8585351941727784691632266624	(2,25)
2.8575060996766650292778753489	(2,26)
2.8566476558545335999731395896	(2,27)
2.8559826797429440905599309053	(2,28)
2.8555290648895003832545581578	(2,29)
2.8552991216882375499906005713	(2,30)
2.8752991492815383746974515874	(3,1)
2.8752983434467593240462012586	(3,2)
2.8752929094150187749703347413	(3,3)
2.8752754117819100651472117482	(3,4)
2.8752352111291883881855607684	(3,5)
2.8751590539637210386159348394	(3,6)
2.8750318164145489753763185238	(3,7)
2.8748373673828262037832208454	(3,8)
2.8745595112057807549807823167	(3,9)
2.8741829660320886282576207985	(3,10)
2.8736943321852433689599088718	(3,11)
2.8730830049014719105591819752	(3,12)
2.8723419879682143983541665104	(3,13)
2.8714685688677930115572804759	(3,14)
2.8704648218731268478889986191	(3,15)
2.8693379128951822232473901729	(3,16)
2.8681001884257815273933219287	(3,17)
2.8667690402823957152351281692	(3,18)
2.8653665476352835857578588727	(3,19)
2.8639189075550088070609495916	(3,20)
2.8624556746333182811319775528	(3,21)
