s3_(sigma,mu)
0.4764707654551877171916649344	(1,1)
0.4764705950420787671428997661	(1,2)
0.476469445889810079781964848	(1,3)
0.476465745658352370731335902	(1,4)
0.4764572446970579539538984173	(1,5)
0.4764411413497015542728906295	(1,6)
0.4764142403113550219700189751	(1,7)
0.4763731369000814548818636756	(1,8)
0.476314418765250673037105393	(1,9)
0.4762348755375787140264009299	(1,10)
0.4761317063115497031467387115	(1,11)
0.4760027147065666370518337155	(1,12)
0.4758464816263076922728436893	(1,13)
0.4756625067427500186496647441	(1,14)
0.4754513111497706143063602272	(1,15)
0.4752144954963268869250841399	(1,16)
0.4749547501156511282316616695	(1,17)
0.4746758160766606761310307785	(1,18)
0.4743823985390512187636768924	(1,19)
0.4740800361327567426412529864	(1,20)
0.473774932157274810456173389	(1,21)
0.473473755086636290116021132	(1,22)
0.4731834170904540089203022541	(1,23)
0.472910840003602525528675229	(1,24)
0.4726627184029399671560295237	(1,25)
0.4724452892220955515726639412	(1,26)
0.4722641167240460415083826157	(1,27)
0.4721239007392821796799896855	(1,28)
0.4720283149498514920560989316	(1,29)
0.4719798807329519714866075652	(1,30)
0.4779622393587033422706674658	(2,1)
0.4779620673954092133062828	(2,2)
0.4779609077897564763349465811	(2,3)
0.4779571738991124440830430473	(2,4)
0.4779485956108159060905636915	(2,5)
0.4779323457910155323110897416	(2,6)
0.477905200089855354690290303	(2,7)
0.4778637229019090002627223785	(2,8)
0.4778044709262943123443432449	(2,9)
0.477724204743505756586492255	(2,10)
0.4776200982044627340127215781	(2,11)
0.4774899352804448741922001247	(2,12)
0.4773322843985602842970476602	(2,13)
0.4771466412029914926756847217	(2,14)
0.4769335321149912243008248425	(2,15)
0.4766945729489537184966676474	(2,16)
0.4764324790713080067130141311	(2,17)
0.4761510260237575778240374081	(2,18)
0.4758549620127201950263728984	(2,19)
0.4755498760291698388145527539	(2,20)
0.4752420274573498218234754055	(2,21)
0.4749381447355805787808278008	(2,22)
0.4746452018658316987101463199	(2,23)
0.4743701822938847748075795662	(2,24)
0.474119839905576917291897119	(2,25)
0.4739004666507646525103387507	(2,26)
0.4737176756858499760662656918	(2,27)
0.4735762080025510022774796283	(2,28)
0.4734797693712808582425463129	(2,29)
0.473430903149422638871598445	(2,30)
0.4809431130448744597432457101	(3,1)
0.4809429379620091777779475925	(3,2)
0.4809417573201129895542077851	(3,3)
0.4809379556942136673181588785	(3,4)
0.4809292217942976069541967696	(3,5)
