kdd2222_(sigma,mu)
0.3333331768187520719401929098	(1,1)
0.33332070192031758900235515797	(1,2)
0.33323657922453632293808987336	(1,3)
0.33296570335733730898876106439	(1,4)
0.33234336852645217174647037925	(1,5)
0.3311644012118935078526107545	(1,6)
0.32919467315541890457546124689	(1,7)
0.32618446358243255071198377652	(1,8)
0.32188305237352803561473931614	(1,9)
0.31605386608423858799470038015	(1,10)
0.30848946897085380801935316919	(1,11)
0.29902569287831510231660572991	(1,12)
0.28755423296460831659801294696	(1,13)
0.27403309937679107469125775475	(1,14)
0.25849440544010521787073592592	(1,15)
0.2410490867562987095923140021	(1,16)
0.22188827788338043852372755582	(1,17)
0.20128121822581226115329389322	(1,18)
0.17956971007860371418661528968	(1,19)
0.15715930283186640783096426394	(1,20)
0.13450752154781117047708795627	(1,21)
0.11210958915516078607015633336	(1,22)
0.09048220361937943144403431642	(1,23)
0.07014601971290684602570787729	(1,24)
0.05160754553438595380948344884	(1,25)
0.03534119402162638739690918665	(1,26)
0.02177222800492737544450651382	(1,27)
0.01126130387399306537310003205	(1,28)
0.00409125508483672099713583705	(1,29)
0.00045666523723990190620730047	(1,30)
0.33333317681884388138995210083	(2,1)
0.33332070192772673688193194579	(2,2)
0.33323657928127459746170593488	(2,3)
0.33296570357274661305967074418	(2,4)
0.33234336910542850765074462688	(2,5)
0.33116440247588353558097515982	(2,6)
0.32919467555296303668193636131	(2,7)
0.32618446768593503697135388942	(2,8)
0.32188305885939897544006051254	(2,9)
0.31605387569472808157476420619	(2,10)
0.30848948245779770429547484922	(2,11)
0.29902571093148299436360341483	(2,12)
0.28755425613007710900803689097	(2,13)
0.27403312797333270581823754109	(2,14)
0.25849443948349537378465628216	(2,15)
0.24104912590227882882024432813	(2,16)
0.22188832139941255451825284508	(2,17)
0.20128126499962301794745758825	(2,18)
0.17956975866792606243229081478	(2,19)
0.15715935155510609759656806239	(2,20)
0.13450756861015210796052263572	(2,21)
0.11210963279957888377503767742	(2,22)
0.09048224228789688250589173571	(2,23)
0.07014605220085056944654258273	(2,24)
0.05160757111989491195486615162	(2,25)
0.03534121255439454789814183884	(2,26)
0.02177223994207010142028207133	(2,27)
0.01126131025656873520930149076	(2,28)
0.00409125745526152436964854889	(2,29)
0.00045666550474717970058481818	(2,30)
0.33333317681946687995335950037	(3,1)
0.33332070197800357110692102552	(3,2)
0.33323657966628794475278630839	(3,3)
0.3329657050344663815760296256	(3,4)
0.33234337303423356316137833051	(3,5)
0.33116441105303977238185512958	(3,6)
0.32919469182216667275576237339	(3,7)
0.32618449553139548198725533242	(3,8)
0.32188310287108748968566132829	(3,9)
0.31605394090939353296602144533	(3,10)
0.30848957397723851763523129664	(3,11)
0.29902583343633325319869499423	(3,12)
0.28755441332590800678372105362	(3,13)
0.27403332202327778401776720967	(3,14)
0.25849467049462488339745010197	(3,15)
0.24104939153855011060500783623	(3,16)
0.2218886166900012970181770345	(3,17)
0.20128158239689719056949303145	(3,18)
