kdd1313_(sigma,mu)
0.24999988444947500836290264186	(1,1)
0.24999052827551176927375676217	(1,2)
0.24992743625274957255006549123	(1,3)
0.24972427934936937596852358568	(1,4)
0.2492575282193660318870700702	(1,5)
0.24837330272052520417671594235	(1,6)
0.24689600665668290105314962648	(1,7)
0.2446383494443545447296362687	(1,8)
0.24141229099162851025439451701	(1,9)
0.23704040121323405630271294968	(1,10)
0.2313671033001562124574720267	(1,11)
0.22426927113577969513453406572	(1,12)
0.21566567608934636599552100766	(1,13)
0.20552482577305192644004838684	(1,14)
0.19387080518384877699250017706	(1,15)
0.18078681602703833355803673326	(1,16)
0.16641620922582443435870949147	(1,17)
0.15096091433860050483634608789	(1,18)
0.13467728309160335814653279055	(1,19)
0.11786947753189629146731369636	(1,20)
0.10088064145971946752385980511	(1,21)
0.08408219207398703753499798579	(1,22)
0.06786165284977376709467972367	(1,23)
0.05260951486595987346121741971	(1,24)
0.03870565919478439655295019136	(1,25)
0.02650589553685166424113343807	(1,26)
0.01632917101152589612675313119	(1,27)
0.00844597790758965220214511615	(1,28)
0.003068441313904037064169628	(1,29)
0.00034249892793337129411971859	(1,30)
0.25000003155345195703916040985	(2,1)
0.24999067537396628795913872899	(2,2)
0.2499275833139644067995706586	(2,3)
0.24972442629067247362733486963	(2,4)
0.24925767488517529670635747694	(2,5)
0.24837344886444051229520179911	(2,6)
0.24689615192868337675419510593	(2,7)
0.24463849338392494436917079775	(2,8)
0.24141243302736462171511978165	(2,9)
0.23704054066917501947295002344	(2,10)
0.2313672394087748469898128258	(2,11)
0.22426940305724451486303112213	(2,12)
0.21566580293636555679918172217	(2,13)
0.20552494664033441789088889261	(2,14)
0.19387091918098381925473240271	(2,15)
0.18078692231341406340638228302	(2,16)
0.1664163070460866770288137839	(2,17)
0.15096100305710141699522314994	(2,18)
0.13467736222430802986047408095	(2,19)
0.11786954677430316004230025193	(2,20)
0.10088070070950301354727004259	(2,21)
0.08408224144728128316326017624	(2,22)
0.06786169269027250364512956968	(2,23)
0.05260954574630223604690215938	(2,24)
0.03870568191000901419889326996	(2,25)
0.02650591109002522040085745624	(2,26)
0.01632918059196874462496650459	(2,27)
0.00844598286241909689669036835	(2,28)
0.00306844311388318747580732697	(2,29)
0.00034249912883992765601429138	(2,30)
0.2500010359971249254531058449	(3,1)
0.24999167977969923126408180957	(3,2)
0.24992858746385489187672383286	(3,3)
0.24972542961675592153345554405	(3,4)
0.24925867631861625790272057286	(3,5)
0.24837444671258849531903716316	(3,6)
0.24689714378731973249126546578	(3,7)
0.24463947609043148811032210652	(3,8)
0.24141340265865942926273433318	(3,9)
0.23704149258616143207013904945	(3,10)
0.23136816834682616868131064532	(3,11)
0.22427030326000117212097702188	(3,12)
0.21566666832796310169168834899	(3,13)
0.20552577102922061700688701382	(3,14)
0.19387169648682633666782769555	(3,15)
0.18078764680733865656798792648	(3,16)
0.1664169735936904710892318922	(3,17)
0.15096160735340122397680786609	(3,18)
0.1346779010100239432583727466	(3,19)
0.11787001802362528069195483144	(3,20)
0.10088110378069668326081294354	(3,21)
0.08408257718908052527701567575	(3,22)
0.06786196349890027764896448065	(3,23)
0.05260975557003613481172727058	(3,24)
0.03870583620037569903839836647	(3,25)
0.02650601670085439916218897593	(3,26)
0.0163292456295769200960174755	(3,27)
0.00844601649204873665780512677	(3,28)
